forme,key1,key2
Mine,MN,
Hànschig,HNXK,HNX
mi,M,
Eventail,AFNTL,AVTL
…,,
ich,A,AX
ha,H,
glaüb,KLP,
alles,ALS,
…,,
jà,Y,
so,S,
…,,
mi,M,
brodiert,PRTRT,
Nastüech,NXTR,
…,,
ich,A,AX
ha,H,
mi,M,
brodiert,PRTRT,
Nastüech,NXTR,
vergesse,FRKS,VRKS
…,,
jetz,YTS,
müess,MS,
ich,A,AX
wieder,VTR,VT
in,AN,
dr,TR,
dritte,TRT,
Stock,XTK,
ufekràbse,AFKRPS,
…,,
wenn,VN,
ich,A,AX
awer,AVR,AY
dr,TR,
Portner,PRTNR,PRTN
thàt,TT,
schicke,XK,
…,,
Herr,HR,
Tschobe,TXP,TXV
…,,
Herr,HR,
Tschobe,TXP,TXV
…,,
Was,VS,
b'liebt,PLPT,
Madame,MTM,
Türk,TRK,
Sin,SN,
Se,S,
doch,TR,
so,S,
güet,KT,
un,AN,
nàmme,NM,
Se,S,
mi,M,
Schlissel,XLSL,
un,AN,
hole,HL,
Se,S,
mr,MR,
mi,M,
brodiert,PRTRT,
Nastüech,NXTR,
in,AN,
mim,MM,
Zimmer,TSMR,TSM
's,S,
ligt,LKT,
uf,AF,
em,AM,
Tisch,TX,
…,,
Glich,KL,KLX
Madame,MTM,
Türk,TRK,
…,,
ich,A,AX
will,VL,
nur,NR,
noch,NR,
dr,TR,
Katz,KTS,
d',T,
Milch,MLX,
blose,PLS,
…,,
Dummle,TML,
Sie,S,
sich,S,SX
ich,A,AX
wart,VRT,
uf,AF,
Se,S,
…,,
wenn,VN,
ich,A,AX
nur,NR,
nitt,NT,
z',S,
spot,XPT,
bi,P,
…,,
ich,A,AX
glaüb,KLP,
nitt,NT,
…,,
's,S,
isch,AX,
erst,ARXT,
am,AM,
Nine,NN,
wo,V,
mich,M,MX
dr,TR,
Herr,HR,
Dampf,TMPF,
soll,SL,
ku,K,
abhole,APL,
…,,
do,T,
sàit,ST,
er,AR,A
jo,Y,
ass,AS,
er,AR,A
hit,HT,
z',S,
Nacht,NRT,
am,AM,
Nine,NN,
d',T,
Ehr,AR,
wird,VRT,
ha,H,
mich,M,MX
abz'hole,APSL,
fir,FR,
mich,M,MX
züe,TS,
dàne,TN,
Herre,HR,
z',S,
fiehre,FR,
wo,V,
-n-,N,
ich,A,AX
gern,KRN,
hätt,HT,
ass,AS,
mi,M,
Mann,MN,
Diràcter,TRKTR,TRKT
thàt,TT,
werde,VRT,
…,,
er,AR,A
meint,MNT,MT
noch,NR,
se,S,
werde,VRT,
-n-,N,
in,AN,
eso,AS,
schöne,XN,
-n-,N,
Aüge,AK,AY
nit,NT,
refüsiere,RFSR,
känne,KN,
un,AN,
doch,TR,
isch,AX,
's,S,
jetz,YTS,
scho,X,
vierzeh,FRTS,VRTS
Tàg,TK,T
ass,AS,
me,M,
mir,MR,
allewil,ALFL,ALVL
verspricht,FRXPRXT,VRXPRXT
…,,
un,AN,
dà,T,
Herr,HR,
Dampf,TMPF,
hat,HT,
mich,M,MX
ag'lüegt,AKLKT,
gestert,KXTRT,
uf,AF,
e,A,
bedenklige,PTNKLK,PTNKLY
Manier,MNR,MN
fir,FR,
