forme,key1,key2
's,S,
glaübt,KLPT,
mr,MR,
awer,AVR,AY
jetz,YTS,
doch,TR,
g'wiss,KVS,
kei,K,
Mensch,MNX,
wie,V,
iwel,AFL,AVL
dra,TR,
as,AS,
ich,A,AX
bi,P,
…,,
vo,F,V
drei,TR,
Liebhawer,LPVR,LPY
weiss,VS,
ich,A,AX
jetz,YTS,
sicher,SXR,SX
nitt,NT,
weller,VLR,VL
as,AS,
ich,A,AX
nàh,N,
sott,ST,
…,,
Mi,M,
Pape,PP,
hat,HT,
mr,MR,
einer,ANR,AN
üsg'süecht,ASKSRT,
e,A,
Richer,RXR,RX
e,A,
Fawrikant,FVRKNT,FVRKT
dr,TR,
Herr,HR,
Gas,KS,
wo,V,
-n-,N,
ihm,AM,
am,AM,
liebschte,LPXT,
wàr,VR,
un,AN,
wo,V,
mir,MR,
awer,AVR,AY
eso,AS,
ziemlig,TSMLK,TSML
glichgiltig,KLXKLTK,KLXKLT
isch,AX,
denn,TN,
's,S,
isch,AX,
scho,X,
ne,N,
wenig,VNK,VN
e,A,
-n-,N,
alter,ALTR,ALT
…,,
derno,TRN,
isch,AX,
dr,TR,
Herr,HR,
Spàtzle,XPTSL,
dà,T,
isch,AX,
grad,KRT,
o,A,
nitt,NT,
arm,ARM,
un,AN,
isch,AX,
jung,YNK,
awer,AVR,AY
wiescht,VXT,
…,,
un,AN,
derno,TRN,
dr,TR,
Herr,HR,
Mües,MS,
unser,ANSR,ANS
erster,ARXTR,ARXT
Commis,KMS,
…,,
das,TS,
isch,AX,
e,A,
schöner,XNR,XN
junger,YNKR,YNK
Mensch,MNX,
awer,AVR,AY
hat,HT,
nit,NT,
…,,
was,VS,
mache,MR,
jetz,YTS,
…,,
ich,A,AX
find,FNT,
das,TS,
G'setz,KSTS,
dumm,TM,
ass,AS,
me,M,
nur,NR,
ei,A,
Mann,MN,
derf,TRF,
ha,H,
…,,
worum,VRM,
sott,ST,
me,M,
nitt,NT,
ewe,AF,AV
-n-,N,
eso,AS,
güet,KT,
drei,TR,
känne,KN,
nàh,N,
…,,
me,M,
hätt,HT,
doch,TR,
derno,TRN,
ufs,AFS,
wenigst,VNKXT,
Chance,KNK,XNK
e,A,
güeter,KTR,KT
z',S,
finde,FNT,
-n-,N,
unter,ANTR,AT
dr,TR,
Zahl,TSL,
…,,
Bin,PN,
ich,A,AX
nitt,NT,
iwel,AFL,AVL
dra,TR,
So,S,
drei,TR,
Liebhawer,LPVR,LPY
z',S,
ha,H,
Ich,A,AX
weiss,VS,
nitt,NT,
weller,VLR,VL
nàh,N,
Was,VS,
wird,VRT,
drüs,TRS,
g'schàh,KX,
Ein,AN,
isch,AX,
mir,MR,
jetz,YTS,
scho,X,
z',S,
alt,ALT,
Doch,TR,
er,AR,A
wàr,VR,
rich,R,RX
g'nüeg,KNK,
halt,HLT,
O,A,
nitt,NT,
arm,ARM,
isch,AX,
dr,TR,
Zweit,TSVT,
Doch,TR,
wiescht,VXT,
züem,TSM,
Leid,LT,
Wenn,VN,
dr,TR,
Dritt',TRT,
richer,RXR,RX
wàr,VR,
Kàms,KMS,
mir,MR,
nitt,NT,
vor,FR,VR
so,S,
schwer,XVR,XV
Das,TS,
miesst,MST,
mi,M,
Mànnle,MNL,
si,S,
Denk,TNK,
ich,A,AX
mithi,MTH,
Wenn,VN,
's,S,
no,N,
mim,MM,
Kopf,KPF,
thàt,TT,
geh,K,
Thàt,TT,
mir,MR,
g'wiss,KVS,
d',T,
Wahl,VL,
nitt,NT,
weh,V,
Denn,TN,
ich,A,AX
nàhm,NM,
wàr,VR,
ich,A,AX
frei,FR,
Glich,KL,KLX
alle,AL,
drei,TR,
Eh,A,
güete,KT,
-n-,N,
Owe,AF,AV
Jumpfer,YMPFR,YMPF
Schnitz,XNTS,
…,,
ich,A,AX
ha,H,
g'sàh,KS,
im,AM,
Duregeh,TRK,TRY
ass,AS,
Sie,S,
-n-,N,
allei,AL,
im,AM,
Lade,LT,
-n-,N,
isch,AX,
…,,
un,AN,
do,T,
ha,H,
-n-,N,
i,A,
nitt,NT,
anderscht,ANTRXT,
känne,KN,
ich,A,AX
ha,H,
miesse,MS,
-n-,N,
ine,AN,
ku,K,
…,,
Allewil,ALFL,ALVL
uf,AF,
d',T,
letschte,LTXT,
Mode,MT,
…,,
wenn,VN,
er,AR,A
nur,NR,
schöner,XNR,XN
wàr,VR,
…,,
Sie,S,
werde,VRT,
fir,FR,
e,A,
Grosche,KRX,
Bàredràck,PRTRK,
welle,VL,
wie,V,
alle,AL,
Tag,TK,T
nitt,NT,
wohr,VR,
Herr,HR,
Spàtzle,XPTSL,
…,,
Sie,S,
mien,MN,M
e,A,
famoser,FMSR,FMS
Hüeschte,HXT,
ha,H,
…,,
denn,TN,
er,AR,A
dürt,TRT,
jetz,YTS,
scho,X,
ziemlig,TSMLK,TSML
lang,LNK,
…,,
nimmt,NMT,
er,AR,A
denn,TN,
allewil,ALFL,ALVL
no,N,
nitt,NT,
ab,AP,
Nie,N,
Jumpfer,YMPFR,YMPF
Schnitz,XNTS,
…,,
So,S,
lang,LNK,
ass,AS,
Sie,S,
Sieselsaft,SSLSFT,
z',S,
verkaüfe,FRKF,VRKF
hat,HT,
Wenn,VN,
nur,NR,
dr,TR,
Herr,HR,
Mües,MS,
unser,ANSR,ANS
erster,ARXTR,ARXT
Commis,KMS,
nitt,NT,
emol,AML,
derzüe,TRTS,
kunnt,KNT,
wenn,VN,
Sie,S,
do,T,
sin,SN,
…,,
denn,TN,
er,AR,A
isch,AX,
ne,N,
Find,FNT,
…,,
er,AR,A
isch,AX,
jaloux,YLKS,
er,AR,A
will,VL,
mr,MR,
glaüb,KLP,
dr,TR,
Hof,HF,
mache,MR,
un,AN,
obschon,APXN,
Sie,S,
nur,NR,
kämme,KM,
ku,K,
Sieselsaft,SSLSFT,
kaüfe,KF,
…,,
Oh,A,
Jumpfer,YMPFR,YMPF
Lisette,LST,
…,,
Sie,S,
weisst,VST,
ganz,KNS,KNTS
güet,KT,
ass,AS,
es,AS,
mir,MR,
nitt,NT,
isch,AX,
um,AM,
dr,TR,
Bàredràck,PRTRK,
wenn,VN,
ich,A,AX
do,T,
ane,AN,
kumm,KM,
…,,
Sie,S,
wird,VRT,
'n,N,
doch,TR,
ebbe,AP,
mir,MR,
nitt,NT,
vorzieh,FRTS,VRTS
…,,
Wer,VR,V
dr,TR,
Bàredràck,PRTRK,
Eh,A,
nei,N,
dr,TR,
Commis,KMS,
…,,
er,AR,A
hat,HT,
ganz,KNS,KNTS
Recht,RXT,
wenn,VN,
er,AR,A
jaloux,YLKS,
isch,AX,
…,,
denn,TN,
's,S,
hat,HT,
Sie,S,
kei,K,
Mensch,MNX,
liewer,LFR,LV
as,AS,
ich,A,AX
…,,
wenn,VN,
ich,A,AX
doch,TR,
nur,NR,
an,AN,
sim,SM,
Platz,PLTS,
wàr,VR,
…,,
worum,VRM,
bin,PN,
ich,A,AX
nitt,NT,
Ihre,AR,
-n-,N,
erste,ARXT,
Commis,KMS,
Jumpfer,YMPFR,YMPF
Schnitz,XNTS,
…,,
nitt,NT,
wohr,VR,
Sie,S,
git,KT,
em,AM,
dr,TR,
Vorzug,FRTSK,VRTSK
nitt,NT,
…,,
das,TS,
wàr,VR,
jo,Y,
mi,M,
Tod,TT,
…,,
un,AN,
was,VS,
hätt,HT,
Se,S,
-n-,N,
am,AM,
eso,AS,
ne,N,
Ladediener,LTTNR,LTTN
…,,
Sie,S,
wird,VRT,
doch,TR,
nitt,NT,
ewig,AFK,AV
im,AM,
eso,AS,
ne,N,
Lade,LT,
am,AM,
Sirop,SRP,
bliwe,PLF,PLV
klàwe,KLV,KLY
un,AN,
drin,TRN,
züe,TS,
-n-,N,
ere,AR,
dirre,TR,
Zwàtschke,TSVTXK,
werde,VRT,
…,,
Er,AR,A
hat,HT,
Recht,RXT,
…,,
wenn,VN,
er,AR,A
nur,NR,
schöner,XNR,XN
wàr,VR,
…,,
Ich,A,AX
will,VL,
mine,MN,
junge,YNK,
Johre,YR,
Das,TS,
ha,H,
-n-,N,
ich,A,AX
scho,X,
vielmol,FLML,VLML
g'schwore,KXVR,
Nitt,NT,
im,AM,
Lade,LT,
do,T,
verliere,FRLR,VRLR
Zwische,TSVX,
Sirop,SRP,
Mehl,ML,
un,AN,
Schmalz,XMLS,XMLTS
's,S,
Wàge,VK,VY
geht,KT,
mr,MR,
nitt,NT,
Ich,A,AX
spir,XPR,
's,S,
ganz,KNS,KNTS
güet,KT,
hit,HT,
All',AL,
die,T,
dumme,TM,
Waar',VR,
Hass,HS,
ich,A,AX
das,TS,
isch,AX,
klar,KLR,
Ich,A,AX
wott,VT,
liewer,LFR,LV
geh,K,
spaziere,XPTSR,
Un,AN,
uf,AF,
d',T,
Bàll,PL,
geh,K,
tanze,TNTS,
-n-,N,
als,ALS,
Fir,FR,
Ihre,AR,
Johre,YR,
Wàr,VR,
d',T,
Zit,TST,
verlore,FRLR,VRLR
Do,T,
so,S,
z',S,
serviere,SRFR,SRVR
Sirop,SRP,
un,AN,
Schmalz,XMLS,XMLTS
Das,TS,
geht,KT,
nitt,NT,
Sie,S,
sieht,ST,
's,S,
hit,HT,
Sie,S,
hasst,HST,
d',T,
Waar,VR,
Das,TS,
isch,AX,
klar,KLR,
G'wiss,KVS,
geh,K,
spaziere,XPTSR,
Wàr,VR,
besser,PSR,PS
als,ALS,
Oh,A,
Lisettle,LSTL,
Sie,S,
stosst,XTST,
mich,M,MX
z',S,
ruck,RK,
Lisettle,LSTL,
…,,
un,AN,
's,S,
isch,AX,
mr,MR,
doch,TR,
g'wiss,KVS,
Ernst,ARNXT,
…,,
wenn,VN,
ich,A,AX
bis,PS,
dohi,TH,
no,N,
nitt,NT,
g'frogt,KFRKT,
ha,H,
um,AM,
Ihre,AR,
Hand,HNT,
bi,P,
Ihrem,ARM,
Vater,FTR,VT
so,S,
isch,AX,
's,S,
jo,Y,
nur,NR,
wil,VL,
Sie,S,
mir,MR,
allewil,ALFL,ALVL
g'sàit,KST,
hat,HT,
ich,A,AX
soll,SL,
noch,NR,
warte,VRT,
awer,AVR,AY
wenn,VN,
Sie,S,
will,VL,
so,S,
gang,KNK,
ich,A,AX
gli,KL,
jetz,YTS,
uf,AF,
dr,TR,
Stell',XTL,
…,,
Nei,N,
…,,
jetz,YTS,
nitt,NT,
…,,
dr,TR,
Pape,PP,
-n-,N,
isch,AX,
glaüb,KLP,
iwel,AFL,AVL
z',S,
Müeth,MTH,
hit,HT,
z',S,
Owe,AF,AV
…,,
Das,TS,
sàit,ST,
Sie,S,
mr,MR,
jetz,YTS,
scho,X,
Monete,MNT,
lang,LNK,
Ich,A,AX
müess,MS,
mi,M,
doch,TR,
emol,AML,
entschliesse,ANTXLS,ATXLS
fir,FR,
Ein,AN,
oder,ATR,AT
dr,TR,
And're,ANTR,
still,XTL,
's,S,
kunnt,KNT,
ebber,APR,AP
Eh,A,
bien,PN,P
ich,A,AX
mach,MR,
mich,M,MX
dervo,TRF,TRV
…,,
awer,AVR,AY
nitt,NT,
wohr,VR,
Sie,S,
verspricht,FRXPRXT,VRXPRXT
mr...,MR,
Se,S,
känne,KN,
jetz,YTS,
nitt,NT,
üse,AS,
…,,
's,S,
isch,AX,
dr,TR,
Commis,KMS,
…,,
er,AR,A
kunnt,KNT,
üs,AS,
em,AM,
Bureau,PR,
dert,TRT,
àne,AN,
…,,
Sie,S,
thàte,TT,
-n-,N,
em,AM,
grad,KRT,
in,AN,
d',T,
Hànd,HNT,
laüfe,LF,
…,,
Eh,A,
bien,PN,P
…,,
ich,A,AX
kaüf,KF,
fir,FR,
e,A,
Grosche,KRX,
Meertriwel,MRTRFL,MRTRVL
…,,
das,TS,
isch,AX,
jo,Y,
ganz,KNS,KNTS
natürell,NTRL,
…,,
Nei,N,
nei,N,
…,,
Sie,S,
wisse,VS,
-n-,N,
ass,AS,
er,AR,A
Sie,S,
hasst,HST,
…,,
ich,A,AX
wott,VT,
nitt,NT,
ass,AS,
er,AR,A
Sie,S,
thàt,TT,
atreffe,ATRF,
do,T,
…,,
's,S,
gàb,KP,
am,AM,
End,ANT,
G'schichte,KXXT,
…,,
do,T,
…,,
verstecke,FRXTK,VRXTK
Sie,S,
sich,S,SX
do,T,
drin,TRN,
Ich,A,AX
do,T,
dri,TR,
…,,
mit,MT,
mim,MM,
neüe,N,
Kleid,KLT,
's,S,
isch,AX,
dr,TR,
Mehlschrank,MLXRNK,
awer,AVR,AY
er,AR,A
isch,AX,
leer,LR,L
in,AN,
dem,TM,
Moment,MMNT,MMT
…,,
Sie,S,
hàn,HN,
ganz,KNS,KNTS
güet,KT,
Platz,PLTS,
drin,TRN,
…,,
Awer,AVR,AY
mi,M,
Kleid,KLT,
…,,
Ich,A,AX
bitt,PT,
Se,S,
drum,TRM,
Herr,HR,
Spàtzle,XPTSL,
…,,
wenn,VN,
Sie,S,
mich,M,MX
gern,KRN,
hàn,HN,
so,S,
schlupfe,XLPF,
Se,S,
dri,TR,
…,,
denn,TN,
wenn,VN,
Sie,S,
dr,TR,
Herr,HR,
Mües,MS,
thàt,TT,
sàh,S,
do,T,
…,,
Awer,AVR,AY
nitt,NT,
lang,LNK,
nitt,NT,
wohr,VR,
…,,
Nur,NR,
e,A,
-n-,N,
Aügesblick,AKXPLK,AYXPLK
…,,
wie,V,
-n-,N,
er,AR,A
wieder,VTR,VT
üse,AS,
geht,KT,
so,S,
mache,MR,
Se,S,
sich,S,SX
natirlig,NTRLK,NTRL
dervo,TRF,TRV
…,,
Also,ALS,
mir,MR,
im,AM,
erste,ARXT,
Commis,KMS,
wo,V,
so,S,
z',S,
age,AK,AY
's,S,
ganze,KNTS,
G'schàft,KXFT,
tüet,TT,
b'sorge,PSRK,
mir,MR,
refusiert,RFSRT,
me,M,
d',T,
Tochter,TRTR,TRT
üs,AS,
em,AM,
Hüs,HS,
…,,
grad,KRT,
ha,H,
-n-,N,
ich,A,AX
um,AM,
ihre,AR,
Hand,HNT,
g'frogt,KFRKT,
un,AN,
bin,PN,
abg'wiese,APKVS,
worde,VRT,
un,AN,
das,TS,
unter,ANTR,AT
em,AM,
Vorwand,FRVNT,VRVNT
wil,VL,
er,AR,A
dr,TR,
Vater,FTR,VT
scho,X,
ne,N,
Choix,KKS,XKS
g'macht,KMRT,
hat,HT,
fir,FR,
si,S,
Tochter,TRTR,TRT
…,,
er,AR,A
wird,VRT,
schön,XN,
aku,AK,
mit,MT,
sim,SM,
Choix,KKS,XKS
…,,
wie,V,
vielmol,FLML,VLML
hat,HT,
mr,MR,
d',T,
Jumpfer,YMPFR,YMPF
