forme,key1,key2
Endlig,ANTLK,ANTL
isch,AX,
er,AR,A
jetz,YTS,
wieder,VTR,VT
emol,AML,
ag'ruckt,AKRKT,
dr,TR,
Samstig,SMSTK,SMST
ich,A,AX
frei,FR,
mi,M,
als,ALS,
d',T,
ganze,KNTS,
Wuche,VR,
druf,TRF,
hi,H,
…,,
denn,TN,
alle,AL,
Samstig,SMSTK,SMST
z',S,
Owe,AF,AV
mache,MR,
mr,MR,
Müsik,MSK,
mitnander,MTNNTR,MTNNT
…,,
der,TR,T
Herr,HR,
Fink,FNK,
dr,TR,
Herr,HR,
Pfaffekàpple,PFFKPL,
dr,TR,
Herr,HR,
Bif,PF,
dr,TR,
Herr,HR,
Düwack,TFK,TVK
un,AN,
ich,A,AX
…,,
ich,A,AX
bin,PN,
ihre,AR,
Chef,KF,XF
d',T,
orchestre,ARXXTR,
…,,
denn,TN,
sie,S,
bringe,PRNK,
nit,NT,
ane,AN,
wenn,VN,
nitt,NT,
einer,ANR,AN
dr,TR,
Tact,TKT,
schlat,XLT,
…,,
's,S,
sin,SN,
halt,HLT,
alles,ALS,
nur,NR,
Amateurs,AMTRS,
…,,
dr,TR,
Herr,HR,
Fink,FNK,
blost,PLXT,
's,S,
Basson,PSN,
dr,TR,
Herr,HR,
Pfaffekàpple,PFFKPL,
d',T,
Flöte,FLT,
dr,TR,
Herr,HR,
Bif,PF,
's,S,
Saxophone,SKSFN,
un,AN,
dr,TR,
Herr,HR,
Düwack,TFK,TVK
's,S,
Horn,HRN,
…,,
ich,A,AX
spiel,XPL,
alle,AL,
-n-,N,
Instrumente,ANXTRMNT,ANXTRMT
excepté,AKSKPT,
's,S,
Basson,PSN,
das,TS,
ha,H,
-n-,N,
i,A,
nie,N,
känne,KN,
lehre,LR,
…,,
un,AN,
doch,TR,
kàm,KM,
's,S,
mr,MR,
jetz,YTS,
z',S,
güet,KT,
…,,
ich,A,AX
bin,PN,
ewe,AF,AV
-n-,N,
in,AN,
ere,AR,
grossartige,KRSRTK,KRSRTY
-n-,N,
Erfindung,ARFNTNK,
uf,AF,
dr,TR,
Spür,XPR,
wo,V,
d',T,
Müsik,MSK,
d',T,
Haüptrolle,HPTRL,
drin,TRN,
spiele,XPL,
soll,SL,
…,,
wenn,VN,
das,TS,
mir,MR,
g'lingt,KLNKT,
so,S,
kermt,KRMT,
mi,M,
Fortün,FRTN,
un,AN,
mi,M,
Rüehm,RM,
kei,K,
Grenze,KRNTS,
meh,M,
…,,
doch,TR,
wenn,VN,
mich,M,MX
nur,NR,
dr,TR,
Herr,HR,
Fink,FNK,
mit,MT,
sim,SM,
Basson,PSN,
nit,NT,
emol,AML,
im,AM,
Stich,XT,XTX
losst,LST,
…,,
er,AR,A
will,VL,
allewil,ALFL,ALVL
furt,FRT,
dà,T,
Mann,MN,
…,,
un,AN,
ich,A,AX
wisst,VST,
sicher,SXR,SX
kei,K,
ander,ANTR,ANT
Basson,PSN,
z',S,
finde,FNT,
…,,
's,S,
isch,AX,
fatal,FTL,
…,,
grad,KRT,
das,TS,
Instrument,ANXTRMNT,ANXTRMT
wo,V,
-n-,N,
ich,A,AX
nitt,NT,
ka,K,
das,TS,
findet,FNTT,
me,M,
-n-,N,
eso,AS,
selte,SLT,
un,AN,
ich,A,AX
müess,MS,
es,AS,
doch,TR,
ha,H,
nitt,NT,
nur,NR,
fir,FR,
mi,M,
Samstigmüsik,SMSTKMSK,
awer,AVR,AY
b'sunders,PSNTRS,
noch,NR,
fir,FR,
mine,MN,
…,,
doch,TR,
still,XTL,
ich,A,AX
will,VL,
mi,M,
G'heimniss,KMNS,
no,N,
nitt,NT,
üsschwàtze,AXVTS,
…,,
'wenn,VN,
nur,NR,
d',T,
Müsik,MSK,
güet,KT,
geht,KT,
hit,HT,
z',S,
Owe,AF,AV
un,AN,
ass,AS,
die,T,
Herre,HR,
nitt,NT,
züe,TS,
arg,ARK,
falsch,FLX,
blose,PLS,
…,,
Wenn,VN,
mir,MR,
als,ALS,
Müsik,MSK,
mache,MR,
So,S,
himpelt,HMPLT,
's,S,
màngmol,MNKML,
arg,ARK,
Mir,MR,
thien,TN,T
als,ALS,
selbst,SLPXT,
drab,TRP,
lache,LR,
Denn,TN,
's,S,
isch,AX,
halt,HLT,
keiner,KNR,KN
stark,XTRK,
Doch,TR,
wenn,VN,
mir,MR,
in,AN,
Acht,ART,
uns,ANS,
nàmme,NM,
Wird,VRT,
se,S,
besser,PSR,PS
bol,PL,
üsg'fiehrt,ASKFRT,
D',T,
B-moll,PML,
d',T,
Dièses,TSS,
