forme,key1,key2
Wahrhaft,VRHFT,
a,A,
wunderbari,VNTRPR,
Jagd,YKT,
wu,V,
mir,MR,
hit,HT,
ghalte,KLT,
han,HN,
in,AN,
Dina,TN,
Walder,VLTR,VLT
Rudolf,RTLF,
Un,AN,
rich,R,RX
di,T,
Jagdbeute,YKTPT,
A,A,
machtiger,MRTKR,MRTY
Bar,PR,
10,,
Hirsch,HRX,
nit,NT,
zu,TS,
reda,RT,
vo,F,V
da,T,
Reh,R,
un,AN,
allerlei,ALRL,
Roibwild,RPVLT,
noch,NR,
In,AN,
dr,TR,
Tat,TT,
Glick,KLK,
han,HN,
mir,MR,
gha,K,
Awer,AVR,AY
da,T,
Bar,PR,
Herr,HR,
Konrad,KNRT,
da,T,
han,HN,
Ihr,AR,
uf,AF,
’m,M,
Gwissa,KVS,
Dini,TN,
sicher,SXR,SX
Hand,HNT,
hat,HT,
na,N,
anagstreckt,ANKXTRKT,
Di,T,
Jagdmesser,YKTMSR,YKTMS
hat,HT,
na,N,
durchbohrt,TRXPRT,
Da,T,
verrisst,FRST,VRST
da,T,
arma,ARM,
Hirta,HRT,
ke,K,
Kalb,KLP,
mehr,MR,
Drum,TRM,
hab,HP,
ich,A,AX
na,N,
oi,A,
Dir,TR,
liewer,LFR,LV
Frind,FRNT,
uf,AF,
dr,TR,
Waga,VK,VY
packa,PK,
loh,L,
un,AN,
a,A,
paar,PR,
Hirsch,HRX,
drzüa,TRTS,
Ich,A,AX
dank,TNK,
Dir,TR,
Rudolf,RTLF,
Doch,TR,
s’,S,
Fell,FL,
das,TS,
loss,LS,
ich,A,AX
garwa,KRV,
um,AM,
’s,S,
Adelinde,ATLNT,
zu,TS,
verehra,FRR,VRR
Dim,TM,
liewa,LF,LV
Wib,VP,
Zahlreich,TSLR,TSLRX
isch,AX,
hit,HT,
d’,T,
Jagdgsellschaft,YKTKSLXFT,
gsih,KS,
Nur,NR,
einer,ANR,AN
hab,HP,
ich,A,AX
vermisst,FRMST,VRMST
die,T,
Brüe,PR,
dr,TR,
Hugo,HK,HY
Isch’r,AXR,
nit,NT,
iglada,AKLT,
gsih,KS,
Ar,AR,
isch,AX,
glada,KLT,
gsih,KS,
Awer,AVR,AY
—,,
ich,A,AX
weiss,VS,
nit,NT,
was,VS,
mit,MT,
mim,MM,
Brüeder,PRTR,PRT
isch,AX,
Sit,ST,
ich,A,AX
ghirota,KRT,
Din,TN,
isch,AX,
ar,AR,
ganz,KNS,KNTS
andersch,ANTRX,
Un,AN,
sit,ST,
ar,AR,
gar,KR,
üs,AS,
’m,M,
Faldzug,FLTTSK,
vo,F,V
Italia,ATL,
zruck,SRK,
isch,AX,
do,T,
isch,AX,
ar,AR,
erscht,ARXT,
racht,RRT,
fremd,FRMT,
wora,VR,
Sot,ST,
villicht,FLXT,VLXT
si,S,
Frend,FRNT,
do,T,
dra,TR,
schuld,XLT,
si,S,
wu,V,
ar,AR,
üs,AS,
Italia,ATL,
zruck,SRK,
brocht,PRRT,
hat,HT,
wu,V,
d’,T,
Stell,XTL,
vom,FM,VM
Schlossvogt,XLSFKT,XLSVKT
versieht,FRST,VRST
will,VL,
dr,TR,
alt,ALT,
a,A,
Dissel,TSL,
