forme,key1,key2
Mathis,MTHS,
geh,K,
ans,ANS,
Fenschter,FNXTR,FNXT
Mer,MR,M
sieht,ST,
jo,Y,
nuff,NF,
bis,PS,
ans,ANS,
Obertor,APRTR,AVRTR
Ich,A,AX
bin,PN,
so,S,
arig,ARK,AR
unrüeich,ANR,ANRX
Nix,NKS,
uffälligs,AFLKS,
D’,T,
Litt,LT,
gehn,KN,
üss,AS,
un,AN,
in,AN,
wie,V,
in,AN,
de,T,
beschte,PXT,
Friedenszitte,FRTNSTST,
Die,T,
Speckritter,XPKRTR,XPKRT
Revolutzer,RFLTSR,RVLTS
Patriote,PTRT,
Sans,SNS,
culotte,KLT,
un,AN,
Jakobiner,YKPNR,YKVN
wie,V,
se,S,
alli,AL,
heisse,HS,
müen,MN,M
doch,TR,
a,A,
mol,ML,
mied,MT,
wäre,VR,
vun,FN,VN
dem,TM,
unuffherliche,ANFHRLX,
Gemetzel,KMTSL,
Villicht,FLXT,VLXT
dämmert,TMRT,
in,AN,
dennä,TN,
doch,TR,
noch,NR,
e,A,
biss'l,PSL,
vun,FN,VN
de,T,
alt,ALT,
Wihnachtsherrlichkeit,VNRTXRLXKT,VNRTSHRLXKT
Wahrhaftig,VRHFTK,VRHFT
wenn,VN,
se,S,
nit,NT,
däne,TN,
Morje,MRY,
noch,NR,
ä,A,
armi,ARM,
rechtschaffeni,RXTXFN,
Frau,FR,
wo,V,
nur,NR,
e,A,
bess’l,PSL,
ewer,AFR,AV
de,T,
schlechte,XLXT,
Zitte,TST,
geklagt,KKLKT,
het,HT,
do,T,
d’,T,
Stross,XTRS,
nab,NP,
züe,TS,
d'r,TR,
Guillotine,KLTN,
g’schleppt,KXLPT,
hätte,HT,
als,ALS,
Feindin,FNTN,
vun,FN,VN
der,TR,T
Republique,RPPLKV,
mer,MR,M
könnt,KNT,
fascht,FXT,
sage,SK,SY
Es,AS,
isch,AX,
hitt,HT,
ken,KN,K
Révolution,RFLTN,RVLTN
Wieviel,VFL,VVL
Ühre,AR,
isch,AX,
’s,S,
Es,AS,
müess,MS,
glich,KL,KLX
3e,,
schlawe,XLV,XLY
Schun,XN,
Es,AS,
wird,VRT,
mer,MR,M
immer,AMR,AM
ängstliger,ANKXTLKR,ANKXTLY
züe,TS,
Müet,MT,
Sag,SK,S
Siehsch,SX,
nit,NT,
ä,A,
strammer,XTRMR,XTRM
Zemmermanns,TSMRMNS,
bursch,PRX,
met,MT,
Richtscheid,RXTXT,
un,AN,
Säj,S,
d’,T,
Stross,XTRS,
nabwandere,NPVNTR,
So,S,
lang,LNK,
isch’r,AXR,
noch,NR,
nie,N,
üssgebliwe,ASKPLF,ASKPLV
miner,MNR,MN
Florence,FLRNK,
Nai,N,
Oh,A,
Monsieur,MNSR,
berühige,PRHK,PRHY
n’,N,
eich,A,AX
D’,T,
Müeter,MTR,MT
Gottes,KTS,
isch,AX,
mit,MT,
'm,M,
Em,AM,
Herr,HR,
Abbé,AP,
bassiert,PSRT,
nix,NKS,
Un,AN,
doch,TR,
Ich,A,AX
kann,KN,
die,T,
Angscht,ANKXT,
nit,NT,
nider,NTR,NT
drucke,TRK,
Jung,YNK,
wie,V,
är,AR,
isch,AX,
ganz,KNS,KNTS
voller,FLR,VL
Ifer,AFR,AF
für,FR,
sine,SN,
heilig,HLK,HL
Berüef,PRF,
wie,V,
er,AR,A
in,AN,
so,S,
schwerer,XVRR,XVR
Zitt,TST,
üssiewe,ASF,ASV
müess,MS,
Ich,A,AX
hab,HP,
Angscht,ANKXT,
er,AR,A
dät,TT,
mol,ML,
ä,A,
Unvorsichtig,ANFRSXTK,ANVRSXT
keit,KT,
begehn,PKN,PYN
un,AN,
wurd,VRT,
no,N,
vun,FN,VN
däne,TN,
wietige,VTK,VTY
gottlose,KTLS,
Speckritter,XPKRTR,XPKRT
entdeckt,ANTTKT,ATTKT
Schun,XN,
meh,M,
ass,AS,
einmol,ANML,AML
isch,AX,
er,AR,A
in,AN,
de,T,
greschte,KRXT,
Gfahr,KFR,
gewänn,KFN,KVN
awer,AVR,AY
wie,V,
durch,TRX,
ä,A,
Wunder,VNTR,VNT
isch’r,AXR,
immer,AMR,AM
wider,VTR,VT
sine,SN,
Verfolger,FRFLKR,VRFLK
entgange,ANTKNK,ATKNK
Awer,AVR,AY
hit,HT,
het,HT,
er,AR,A
ä,A,
ganz,KNS,KNTS
g’fährlige,KFRLK,KFRLY
Versähgang,FRSKNK,VRSKNK
ze,TS,
mache,MR,
g'het,KT,
Er,AR,A
isch,AX,
züem,TSM,
totkranke,TTKRNK,
Dominika,TMNK,
nerjerry,NRYR,
drüsse,TRS,
uff,AF,
der,TR,T
Dominikanerferme,TMNKNRFRM,
gerüefe,KRF,
worre,VR,
Der,TR,T
wohnt,VNT,
bim,PM,
rote,RT,
Hannes,HNS,
bim,PM,
wietigschte,VTKXT,
Jakobiner,YKPNR,YKVN
üss,AS,
der,TR,T
ganze,KNTS,
Umgejet,AMKYT,
Wann,VN,
där,TR,
me,M,
rike,RK,
dät,TT,
dass,TS,
in,AN,
sim,SM,
Hüss,HS,
ä,A,
Prieschter,PRXTR,PRXT
hit,HT,
Nacht,NRT,
im,AM,
ä,A,
arme,ARM,
Kranke,KRNK,
der,TR,T
letschte,LTXT,
Troscht,TRXT,
reicht,RXT,
—,,
Oh,A,
mini,MN,
Angscht,ANKXT,
isch,AX,
hit,HT,
nur,NR,
züe,TS,
berechtigt,PRXTKT,
—,,
