forme,key1,key2
Das,TS,
isch,AX,
nit,NT,
schlacht,XLRT,
sing,SNK,
ich,A,AX
do,T,
s’,S,
schenschta,XNXT,
Maialied,MLT,
un,AN,
mr,MR,
han,HN,
doch,TR,
hit,HT,
erscht,ARXT,
dr,TR,
1.,,
Awril,AVRL,
S’,S,
isch,AX,
awer,AVR,AY
o,A,
so,S,
a,A,
prachtvoll,PRRTFL,PRRTVL
Watterla,VTRL,
do,T,
müeß,MS,
mr,MR,
jüchzge,YRSK,
un,AN,
singe,SNK,
eb,AP,
mr,MR,
will,VL,
oder,ATR,AT
nit,NT,
derbi,TRP,
han,HN,
i,A,
alli,AL,
Ursach,ARSR,
luschtig,LXTK,LXT
z’,S,
si,S,
denn,TN,
i,A,
erwart,ARVRT,
mini,MN,
fenf,FNF,FF
amies,AMS,
zum,TSM,
a,A,
Teekranzla,TKRNTSL,
Das,TS,
git,KT,
a,A,
fideler,FTLR,FTL
Mittag,MTK,MT
Wu,V,
si,S,
awer,AVR,AY
o,A,
nur,NR,
alli,AL,
stacka,XTK,
es,AS,
isch,AX,
jo,Y,
glich,KL,KLX
drei,TR,
un,AN,
se,S,
han,HN,
mr,MR,
versproche,FRXPRR,VRXPRR
fir,FR,
racht,RRT,
friahi,FRH,
z’,S,
ku,K,
Wenn,VN,
nur,NR,
d’,T,
Tante,TNT,TT
Florentine,FLRNTN,FLRTN
nit,NT,
so,S,
schlacht,XLRT,
glünt,KLNT,KLT
war,VR,
Das,TS,
wird,VRT,
noch,NR,
ebbs,APS,
absetze,APSTS,
Ja,Y,
wenn,VN,
i,A,
mini,MN,
Frindinna,FRNTN,
nit,NT,
schu,X,
alli,AL,
iglada,AKLT,
hat,HT,
vor,FR,VR
acht,ART,
Tag,TK,T
so,S,
war,VR,
üs,AS,
dam,TM,
Teekranzla,TKRNTSL,
nit,NT,
wora,VR,
Rißt,RST,
is,AS,
net,NT,
vorgescht,FRKXT,VRKXT
Knall,KNL,
un,AN,
Fall,FL,
unseri,ANSR,
Kecha,KX,
üs,AS,
Das,TS,
isch,AX,
d’,T,
zweite,TSVT,
g’si,KS,
sitter,STR,ST
Neijohr,NYR,
Hoffentlig,HFNTLK,HFTL
git,KT,
’s,S,
bol,PL,
Ersatz,ARSTS,
denn,TN,
die,T,
menus,MNS,
wu,V,
mini,MN,
chère,KR,XR
tante,TNT,TT
sitter,STR,ST
combiniert,KMPNRT,
het,HT,
brrr,PRR,
Aha,AH,
do,T,
kumme,KM,
se,S,
alla,AL,
mitnander,MTNNTR,MTNNT
Bonjour,PNYR,
Suzanne,STSN,
salut,SLT,
Suzi,STS,
bonjour,PNYR,
ma,M,
chère,KR,XR
etc.,ATK,
Bonjour,PNYR,
Kinder,KNTR,KNT
andlig,ANTLK,ANTL
isch,AX,
nit,NT,
ewig,AFK,AV
Ihr,AR,
lehn,LN,
lang,LNK,
uf,AF,
i,A,
warta,VRT,
Mr,MR,
han,HN,
anander,ANNTR,ANNT
rendez-vous,RNTSFS,RNTSVS
gah,K,
fir,FR,
unser,ANSR,ANS
Izug,ATSK,
mitnander,MTNNTR,MTNNT
z’,S,
fiera,FR,
und,ANT,
do,T,
hatt,HT,
’s,S,
halt,HLT,
a,A,
Will,VL,
ge,K,
dürt,TRT,
bis,PS,
alli,AL,
présentes,PRSNTS,PRSTS
g’si,KS,
sin,SN,
S’,S,
Juliette,YLT,
isch,AX,
natier,NTR,NT
lig,LK,L
weder,VTR,VT
s’,S,
letschta,LTXT,
gsi,KS,
wie,V,
immer,AMR,AM
As,AS,
meint,MNT,MT
es,AS,
isch,AX,
a,A,
Todsind,TTSNT,
wenn,VN,
as,AS,
uf,AF,
uns,ANS,
warte,VRT,
müeß,MS,
ich,A,AX
bin,PN,
ganz,KNS,KNTS
sicher,SXR,SX
as,AS,
kunt,KNT,KT
o,A,
a,A,
mol,ML,
z’,S,
spot,XPT,
fir,FR,
in,AN,
dr,TR,
Himmel,HML,
Han,HN,
nur,NR,
ke,K,
so,S,
groß,KRS,
Mül,ML,
so,S,
g’fahrlig,KFRLK,KFRL
isch,AX,
’s,S,
nit,NT,
un,AN,
iwerhäupt,AFRHPT,AVRHPT
in,AN,
dr,TR,
Bibel,PPL,PVL
steht,XTT,
’s,S,
jo,Y,
die,T,
letzten,LTSTN,LTST
werden,VRTN,VRT
die,T,
ersten,ARXTN,ARXT
sein,SN,
Das,TS,
isch,AX,
m,M,
i,A,
Troscht,TRXT,
hoffentlig,HFNTLK,HFTL
geht,KT,
's,S,
mir,MR,
o,A,
so,S,
Mr,MR,
han,HN,
z’,S,
erscht,ARXT,
diner,TNR,TN
tante,TNT,TT
bonjour,PNYR,
g’sait,KST,
awer,AVR,AY
se,S,
schient,XNT,XT
mr,MR,
nit,NT,
rosig,RSK,RS
glünt,KLNT,KLT
z’,S,
si,S,
Ja,Y,
ja,Y,
ich,A,AX
han,HN,
’s,S,
o,A,
gedankt,KTNKT,
O,A,
jeh,Y,
sinn,SN,
mr,MR,
nur,NR,
still,XTL,
ich,A,AX
han,HN,
schu,X,
ebbes,APS,
mitg’macht,MTKMRT,
mr,MR,
han,HN,
schu,X,
zwe,TSV,
Tag,TK,T
ke,K,
Kecha,KX,
me,M,
Ja,Y,
kat,KT,
denn,TN,
eira,AR,
femme,FM,
de,T,
chambre,KMPR,XMPR
nit,NT,
üshalfa,AXLF,ASHLF
Jo,Y,
die,T,
Gans,KNS,
s’,S,
hat,HT,
jo,Y,
ke,K,
Ahnung,ANNK,
vu,F,V
dr,TR,
Koch,KR,
kunscht,KNXT,
das,TS,
weiß,VS,
nit,NT,
amol,AML,
wenn,VN,
s’,S,
Wasser,VSR,VS
kocht,KRT,
Deßletscht,TSLTXT,
hat,HT,
se,S,
ebbs,APS,
gebache,KPR,KVR
no,N,
hat,HT,
se,S,
schint,XNT,XT
’s,S,
em,AM,
Kochbüech,KRPR,
glase,KLS,
