Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name
0,comedy,Tante DOMINO,F,,,,"
          
Tante.

          
G'wiss, Rosele... g'wiss, mi lieb Kind, schaü, Glöüwe
                        mir... schläuj Dir das Ding üs em Kopf mit Dim Herr
                        Alfred... De wirsch sàh, 's isch besser fir Dich... ich
                        ka jo üs Erfahrung rede!... lüeg, vo dàne Jungi alle
                        z'àmme isch nie Keiner kei Duwle werth gsi..
(fir sich)

                        ich wird's ebbe wisse!
                    

        
",0,lustig-dr-chineserfranz
1,comedy,ROSELE,F,,,,"
          
Rosele.

          
Awer dr Herr Alfred, Tante...

        
",0,lustig-dr-chineserfranz
2,comedy,Tante DOMINO,F,,,,"
          
Tante.

          
Dr Herr Alfred, lieb Kind, wird gradi si as wie
                        alle-n-andere... gang mr eweg mit de Mànner.. wenn Dü
                        wisse thàtsch, was me sich ufladet mit em hirothe!
                    

        
",1,lustig-dr-chineserfranz
3,comedy,ROSELE,F,,,,"
          
Rosele.

          
Awer e Zuckerbäck, Tante, ne Zuckerback wie dr Herr
                        Alfred einer isch!...
(fir sich)
 Das müess doch Guten
                        si, ne Zuckerback!...
(läuten)
 un 's isch e Guten Handwerk:
                        we me-n-als ebbes verfuchst, so ka me's jo selwer esse,
                        's geht nitt verloren!
                    

          

        
",1,lustig-dr-chineserfranz
4,comedy,Tante DOMINO,F,,,,"
          
Tante.

          
Ne Zuckerbäck, Rosele, isch vom ganz gliche Teig
                        gemachti, wie alle-n-andere!... Meinsch Dü, wil er Dich
                        als eso siessi alüegt?... So sin alle Zuckerbäck, bis
                        ass se-n-eim als hàn am Bàndel!... doch nochher, Rosele
                        sin's nit meh as Salzfàsser!... Schaü um Dich umme...
                        isch unsere Nachbar dert àne glückliche mit ihrem Mænner?
                        Sie hat o-n-eso ne Schnüfer gnu... jetz zieht er
                        d'halwe Zitt’t’ mit Andre-n-umme un losst si Fraü d'heim
                        sitze. Wie màngmol isch se mir kumme klaga, die Guten
                        Person!... Un die andere dert, die hat o so Jungi
                        g'hirothe... gang lüeg emol, was das fir e Hüshaltung
                        isch!... er thüet sich vol trinke-n-un macht alles
                        dure, diemol hat er sogar Prison bikumme vo wege Handel,
                        wo-n-er g'ha hat!... un weisch, was er g'sàit hat züe
                        sim Kamerad, wo-n-er isch geh si Zitt’t’ mache... « Ich
                        hinterloss Dir mi Fraü un mi Pfiffe, Hans... gib mr nur
                        Rechte Achdung züe dr Pfiffe »... Un derno, wie isch's
                        mir selbst nitt gange, Rosele...
                    

        
",2,lustig-dr-chineserfranz
5,comedy,ROSELE,F,,,,"
          
Rosele

          
(wunderfizi)

          
Wie isch's Dir gange, Tante, verzähl mr's emol?...

        
",2,lustig-dr-chineserfranz
6,comedy,Tante DOMINO,F,,,,"
          
Tante

          
(verlege)

          
Nit, nit!... Glöüwe mir, Rosele, hiroth Dü dr Herr
                        Gàlfink, unser Nachbar... das isch e Mænner vo me
                        g'wisse-n-alter un wo ne bitzi ebbes hat...
                    

        
",3,lustig-dr-chineserfranz
7,comedy,ROSELE,F,,,,"
          
Rosele.

          
Jo, eso ne-n-alter, Tante... dr Herr Alfred isch o kei
                        schlechten Parthie, un hat erst noch e richer Oncle,
                        wo-n-er emol erbt!
                    

        
",3,lustig-dr-chineserfranz
8,comedy,Tante DOMINO,F,,,,"
          
Tante.

          
Jo, so ne-n-alter Seeràiwer, wo schint's si Vermöge-n-in
                        Amerika gemachti hat!... gradi wege dem will er nitt, ass
                        si Neuveu Dich hirothet... mir sin em z' g'mein, wil
                        mir in dr Cité wohne...
(se zeigt üf 
Rosele)
 d'beste
                        Glättere wit un breit, wo bis am e Sunntig z'Mittag
                        z'schaffe hat, fir ihre Pratike-n-alle z'friede
                        z'stella!...
                    

        
",4,lustig-dr-chineserfranz
9,comedy,ROSELE,F,,,,"
          
Rosele.

          
Jo, 's isch wohrer, ich wird wieder g'ar nitt fertig
                        hit!... 's isch jetz bol Eins... ich müess jetz doch
                        mache, ass ich e Sach furttrage ka.
                    

        
",4,lustig-dr-chineserfranz
