Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name
0,comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER:

          
(hett e Zyttung in d'r Hand unn geht aufgeregter üf  unn ab)

          
Nein, diss iwerläw ich nitt ! Myn ganz Vermeje haw ich verloren! E ganzi Million isch füddi, wo ich in Aktien vun d'r « Australisch Auschterebank » g’steckt habb, unn jetzt isch diss ganz unternumme iwer Nacht verkracht ! Do steht’s im Blättel !

        
",0,jost-e-dienschtbott-wurd-gsuecht
1,comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER:

          
Unn do bisch numme dü dran Schuldige, Jean !

        
",1,jost-e-dienschtbott-wurd-gsuecht
2,comedy,Jean,M,valet,elementary_professions,lower_class,"
          
JEAN :

          
Na ja, ,patron..., ich will jo gern zuegänn, ass ich denne Morjen Ihri Café-Schissel verhejt habb, awer ...

        
",2,jost-e-dienschtbott-wurd-gsuecht
3,comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER:

          
Ach was, die meinenen ich nitt! Vun mir üss hättsch d'ganz G’schirrabteilung vum « Magmod » kapütt dengle kenne! Ich meinenen d’« Australisch Auschterebank»!

        
",3,jost-e-dienschtbott-wurd-gsuecht
4,comedy,Jean,M,valet,elementary_professions,lower_class,"
          
JEAN:

          
Ah! Isch s’e üss’m Lym gange? Unn ich soll Schuldige sinn ? Ich habb mich nitt druff g’setzt, Monsieur Meyer !

        
",4,jost-e-dienschtbott-wurd-gsuecht
5,comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER:

          
Babbel kein Mischt, Jean! Ass s'e schiewes isch gange, isch nitt dyni Schulde, awer ass ich myn ganz Gald nyng’steckt habb !

        
",5,jost-e-dienschtbott-wurd-gsuecht
6,comedy,Jean,M,valet,elementary_professions,lower_class,"
          
JEAN :

          
Jetzt wurd’s Daa! Ja‚, ,patron..., saawe emool: Sinn Sie d'r Herr odder ich? Kenne Sie nitt mache, was Sie welle ?

        
",6,jost-e-dienschtbott-wurd-gsuecht
7,comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER :

          
Doch, awer wo ich dich angaschiert habb, hesch dü mir versichert, ass dü dich üf alles verstehsch.

        
",7,jost-e-dienschtbott-wurd-gsuecht
8,comedy,Jean,M,valet,elementary_professions,lower_class,"
          
JEAN:

          
Sell isch wohrer, wenn sich's um ’s Kocha, buetze, Nähje unn so wyddersch handelt : ass ich awer au noch Ihre Finanzrat soll sinn, diss isch nitt im Kontrakt vor- g’sähn !

          
        
		
",8,jost-e-dienschtbott-wurd-gsuecht
9,comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER :

          
Egal, dü hesch mir awer geroote, ass ich’s riskeere kennt, myn Vermeje in dem unternumme anzeleije.

        
",9,jost-e-dienschtbott-wurd-gsuecht
10,comedy,Jean,M,valet,elementary_professions,lower_class,"
          
JEAN :

          
Unn ich dhät’s noch emool mache, Monsieur Meyer ! Ich bin in dem Dings Guten renseigniert ..... myner bescht Frinde hett jo e Liebschter, wo d’Schweschter vun d'r Butzfrau vum Gouverneur vun d'r Banque de France isch ! Non, non, ich loss mir ’s nitt üssredde ..... die Ba- brüehle sinn so secher wie Zuchthüssmüre !

        
",10,jost-e-dienschtbott-wurd-gsuecht
11,comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER :

          
Ich habb jo ’s Konträr devun schwarzer üf wyss ! Füddi isch füddi! Unn fur ass ich an die unglieckselig Affär gar nimm ze denke brüch, ze will ich mir die Aktie-Babierer do üss de Aue schaffe ! 
(Er langt e En- veloppe üss'm Sack, wo e paar Babierer drine sinn unn leijt s’e üf de Disch)
: Wo sinn denn Schwäwehelzle ..... ich will s’e verbrenne! 
(Er suecht im Zimmer nooch 's Schwäwehelzle)
. JEAN 
(nemmt g’schwind, unn ohne ass ’s d'r Meyer sieht, d'Babierer üss d'r Enveloppe, steckt s’e yn unn ersetzt s'e durich e Stick Zyttung, wo üf'm Disch lejt ; fur sich)
: Ich Glöüwe als noch nitt an denne Bankkrach unn waje dem will ich die Babierle do in Sicherheit bringe ..... nutzt’s nix, ze Schade’s nix !

        
",11,jost-e-dienschtbott-wurd-gsuecht
12,comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER:

          
Ah, do sinn jo Schwäwes! 
(Er zind eins an unn Verbrennt d’Enveloppe)
 : Diss isch, ma foi, e dyer’s Fyer- werik, wo mich e bari Million koschte dhuet! Ich Ar- mer !

        
",12,jost-e-dienschtbott-wurd-gsuecht
13,comedy,Jean,M,valet,elementary_professions,lower_class,"
          
JEAN :

          
Wenn diss numme kein Dummheiten isch, ,patron...!

        
",13,jost-e-dienschtbott-wurd-gsuecht
14,comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER:

          
Was, Dummheiten ? Was erlaubsch dü dir iwerhaupt, mich dumma zu häise! Dü kummseh mir iwerhaupt in letschter Zytt allewyll so fräch !

        
",14,jost-e-dienschtbott-wurd-gsuecht
15,comedy,Jean,M,valet,elementary_professions,lower_class,"
          
JEAN :

          
Uff jede Fal, ich hätt’s nitt gemachti.

        
",15,jost-e-dienschtbott-wurd-gsuecht
16,comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER:

          
Ich will eenfach nimmi an denne Fehlschlaa ge- mahnt wäre, unn waje dem kannsch au dü sofort dyne Ranze packe unn dich um e neje Platz umsähn, denn wenn ich nitt üf dich g’horicht hätt, ze wär ich hytt nitt am Bettelstab !

        
",16,jost-e-dienschtbott-wurd-gsuecht
17,comedy,Jean,M,valet,elementary_professions,lower_class,"
          
JEAN :

          
Was ? Unn waje dem welle Sie mich schasse ?

          
		  
        
",17,jost-e-dienschtbott-wurd-gsuecht
18,comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER :

          
Oh, nitt numme waje dem ! Dü bisch mir in letsch- ter Zytt au viel ze viel iwer de Kopf gewachse! Dü hesch gemachti, was de witt, unn ich habb d’Roll vum e Dienschtbott kenne spielen.

        
",18,jost-e-dienschtbott-wurd-gsuecht
19,comedy,Jean,M,valet,elementary_professions,lower_class,"
          
JEAN :

          
Wie wenn ich’s nitt allewyll Guten mit Ihnne gemeint hätt ! E Fröiij, ob Sie e bessere Noochfoljer fur mich be- kumme ? Sie sinn numme noch nitt im Rechte in d’Fin- ger g’falle !

        
",19,jost-e-dienschtbott-wurd-gsuecht
20,comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER:

          
Egal! Dü kannsch gehn ... ich habb schun e An- nonce in d’Zyttung gemachti unn warte alle Moment üf e nejer Dienschtbott.

        
",20,jost-e-dienschtbott-wurd-gsuecht
21,comedy,Jean,M,valet,elementary_professions,lower_class,"
          
JEAN :

          
Na, ze will ich nitt noch langer by Ihnne anhalte, unn ich wünsche, ass ’s Ihnne nie lid dhuet, mir de Laufbass gen ze hann !

        
",21,jost-e-dienschtbott-wurd-gsuecht
22,comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER :

          
Mir lid dhuen! Im Läwe nie! Unn jetzt ver- schwind ! 
(Kehrt'm de buckel anne.)

        
",22,jost-e-dienschtbott-wurd-gsuecht
23,comedy,Jean,M,valet,elementary_professions,lower_class,"
          
JEAN :

          
(fur sich)

          
Halt, ich habb e Guten Idee, denn ich habb myne Herr viel ze lieb, als dass ich’ne so eenfach uffgibb ! 
(Rächts ab)
.

        
",23,jost-e-dienschtbott-wurd-gsuecht
24,comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER :

          
Gott sej Danke, ass’r furt isch ! Diss wär doch gelacht, wenn’s kein bessere Ersatz fur’ne sott gen ! Denne will ich awer no dressiere ! Du reste, haw ich mir do e Photographie-Apperat angeschafft, fur myn däjlich’s Brot mit ze verdeene, denn nooch dem Millioneverluscht kann ich mir’s nimm läischte, mich üf d’füll Hütt ze leije. 
(Er stellt de Apperat by d'r Dier rächts üf unn macht sich dran ze schaffe.)
 Awer ich muess erscht noch e bis- sel Lehr unn stüdiere, wie die Photographiererej funk- tioniert, unn wenn ich’s no kann, ze geh ich nüss üf’s Landen unn photographier d’Büre unn ihre Vieh unn ihri Fraue.... do isch noch Gald mit ze verdeene ! 
(’s klopft.)
 Wer kummt denn jetzt ? Entrez!

          

        
",24,jost-e-dienschtbott-wurd-gsuecht
25,comedy,Emil,M,valet,elementary_professions,lower_class,"
          
EMIL :

          
(e groteski Figür)

          
Wohnt do d'r Monsieur Meyer ?

        
",25,jost-e-dienschtbott-wurd-gsuecht
26,comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER:

          
Ja‚; der bin ich sälwer !

        
",26,jost-e-dienschtbott-wurd-gsuecht
27,comedy,Emil,M,valet,elementary_professions,lower_class,"
          
EMIL :

          
(fur sich )

          
Na, dem will ich’s stecke! Myner Frinde, d’r Jean, hett mich g’schickt ! 
(Lütt)
: Ich kumme waje dere Annonce, wo in d'r Zyttung isch unn .....

        
",27,jost-e-dienschtbott-wurd-gsuecht
28,comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER:

          
Ah, Guten! Awer ein Moment... ich habb gradi myne Photographie-Apperat yng’stellt unn will gschwind e Prowe-Uffnahm mache, wyll d’Sunna im Mo- ment so günschti isch. stella Ejch do anne ! 
(Er stellt de Emil e paar Schritt vor’m Apperat üf.)

        
",28,jost-e-dienschtbott-wurd-gsuecht
29,comedy,Emil,M,valet,elementary_professions,lower_class,"
          
EMIL:

          
Hoffetlich gitt’s kein uffnemme fur ins Verbrecher- Album !

        
",29,jost-e-dienschtbott-wurd-gsuecht
30,comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER :

          
Unn jetzt lueje e bissel friendlicher dryn !

        
",30,jost-e-dienschtbott-wurd-gsuecht
31,comedy,Emil,M,valet,elementary_professions,lower_class,"
          
EMIL :

          
Ich kann mit’m beschte Wille nitt.

        
",31,jost-e-dienschtbott-wurd-gsuecht
32,comedy,Meyer,M,businessman,service_and_sales,lower_middle_class,"
          
MEYER:

          
Allewäj nitt! Denke an ebbs Guets !

        
",32,jost-e-dienschtbott-wurd-gsuecht
33,comedy,Emil,M,valet,elementary_professions,lower_class,"
          
EMIL :

          
Ich habb schun langer nix Guten’s meh g’hett mit Üss- nahm vum e saftige Styerzettel !

        
",33,jost-e-dienschtbott-wurd-gsuecht
