Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name
0,comedy,Jacques,M,valet,elementary_professions,lower_class,"
          
Jacques:

          
Jaja, Madamenenenenenenen. — 's isch Guten, Madamenenenenenenen! — 's wurd bsorjt, Madamenenenenenenen!

          
(zum Publikum):

          
Wenn unseri Madamenenenenenenen bekomm däet was ich ere Winsch, no müeßt se emol vor alle Dinge jede Daa e Kilo
          zünämme, bis se am e schen Daa v'rknelle däet wie e gebrooteni Bluetwurscht. Die Hawwergais, die
          Häriseel, die Linsespaltere und Pfennifuchsere, die — — die giftiger Krott, die miserawel! — Pardon! —
          Wenn ich mich v'rzürne wott, ze däet ich ere noch ebs ganz anderschs v'rzähle! Aw'r naan, ich will mir
          mini Ruehj reserviere. Nit daß ich mir wäeje Dere 's Läwe Sire mach! — 's falt m'r in! — So ebs daet
          ere jo basse! — Denn üf dies geht se üs, Daa fer Daa. kann ich ebs d'rfür, daß ich numme valet de
          chambre bin?! - kann sie ebs d'rfür, daß sie Madamenenenenenenen isch worre?! — Worum isch's nit umgekehrt?! — Worum
          ich sie nit valet de chambre und ich d'Madamenenenenenenen?!-

          
(Es klingelt.)

          
Aha! — Sie schellt wid'r emol e Düür, unseri Madamenenenenenenen ! — Die lebt jo nit ruewie, wenn se merkt, daß
          Unseraans emol e bissel schnüüfe köent.

          
(Es klingelt.)(wü-

        
",0,riff-s-paradies
1,comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"
          
Marie

          
(bedauernd):

          
Oh, dies schen Rösele. Gaischt noch so natt geblüejt, und hyt schun welk! — 
          
(seufzt tief auf.)
 — O ja, so isch's halte emol üf d'r Welt! — So geht's mit de Rose — so
          geht's mit de Maidl. M'r blüehjt — m'r wurd umschwärmt — m'r v'rwelkt — un wurd gemiede! 
          
(Starkes Geklirr hinter der Bühne.)

        
",1,riff-s-paradies
2,comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"
          
Marie

          
(erschreekt):

          
Uh! Do gitt's Schärwe?!

        
",2,riff-s-paradies
3,comedy,Jacques,M,valet,elementary_professions,lower_class,"
          
Jacques

          

          
(hinter der Scene):
 E Millonezunderschtzewwerst soll d'rzwische nin bängle, aans vun unde
          un aans vun owwe — wenn's will!!!

        
",3,riff-s-paradies
4,comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"
          
Marie

          
(lachende):

          
Aha, 'skracht in d'r Kiche, no wurd's au bal rauche! 
          
(Es klingelt.)

        
",4,riff-s-paradies
5,comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"
          
Marie

          
(lachende):

          
Hoppla! — Was hawich nit gsaat? — 's raucht schun! 
          
(Es klingelt.)

        
",5,riff-s-paradies
6,comedy,Jacques,M,valet,elementary_professions,lower_class,"
          
Jacques

          
(hinter der Scene.:

          
Jo riß d'Schell vun d'r Wand erab, alter Nißkraawe! 
          
(Kommt hastig von rechts.)

        
",6,riff-s-paradies
7,comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"
          
Marie

          
(lachende):

          
Oho, Jacques, so böes gelüünt?

        
",7,riff-s-paradies
8,comedy,Jacques,M,valet,elementary_professions,lower_class,"
          
Jacques

          
(Wüat):

          
Wenn ich nin kumme, ze riß ich ere diesmol d'Barriek vum Schäddel, daß se au emol weiß, was schelle
          heißt! 
          
(eilt ufgeregt nach links ab.)

        
",8,riff-s-paradies
9,comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"
          
Marie

          
(lachende):

          
's isch nit halwer eso schlimm. Wenn'r nin kummt, no isch wied'r d'Madamenen hinte un d'Madamenen vorne. —
          Ja‚, d'r Ja‚cques! — Hahaha! Er isch e Dschori! — E Gutenmuethiger Dschorit -E aanfältiger Dschori! — Er
          het's gradi wie die Hund, wie erscht's Härze han ze belle, wenn sie innewendi hinterem Guten v'rrejelte
          Hofdärel stehn! — Haha! — Mit so eme Mænner wär Guten lab. — So aaner dhät sich zehje loon, so wie m'r
          'ne gern hätt. — Alt genuej zum hyroothe wär 'r juschtemend, un ich glaab küm, daß ich's 'm abschlaawe
          dhäet! — Er het e paar Fränkle üf d'r SparkaB, ich hab min Gedüech un e Bettlad — brücht m'r sunscht
          noch vielerlei mehr fer de anfang? — Was noch fahlt, schafft m'r sich so v'rplämpelterwies an. — E
          Hauptbedingung isch numme: m'r mueß z'halb Zweit sin zem hyroothe, un — — — ım'r mueß enander welle. — 
          
(setzt sich auf die Bank.)
 — M'r mueß enander welle?! — 
          
(seufzt tief auf.)
 — Wie wenn ich de Ja‚cques nit wott?! — O Gott, o Gott, o Gott! 
          
(Ja‚cques tritt unbemerkt von links ein.)

        
",9,riff-s-paradies
