Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name
0,comedy,Frau Marx,F,,,,"
        
 Marx: 

        
(allei, an der Mitteltüre horchend. Mænner hört zankende Stimmen)

        
Bon, diß isch wid’r e Leitskrambol, was mueß jetz do schun wid’r los sin?! Natierli — ich hab m’r’s doch glich gedenkt. — S’isch mini Fräu, wie mit ihrer Schweschter, mit'm Tant’l, Händel hett. — 
(Seufzt)
 Wenn äner än Fräu hett, ze reichts als for gewöhnli gradi, wenn äner awer zwei um sich erum mueß han wie ich, brücht er nit ze säuje „Gott Stroof mi“, er isch g’Strooft genue ! — 
(In befserer Lünne)
 Jetzt, ’s Tantel diß erwe m’r emol oder au moins unsri King, un do kann m’r sich halte so e manches g’falle Ion. — ’s hett iwrigens Hitzig koscht bis m’r so witt gewahn sin, ich hab alli Ränk und schlich an muehn wende, um se vum Hierothe ab wendisch ze mache, Meh wi zeh Mol hawi se reujes gemachti, un wie, es isch als nit so leichte gewahn. — Jetz isch d’Partie Gott sej Danke Gewinne, sie isch iwwer'm alter drüsse, sie isch e-n-alti Schachtel, un vom Hierothe kann kenn Redd meh sin.

      
",0,stoskopf-e-diplomat
1,comedy,Frau Marx,F,,,,"
        
Frau Marx: 

        
(kommt hastig in die Stube gestürmt)

        
Siehsch, ich hab noch Allewil gsäit, sie macht noch emol e Dummheiten, s’ isch wäjer d’rwert, daß m’r sich so veel hett g’falle Ion um se !

      
",1,stoskopf-e-diplomat
2,comedy,Frau Marx,F,,,,"
        
Marx:

        
Ja‚, was Deifels isch denn do schun wid’r los?!

      
",2,stoskopf-e-diplomat
3,comedy,Frau Marx,F,,,,"
        
Frau Marx:

        
Was los isch?! — Diß Mensch isch verrückten, säuj i d'r, verrückten! — Hierothe wills! Hierothe !

      
",3,stoskopf-e-diplomat
4,comedy,Frau Marx,F,,,,"
        
Marx:

        
’s Tantel hierothe? — ’s Babette hierothe!

      
",4,stoskopf-e-diplomat
5,comedy,Frau Marx,F,,,,"
        
Frau Marx:

        
Ja‚, hierothe !

      
",5,stoskopf-e-diplomat
6,comedy,Frau Marx,F,,,,"
        
Marx:

        
Ich Glöüwe, dü bisch maschokke, do möcht i awer äu d'rbie sin !

      
",6,stoskopf-e-diplomat
7,comedy,Frau Marx,F,,,,"
        
Frau Marx:

        
Ja‚, ewe gradi im Läuf vun-ere Dischküssion hett se m’r's üf de Flade g’striche, un wie, Morjen hett se schun Verschriewung. Alles hett se diß Dür hinger ünserm Rücke gemachti, alles. Diß mol, hett se gsäit, macht se neemes meh röujies.

      
",7,stoskopf-e-diplomat
8,comedy,Frau Marx,F,,,,"
        
Marx:

        
Numme ruehig Bluet. — ’s Tantel hierothe?l Nee! — 
(schüttelt den Kopf und laachter)
 — loß mich numme mache, ’s wurd kenn Bruehj so heissa gesse wie se kocht wurd! —

      
",8,stoskopf-e-diplomat
9,comedy,Frau Marx,F,,,,"
        
Frau Marx:

        
Do isch neemes shuldi dran wie d’Ammej, die alt Stündlere, wie zue minere Schweschter Allewil sät, daß se-n-in kem chrischtliche Huus Iebt. Do hesch’s jetzt! — Marx 
(schüttelt wiederholt den Kopf und laachter)
! So g'schwind scheese d’Preiße nit.

      
",9,stoskopf-e-diplomat
