drama_type,speaker,sex,job,social_class,text,numTokens,numLexTokens,avgLexVal,lexRatio
unknown,Ne Pierrot,M,,,"Pierrot
(no-n-em Nachtesse im Restaurant)
's isch Zit glaüb, liewer Domino,
Ass mir ufbreche; meinsch nitt o?
D'Nacht thüet scho vor em Tag jetz wiche,
Drum will ich uf mi Bureau schliche...
(er lipft si Maske ne wenig)
Meinsch, ass mi G'sicht dr Idruck macht
Vo eim, wo g'süecht hat d'ganze Nacht,
Ne Irrung in de Biecher z'finde?
Denn das müess ich dr Fraü abinde,
's isch d'beste-n- Üsred, wo-n-ich kenn.
",84,10,0.0,0.11904761904761904
unknown,Ne Pierrot,M,,,"Pierrot.
He, leider jo!... wenn ich sag « leider »,
So isch's nitt wege-n-em Verleider;
Mi Fraü isch still un brav un güet,
Ich bi nur màngmol iwel z'Müeth,
Wil mich d'Üsrede thien verdriesse,
Wo-n-ich müess gà, fir d'Freiheit z'g'niesse...
Doch, 's isch jetz Zit... mr wànn jetz geh...
Vergiss nitt uf em Kanepee
Di Nastüech dert...
",66,12,0.16759620842725645,0.18181818181818182
unknown,ne Domino,M,,,"Domino
(nimmt's un untersüecht's)
Das isch nitt mi!
Das kenn ich nitt, was kunnt Dir i?
(er zieht ihres üs em Büese)
Do isch mi's, schaü, 's isch licht z'erkenne,
Ne Herz isch druf g'stickt, wo thüet brenne,
Denn vo mim Mann isch's halt e G'schenk.
Fir ass ich immer an en denk...
",62,6,0.0,0.0967741935483871
unknown,Ne Pierrot,M,,,"Pierrot.
So hat's halt ebber schint's vergesse,
Wo vor uns zwei do z'Nacht hat g'gesse...
(er b'schaüt's g'naüer un springt uf)
Isch's mögli!... nei!... un doch isch's so!
Ich kenn's... un do isch's zeichent jo!
(er laüft im Zimmer umme wie verruckt)
",54,4,0.1325,0.07407407407407407
unknown,ne Domino,M,,,"Domino.
Was isch? was hasch? worum thüesch's v'risse
Un thüesch eso uf d'Stockzähn bisse?...
De wirsch wahrhaft ganz roth un blaü -
Me meint, 's g'hört Diner eig'ne Fraü!
",31,4,0.0,0.12903225806451613
unknown,Ne Pierrot,M,,,"Pierrot
(rasend)
Dü hasch's errothe!...
",8,1,0.6794540069562902,0.125
unknown,ne Domino,M,,,"Domino
(spöttisch)
Was, dàr güete,
Dàr brave Fràü thüesch Dü's züemüethe!
Das g'fallt mr!... ich müess lache drab!
(er lacht wie nittg'scheidt)
Zeig, zieh Di Larve doch jetz ab...
De wirsch jo gläub jetz wiss wie Kride...
's G'sicht mächt ich sàh, wo D'jetz thüesch schnide.
Das wàr fir mich e wahrer G'nuss!
Doch still!... hör ich nitt rede duss!
Herrje, die Stimm!... 's thüet mir grad schine...
Ganz g'wiss, mi Mann will jetz do ine!
Jetz stand i schön! was mache g'schwind?
Un er, wo g'sàit hat, bim e Frind,
Wo g'storwe-n-isch, gieng er geh wache!...
Das sin jetz wieder schöne Sache!
Kei Wort... hasch g'hört... red' mich nitt a,
Nitt. ass er mich erkenne ka!...
",125,17,0.025882352941176457,0.136
unknown,ne Mehlgeist,M,,,"Mehlgeist
(knnnt ine)
Verzeihe Se, wenn ich thüe störe,
Ich ha nur miesse z'ruck halt kehre,
Fir ku ne Nastüech z'hole do,
Wo mir vorher hàn lige lo...
",32,6,0.09367691252775946,0.1875
unknown,Ne Pierrot,M,,,"Pierrot
(git im Domino si's mit em Herz)
Do isch's...
",14,1,0.0,0.07142857142857142
unknown,ne Mehlgeist,M,,,"Mehlgeist
(nimmt's un salütiert)
Ich dank... Sie excüsiere -
(er b'schaüt's g'naüer)
Hein!... was!... thüe-n-ich mich nitt trumpiere!
Was soll das heisse!...
",30,3,0.14429743895308608,0.1
unknown,group,sex_unknown,job_unknown,social_class_unknown,"Pierrot.
Ass mir Zwe
Kei b'sundre Larve brüche meh!...
Anstatt als so ne Ding az'hànke,
Thien mir an d'Fasenacht z'ruck denke!
",23,2,0.0,0.08695652173913043
