,Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
0,0,tale,Dr Grossbabbe,MALE,,,,"
          
Grossbabbe:

          

          
(zehlt wenn dr „Kückück“ rueft)
 Äins, zwäi, drey, vier, fünef, sechs! Schun sechs — Jetz
          isch’s ganz finschter drüsse un der käiwe Xaverel isch noch nitt do. Wie der widder erumspangelt, wann
          ne numme dr Hanstrapp verwitsche dät.

        
",0,clemens-chrischtowe,44,3,0.0681818181818181,,,,,,,,,,,
1,1,tale,Schorschel,MALE,,,,"
          
Schorschel:

          
Grossbabbe, ich bin glich erin wie’s finschter isch worre. Ich hab Angscht dr Hanstrapp kummt.

        
",1,clemens-chrischtowe,17,3,0.1764705882352941,,,,,,,,,,,
2,4,tale,Marikel,FEMALE,,,,"
          
Marikel:

          
Dü wäisch ass d’Hütt füer de Grossbabbe isch.

        
",4,clemens-chrischtowe,10,1,0.1,,,,,,,,,,,
3,5,tale,Dr Grossbabbe,MALE,,,,"
          
Grossbabbe:

          
Gib’s em numme wann-r se garn hett — Awer der Bohnekaffe schmeckt so guet, diss esch doch kenn
          Ersatz meh, diss schmeckt ganz andersch ass wie der Wiedegrund.

        
",5,clemens-chrischtowe,30,4,0.1333333333333333,,,,,,,,,,,
4,6,tale,Marikel,FEMALE,,,,"
          
Marikel:

          

          
(fuehrt de Grossbabbe an de Disch)
 Ich hab ne bekumme vun dr Madam Lefèvre, sie hett mr
          äu schöens Wissmahl gann. Ich hab e natt’s Küechel gebache. 
          
(Alli drey drinke Kaffe — s’Marikel schnied Brot)

        
",6,clemens-chrischtowe,42,6,0.1428571428571428,0.01716666666666666,0.10261666666666666,0.4086503187672802,0.07423333333333329,0.5610295168462084,0.14788652891843504,0.1573691770958281,0.08195873175638402,0.0086,0.3111320663173923,0.675633445994702
5,8,tale,Marikel,FEMALE,,,,"
          
Marikel:

          
Näin, näin Buwele — der isch fuer morje. Wäisch morje-n-isch Wihnachte un do hett uns d’Mamme als äu
          Kueche gebache.

        
",8,clemens-chrischtowe,24,4,0.1666666666666666,0.01716666666666666,0.17661227556684705,0.4194404276092042,0.0466333333333333,0.5570274695644554,0.10721986225176838,0.1869515793676122,0.04881269921152534,0.0086,0.300948732984059,0.6988285104743102
6,9,tale,Schorschel,MALE,,,,"
          
Schorschel:

          
Mäinsch kummt hitt Owe äu s’Chrischtkindel zue uns ? Ich hab alle Nacht gebatt ass-es mir ebs
          Schöens bringe soll.

        
",9,clemens-chrischtowe,21,1,0.0476190476190476,0.01716666666666666,0.14121227556684707,0.3617102537472639,0.01903333333333332,0.5921555629592085,0.01613333333333332,0.2747515793676122,0.014866666666666662,0.0086,0.25561539965072566,0.7637687699615968
7,10,tale,Dr Grossbabbe,MALE,,,,"
          
Grossbabbe:

          
Na, wenn dü brav gebatt hesch no bringt’s dir äu ebs Natt’s — Was wottsch am Liebschte vum
          Chrischtkindel ?

        
",10,clemens-chrischtowe,22,5,0.2272727272727272,0.01716666666666666,0.16245227556684705,0.38136777132368793,0.01903333333333332,0.599896394914372,0.01613333333333332,0.3665515793676122,0.014866666666666662,0.0086,0.19465539965072567,0.7602370221328032
8,11,tale,Schorschel,MALE,,,,"
          
Schorschel:

          
Am liebschte wott ich, ass d’Mamme widder kumme dätt — un no e Farwelad — un no sott dr Babbe kumme.
          Wann’s numme boll kumme duet — ich hab kenn Angscht vor-em Hanstrapp. 
          
(Mr höert drüsse boldere)
 U — Marikel! 
          
(versteckelt sich hinterem Marikel)

        
",11,clemens-chrischtowe,51,8,0.1568627450980392,0.01716666666666666,0.22375227556684701,0.3874914204395744,0.01903333333333332,0.5730230696674719,0.045990781677746465,0.2924407356051174,0.015266666666666661,0.021875,0.20675539965072565,0.7030919620137012
9,12,tale,Xaverel,MALE,,,,"
          
Xaverel:

          

          
(höert mr drüsse brüele)
 Kumm numme einer häre wann-r z’Harz hett! 
          
(Kummt erin)
 Denne hawi de Äpfel gedroffe, im Langhalseschüll haw i äini uf d’Nas
          gebämmert un em Stumpevälte haw i e blöj Gückel ghäue, der isch gezäicht uf d’Wihnachte.

        
",12,clemens-chrischtowe,48,7,0.1458333333333333,0.04025714285714286,0.20667132318589468,0.41804907446302264,0.0,0.5724220139401458,0.02985744834441314,0.3249021083318512,0.0012000000000000001,0.013275,0.15628999999999998,0.6914233319488405
