drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,avgLexVal,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Fraü SIMON,F,,,,"
          
Fraü Simon

          
(rümt 's Atelier uf un staibt ab)

          
Se mage mr sage was Se wànn, Herr Helder, dr Herr Fix,
                        unser Nochber dert àne, isch e-n-alter Giftsack, ich
                        glaüb allewil, ass es e-n-alter Verbrecher isch, wo ne
                        Last Mordthate-n-uf em G'wisse hat... uf jede fall
                        isch's nit rar's, denn er git eim nitt emol e Centime
                        Trinkgeld am Neüjohr...
                    

        
",0,lustig-d-milhuser-in-paris,70,14,0.0108571428571428,0.2,,,,,,,,,,,
comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Herr Helder

          
(rischtet si Chevalet, sine Farwe-n-un sine Pàmsel
                        un lüegt als wieder züem Fenster üse)
                    

          
Allons, allons, Fraü Simon...

        
",0,lustig-d-milhuser-in-paris,24,1,0.076,0.0416666666666666,,,,,,,,,,,
comedy,Fraü SIMON,F,,,,"
          
Fraü Simon

          
(unterbricht ne)

          
's isch, wie-n-ich Ihne sag!... Erstens isch er scho
                        zwölf Johr nitt züer Thüre-n-üse gange, er verlosst so
                        wenig 's Hüs as e Schnàck si Schaale... zwölf Johr...
                        was halte Se dervo?...
                    

        
",0,lustig-d-milhuser-in-paris,42,3,0.2584940667483117,0.0714285714285714,,,,,,,,,,,
comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Herr Helder.

          
Er blibt halt liewer d'heim, dà Mann...

        
",1,lustig-d-milhuser-in-paris,10,4,0.1322499999999999,0.4,,,,,,,,,,,
comedy,Fraü SIMON,F,,,,"
          
Fraü Simon.

          
Er weisst wohl worum... er hat Angst, er wird pàckelt,
                        das isch d'ganze G'schichte...
                    

          

        
",1,lustig-d-milhuser-in-paris,17,3,0.0,0.1764705882352941,0.09552024192109088,0.11140954733116955,0.43644330718067464,0.0882833333333333,0.5498665171059497,0.09482700510891125,0.1954450358428945,0.0020142857142857002,0.05934761904761902,0.12909582299795516,0.5701599440077499
comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Herr Helder.

          
Un si Tochter... weisst Se nit iwer si Tochter z'sage,
                        Fraü Simon?...
                    

        
",1,lustig-d-milhuser-in-paris,15,3,0.0253333333333333,0.2,0.09841548001632898,0.09044191730840025,0.44118941594129424,0.09231666666666663,0.5350998500616662,0.09506986225176839,0.23660883880160224,0.0,0.05053333333333332,0.07281184223745378,0.5962887314529579
comedy,Fraü SIMON,F,,,,"
          
Fraü Simon.

          
D'Jumpfer Elise... wo allewil am Fenster steht un do
                        iwere lüegt?... Die isch ganz anderscht, 's isch
                        wohr... Se geht un kunnt, laüft in d'Halle, macht
                        d'Kuche, flickt in ihrem Vater sine Kleider, wo-n-er
                        scho tràit siter anno Düwack... er brücht o keine neüe,
                        fir sich z'verstecke!... Wie-n-er hört geh im Hof, so
                        laüft er ine wie nitt g'scheidt... we me lütet an dr
                        Thüre, so zittert er an alle Glieder un losst eim e
                        Stund warte, bis er ufmacht... ich will Se jetz emol
                        g'frogt ha, eb sich e-n-ehrliger Christemensch eso
                        uffiehrt?...
                    

        
",2,lustig-d-milhuser-in-paris,105,11,0.051,0.1047619047619047,0.09341548001632898,0.11526788900777207,0.45449285972038184,0.054716666666666636,0.5355200916758143,0.080506225888132,0.25655429334705676,0.0,0.0586242424242424,0.16046638769199922,0.6105082620199145
comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Herr Helder.

          
Sie sieht iwerall nur 's Böse, Fraü Simon; si Tochter
                        isch desto ordliger...
                    

        
",2,lustig-d-milhuser-in-paris,15,3,0.2275556938462122,0.2,0.08722780543590908,0.11526788900777207,0.475835757916191,0.08815903335748833,0.546437185116679,0.125911560198741,0.2557542933470568,0.0355458087598769,0.022690909090909074,0.16046638769199922,0.6289272050785487
comedy,Fraü SIMON,F,,,,"
          
Fraü Simon.

          
D'Jumpfere isch e g'schickte Person, das müess me
                        g'steh... flink un g'mutzt un fröhlig wie ne Vögele, wo
                        singt vo Morge bis Nacht... Un mit allem dem verdient
                        se noch ihre zwei Franke 's Tags mit Blüememache, den
                        ihr Vater hat nur 600 Franke Pension, er isch Employé
                        gsi un hat jetz si Retraite... ohne si Tochter wisst i
                        nitt, wie-n-ers mache thàt... drum ka-n-ich awer o nitt
                        begriffe...
                    

        
",2,lustig-d-milhuser-in-paris,76,6,0.0,0.0789473684210526,0.06077780543590909,0.10365784133276527,0.46808535855894623,0.06470903335748832,0.5525505553180237,0.11886156019874099,0.2103121212121212,0.0355458087598769,0.022690909090909074,0.20616635762774801,0.6451227736446816
comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Herr Helder.

          
Ass ich ihre derf dr Hof mache... nitt wohr, Fraü
                        Simon?... isch sie's ebbe nitt werth?
                    

        
",3,lustig-d-milhuser-in-paris,19,3,0.0253333333333333,0.1578947368421052,0.06584447210257575,0.08645784133276527,0.4550470790055736,0.07724236669082164,0.5744240539416541,0.07784169794697257,0.19444545454545453,0.0355458087598769,0.008090909090909076,0.2514545454545455,0.6518157802181728
comedy,Fraü SIMON,F,,,,"
          
Fraü Simon.

          
Oh doch!... se isch brav, rechtschaffe un hat nitt dr
                        g'ringste Fehler... Wenn se uf dr Gasse isch, nitt
                        wohr, so kännt se schlirge, ummesteh un sich lo
                        agaffe... 
doch nei, wie ihre Provisione g'macht sin
                        oder ihre Arwet furt tràit isch, so laüft se im Galopp
                        wieder heim un süecht uf alle-n-Arte ihre alte Sünder
                        vo Vater z'amüsiere, wo nur derno als glicklig isch...
                        awer denn glicklig!... wie wenn er nitt wisst, wie viel
                        Verbreche-n-er uf em Mage hat liege... gàn Sie nur
                        Acht, Herr Helder, dà Mann g'fallt mr nur halwer!...
                    

        
",3,lustig-d-milhuser-in-paris,100,17,0.0495379771657709,0.17,0.07068540086906328,0.09472842956805937,0.46473495287774397,0.08231211018351128,0.592511782136641,0.08736797138470768,0.1851591800356506,0.05488585774700564,0.011951659948137695,0.29300748663101606,0.6370938146076557
comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Herr Helder.

          
's isch wohr, 's isch e possiger Held... awer wege
                        dem...
                    

        
",3,lustig-d-milhuser-in-paris,13,3,0.0253333333333333,0.2307692307692307,0.06555206753572994,0.1032357912020209,0.4781793018728829,0.09484544351684461,0.6169602671060191,0.08313160774834405,0.22454705882352943,0.05488585774700564,0.026794084190561934,0.3094862745098039,0.6632834321751442
comedy,Fraü SIMON,F,,,,"
          
Fraü Simon.

          
Ne Bàr isch's, wenn ich Ihne sag!... e fremd Gsicht git
                        em Nervenattacke... 's isch kei Exempel do, ass er emol
                        mit eme andere Mensch g'redt hat, ass mi siner Tochter
                        un mit mir... un fir ne üs siner Höhle üse z'bringe,
                        miesst me ne glaüb eher in hundert Sticker schnide.
                    

        
",4,lustig-d-milhuser-in-paris,55,5,0.2092,0.0909090909090909,0.0618809287664875,0.12038515526577495,0.4669691366219116,0.056749743492689575,0.6274848030311445,0.08580627343773507,0.22891507720581444,0.03622004898712874,0.026794084190561934,0.3590582315480929,0.6869064764711921
comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Herr Helder.

          
's schint doch nitt, Fraü Simon, wil er selbst diemol do
                        iwere ku isch züe mr, fir mi iz'lade. Ich bi awer o
                        nitt iwer verwundert gsi!... Herr Helder, hat er
                        g'sàit, ich heiss Fix und wohn dert àne, un kumm als
                        Nochber Ihne ku ne kleine Visite mache... awer alles
                        das hat er g'sàit, wie we me-n-ihm e jeder Wort hätt
                        miesse üse ziege mit eme Büchonzieger.
                    

        
",4,lustig-d-milhuser-in-paris,72,11,0.1301818181818181,0.1527777777777778,0.08791729240285111,0.1604502553293512,0.4765475031978209,0.0635861071290532,0.6086132678155454,0.10200627343773508,0.21922719841793564,0.03622004898712874,0.026794084190561934,0.29123398912385046,0.6474367019916631
comedy,Fraü SIMON,F,,,,"
          
Fraü Simon.

          
's isch d'Angst!... er hat ebbes ag'stellt, dà Mann.

        
",4,lustig-d-milhuser-in-paris,12,2,0.0,0.1666666666666666,0.08285062573618444,0.1698169219960179,0.5131452064702323,0.05105277379571989,0.5826211131224537,0.16823606681538766,0.21616053175126898,0.03622004898712874,0.026794084190561934,0.20476732245718376,0.6046251845279663
comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Herr Helder.

          
Ich ha gar nitt g'funde, ass er im e-n-alte Missethàter
                        z'glich sieht... 's isch e schicher, stiller Mann, wo
                        awer allewil wie uf Dörn' isch... d'ganze Zit isch er
                        unrüehig un lost, ich ha alle Aügesblick g'meint, er
                        will dervo laüfe.... 's isch eher gsi as thàt er in ere
                        unsichtbare Macht folge as in sim eigene Wille, fir si
                        Visite z'mache.
                    

          

        
",5,lustig-d-milhuser-in-paris,69,11,0.0579090909090909,0.1594202898550724,0.08452484848484845,0.1815826973970874,0.5035985983515612,0.03686787878787872,0.582128836908742,0.1629461570140162,0.18560438201864865,0.01688,0.022933333333333313,0.19715983582616775,0.5945169661282668
comedy,Fraü SIMON,F,,,,"
          
Fraü Simon.

          
Parbleu! 's isch si Töchterle gsi, wo-n-en g'schickt
                        hat... er ka-n-ihre nitt versage.
                    

        
",5,lustig-d-milhuser-in-paris,19,1,0.0,0.0526315789473684,0.07945818181818179,0.14824936406375405,0.5255973640030268,0.024334545454545397,0.6005909810748058,0.15354615701401622,0.1262710486853153,0.01688,0.0,0.23202650249283438,0.6001282098600063
comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Herr Helder.

          
Meint Se, Fraü Simon?... Sie ka denke, wie-n-ich ne güet
                        empfange ha... dr Vater vo miner blonde Erschinung,
                        wo-n-ich bis derthi als nur vo witem am Fenster g'sàh
                        ha durewitsche!... ass ich ne nitt g'schmutzt ha, isch
                        alles, wo-n-er mich ig'lade hat, ku dr Owe mit ihm un
                        siner Tochter z'passiere!...
                    

        
",5,lustig-d-milhuser-in-paris,60,7,0.0108571428571428,0.1166666666666666,0.03978961038961036,0.1675,0.5224023963162844,0.01562597402597398,0.6116755718741322,0.10949472844258765,0.12862827435778917,0.0,0.007371428571428554,0.21996883116883112,0.6134525716590866
comedy,Fraü SIMON,F,,,,"
          
Fraü Simon.

          
Sie mien g'wiss lieb si, Herr Helder, ass es bis züe dem
                        ku isch!...
                    

        
",6,lustig-d-milhuser-in-paris,16,3,0.0253333333333333,0.1875,0.0188199134199134,0.194469696969697,0.5173458173650005,0.02132294372294368,0.6292418225824038,0.10269472844258762,0.17734948647900128,0.0,0.007371428571428554,0.2104597402597402,0.6443706899390349
comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Herr Helder.

          
Was fir e herrliger Owe ha-n-ich züebrocht dert!... mr
                        hàn Cidre un Marone g'ha awer ich ha mich mit ebbes
                        ganz anders regaliert... O! was fir e herzig Kind, das
                        Lisele, wie-n-em si Vater sàit!... ich ha mich als in
                        dr Arm pfàtzt, fir sicher z'si, ass ich nitt schlof...
                        fir sicher z'si, ass ich wirklig si Stimm hör un si
                        frindlig G'sichtle sieh, wo als ganz roth worde-n-isch,
                        wenn ich's ag'lüegt ha... noch nie bin ich so g'licklig
                        gsi!... Dr Herr Fix hat siwezeh Parthie Ecartés g'wunne
                        sàller Owe, ohne ass ich's nur g'merkt ha.. ich glaüb,
                        wenn dr Blitz in dr Tisch g'schla hätt, so hätt's mr
                        kei Effect g'macht!...
                    

        
",6,lustig-d-milhuser-in-paris,125,19,0.1360526315789474,0.152,0.04603043973570288,0.15138795067068486,0.4929593149803243,0.025280838459785782,0.6477696338007968,0.06307546138072448,0.1702219370872716,0.0059157894736842,0.017422400882412876,0.2542734131645531,0.6773998911804147
comedy,Fraü SIMON,F,,,,"
          
Fraü Simon.

          
Do glaüw-i scho, ass Se nitt g'sàh hàn, wie-n-er allewil
                        unrüehig isch... wie-n-er bim g'ringste Làrme z'àmme
                        fahrt un bleich wird, wenn er d'Hüsthüre hört geh, oder
                        ebber d'Stege-n-ufe kunnt.
                    

        
",6,lustig-d-milhuser-in-paris,41,2,0.0,0.048780487804878,0.0344486215538847,0.13135158703432123,0.5046172309909152,0.02186265664160398,0.6081866566925102,0.04943909774436087,0.13713102799636254,0.0646157894736842,0.017422400882412876,0.2820279586190986,0.6301374920017022
