"Unnamed..0","drama_type","speaker","sex","job","job_category","social_class","text","progress","short_name","numTokens","numLexTokens","lexRatio","anger","anticipation","arousal","disgust","dominance","fear","joy","sadness","surprise","trust","valence"
0,"comedy","Marie","F","cook","service_and_sales","","
          
Marie

          
(rechts bi dr Thüre vom zweite Plan rieft üse)

          
Mache-n-ass Ihr jetz emol furt kämme, Schlüch!...

          
Gott, wie thüet mich dà Mensch efange-n-agaciere!...

          
Güet, jetz thüet er si schwarze Nase noch in mi hintere
                        Kochhafe stosse... höre-n-Ihr denn nitt, ass dr Herr
                        dert in sim Zimmer isch un sich alegt... fahre-n-ab
                        jetz, nitt ass er I hit scho wieder do atrifft, er ka
                        wohl denke, ass mi Kàmi nitt alle Tag z'putze-n-isch...

        
",0,"lustig-d-singstund",86,9,0.104651162790698,-0.174122662520336,0.389872845921676,-0.686583183749898,0.856734351533128,0.198981261119705,-0.131945762533023,-0.733390718000861,-1,0.608536569835696,-0.361141305924847,-0.0298267466690363
1,"comedy","Herr TANNEZAPFE","M","","","","
          
Herr Tannezapfe

          
(voruse, links)

          
Marie!...

        
",0,"lustig-d-singstund",7,1,0.142857142857143,-0.174122662520336,0.389872845921676,-0.686583183749898,0.856734351533128,0.198981261119705,-0.131945762533023,-0.733390718000861,-1,0.608536569835696,-0.361141305924847,-0.0298267466690363
2,"comedy","Marie","F","cook","service_and_sales","","
          
Marie.

          
Höre-n'-r!... dr Herr, wo mr rieft...
(antwortet)

          
Was b'liebt, Herr?

        
",0,"lustig-d-singstund",15,2,0.133333333333333,-0.174122662520336,0.389872845921676,-0.686583183749898,0.856734351533128,0.198981261119705,-0.131945762533023,-0.733390718000861,-1,0.608536569835696,-0.361141305924847,-0.0298267466690363
3,"comedy","Herr TANNEZAPFE","M","","","","
          
Herr Tannezapfe

          
(voruse)

          
Wo hasch mine Hosetràger ane tho?

        
",1,"lustig-d-singstund",11,2,0.181818181818182,-0.174122662520336,0.389872845921676,-0.686583183749898,0.856734351533128,0.198981261119705,-0.131945762533023,-0.733390718000861,-1,0.608536569835696,-0.361141305924847,-0.0298267466690363
4,"comedy","Marie","F","cook","service_and_sales","","
          
Marie.

          
Ihre Hosetràger, Herr...
(fir sich)
 sine Hosetràger wo
                        känne jetz sine Hosetràger si?
(lüt)
 Aha, se sin 
in dr
                        Zuckerbichse, Herr...
(wàhrend ass se antwortet' links,
                        kunnt dr Schlüch ine, rechts, zweiter Plan, un hat in
                        jeder Hand e Kochläffel un schlàckt se-n-ab)
 So! jetz
                        versüecht er noch mine Sauce... Wenn dr Herr Tannezapfe
                        das thàt sàh...

        
",1,"lustig-d-singstund",66,7,0.106060606060606,-0.185620540213133,0.363790402717945,-0.68669711468829,0.844442969324919,0.217502662781296,-0.143891594391937,-0.725140000017906,-0.960211194690621,0.586159526934716,-0.352443784960001,-0.014380346311996
5,"comedy","Herr SCHLÜCH","M","","","","
          
Schlüch.

          
Eüer Herr, Marie, Eüer Herr Tannebibele.

        
",1,"lustig-d-singstund",7,2,0.285714285714286,-0.185620540213133,0.363790402717945,-0.68669711468829,0.844442969324919,0.217502662781296,-0.143891594391937,-0.725140000017906,-0.960211194690621,0.586159526934716,-0.352443784960001,-0.014380346311996
7,"comedy","Herr SCHLÜCH","M","","","","
          
Schlüch.

          
Eüer Zapfe, das isch mir doch eithüen, wo-n-Ihr alles
                        mit em mache, was Ihr wànn... er hat jo ne kurz
                        G'sicht, Ihr sage-n-em, ich sei's Wiehnàchtskindle,
                        wenn er kunnt, awer er isch jo erst an de Hosetràger, i
                        ha dr Zit... nur noch e Wort, Marie...

        
",2,"lustig-d-singstund",52,3,0.0576923076923077,-0.185620540213133,0.363790402717945,-0.68669711468829,0.844442969324919,0.217502662781296,-0.143891594391937,-0.725140000017906,-0.960211194690621,0.586159526934716,-0.352443784960001,-0.014380346311996
9,"comedy","Herr SCHLÜCH","M","","","","
          
Schlüch.

          
Grad ha-n-i d'Kuche ne wenig g'mustert, als Kàmifeger
                        ha-n-i 's Fir untersüecht... awer als Mensch wott i
                        gern wisse, was dert hinte ne so güet's druf brotet?...

        
",3,"lustig-d-singstund",34,4,0.117647058823529,-0.185620540213133,0.363790402717945,-0.68669711468829,0.844442969324919,0.217502662781296,-0.143891594391937,-0.725140000017906,-0.960211194690621,0.586159526934716,-0.352443784960001,-0.014380346311996
11,"comedy","Herr SCHLÜCH","M","","","","
          
Schlüch.

          
Kännt' ich em nitt e wenig Milhüserditsch lehre im Platz
                        vo Eürem Herr?...

        
",3,"lustig-d-singstund",14,2,0.142857142857143,-0.208245009751187,0.313630865783308,-0.687351279397123,0.820677050706732,0.252647910318508,-0.167076255344306,-0.709144409022609,-0.882915927060984,0.543086256398396,-0.335941880554767,0.0154010525915118
15,"comedy","Herr SCHLÜCH","M","","","","
          
Schlüch.

          
I ha ebbes versüecht, wo dert mischotiert im e Hafe uf
                        em Ofe, was mag das si?

        
",5,"lustig-d-singstund",18,3,0.166666666666667,-0.208245009751187,0.313630865783308,-0.687351279397123,0.820677050706732,0.252647910318508,-0.167076255344306,-0.709144409022609,-0.882915927060984,0.543086256398396,-0.335941880554767,0.0154010525915118
16,"comedy","Marie","F","cook","service_and_sales","","
          
Marie.

          
Ah! un wie finde-n-ihr das Ding?

        
",5,"lustig-d-singstund",9,1,0.111111111111111,-0.208245009751187,0.313630865783308,-0.687351279397123,0.820677050706732,0.252647910318508,-0.167076255344306,-0.709144409022609,-0.882915927060984,0.543086256398396,-0.335941880554767,0.0154010525915118
17,"comedy","Herr SCHLÜCH","M","","","","
          
Schlüch.

          
Fin, delizios!...

        
",5,"lustig-d-singstund",3,1,0.333333333333333,-0.208245009751187,0.313630865783308,-0.687351279397123,0.820677050706732,0.252647910318508,-0.167076255344306,-0.709144409022609,-0.882915927060984,0.543086256398396,-0.335941880554767,0.0154010525915118
18,"comedy","Marie","F","cook","service_and_sales","","
          
Marie

          
Das isch Caout wie dr Kückücks sàit em doch dr Herr
                        wieder? Caout... Caout...

        
",6,"lustig-d-singstund",15,1,0.0666666666666667,-0.241247993519711,0.243267526850138,-0.689333642769961,0.786987042105344,0.300767422096981,-0.200115500418331,-0.686383883813553,-0.772529780438753,0.48255523608749,-0.313334727403941,0.0573608517354889
20,"comedy","Marie","F","cook","service_and_sales","","
          
Marie.

          
Jo, i glaüb; der Herr hat das Ding kaüft.

        
",6,"lustig-d-singstund",10,2,0.2,-0.241247993519711,0.243267526850138,-0.689333642769961,0.786987042105344,0.300767422096981,-0.200115500418331,-0.686383883813553,-0.772529780438753,0.48255523608749,-0.313334727403941,0.0573608517354889
21,"comedy","Herr SCHLÜCH","M","","","","
          
Schlüch

          
(mit Verwunderung)

          
Ne Caoutchouc-Suppe?...

        
",7,"lustig-d-singstund",7,1,0.142857142857143,-0.241247993519711,0.243267526850138,-0.689333642769961,0.786987042105344,0.300767422096981,-0.200115500418331,-0.686383883813553,-0.772529780438753,0.48255523608749,-0.313334727403941,0.0573608517354889
22,"comedy","Marie","F","cook","service_and_sales","","
          
Marie.

          
Dr Herr sàit, 's thàt eim feist mache... Das wàr nit fir
                        Eüch, Schlüch, Ihr kännte sunscht nimm in d'Löcher
                        schlupfe!...

        
",7,"lustig-d-singstund",23,2,0.0869565217391304,-0.241247993519711,0.243267526850138,-0.689333642769961,0.786987042105344,0.300767422096981,-0.200115500418331,-0.686383883813553,-0.772529780438753,0.48255523608749,-0.313334727403941,0.0573608517354889
