Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,avgLexVal,lexRatio
0,comedy,Marie,F,cook,service_and_sales,,"
          
Marie

          
(rechts bi dr Thüre vom zweite Plan rieft üse)

          
Mache-n-ass Ihr jetz emol furt kämme, Schlüch!...

          
Gott, wie thüet mich dà Mensch efange-n-agaciere!...

          
Güet, jetz thüet er si schwarze Nase noch in mi hintere
                        Kochhafe stosse... höre-n-Ihr denn nitt, ass dr Herr
                        dert in sim Zimmer isch un sich alegt... fahre-n-ab
                        jetz, nitt ass er I hit scho wieder do atrifft, er ka
                        wohl denke, ass mi Kàmi nitt alle Tag z'putze-n-isch...

        
",0,lustig-d-singstund,86,9,0.020888888888888887,0.10465116279069768
1,comedy,Herr TANNEZAPFE,M,,,,"
          
Herr Tannezapfe

          
(voruse, links)

          
Marie!...

        
",0,lustig-d-singstund,7,1,0.188,0.14285714285714285
2,comedy,Marie,F,cook,service_and_sales,,"
          
Marie.

          
Höre-n'-r!... dr Herr, wo mr rieft...
(antwortet)

          
Was b'liebt, Herr?

        
",0,lustig-d-singstund,15,2,0.188,0.13333333333333333
3,comedy,Herr TANNEZAPFE,M,,,,"
          
Herr Tannezapfe

          
(voruse)

          
Wo hasch mine Hosetràger ane tho?

        
",1,lustig-d-singstund,11,2,0.094,0.18181818181818182
4,comedy,Marie,F,cook,service_and_sales,,"
          
Marie.

          
Ihre Hosetràger, Herr...
(fir sich)
 sine Hosetràger wo
                        känne jetz sine Hosetràger si?
(lüt)
 Aha, se sin 
in dr
                        Zuckerbichse, Herr...
(wàhrend ass se antwortet' links,
                        kunnt dr Schlüch ine, rechts, zweiter Plan, un hat in
                        jeder Hand e Kochläffel un schlàckt se-n-ab)
 So! jetz
                        versüecht er noch mine Sauce... Wenn dr Herr Tannezapfe
                        das thàt sàh...

        
",1,lustig-d-singstund,66,7,0.08057142857142859,0.10606060606060606
5,comedy,Herr SCHLÜCH,M,,,,"
          
Schlüch.

          
Eüer Herr, Marie, Eüer Herr Tannebibele.

        
",1,lustig-d-singstund,7,2,0.188,0.2857142857142857
7,comedy,Herr SCHLÜCH,M,,,,"
          
Schlüch.

          
Eüer Zapfe, das isch mir doch eithüen, wo-n-Ihr alles
                        mit em mache, was Ihr wànn... er hat jo ne kurz
                        G'sicht, Ihr sage-n-em, ich sei's Wiehnàchtskindle,
                        wenn er kunnt, awer er isch jo erst an de Hosetràger, i
                        ha dr Zit... nur noch e Wort, Marie...

        
",2,lustig-d-singstund,52,3,0.0,0.057692307692307696
9,comedy,Herr SCHLÜCH,M,,,,"
          
Schlüch.

          
Grad ha-n-i d'Kuche ne wenig g'mustert, als Kàmifeger
                        ha-n-i 's Fir untersüecht... awer als Mensch wott i
                        gern wisse, was dert hinte ne so güet's druf brotet?...

        
",3,lustig-d-singstund,34,4,0.0,0.11764705882352941
11,comedy,Herr SCHLÜCH,M,,,,"
          
Schlüch.

          
Kännt' ich em nitt e wenig Milhüserditsch lehre im Platz
                        vo Eürem Herr?...

        
",3,lustig-d-singstund,14,2,0.094,0.14285714285714285
15,comedy,Herr SCHLÜCH,M,,,,"
          
Schlüch.

          
I ha ebbes versüecht, wo dert mischotiert im e Hafe uf
                        em Ofe, was mag das si?

        
",5,lustig-d-singstund,18,3,0.2552050575370333,0.16666666666666666
16,comedy,Marie,F,cook,service_and_sales,,"
          
Marie.

          
Ah! un wie finde-n-ihr das Ding?

        
",5,lustig-d-singstund,9,1,0.562,0.1111111111111111
17,comedy,Herr SCHLÜCH,M,,,,"
          
Schlüch.

          
Fin, delizios!...

        
",5,lustig-d-singstund,3,1,0.0,0.3333333333333333
