"Unnamed..0","drama_type","speaker","sex","job","job_category","social_class","text","progress","short_name","numTokens","numLexTokens","lexRatio","anger","anticipation","arousal","disgust","dominance","fear","joy","sadness","surprise","trust","valence"
0,"comedy","Madame FRISCH","F",NA,NA,NA,"
          
Madame Frisch

          
(kunnt ine mit ere Postkarte)

          
So!... jetz schribt mir grad mi Oncle do vo Colmer, ass
                        er uf hie kunnt un bi mir will ku z'Nacht esse... grad
                        jetz, hit, wo-n-ich Gäst ha... ich mächt ewe hit z'Owe
                        mi Züekünftiger, dr Herr Ledig, in dr G'sellschaft
                        vorstelle un ha's ig'richtet g'ha, ass mr grad zwölf
                        gsi wàre am Tisch... kunnt awer mi Oncle, so si mr
                        drizehne... me meint grad, er macht's express!... un
                        züedem isch's e-n-Original, mi Oncle... er hat allewil
                        ganz andere-n-Idee as andre Lit... wenn ich en ig'lade
                        hätt, so wàr er sicher nitt ku... was isch jetz
                        z'mache?... ich ka doch Nieme furtschicke un will's o
                        in Nieme sage, sunscht thàte se mich üslache... un
                        drizehne will ich durchüs nitt, ass mr sin... unter
                        keine Umstànde, 's mag geh wie's will, derf das meh
                        g'schàh... ich thàt eher dr erste beste Bettler derzüe
                        riefe!... 's isch mr nur emol vorku un gli druf isch mi
                        Mann selig g'storwe... ich will nitt, ass es mir noch
                        emol eso geht, wenn ich derno küm wieder g'hirothe
                        bi!...
                    

          

            
G'sang

            
Drizehne-n-isch e-n-Unglickszahl,

            
Wo mir brocht hat mi grösste Qual,

            
Drum mach ich mir halt drüs e G'setz,

            
Fir sie als z'vermeide jetz.

            

            
Ich will halt doch nitt riskiere,

            
Jetz wieder gli mi Mann z'verliere,

            
Denn fir einer wieder z'ha,

            
Ha-n-ich nitt iwel Mieih scho g'ha.

          

          
Ich sieh nit anders as ich müess im Herr Ledig
                            Hàndel süeche, fir ass er blàit un nitt bim Esse
                            blibt... nochher versöhne mir uns wieder
                            mitnander... ich stell ne halt derno ne-n-andermol
                            vor... ich will das Ding scho arrangiere, er isch e
                            wenig e Hitzkopf, awer sunscht e ganz güeter
                            Mensch, wo um's ummelüege wieder alles vergesse
                            hat... doch still, do kunnt er glaüb grad!
                        

        
",0,"lustig-d-tante-domino",321,44,0.137071651090343,-1,0.423985741858652,-0.981066292109859,0.705398781322412,-0.589102164089572,-1,-0.174285306135434,-1,-0.399712075493884,0.289917341081613,0.315349695430906
1,"comedy","Herr LEDIG","M",NA,NA,NA,"
          
Herr Ledig

          
(kunnt hinte-ine)

          
Eh, güete-n-Owe, Madame Frisch!... ich frog nitt no
                        Ihrer G'sundheit... Sie kännt doch sicher kei besserer
                        Name ha!...
(er lüegt ummenander)
 ich bi glaüb dr
                        Erste....
                    

        
",1,"lustig-d-tante-domino",36,8,0.222222222222222,-0.902057227955411,0.440463857971281,-0.888448391440078,0.729591593932929,-0.623952532187666,-0.929702569158102,-0.222331069948569,-0.93933141405488,-0.37803710585786,0.227736243072112,0.243786728583281
2,"comedy","Madame FRISCH","F",NA,NA,NA,"
          
Madame Frisch.

          
Sie hätte ne sotte si, vo rechtswege... awer lüege
                        Se-n-emol in dr Garte...
                    

        
",2,"lustig-d-tante-domino",17,2,0.117647058823529,-0.715953815054848,0.471061971653687,-0.712021300001193,0.774313148094042,-0.688143615701127,-0.794454640307217,-0.313000945314087,-0.823662099729025,-0.33745800766705,0.109307365683409,0.108398197978206
3,"comedy","Herr LEDIG","M",NA,NA,NA,"
          
Herr Ledig

          
(geht an's Fenster)

          
Tiens,'s sin scho andere Gast do... verzeiht Se mr,
                        Madame Frisch... ich ha halt noch G'schàfte g'ha...
                    

        
",3,"lustig-d-tante-domino",26,4,0.153846153846154,-0.46023362002448,0.511335720907525,-0.468535373855497,0.832643256307815,-0.771331900089861,-0.604474966629982,-0.436017406798767,-0.663755301344819,-0.283164163728912,-0.0540584810325416,-0.076154733583387
4,"comedy","Madame FRISCH","F",NA,NA,NA,"
          
Madame Frisch

          
(trotzig)

          
Ich mein doch, ass we me-n-ebber gern hat un uf em Punkt
                        isch z'hirothe, ass die Person vor de G'schàfte geht!
                    

          

          

            
G'sang

            
Kunnt me z'spot

            
Als vor dr Hiroth scho,

            
Wie wird's denn geh' als do,

            
Wenn's umme-n-isch derno!

            
Ich find doch, ass d'Hiroth

            
Vor allem z'àmme geht

            
Un ass ka si kei Red

            
Vo ebbes anders meh jetz do!

          

        
",4,"lustig-d-tante-domino",75,10,0.133333333333333,-0.160271137683221,0.555269294471205,-0.181037394717942,0.895178590037594,-0.859611475989237,-0.373949815679612,-0.577319625646033,-0.474386147679455,-0.22210215681156,-0.246730646508483,-0.289826963392487
5,"comedy","Madame FRISCH","F",NA,NA,NA,"
            

              
Kunnt me z'spot etc...

            

          
",5,"lustig-d-tante-domino",5,1,0.2,0.154362867794128,0.59597821654749,0.123384412224161,0.951089278733707,-0.937230358682251,-0.119786650351561,-0.720531080716518,-0.272863183415584,-0.162086709673781,-0.450215536395851,-0.509290094139768
6,"comedy","Herr LEDIG","M",NA,NA,NA,"
            
Herr Ledig.

            

              
D'Hiroth wird do

              
Mich finde scho,

              
Ich will nitt uf mich warte lo;

              
Ich kumm nitt z'spot,

              
Denn wenn's losgeht,

              
Ka si kei Red

              
Vo ebbes anders meh jetz do!

            

          
",6,"lustig-d-tante-domino",35,8,0.228571428571429,0.452956601198217,0.626524883437875,0.416235054534325,0.989347746039516,-0.988547839339782,0.139854589508843,-0.848669487411156,-0.0773127665745383,-0.110793533531297,-0.644871900626449,-0.710368772222032
7,"comedy","Herr LEDIG","M",NA,NA,NA,"
          
Herr Ledig.

          
Ich bi awer o ungeduldig gsi un ha mi dummelt... un
                        derno, 's isch jo no nitt spot
(er lüegt uf d'Ühre)
 's
                        isch jo erscht...
                    

        
",7,"lustig-d-tante-domino",31,5,0.161290322580645,0.706806826089917,0.640759067612699,0.670359683656433,1,-1,0.387112635129043,-0.945921436793551,0.0950915250763076,-0.0747588309271902,-0.811719485923824,-0.870552418569035
8,"comedy","Madame FRISCH","F",NA,NA,NA,"
          
Madame Frisch

          
(kalt)

          
So isch's halt allewil mit dàne Mànner... d'G'schàfte,
                        die gehn allewil vor... wenn Sie denn eso dra halte an
                        Ihre G'schàfte, worum sin Sie nitt gli dra bliwe!...
                    

        
",8,"lustig-d-tante-domino",35,7,0.2,0.89212779452079,0.634092133146919,0.862526009200061,0.975344698882684,-0.961838864407014,0.605912208481142,-0.999297924329722,0.229768113912215,-0.0585102801227518,-0.934168312607033,-0.971315280509788
9,"comedy","Herr LEDIG","M",NA,NA,NA,"
          
Herr Ledig

          
(fir sich)

          
Ah so!... tiens, tiens!...
(lüt)
 wenn Se meint, ass ich
                        hätt sotte dra bliwe, so ka-n-ich allewil noch geh...
                        's isch noch alle Zit... Adie Madame Frisch!
(er geht
                        hinte-n-üse)
.
                    

        
",9,"lustig-d-tante-domino",44,8,0.181818181818182,0.992412449120855,0.604119694021746,0.975585134491654,0.910894422453083,-0.86943661926732,0.783249564738715,-1,0.316065146426643,-0.0639393017265166,-0.999505247537111,-1
10,"comedy","Madame FRISCH","F",NA,NA,NA,"
          
Madame Frisch

          
(allei)

          
Dà güete Herr Ledig!... ich mächt grad grine!... ich
                        ha's schier nitt iwer's Herz brocht... awer 's isch 
 jo
                        fir si Wohl... ich wott nitt, ass ihm e-n-Unglick thàt
                        widerfahre... bàh... mit eme Wort vo mir kunnt er
                        wieder z'ruck morn... ich kenn en... doch, jetz hör i
                        glaüb mi Oncle...
(se lost)
 richtig... 's isch ne!
                    

        
",10,"lustig-d-tante-domino",69,16,0.231884057971014,1,0.551022314207941,1,0.806015735466497,-0.723996926190748,0.91016023609501,-0.944354634974287,0.348161386445886,-0.0899960029587132,-1,-0.951068632968496
11,"comedy","Herr FLINK","M",NA,NA,NA,"
          
Herr Flink

          
(kunnt hinte-n-ine mit em Herr Krach)

          
Aha!... do isch se jo, mi liewe Nièce, Nundebuckel noch
                        emol!
(se schmutze enander)
 wie geht's denn allewil?...
                       
(er geht e paar Schritt hintersi z'ruck un b'schaüt se)

                        noch allewil jung un frisch!... à propos
(er zeigt uf
                        dr Herr Krach)
 ich stell Dir dr Herr Krach vor, mi
                        züekünftiger Associé, wo mit Din're Erlaübniss mit uns
                        z'Nacht esse wird...
(se verneige sich beide)
.
                    

        
",11,"lustig-d-tante-domino",87,16,0.183908045977011,0.916691512801698,0.477696111110522,0.934598364577456,0.66417752729744,-0.532584667188061,0.982286125683991,-0.834226236108587,0.325444283741773,-0.132749737655845,-0.933531457085933,-0.826594789583367
