drama_type,speaker,sex,job,social_class,text,numTokens,numLexTokens,avgLexVal,lexRatio
unknown,"Jumpfer WACHTLE
                    ",F,,,"Jumpfer Wachtle
(kunnt ine rechts)
Das isch jetz emol e Wunder, ass dr Herr Lerch no nitt
                        do isch ku si Visite mache... ich erwart ne sicher
                        hit... mir singe-n-als ewe mitnander... er singt
                        pràchtig, dr Herr Lerch, un accompagniert is noch
                        derzüe uf em Klavier... d'Müsik un 's G'sang geht mr
                        ewe vor allem, b'sunders, wenn's recht sentimental
                        züegeht... drum süech ich so viel as möglig
                        Bekanntschaft z'mache mit Müsikante... Ich ha derno
                        noch dr Herr Büechfink, wo kunnt... awer am e-n-andere
                        Tag!... dà singt nitt so güet, awer er spielt besser
                        Klavier... ich ha se beide gern... als Müsikante... nur
                        isch 's fatale dervo, ass se mr beide dr Hof mache...
                        ich ka se doch nitt beide hirothe... un nimm ich einer,
                        so blibt dr andere furt, das isch klar!... se sin
                        jaloux iwernander as wie Tiger... ich weiss do kei
                        Üsweg... ich süech se halt so lang as möglig
                        üsez'schifle... wenn ich als hör, ass se wànn Ernst
                        mache, so sag ich als gli «Herr Lerch, oder Herr
                        Büechfink, d'Singstund isch fertig» un mach mich
                        dervo... ich nenn ewe das mi Singstund... doch, do
                        kunnt jetz dr Herr Lerch...
",204,25,0.6536547909885254,0.12254901960784313
unknown,"Herr LERCH
                    ",M,,,"Herr Lerch
(kunnt hinte-n-ine)
Jumpfer Wachtle, ich wünsch Ere ne güeter Morge... ich
                        bin e wenig spot hit... ich ha noch miesse mi böser
                        Finger verbinde...
                    
",30,8,0.54086774397403,0.26666666666666666
unknown,"Jumpfer WACHTLE
                    ",F,,,"Jumpfer Wachtle.
Siter wenn hàn Sie ne böser Finger?
",9,2,0.38797563922732403,0.2222222222222222
unknown,"Herr LERCH
                    ",M,,,"Herr Lerch.
Scho drei Tàg... 's isch glaüb dr Umlaüf... un grad noch
                        am Zeigfinger an dr rechte Hand...
                    
",19,4,0.6868906563850772,0.21052631578947367
unknown,"Jumpfer WACHTLE
                    ",F,,,"Jumpfer Wachtle.
Se känne-n-is awer doch e wenig accompagniere?...
",11,1,0.6149010952367124,0.09090909090909091
unknown,"Herr LERCH
                    ",M,,,"Herr Lerch.
Was denkt Se... Se sieht jo, ass ich ne verbunde ha...
                        ich wott schön Dings mache!
                    
",18,3,0.6654723323521846,0.16666666666666666
unknown,"Jumpfer WACHTLE
                    ",F,,,"Jumpfer Wachtle.
Un ich ha mich eso g'freit fir Müsik z'mache!... unsre
                        schöne Romance do, wo mr hätte känne singe!
                    
",21,5,0.6824875583151856,0.23809523809523808
unknown,"Herr LERCH
                    ",M,,,"Herr Lerch.
Ich ka jo doch singe, wenn ich scho dr Finger verbunde
                        ha... mir singe-n-ohne Klavier!
                    
",19,4,0.7036487510506128,0.21052631578947367
unknown,"Jumpfer WACHTLE
                    ",F,,,"Jumpfer Wachtle.
Das geht nitt, Herr Lerch!... 's hat jo kei Art
                        eso!...
                    
",13,2,0.5968050235411417,0.15384615384615385
unknown,"Herr LERCH
                    ",M,,,"Herr Lerch.
Thàt Sie-n-emol prawiere z'accompagniere... 's isch
                        jo-n-eso licht, das Lied...
                    
",17,2,0.631365995786096,0.11764705882352941
unknown,"Jumpfer WACHTLE
                    ",F,,,"Jumpfer Wachtle.
Derno ka-n-ich nitt güet singe... ich müess gar
                        ufpasse... ne so ha-n-ich kei G'nuss dervo...
                    
",21,3,0.7516139613559573,0.14285714285714285
unknown,"Herr LERCH
                    ",M,,,"Herr Lerch.
Was dr Kückück's hört me nur o fir e Làrme do nàwes in
                        dr Wand d'ganze Zit?
                    
",21,4,0.5878939994638438,0.19047619047619047
unknown,"Jumpfer WACHTLE
                    ",F,,,"Jumpfer Wachtle.
's isch dr Kàmifeger, wo 's Kàmi üsrackelt... mien Sie
                        jetz grad e böser Finger ha... me meint grad, Sie
                        mache's express...
                    
",25,4,0.5436703926380722,0.16
unknown,"Herr LERCH
                    ",M,,,"Herr Lerch.
Awer Jumpfer Wachtle!... wie ka Sie nur eso ebbes
                        sage... ich, wo dur's Fir gieng, fir Ihre ne Freid
                        z'mache... wenn ich nur ebbes wisse thàt, wo-n-is kännt
                        accompagniere...
                    
",35,5,0.5804741046901485,0.14285714285714285
unknown,"Jumpfer WACHTLE
                    ",F,,,"Jumpfer Wachtle
(fir z'foppe)
Dr Kàmifeger viellicht im Kàmi dert....
",13,3,0.5035925505026666,0.23076923076923078
unknown,"Herr LERCH
                    ",M,,,"Herr Lerch.
Tiens... ne Idee!... grad gestert hat me mir verzählt,
                        ass e Kàmifeger hie seig, wo Klavier spiele ka... wer
                        weisst... 's isch viellicht grad dà...
                    
",27,6,0.5386335340065983,0.2222222222222222
unknown,"Jumpfer WACHTLE
                    ",F,,,"Jumpfer Wachtle.
Hà hà hà... ne Kàmifeger am Klavier!
",9,1,0.6149010952367124,0.1111111111111111
unknown,"Herr LERCH
                    ",M,,,"Herr Lerch.
Sie lacht!... ich, versicher Se, me hat mr g'sàit, dà
                        Mann seig als schint's frieiher in dr Höche gsi un seig
                        derno uf eimol awe ku...
                    
",29,6,0.6860838427528688,0.20689655172413793
unknown,"Jumpfer WACHTLE
                    ",F,,,"Jumpfer Wachtle.
Ich zwifel nitt dra... alle Kàmifeger, wo in dr Höche
                        gsi sin, kämme-n-als wieder awe...
                    
",19,1,0.6149010952367124,0.05263157894736842
unknown,"Herr LERCH
                    ",M,,,"Herr Lerch.
Sie versteht mich nitt... ich mein, vor ebb er Kàmifeger
                        gsi isch... ich will en emol froge...
",19,2,0.6480851896376307,0.10526315789473684
unknown,"Herr LERCH
                    ",M,,,"Herr Lerch.
Kännte-n-Ihr uns viellicht e wenig accompagniere?..
",10,2,0.5263875262517556,0.2
unknown,"Jumpfer WACHTLE
                    ",F,,,"Jumpfer Wachtle.
Do hà mr's!...
",6,1,0.6149010952367124,0.16666666666666666
unknown,"Herr LERCH
                    ",M,,,"Herr Lerch.
E nei... ich mein, eb Ihr viellicht känne ne wenig
                        Klavier spiele?
                    
",14,4,0.6040768534464444,0.2857142857142857
unknown,Herr BÜECHFINK,M,,,"Kàmifeger.
E wenig, jo... ich bi awer nitt stark!
",9,1,0.5922554570848815,0.1111111111111111
unknown,"Herr LERCH
                    ",M,,,"Herr Lerch.
Güet, so kämme nur awe... 's gitt nitt difficil's
                        z'spiele...
",14,3,0.6914720200499568,0.21428571428571427
