drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,avgLexVal,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph

          
(sitzt im Lehnstüehl mit eme Federwisch in de
                        Hànd)
                    

          
's hat's doch noch nie kei Bedienter besser g'ha as
                        ich!... niene thàt ich eso ne Platz finde!... mi Herr
                        isch Astronom, das heisst mit andere Worte, er isch
                        narràchtig... er isch awer güet z'ha... wenn ich ihm
                        nur allewil Recht gib un si Specktifig un si Weltkugle
                        dert abstàib, so geht alles güet
(er steht uf)
, er
                        bekümmert sich sunscht um nit... er isch allewil in de
                        Wulke... mr känne mache, was mr wànn, 's Kàtele un
                        ich... 's isch mi Fraü, wo Kàtele heisst... mr hàn jetz
                        sogar e Bureau de placement ag'fange... mr
                        verschaffe-n-in de Dienstbote Plàtz... um Bezahlung! un
                        iwerhaüpt, was sich presentiert, fir Geld z'verdiene,
                        das iwernàmme mr, seig's was es will... hitigstags derf
                        me nimmig halwer eso blöd si, we me züe ebbes ku will.
                    

        
",0,lustig-drei-schwarze-liebschafte,151,14,0.0982493923632118,0.0927152317880794,,,,,,,,,,,
comedy,KÀTELE,F,,,,"
          
Kàtele

          
(streckt dr Kopf ine rechts)

          
Bisch allei, Joseph?

        
",0,lustig-drei-schwarze-liebschafte,11,1,0.109,0.0909090909090909,,,,,,,,,,,
comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          
Jà, liewe Fraü... kumm nur ine.

        
",1,lustig-drei-schwarze-liebschafte,7,2,0.0,0.2857142857142857,,,,,,,,,,,
comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          
Los, Kàtele... sag em doch nitt allewil dr Alt, im Herr
                        Himmel, 's isch doch allewil unser Herr.
                    

        
",2,lustig-drei-schwarze-liebschafte,19,6,0.0253333333333333,0.3157894736842105,,,,,,,,,,,
comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Oh! loss mi geh mit dim Herr... Dü machsch Dich jo als
                        z'erst lustig iwer ne, wenn er Dir vo sine Narrheite
                        verzählt.
                    

        
",2,lustig-drei-schwarze-liebschafte,25,3,0.1400485372727022,0.12,0.07452625259384946,0.2570527495018734,0.4434805465586658,0.11841583137502379,0.5147991225586226,0.11366334685801786,0.22244985546002463,0.1563548823905298,0.06935527622793054,0.2351063267583156,0.5742575549478561
comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          
Ich müess awer o ebbes höre allewil... erst gestert hat
                        er mir wieder dr Kopf versàgt... er hat mr verzählt,
                        wie wit as es isch vo do bis in dr Mond un bis in
                        d'Sunne.
                    

        
",3,lustig-drei-schwarze-liebschafte,37,1,0.0,0.027027027027027,0.05487637412120709,0.22499304972394815,0.4345909922927296,0.10658725994645238,0.5036537398357102,0.09288046213705492,0.17872769123906465,0.1552691681048155,0.06546076323561786,0.31064098602657025,0.5762867024820038
comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Das glicht em wieder... me ka jo sage so wit as me
                        will... 's geht's Nieme geh messe!
                    

        
",3,lustig-drei-schwarze-liebschafte,20,1,0.0,0.05,0.0330763741212071,0.22499304972394815,0.4777429746218266,0.04718725994645236,0.5466031985226533,0.05628046213705494,0.17872769123906465,0.03747076501110378,0.06546076323561786,0.3915307988591621,0.6181317927518356
comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Er isch doch sunscht nitt eso g'spràchig, dr Herr.

        
",5,lustig-drei-schwarze-liebschafte,10,1,0.076,0.1,0.0482763741212071,0.10267588177381434,0.4605065969416969,0.08478725994645236,0.559353907873439,0.08448046213705493,0.09517668030252682,0.03747076501110378,0.06546076323561786,0.32826407206399305,0.5908438170978497
comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          
Jà, sunscht bringt me-n-em kei Wort züem Mül üse... awer
                        wenn er vo dr Astronomie red', so isch's ganz
                        anderscht... me müess em halt die unschuldige Freid
                        lo... hat er nitt sogar in siner Narrheit scho g'sàit,
                        er heb dr Mond un d'Sunne g'woge!
                    

        
",6,lustig-drei-schwarze-liebschafte,49,8,0.0996432014772633,0.1632653061224489,0.06313834774999309,0.11068421510714765,0.4571425112883117,0.08757414909303869,0.5269241474372641,0.08913563543845056,0.07966080921093036,0.0515223018902677,0.0694898588072287,0.27443907206399304,0.5666334992575048
comedy,KÀTELE,F,,,,"
          
Kàtele

          
(schlat d'Hànd z'amme)

          
Ich's möglig, ass dr Mensch eso wit awe ka ku!

        
",6,lustig-drei-schwarze-liebschafte,19,1,0.0,0.0526315789473684,0.035128640295452665,0.15647499999999998,0.4398460026702581,0.05292022247991964,0.5192005768815549,0.042255173301395596,0.03063945177934856,0.01405153687916392,0.01992909557161084,0.22206481283259186,0.552624172953994
comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          
Un wie gross meinsch Dü, ass er isch, dr Mond?

        
",7,lustig-drei-schwarze-liebschafte,11,1,0.6437547484682016,0.0909090909090909,0.16387958998909297,0.25117529197250354,0.46884086015177895,0.13930277394985752,0.5344565695520136,0.1517669371403251,0.07903945177934855,0.149754455973907,0.14960712515637092,0.17826481283259188,0.544123028268884
comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Dr Mond... wie mi kleine Pfanne ung'fàhr... do brücht me
                        kei Specktifig, fir das z'sàh!
                    

        
",7,lustig-drei-schwarze-liebschafte,17,2,0.2805,0.1176470588235294,0.21997958998909298,0.25117529197250354,0.49214120474554657,0.13930277394985752,0.5170883770094096,0.21266693714032509,0.12603945177934855,0.149754455973907,0.14960712515637092,0.097375,0.5323629923841207
comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          
Ich weiss nitt, wie gross as Di kleine Pfanne-n-isch,
                        awer wenn Dü-n-em eso ebbes thàtsch sage... doch los...
                        siter ebbes Zit hat er e wenig g'schangiert... er lüegt
                        weniger dur si Specktifig un isch iwerhaüpt unrüehig...
                        un red' als Sache... me wott schiergar meine, er seig
                        verliebt.
                    

        
",8,lustig-drei-schwarze-liebschafte,52,6,0.1072924580780336,0.1153846153846153,0.2262380816046997,0.3237253406345875,0.514838934468659,0.11609986586151386,0.5126267074519552,0.20271889778014668,0.18626280101807755,0.17237160915636418,0.18712013008716427,0.1661416666666667,0.5501250402271615
comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Ah!... hasch Dü das o bemerkt?... 's isch mr doch
                        gsi!... denn ich o ha ne scho hore rede fir sich
                        vo-n-ere Venüs, wo-n-eso schön soll si... was ka jetz
                        das fir e Jumpfer Venüs si... er isch als ganz
                        verklàrt!
                    

        
",8,lustig-drei-schwarze-liebschafte,46,5,0.2244,0.108695652173913,0.25118944130924703,0.31605034063458753,0.5323734672266105,0.10077964338159422,0.5310981129308957,0.23738372447875106,0.2014924655814406,0.15868007227720024,0.1743910345155534,0.19212666666666664,0.55831860934527
comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          
Nitt wohr? Erst gestert ha-n-ich g'hört, ass er
                        deklamiert hat do, wo-n-er allei gsi isch... « Endlig,
                        endlig isch er jetz do, dà schöne Tag... Morn ka-n-ich
                        se jetz endlig sàh... Morn geht se dure... Die
                        G'legeheit will ich jetz awer o benutze, wenn nur schön
                        Wetter isch... »
                    

        
",9,lustig-drei-schwarze-liebschafte,56,6,0.0181666666666666,0.1071428571428571,0.25482277464258035,0.26373745831664697,0.5243094287409299,0.1106796433815942,0.5384537605993464,0.24348372447875105,0.26260765948596,0.17891313945948553,0.18639103451555342,0.2574933333333333,0.5894344313975767
comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Ah!... voilà... do hat er schint's e Brief biku vo-n-
                        ere, ass se kunnt, un jetz hat er Angst, as es kunnt ku
                        regne un ass se das viellicht kännt abhalte... Wer mag
                        jetz das si, die Jumpfer Venüs? kennsch Dü ebber eso do
                        ummenander?
                    

        
",9,lustig-drei-schwarze-liebschafte,48,5,0.0,0.1041666666666666,0.12607182494894004,0.2424771663441434,0.5014864989403545,0.02429709191165628,0.5097127729627741,0.16422387799088262,0.2506975128767544,0.04321022036474244,0.07451300493079334,0.19821333333333332,0.5751067102196007
comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          
Nei, awer uf das kasch Dü nitt geh... Venüs isch
                        wohrschinlig ihre Vorname... ich ha-n-en scho g'sah im
                        Kalender.
                    

          

        
",10,lustig-drei-schwarze-liebschafte,22,1,0.0,0.0454545454545454,0.06997182494894004,0.2424771663441434,0.483077390724568,0.02429709191165628,0.5609963324799512,0.1033238779908826,0.31309751287675447,0.04321022036474244,0.07451300493079334,0.1982133333333333,0.6307185196763773
comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Aha... still... jetz kunnt mr ebbes i... 's Marie, wo
                        Magd isch dert àne-n-an uns, hat mr g'sàit, ass si
                        Herrschaft e Nièce erwartet dà Morge... isch das ebbe
                        Die, un will se dr Herr Himmel viellicht hirothe? Was
                        meinsch, Joseph, we mr e Fraü in's Hüs bekàmte!
                    

        
",10,lustig-drei-schwarze-liebschafte,52,8,0.0954999999999999,0.1538461538461538,0.0676133333333333,0.19950712669365636,0.4556028072211443,0.01459999999999998,0.5463116796860882,0.10006943936735631,0.29724814386218745,0.03231806718228526,0.048125,0.15327166666666664,0.6219075988017065
comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          
Jà... derno wàr halt unsere schöne Zit umme!... awer er
                        in sim Alter hirothe... ich ka's schier nitt glaüwe, un
                        doch...
                    

        
",11,lustig-drei-schwarze-liebschafte,23,4,0.1132499999999999,0.1739130434782608,0.04538333333333328,0.23085712669365632,0.42190925664095236,0.02864999999999998,0.5340138707986262,0.05134943936735632,0.28901542294786536,0.032408067182285255,0.049925,0.16811166666666666,0.6068816104318107
comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          

            
G'sang

            
(Partant pour la Syrie)

            
Mir lehn's bi dem nitt bliwe,

            
's derf uns kei Fraü in's Hüs,

            
Sie thàt uns G'setze schriwe

          

        
",12,lustig-drei-schwarze-liebschafte,28,2,0.0554999999999999,0.0714285714285714,0.05284999999999994,0.19487000901159687,0.44243891674109304,0.01875,0.553072868457329,0.04524943936735635,0.304100229043346,0.01217499999999998,0.061325000000000005,0.102745,0.6183279235922639
comedy,JOSEPH KÜTZ,M,,,,"
          
(Mitnander)

          

            
Drum thien mir jetz o schwöre,

            
Das soll un derf nitt g'schàh,

            
Mir wànn dàr Venüs lehre,

            
Wo si ne Mann soll nàh.

            
}bis

          

        
",12,lustig-drei-schwarze-liebschafte,27,3,0.0,0.1111111111111111,0.05284999999999994,0.12143000901159687,0.42475755994309966,0.01875,0.5930223868930434,0.014997522016295303,0.32307704231921824,0.01217499999999998,0.043525,0.12095833333333332,0.6626461614046609
comedy,KÀTELE,F,,,,"
          
(Mitnander)

          

            
Drum thien mir jetz o schwöre,

            
Das soll un derf nitt g'schàh,

            
Mir wànn dàr Venüs lehre,

            
Wo si ne Mann soll nàh.

            
}bis

          

        
",13,lustig-drei-schwarze-liebschafte,27,3,0.0,0.1111111111111111,0.05284999999999994,0.12143000901159687,0.42367107241838947,0.01875,0.597426844148406,0.014997522016295303,0.26914370898588486,0.01217499999999998,0.043525,0.15949166666666664,0.6650532048009548
comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          
Un züedem hà mir o noch d'Chance fir z'erwe, wenn er
                        nitt hirothet!
                    

        
",13,lustig-drei-schwarze-liebschafte,16,2,0.2805,0.125,0.08984999999999996,0.15664999999999996,0.47926469216143436,0.014050000000000002,0.6206808163016084,0.060900000000000024,0.22476972876172283,0.00044999999999998004,0.0324,0.13566666666666666,0.6556725433751022
