Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,short_name,numTokens,numLexTokens,avgLexVal,lexRatio
0,comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph

          
(sitzt im Lehnstüehl mit eme Federwisch in de
                        Hànd)
                    

          
's hat's doch noch nie kei Bedienter besser g'ha as
                        ich!... niene thàt ich eso ne Platz finde!... mi Herr
                        isch Astronom, das heisst mit andere Worte, er isch
                        narràchtig... er isch awer güet z'ha... wenn ich ihm
                        nur allewil Recht gib un si Specktifig un si Weltkugle
                        dert abstàib, so geht alles güet
(er steht uf)
, er
                        bekümmert sich sunscht um nit... er isch allewil in de
                        Wulke... mr känne mache, was mr wànn, 's Kàtele un
                        ich... 's isch mi Fraü, wo Kàtele heisst... mr hàn jetz
                        sogar e Bureau de placement ag'fange... mr
                        verschaffe-n-in de Dienstbote Plàtz... um Bezahlung! un
                        iwerhaüpt, was sich presentiert, fir Geld z'verdiene,
                        das iwernàmme mr, seig's was es will... hitigstags derf
                        me nimmig halwer eso blöd si, we me züe ebbes ku will.
                    

        
",lustig-drei-schwarze-liebschafte,151,14,0.2393267036587269,0.09271523178807947
1,comedy,KÀTELE,F,,,,"
          
Kàtele

          
(streckt dr Kopf ine rechts)

          
Bisch allei, Joseph?

        
",lustig-drei-schwarze-liebschafte,11,1,0.0,0.09090909090909091
2,comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          
Jà, liewe Fraü... kumm nur ine.

        
",lustig-drei-schwarze-liebschafte,7,2,0.3163336339758452,0.2857142857142857
4,comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          
Los, Kàtele... sag em doch nitt allewil dr Alt, im Herr
                        Himmel, 's isch doch allewil unser Herr.
                    

        
",lustig-drei-schwarze-liebschafte,19,6,0.35799999999999993,0.3157894736842105
5,comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Oh! loss mi geh mit dim Herr... Dü machsch Dich jo als
                        z'erst lustig iwer ne, wenn er Dir vo sine Narrheite
                        verzählt.
                    

        
",lustig-drei-schwarze-liebschafte,25,3,0.261871296157006,0.12
6,comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          
Ich müess awer o ebbes höre allewil... erst gestert hat
                        er mir wieder dr Kopf versàgt... er hat mr verzählt,
                        wie wit as es isch vo do bis in dr Mond un bis in
                        d'Sunne.
                    

        
",lustig-drei-schwarze-liebschafte,37,1,0.617,0.02702702702702703
7,comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Das glicht em wieder... me ka jo sage so wit as me
                        will... 's geht's Nieme geh messe!
                    

        
",lustig-drei-schwarze-liebschafte,20,1,0.4044490641629594,0.05
11,comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Er isch doch sunscht nitt eso g'spràchig, dr Herr.

        
",lustig-drei-schwarze-liebschafte,10,1,0.0,0.1
12,comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          
Jà, sunscht bringt me-n-em kei Wort züem Mül üse... awer
                        wenn er vo dr Astronomie red', so isch's ganz
                        anderscht... me müess em halt die unschuldige Freid
                        lo... hat er nitt sogar in siner Narrheit scho g'sàit,
                        er heb dr Mond un d'Sunne g'woge!
                    

        
",lustig-drei-schwarze-liebschafte,49,8,0.08887500000000001,0.16326530612244897
13,comedy,KÀTELE,F,,,,"
          
Kàtele

          
(schlat d'Hànd z'amme)

          
Ich's möglig, ass dr Mensch eso wit awe ka ku!

        
",lustig-drei-schwarze-liebschafte,19,1,0.0,0.05263157894736842
14,comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          
Un wie gross meinsch Dü, ass er isch, dr Mond?

        
",lustig-drei-schwarze-liebschafte,11,1,0.398,0.09090909090909091
15,comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Dr Mond... wie mi kleine Pfanne ung'fàhr... do brücht me
                        kei Specktifig, fir das z'sàh!
                    

        
",lustig-drei-schwarze-liebschafte,17,2,0.0,0.11764705882352941
16,comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          
Ich weiss nitt, wie gross as Di kleine Pfanne-n-isch,
                        awer wenn Dü-n-em eso ebbes thàtsch sage... doch los...
                        siter ebbes Zit hat er e wenig g'schangiert... er lüegt
                        weniger dur si Specktifig un isch iwerhaüpt unrüehig...
                        un red' als Sache... me wott schiergar meine, er seig
                        verliebt.
                    

        
",lustig-drei-schwarze-liebschafte,52,6,0.3438333333333334,0.11538461538461539
17,comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Ah!... hasch Dü das o bemerkt?... 's isch mr doch
                        gsi!... denn ich o ha ne scho hore rede fir sich
                        vo-n-ere Venüs, wo-n-eso schön soll si... was ka jetz
                        das fir e Jumpfer Venüs si... er isch als ganz
                        verklàrt!
                    

        
",lustig-drei-schwarze-liebschafte,46,5,0.21879999999999997,0.10869565217391304
18,comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          
Nitt wohr? Erst gestert ha-n-ich g'hört, ass er
                        deklamiert hat do, wo-n-er allei gsi isch... « Endlig,
                        endlig isch er jetz do, dà schöne Tag... Morn ka-n-ich
                        se jetz endlig sàh... Morn geht se dure... Die
                        G'legeheit will ich jetz awer o benutze, wenn nur schön
                        Wetter isch... »
                    

        
",lustig-drei-schwarze-liebschafte,56,6,0.3268333333333333,0.10714285714285714
19,comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Ah!... voilà... do hat er schint's e Brief biku vo-n-
                        ere, ass se kunnt, un jetz hat er Angst, as es kunnt ku
                        regne un ass se das viellicht kännt abhalte... Wer mag
                        jetz das si, die Jumpfer Venüs? kennsch Dü ebber eso do
                        ummenander?
                    

        
",lustig-drei-schwarze-liebschafte,48,5,0.1016,0.10416666666666667
20,comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          
Nei, awer uf das kasch Dü nitt geh... Venüs isch
                        wohrschinlig ihre Vorname... ich ha-n-en scho g'sah im
                        Kalender.
                    

          

        
",lustig-drei-schwarze-liebschafte,22,1,0.0,0.045454545454545456
21,comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Aha... still... jetz kunnt mr ebbes i... 's Marie, wo
                        Magd isch dert àne-n-an uns, hat mr g'sàit, ass si
                        Herrschaft e Nièce erwartet dà Morge... isch das ebbe
                        Die, un will se dr Herr Himmel viellicht hirothe? Was
                        meinsch, Joseph, we mr e Fraü in's Hüs bekàmte!
                    

        
",lustig-drei-schwarze-liebschafte,52,8,0.11912500000000001,0.15384615384615385
22,comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          
Jà... derno wàr halt unsere schöne Zit umme!... awer er
                        in sim Alter hirothe... ich ka's schier nitt glaüwe, un
                        doch...
                    

        
",lustig-drei-schwarze-liebschafte,23,4,0.293,0.17391304347826086
24,comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          

            
G'sang

            
(Partant pour la Syrie)

            
Mir lehn's bi dem nitt bliwe,

            
's derf uns kei Fraü in's Hüs,

            
Sie thàt uns G'setze schriwe

          

        
",lustig-drei-schwarze-liebschafte,28,2,0.0,0.07142857142857142
25,comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
(Mitnander)

          

            
Drum thien mir jetz o schwöre,

            
Das soll un derf nitt g'schàh,

            
Mir wànn dàr Venüs lehre,

            
Wo si ne Mann soll nàh.

            
}bis

          

        
",lustig-drei-schwarze-liebschafte,27,3,0.19266666666666665,0.1111111111111111
26,comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          
Un züedem hà mir o noch d'Chance fir z'erwe, wenn er
                        nitt hirothet!
                    

        
",lustig-drei-schwarze-liebschafte,16,2,0.0,0.125
27,comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Tiens... 's isch jo wohr... er hat jo glaüb keine
                        Frind?
                    

        
",lustig-drei-schwarze-liebschafte,12,3,0.7071111355240806,0.25
28,comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          
So viel ich weiss alleweg nitt... siter ass mr do sin,
                        isch jo noch nie kei Mensch züe-n-em ku... un schriwe
                        thüet er o in Nieme... doch halt... 
jetz kunnt mr ebbes
                        i: gestert z'Nacht hat er par extra ordinaire e Brief
                        g'schriwe un hat ne noch salwer uf d'Post tràit... er
                        hat g'sàit, er gieng doch üs.
                    

        
",lustig-drei-schwarze-liebschafte,63,3,0.0,0.047619047619047616
29,comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Eh... das isch an si Venüs gsi... wege dem kunnt se
                        viellicht hit?
                    

        
",lustig-drei-schwarze-liebschafte,14,2,0.33583750837247084,0.14285714285714285
30,comedy,JOSEPH KÜTZ,M,,,,"
          
Joseph.

          
's isch möglich... doch i glaüb i hör ne ku... gang...
                        fahr ab in Di Kuche 
('s Kàtele geht üse rechts, dr
                            Joseph stàibt ab).

                    

        
",lustig-drei-schwarze-liebschafte,28,2,0.358149462978612,0.07142857142857142
