Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,avgLexVal,lexRatio
0,drama,Marie Engel,F,,,,"
          
Mutter

          
(steht hinter Berthe und kämmt ihr das Haar):

          
Dis weiß d'r lieb Herrgott, was dü mit dine Hoor machsch. Als widder verstruwwelt und verzüst. For
          dich könnt m'r ellein e Coiffeur anstelle, daß de nit alle-gelde-n-erüslüejsch wie e
          Ziginnersmaidel.

        
",0,greber-lucie,44,3,0.43332428759517844,0.06818181818181818
1,drama,Berthe,F,,,,"
          
Berthe :

          
Auah! Auah! De machsch m'r weh, Mamme.

        
",0,greber-lucie,8,2,0.4314552397662502,0.25
2,drama,Marie Engel,F,,,,"
          
Mutter :

          
Halt! e bissele still, daß ich dich strähle kann. Ropfe müeß ich dich halt schun, bisch ganz ellein
          schuld dran. Wo isch din Zopfbendel? Hesch ne 'mol widder verlore?

        
",0,greber-lucie,30,7,0.39406093517120444,0.23333333333333334
4,drama,Marie Engel,F,,,,"
          
Mutter :

          
Gib here! 
          
(Berthe reicht ihr das Band)
 Dü sottsch viel meh uff dich halte. E Maidel, wo in d'
          Doctrine geht, sott sich viel ze güet sin, for uff d'r Gaß erumzespringe, daß m'r nit weiß, in wem's
          g'hört. Es het nit e jeds die Lehr, wo dü hesch. — Wie stehts mit dine-n-Uffgawe, hesch sie schun
          gemacht?

        
",1,greber-lucie,64,8,0.5716402247059156,0.125
5,drama,Berthe,F,,,,"
          
Berthe :

          
Ich hab sie gemacht, awer 's Lucie müeß mich emol de Katechisme üwwerhöre, ob ich ne au güet kann.
          Wurum kummt's denn so lang nit?

        
",1,greber-lucie,27,3,0.6133098704525551,0.1111111111111111
6,drama,Marie Engel,F,,,,"
          
Mutter :

          
Fröuj's doch selbscht; es saat m'r 's nit, was for Gschäfte 's het.

        
",1,greber-lucie,15,3,0.6174890843170592,0.2
7,drama,Berthe,F,,,,"
          
Berthe :

          
Denk emol, grad ewwe-n-isch e Herr do gsin, un het noch em gfröujt.

        
",1,greber-lucie,16,2,0.6396934828720576,0.125
9,drama,Berthe,F,,,,"
          
Berthe :

          
Uff d'r Gaß.

        
",2,greber-lucie,4,1,0.657,0.25
10,drama,Marie Engel,F,,,,"
          
Mutter :

          
E Herr?

        
",2,greber-lucie,3,1,0.6274639965966486,0.3333333333333333
11,drama,Berthe,F,,,,"
          
Berthe :

          
Ja, e schöner großer Herr isch kumme, mit eme schwarze Schnützer un eme goldene pince-nez. Der het
          noch'm Lucie gfröujt. No hawi g'saat: 's isch nit d'heim. No het er gsaat: gell, dü bisch sicherlich 's
          Schweschterle züem. No hawi g'saat: ja. No het er gsaat: dis isch awer schad, ich bin arig pressirt. —
          Un derno isch er widder furt gange.

        
",2,greber-lucie,65,7,0.4688368600455231,0.1076923076923077
