drama_type,speaker,sex,job,social_class,text,numTokens,numLexTokens,avgLexVal,lexRatio
drama,Marie Engel,F,,,"Mutter
(steht hinter Berthe und kämmt ihr das Haar):
Dis weiß d'r lieb Herrgott, was dü mit dine Hoor machsch. Als widder verstruwwelt und verzüst. For
          dich könnt m'r ellein e Coiffeur anstelle, daß de nit alle-gelde-n-erüslüejsch wie e
          Ziginnersmaidel.
",44,3,0.06099999999999997,0.06818181818181818
drama,Berthe,F,,,"Berthe :
Auah! Auah! De machsch m'r weh, Mamme.
",8,2,0.2484739418191419,0.25
drama,Marie Engel,F,,,"Mutter :
Halt! e bissele still, daß ich dich strähle kann. Ropfe müeß ich dich halt schun, bisch ganz ellein
          schuld dran. Wo isch din Zopfbendel? Hesch ne 'mol widder verlore?
",30,7,0.02614285714285713,0.23333333333333334
drama,Berthe,F,,,"Berthe :
Ich hab sie gemacht, awer 's Lucie müeß mich emol de Katechisme üwwerhöre, ob ich ne au güet kann.
          Wurum kummt's denn so lang nit?
",27,3,0.15633333333333332,0.1111111111111111
drama,Marie Engel,F,,,"Mutter :
Fröuj's doch selbscht; es saat m'r 's nit, was for Gschäfte 's het.
",15,3,0.0,0.2
drama,Berthe,F,,,"Berthe :
Denk emol, grad ewwe-n-isch e Herr do gsin, un het noch em gfröujt.
",16,2,0.0705,0.125
drama,Berthe,F,,,"Berthe :
Uff d'r Gaß.
",4,1,0.0,0.25
drama,Marie Engel,F,,,"Mutter :
E Herr?
",3,1,0.141,0.3333333333333333
drama,Berthe,F,,,"Berthe :
Ja, e schöner großer Herr isch kumme, mit eme schwarze Schnützer un eme goldene pince-nez. Der het
          noch'm Lucie gfröujt. No hawi g'saat: 's isch nit d'heim. No het er gsaat: gell, dü bisch sicherlich 's
          Schweschterle züem. No hawi g'saat: ja. No het er gsaat: dis isch awer schad, ich bin arig pressirt. —
          Un derno isch er widder furt gange.
",65,7,0.08928571428571429,0.1076923076923077
drama,Marie Engel,F,,,"Mutter :
's isch güet. Ich saa's im, wenn's heime kummt.
",12,1,0.0,0.08333333333333333
drama,Berthe,F,,,"Berthe :
O jeh, d'r Babbe! Ich glaub, er het schun widder eini.
",12,2,0.0545,0.16666666666666666
