"Unnamed..0","drama_type","speaker","sex","job","job_category","social_class","text","progress","short_name","numTokens","numLexTokens","lexRatio","anger","anticipation","arousal","disgust","dominance","fear","joy","sadness","surprise","trust","valence"
0,"comedy","Amalie Schneider","F",NA,NA,NA,"
          
Amelie :

          
(das Buch bei Seite legend, erhebt sich und dehnt die Glieder)

          
Oh — isch diß awwer e scheeni Gschicht gsin, — numme schad, daß sie sich nit kreijt hann — zue schad! — Die arm Gab- rielle — — 
(sieht auf die Uhr, erschrocken)
 O jr- rum! — schun so spoot? — Un ich bin noch nit emole mol coiffiert! — Sälmel! — Sälmel! 
(schellt.)

        
",0,"hahn-jungi-madamme",74,7,0.0945945945945946,-0.415390544338457,1,-0.0110338302480175,0.388730604415783,-0.470612890967124,-0.40231492421708,-0.254392552696513,0.0507227870375619,0.628487234107103,-0.0175404987440604,-0.413719016658584
1,"comedy","Sälmel","F",NA,NA,NA,"
          
Sälmel:

          
Was beliebt, Madame?

        
",0,"hahn-jungi-madamme",4,2,0.5,-0.415390544338457,1,-0.0110338302480175,0.388730604415783,-0.470612890967124,-0.40231492421708,-0.254392552696513,0.0507227870375619,0.628487234107103,-0.0175404987440604,-0.413719016658584
3,"comedy","Sälmel","F",NA,NA,NA,"
          
Sälmel:

          
Ei, sie isch jo do gewänn, awwer d'Madame hett jo gseit, sie soll numme widder gehn, sie hätt kein Zitt.

        
",0,"hahn-jungi-madamme",22,2,0.0909090909090909,-0.415390544338457,1,-0.0110338302480175,0.388730604415783,-0.470612890967124,-0.40231492421708,-0.254392552696513,0.0507227870375619,0.628487234107103,-0.0175404987440604,-0.413719016658584
4,"comedy","Amalie Schneider","F",NA,NA,NA,"
          
Amalie:

          
Herje, ja — ‘s isch jo wohr — och mit däre dumme Gschicht — wie ischs mit'm Esse, Sälmel? jetz isch's dreiviertel uff Zwelf!

        
",1,"hahn-jungi-madamme",27,4,0.148148148148148,-0.415390544338457,1,-0.0110338302480175,0.388730604415783,-0.470612890967124,-0.40231492421708,-0.254392552696513,0.0507227870375619,0.628487234107103,-0.0175404987440604,-0.413719016658584
5,"comedy","Sälmel","F",NA,NA,NA,"
          
Sälmel:

          
Ich mein ‘s Rindfleisch wurd nem weich, wenn‘s schun so spoot isch — ich hab's erscht vor ‘re halwe Stund in de Hafe gemacht —

        
",1,"hahn-jungi-madamme",28,5,0.178571428571429,-0.42746308548661,0.96286590907814,0.0123155361619978,0.355797363526351,-0.43516290317101,-0.415870582451342,-0.216615918239508,0.0188105174628328,0.573913607253938,0.00796970837000033,-0.375641129564783
7,"comedy","Sälmel","F",NA,NA,NA,"
          
Sälmel:

          
Ei jo, d’Madame hett jo gseit, sie bsorgt‘s — I hab halt d‘r Gang un d'Stay gebutzt, ‘s isch doch Samschdeu —

        
",1,"hahn-jungi-madamme",26,3,0.115384615384615,-0.42746308548661,0.96286590907814,0.0123155361619978,0.355797363526351,-0.43516290317101,-0.415870582451342,-0.216615918239508,0.0188105174628328,0.573913607253938,0.00796970837000033,-0.375641129564783
8,"comedy","Amalie Schneider","F",NA,NA,NA,"
          
Amelie:

          
Herrjeses — haw ich awwer jetz d‘Zitt versümt — in ‘re Stund wurd‘s Rindfleisch nit weich, hein?

        
",2,"hahn-jungi-madamme",20,2,0.1,-0.42746308548661,0.96286590907814,0.0123155361619978,0.355797363526351,-0.43516290317101,-0.415870582451342,-0.216615918239508,0.0188105174628328,0.573913607253938,0.00796970837000033,-0.375641129564783
9,"comedy","Sälmel","F",NA,NA,NA,"
          
Sälmel:

          
Ich glöub nit, Madame!

        
",2,"hahn-jungi-madamme",5,1,0.2,-0.42746308548661,0.96286590907814,0.0123155361619978,0.355797363526351,-0.43516290317101,-0.415870582451342,-0.216615918239508,0.0188105174628328,0.573913607253938,0.00796970837000033,-0.375641129564783
12,"comedy","Amalie Schneider","F",NA,NA,NA,"
          
Amelie:

          
Dräje Sie de Gas guet uff, daß es tichtig kocht, villicht packt's es noch — ah! — warte Sie mol — ich hab schun ghört, wenn m‘r Süd an‘s Gemues macht, wurd's schneller weich, — wenn m‘r e bissel an d‘Supp mache dät — ich mein m'r dät's nit schmecke — daß ‘s Fleisch weich dät wäre —

          

		
",3,"hahn-jungi-madamme",64,11,0.171875,-0.451285834907347,0.891319322499974,0.0569937511218854,0.291648612654851,-0.366032772586236,-0.442173244730875,-0.144205308575729,-0.0429877594597051,0.468484219946181,0.0576012510909114,-0.301589058273929
13,"comedy","Sälmel","F",NA,NA,NA,"
          
Sälmel :

          
(kichernd)

          
I weiß nit!

        
",3,"hahn-jungi-madamme",7,1,0.142857142857143,-0.451285834907347,0.891319322499974,0.0569937511218854,0.291648612654851,-0.366032772586236,-0.442173244730875,-0.144205308575729,-0.0429877594597051,0.468484219946181,0.0576012510909114,-0.301589058273929
14,"comedy","Amalie Schneider","F",NA,NA,NA,"
          
Amelie:

          
Scheele Si jetz emol e Will d‘Grum- beere — ich kumm d‘rno.

        
",3,"hahn-jungi-madamme",16,1,0.0625,-0.451285834907347,0.891319322499974,0.0569937511218854,0.291648612654851,-0.366032772586236,-0.442173244730875,-0.144205308575729,-0.0429877594597051,0.468484219946181,0.0576012510909114,-0.301589058273929
15,"comedy","Sälmel","F",NA,NA,NA,"
          
Sälmel:

          
Ja, Madame! 
(auf die Seite)
 Deß wurd m'r widder e natts Gfraß gann.

        
",3,"hahn-jungi-madamme",16,3,0.1875,-0.451285834907347,0.891319322499974,0.0569937511218854,0.291648612654851,-0.366032772586236,-0.442173244730875,-0.144205308575729,-0.0429877594597051,0.468484219946181,0.0576012510909114,-0.301589058273929
17,"comedy","Sälmel","F",NA,NA,NA,"
          
Sälmel:

          
Ich mein d’Grumbeere hänn noch e bissel Zitt —ich könnt noch gscwind s‘Schloofzim- mer mache — d‘Madame hett‘s hitt doch nit ge- maacht.

        
",4,"hahn-jungi-madamme",31,3,0.0967741935483871,-0.486195543902903,0.790580516728563,0.119114704162567,0.19962141136878,-0.266665670338139,-0.479665847888203,-0.0432078143652731,-0.130761655512738,0.319372770495129,0.128666159157374,-0.195646117998778
