drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,avgLexVal,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Oscar,MALE,,,,"
          
OSCAR:

          
Nur noch en Auesblick, Mamme. D’r letscht « Reim » zue mimm Gedicht kummt m’r nit in. 
          
(Deklamiert)

          

            
In dem himmlischen Gefilde

            
Schwebet Luna hoch und hehr;

            
Königin der Sterngebilde….

          
Weisch dü nix, wie zue « hehr » passt?

        
",0,hart-dr-poetisch-oscar,42,5,0.2216,0.119047619047619,,,,,,,,,,,
comedy,Oscar,MALE,,,,"
          
OSCAR:

          
Ei hehr isch doch hoch, erhawe, majestätisch. Kennsch denn dü dies Wort nit?

        
",1,hart-dr-poetisch-oscar,14,4,0.13675,0.2857142857142857,,,,,,,,,,,
comedy,Oscar,MALE,,,,"
          
OSCAR

          
(entsetzt):

          
Lina, nee awer Mamme, ich red doch vun d’r Luna, dies isch jo d’r Mond. 
          
(Zue Schakob, der in d’r Dier erschiene isch):
 Zaij, Schakob, bring m’r e schwarzer
          Kaffee uf dene Schrecke. 
          
(Schakob ab.)

        
",2,hart-dr-poetisch-oscar,43,5,0.0,0.1162790697674418,,,,,,,,,,,
comedy,Madame Schweberle,FEMALE,,,,"
          
Mme SCHWEBERLE:

          
Dies haw ich jetzt wieder nit gewisst, dass de Mond e su heisst. Awer Lina, oder Luna, dies isch
          g'hüpst wie g’sprunge; ich find, Oscar, es wär besser dü dätsch e mol e Gedicht üwer d’ Suzanne
          mache.

        
",3,hart-dr-poetisch-oscar,40,2,0.2817457465424827,0.05,,,,,,,,,,,
comedy,Oscar,MALE,,,,"
          
OSCAR:

          
Uewer d’ Suzanne? Do käm ich schoen an; dies dät mich nit üwel üsslache; ebs unpoetischeres als d’
          Suzanne git’s üewerhaupt in d’r ganze Welt nit.

        
",3,hart-dr-poetisch-oscar,28,2,0.0,0.0714285714285714,0.12801914930849653,0.17929999999999996,0.5549400625592565,0.099,0.5706120825219297,0.18600544970852795,0.29073655482198646,0.02504,0.1709180861788345,0.1798698270209301,0.597822564040448
comedy,Madame Schweberle,FEMALE,,,,"
          
Mme SCHWEBERLE:

          
D’ Suzanne isch e verständigs Maidel, un grad will’s ken so hochi Gedanke im Kopf het wie dü, täts
          am allerbeschte zue d’r passe. Lüej, Oscar, bim Suzanne
          
wärsch dü guet uffg'hebt. Es het Vermöje, es wär e Frau for ’s G’schäft, es versteht d’
          Hüshaltung….

        
",4,hart-dr-poetisch-oscar,49,6,0.15,0.1224489795918367,0.11369914930849653,0.18380666666666662,0.5733481038291546,0.10176666666666667,0.5764908536857988,0.18298544970852798,0.27810405326373344,0.01564,0.18285808617883453,0.16122575812413614,0.5960305396344541
comedy,Oscar,MALE,,,,"
          
OSCAR:

          
Mamme, hör uf oder ich lauf furt. Red m’r denn in de Lieb vum Vermöje, un wenn m’r eini lieb het,
          denkt m’r denn dran, ob se ’n e G’schäftsfrau isch, ob se ’n ebs vun d’r Hüshaltung versteht?

        
",4,hart-dr-poetisch-oscar,40,5,0.0,0.125,0.08634914930849653,0.18966666666666665,0.5363883837500871,0.10176666666666667,0.5754264705351291,0.160335449708528,0.34064624636585783,0.01628,0.12042,0.14719377996048855,0.6350208317122628
comedy,Madame Schweberle,FEMALE,,,,"
          
Mme SCHWEBERLE:

          
Verifer dich net, Oscar. Dass m’r in d’r Poesie an e so ebs nit denkt, dis weiss ich wohl, do tuets
          e jedi Zigienere, wenn se nur schoeni Aue het. Awer im wirikliche Läwe un wenn sich ’s um ’s Hieroote
          handelt, do muess m’r doch zuem allererschte an dies denke. Un weisch, mit’m Suzanne kännsch de grad e
          so furtläwe wie dü’s gewohnt bisch. Owets, nooch’m Nachtesse kännsch dinni Gedichtle mache, kännsch wie
          jetz e jeds Johr hie in dies Hotel kumme un e paar Wuche ganz in dinre Poesie läwe, — d’ Suzanne tät
          d’r gewiss ken Stein in de Weij leije.

        
",5,hart-dr-poetisch-oscar,109,10,0.0664763687610853,0.091743119266055,0.0996444230607136,0.22046666666666667,0.5039264016345344,0.07676666666666668,0.603008997983308,0.08585354447389196,0.3469940808459028,0.0117690295119709,0.059160000000000004,0.18232741293788038,0.6755350173051371
comedy,Oscar,MALE,,,,"
          
OSCAR:

          
Ihr verstehn mich alli mitenander nit. Was ich suech, isch e G’fährtin, e Seel, wie mit mir ringt,
          liedt un strebt, e Herz wie sich sehnt, wie suecht, un au besoin, still mit mim Herze verbluete
          kann.

        
",5,hart-dr-poetisch-oscar,38,6,0.0,0.1578947368421052,0.043295273752217055,0.24,0.4621449812690296,0.02056666666666666,0.6160068339728496,0.0247733514271513,0.38346074751256937,0.0117690295119709,0.059160000000000004,0.18232741293788038,0.7313108228726548
comedy,Madame Schweberle,FEMALE,,,,"
          
Mme SCHWEBERLE:

          
Geh, Oscar, red kenn so schrecklichi Sache; m’r kreijt jo e Heideangscht.

        
",6,hart-dr-poetisch-oscar,14,1,0.6946791132879534,0.0714285714285714,0.18223109640980772,0.29537553019886476,0.5398019378280117,0.1397854076064689,0.590665426799988,0.17377623367869152,0.3455607475125694,0.14881921016921146,0.21486358798808905,0.21832696631072515,0.6184374852287131
comedy,Oscar,MALE,,,,"
          
OSCAR:

          
Ja, Mamme, e Poet isch allewiel trürig; « Poesie ist tiefes Schmerzen ». 
          
(Zuem Schakob, der in d’r Dier erschient):
 Kummt d’r Kaffee ball, Schakob?

        
",6,hart-dr-poetisch-oscar,28,5,0.1185880113541622,0.1785714285714285,0.17594869868064017,0.27334886353219806,0.5430299253773233,0.1543513082477149,0.5538954499178362,0.1972717519009493,0.34806305597809045,0.20372286256504862,0.17916358798808904,0.23909363297739178,0.5755768107577434
comedy,Schakob,MALE,waiter,service_and_sales,lower_class,"
          
SCHAKOB:

          
Ei, Ihr were warte kenne 
          
(ab)
.

        
",7,hart-dr-poetisch-oscar,9,1,0.0,0.1111111111111111,0.17594869868064017,0.32147455222528815,0.5307768263918415,0.1543513082477149,0.5157914595067602,0.2254717519009493,0.21637450114671158,0.20308286256504862,0.18968358798808904,0.29105363297739184,0.5081179945142102
