,Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
0,0,comedy,Brummer,M,,,,"
            
BRUMMER

            
(vun rächts):

            
Wenn ich mich nitt drumbier, ze muess’s Narrehüss do in d’r Gejed sinn !

          
",0,jost-daa-im-narrehuss,19,1,0.0526315789473684,,,,,,,,,,,
1,2,comedy,E Passant,M,,,,"
            
PASSANT:

            
Nein, leider nitt ! 
(Geht wyddersch.)
 

          
",1,jost-daa-im-narrehuss,8,1,0.125,,,,,,,,,,,
2,4,comedy,E Passant,M,,,,"
            
PASSANT

            
(kummt wichtig zeruck):

            
Monsieur, meine Sie am End ’s Narrehüss ?

          
",2,jost-daa-im-narrehuss,13,3,0.2307692307692307,,,,,,,,,,,
3,5,comedy,Brummer,M,,,,"
            
BRUMMER:

            
Gewiss, diss suech ich jo!

          
",2,jost-daa-im-narrehuss,6,1,0.1666666666666666,,,,,,,,,,,
4,6,comedy,E Passant,M,,,,"
            
PASSANT:

            
Ja, wo diss isch, weiss ich nämlich au nitt! 
(Rächts ab.)
 

          
",3,jost-daa-im-narrehuss,14,1,0.0714285714285714,0.07640800846760788,0.15,0.4855508383240066,0.11092193554113203,0.4423285580133765,0.24939910975716878,0.14559999999999998,0.1489563848282885,0.0,0.04846666666666666,0.49718332932251375
5,7,comedy,Brummer,M,,,,"
            
BRUMMER

            
(wietig):

            
Awer zyttig sinn Sie, fur’s ball ze wisse ! Na, ich wurr’s schun finde ! No will ich awer im Monsieur Nervich, wo Dokter drinne-n-isch, schun de Marsch bloose ! 
(Lungt e Brief üss’m Sack)
 : Nitt nummen-ass’r hinter mym Buckel mit mynere Dochter e Techtelmechtel ang’fange hett, nein, jetzt fröjt’r mich au noch do in dem Brief um d’Hand vum Octavie ! Schamä! E 
 Narredokter kummt nitt in d’Famili Brummer ! Ihnne mache d’Kranke verruckt, er macht no myni Dochter verruckt unn die schliesslich noch mich — nein, so verruckt bin ich jetzt doch nitt ! Warte Sie, Herr Dokter, ich kenn Sie zwar noch nitt, awer hytt solle Sie mich kenne lehre, selbscht wenn’s Octavie noch so verruckt in Sie isch unn Sie noch so narrächt ins Octavie sinn ! E Narredokter ! M’r saat nitt umesunscht: « Sage mir, mit wem du umgehst, und ich will dir sagen, wer du bist!» Iwerhaupt, was verstehn d’junge Lytt vun d’r Lieb? Do g’heert Erfahrung dezue! Ich habb d’Lieb au erscht g’funde, wo myni erscht Frau dood isch g’sinn. In d’r Biwel steht bekanntlich: «Wen Gott liebt, den straft er!» Na, uff myni erscht Frau angewend, muess ich directement de Fifi vum liewe Herrgott gewänn sinn! Hoffetlich breche-n-awer jetzt besseri Zytte an, denn durich e Zyttungs-Annonce steh ich dato mit’re Mamsell im Briefwechsel ; denne-n-Oowe haw ich’s erscht Rendezvous mit’re, na, unn wenn d’Mamsell Euphrosine Bendélé nooch mym goût isch, ze wurd halt widder g’hyroot, awer nitt üss Verrucktheit, so wie d’junge Lytt! Die solle mit’m Hyroote liewer warte, bis ass s’e-n-au emool Wittmann sinn !

          
",3,jost-daa-im-narrehuss,286,37,0.1293706293706293,0.09417103636681297,0.19138486619423553,0.5213814615075141,0.1281651605572239,0.46808256940512666,0.1560988681080389,0.1859423088192862,0.16516464735162523,0.01921621621621622,0.0888840948785934,0.5296553131085655
6,11,comedy,Brummer,M,,,,"
            
BRUMMER

            
(luejt am Hüss nuff):

            
Ah, do owe huckt jo e Papegei, wo schynnt’s in ebber furtg’flöje-n-ich ! E zü scheens Dierele ! 
(Lockt’m):
 Lorele, kumm! Do isch Zuckerle !

          
",5,jost-daa-im-narrehuss,35,2,0.0571428571428571,0.01776302789920508,0.2546848661942355,0.5016825484633032,0.01724322501609188,0.5227891237084542,0.05256642501753678,0.2418423088192862,0.01620826252333674,0.01921621621621622,0.0888840948785934,0.6249839605387042
7,12,comedy,D’Stimm vum e Papegei,U,,,,"
            
PAPEGEI

            
(lacht):

            
Lorele will Kueche !

          
",6,jost-daa-im-narrehuss,7,1,0.1428571428571428,0.01776302789920508,0.22188486619423556,0.5762756184558482,0.01724322501609188,0.48506111402782864,0.01609975835087012,0.3918423088192862,0.01620826252333674,0.01921621621621622,0.040417428211926745,0.6652068097671762
8,13,comedy,Brummer,M,,,,"
            
BRUMMER:

            
E gelehrig’s Dierele ! Ich muess’s unbedingt fange, denn diss arm Vieh kummt jo in d’r Frejheit um! 
(Zuem Papegei):
 Kumm scheen, Lorele ! Kumm, schunscht fange dich d’beese Katze! 
(Fur sich):
 Jo, ’s lejt’m an !

          
",6,jost-daa-im-narrehuss,43,8,0.1860465116279069,0.026088027899205078,0.1605598661942355,0.5631324708405685,0.03202376225092934,0.48449192116362105,0.032126838540553884,0.4166006999705932,0.04604226836750188,0.04301621621621622,0.06728935686211363,0.6515247041937107
9,14,comedy,D’Stimm vum e Papegei,U,,,,"
            
PAPEGEI:

            
Lorele, kumm ! 
(Lacht.)
 

          
",7,jost-daa-im-narrehuss,6,2,0.3333333333333333,0.026088027899205078,0.22385986619423554,0.5621650125475579,0.03202376225092934,0.48634579860123106,0.032126838540553884,0.34600069997059324,0.04604226836750187,0.04301621621621622,0.06728935686211363,0.6371045705943019
10,15,comedy,Brummer,M,,,,"
            
BRUMMER:

            
’s wär direkt e Verbreche, so e schlöj’s Dierele umkumme ze lonn ! 
(Lockt’m still wyddersch.)
 

          
",7,jost-daa-im-narrehuss,20,4,0.2,0.04428228059090534,0.217625,0.550424847038171,0.047770982194676744,0.45990038805138606,0.08930520600752422,0.32770839115130695,0.09998732832416893,0.0402081911432217,0.037021928650186886,0.6028136055111759
11,16,comedy,E’n Arweiter,M,labourer,unknown,lower_class,"
            
ARWEITER:

            
Heiliché, haw ich e Durscht! 
(Leijt d’Leiter uff de Bodde):
 Ich will g’schwind do am Eck e Seidel schlutze gehn ! 
(Links ab.)
 

          
",8,jost-daa-im-narrehuss,28,3,0.1071428571428571,0.058882280590905334,0.1928583333333333,0.5853166714652662,0.047770982194676744,0.4709983582651107,0.11290520600752423,0.3082750578179736,0.11458732832416893,0.05167485780988836,0.0703552619835202,0.5928300334495843
12,17,comedy,Brummer,M,,,,"
            
BRUMMER:

            
Dem Vöjel kann ich lang ebbs vormache ! Ah, do lejt jo e Leiter ! Jetzt bekumm ich denne Babbelfritz doch. 
(Stellt d’Leiter an’s Hüss unn leijt syne Huet unn Stock näwe d’Leiter, krawelt nuff unn stehnt: «O je!» odder « So e Schinderej ! » unn geroot als mit de Fiess zwische d’Sprosse. Iwerdem lock’r wyddersch)
 : Lorele, sej brav! — Kumm scheen zuem Herrele! 
(Lockt’m still wyddersch.)
 

          
",8,jost-daa-im-narrehuss,77,11,0.1428571428571428,0.07537318968181442,0.2235492424242424,0.5046976643851545,0.047770982194676744,0.5004578306583374,0.14472338782570604,0.20149323963615542,0.12282369196053256,0.05636576690079744,0.11720988864300297,0.552982507571601
13,18,comedy,E Gauner,M,conman,unknown,lower_class,"
            
GAUNER

            
(kummt vorsichtig g’schliche unn nemmt de Huet unn de Stock vum Brummer):

            
M’r saat jo, ’s Geld lejt uff d’r Strooss ! Zwanzig Fränkle bekumm ich allewyll noch fur die paar Brocke ! 
(Links ab.)
 

          
",9,jost-daa-im-narrehuss,38,6,0.1578947368421052,0.07538152301514774,0.2046742424242424,0.5066964278993613,0.032990444959839285,0.5211646838248741,0.14536297430268894,0.20453484848484846,0.09298968611636742,0.04116576690079744,0.14469180301575604,0.5675702054393943
14,19,comedy,Brummer,M,,,,"
            
BRUMMER:

            
Lorele, ze kumm doch — baddabing ! d’Leiter isch ze kurz ! 
(Kummt vorsichtig erabb.)
 

          
",9,jost-daa-im-narrehuss,17,3,0.1764705882352941,0.08998152301514774,0.21484090909090905,0.476760253502977,0.032990444959839285,0.5491078127873708,0.18769630763602224,0.12953484848484847,0.09298968611636742,0.04116576690079744,0.21293699168079944,0.5512241536938636
