,Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
0,0,comedy,Lucie,F,,,,"
            
LUCIE :

            
(verstimmt)

            
Dü beeser Mann, ze witt de mich also denne Oowe schun widder ellein lonn ?

          
",0,jost-dr-erscht-handel,18,4,0.2222222222222222,,,,,,,,,,,
1,1,comedy,Pierre,M,,,,"
            
PIERRE :

            
(wichtig)

            
Ich muess, lieb’s Lucie ! Mir hann in d'r Societät e pressanti Vorstandssitzung.

          
",0,jost-dr-erscht-handel,17,2,0.1176470588235294,,,,,,,,,,,
2,2,comedy,Lucie,F,,,,"
            
LUCIE :

            
Pierre, wo mir awer noch fianciert sinn g’sinn, hesch de als g’saat: «Die in d'r
              Societät solle mir de Buckel nuffkrawle!» Jetzt awer, wo mir kümm acht Wuche g’hyroot
              sinn, bisch de schier keine Oowe meh heim : gescht Stammdisch-Daa, hytt
              Vorstandssitzung, morje Wahlversammlung, iwermorje weiss d'r Gücksel was! Ich glabb
              als, ass de mich nimmi lieb hesch unn dich drüsse amesiere dhuesch !
                
(Hyllt.)

          
",1,jost-dr-erscht-handel,68,5,0.0735294117647058,,,,,,,,,,,
3,3,comedy,Pierre,M,,,,"
            
PIERRE :

            
(umarmt s’e)

            
Wo denksch dü anne, dü Närrele ? Ich habb dich noch grad so lieb wie am erschte Daa.
              Awer dü muesch bedenke, ass’s dato uff d’Fescht- unn Wahlperiod losgeht unn ass ich
              die diverse Aemtle, wo ich akzeptiert habb, au gewissehaft üssiewe muess. Diss
              Friehjohr awer gibb ich iwerall myni Demission unn no kann ich alle Oowe widder by mym
              goldiche Wyewele sinn! Gell, myn Schatzele ?

          
",1,jost-dr-erscht-handel,74,5,0.0675675675675675,,,,,,,,,,,
4,4,comedy,Lucie,F,,,,"
            
LUCIE :

            
Wie wär diss doch so scheen, myn lieb’s Männele, unn gar noch, wenn mir ’s gross Los
              im Crédit National gewinne d’häte !

          
",2,jost-dr-erscht-handel,25,7,0.28,0.05770027340428252,0.30236542812757267,0.5081622526604112,0.07334188392521962,0.6005943733443388,0.1162160645764736,0.31304944844594457,0.10850681751933504,0.05950505251247312,0.17076348408221256,0.6525405896533021
5,5,comedy,Pierre,M,,,,"
            
PIERRE:

            
Ah, dü meinsch, wyll ich vor vierzeh Daa so e Babierele kauft habb !

          
",2,jost-dr-erscht-handel,14,1,0.0714285714285714,0.01839299281337718,0.2672154281275726,0.5469691779602333,0.1435403644957054,0.5897180345695762,0.14370155759431485,0.2911494484459446,0.019386131299248998,0.04309686136925142,0.16061348408221257,0.6217136870822535
6,6,comedy,Lucie,F,,,,"
            
LUCIE :

            
Ja, unn morje isch d’Tirasch 
(trage - Ziehung)
! Was meinsch, Pierre,
              wenn unseri Nummer als erschti erüss käm ! E ganzi, bari Million dhäte mir üssbezahlt
              bekumme ! Wie kennte mir do glicklich läwe !

          
",3,jost-dr-erscht-handel,36,6,0.1666666666666666,0.01839299281337718,0.2085472977609661,0.5501116663843442,0.14354036449570542,0.5710601371176821,0.14370155759431485,0.2925393105126487,0.019386131299248998,0.051696861369251425,0.1772801507488792,0.6166884755926876
7,7,comedy,Pierre,M,,,,"
            
PIERRE:

            
Lieb’s Kind, mir hann au ohne e Million, was mir zuem Läwe brüche. Unn wenn dü mich
              dezue noch arich lieb hesch, ze pfyff ich uff alli Millione vun d'r Welt !

          
",3,jost-dr-erscht-handel,33,5,0.1515151515151515,0.01839299281337718,0.252069054200894,0.5452048356471658,0.14354036449570542,0.5889129217873641,0.1191302519769899,0.3533277722551691,0.019386131299248998,0.051696861369251425,0.17352015074887925,0.6561195410002818
8,8,comedy,Lucie,F,,,,"
            
LUCIE :

            
O, dü Liewer ! 
(Gitt'm e Schmutz.)
 Awer nitt wohr, m'r därf doch devun
              redde, was m'r in so e’me Fall macht ? Ich habb mir schun üssgedenkt, was ich alles
              anfang, wenn mir ’s grosse Los gewinne.

          
",4,jost-dr-erscht-handel,41,8,0.1951219512195122,0.01839299281337718,0.30425834618842745,0.5706827522747993,0.14354036449570542,0.5933860006407784,0.1226552519769899,0.38546379237950507,0.019386131299248998,0.0714218613692514,0.1792906188303604,0.6634849311446404
9,9,comedy,Pierre,M,,,,"
            
PIERRE :

            
(lacht)

            
Jetzert isch die Frau wajer schun am Gewinne unn hett erscht noch vor zwei Minütte
              vum « Gewinne- dhäte» geredd! Unn unterm grosse Los macht s’e’s au noch hitt emool
              !

          
",4,jost-dr-erscht-handel,38,5,0.131578947368421,0.0,0.3018211616209269,0.5928206514355742,0.13120000000000004,0.6025239105887523,0.10032499999999997,0.41510878049573063,0.0,0.047404999999999975,0.2017933483654589,0.668583139762673
