Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,short_name,numTokens,numLexTokens,avgLexVal,lexRatio
0,comedy,Fritz,M,,,,"
          
Fritz :

          
 (unwillig)

          
Versüere möcht mer im Essikrüj. Jetz isch’s nine zmorjes un der Meischter isch schun wider furt. Küm het er de Café getrunke, macht er sich uf d' Reis un geht mit sine Neüigkeite un dauwe Blän hüsiere. Ja, wenns noch fürs Gschäft wär, des dhät mer sich gfalle Ion. Awer naan — nur fraubase will er un sich wichti mache mit sine Gschichtle üwer dene un zelle. No wurd ball do e Schöppele gepfetzt, dort e bissel Babbel- waffer getrunke, am zwölfe kommt er haam mit em e klaane Dembes un unsereins kann von Morjes bis z’Owes schaffe un sich blöje. Dürts 
(Es Klopft.)

        
",lasch-dr-babbler,113,7,0.14699372700025767,0.061946902654867256
2,comedy,Müller,M,,,,"
          
Müller :

          
(in elegantem Straßenanzug, erregt)

          
Bonjour, kann ich mit em Meischter redde?

        
",lasch-dr-babbler,14,1,0.0,0.07142857142857142
3,comedy,Fritz,M,,,,"
          
Fritz :

          
(springt vom Tisch herunter, höflich)

          
Ewe isch er üsgange,

        
",lasch-dr-babbler,12,1,0.0,0.08333333333333333
4,comedy,Müller,M,,,,"
          
Müller:

          
Ze ward i e Auesblick.

        
",lasch-dr-babbler,6,1,0.7094284434654502,0.16666666666666666
5,comedy,Fritz,M,,,,"
          
Fritz :

          
(stellt einen Stuhl hin, verlegen)

          
Des kennt am End e langer Auesblick wäre.

        
",lasch-dr-babbler,16,3,0.0,0.1875
6,comedy,Müller,M,,,,"
          
Müller:

          
Wieso? Ihr Meischter isch doch bi kaanre Licht?

        
",lasch-dr-babbler,9,1,0.0,0.1111111111111111
7,comedy,Fritz,M,,,,"
          
Fritz :

          
(zögernd)

          
Zell nit grad. Awer er isch hit güet uffgelajt un do dürts immer e Paar Stündle bis er widder kummt.

        
",lasch-dr-babbler,24,2,0.0,0.08333333333333333
8,comedy,Müller,M,,,,"
          
Müller:

          
Na dis schint mer e netti Hüshaltung ze sin. Awer saue sie emol, wie rauchts denn mit mim neue Frack? Am Dienschdaa isch mini Hoch- zit, hit isch Samschdaa. Er het mer versproche, ne unfehlbar uf hit ferti ze mache.

        
",lasch-dr-babbler,42,6,0.155,0.14285714285714285
10,comedy,Müller,M,,,,"
          
Müller :

          
(braust auf)

          
Was?! Sie wisse nix?! Jetz wurd’s mer nimmi besser! Ja maant denn der gebickt Geisbock ich loß mich von im an d’r Nas erumfüere? Süeche Sie numme, wenns beliebt. Des Staatshawit hängt sicher irix. Fritz 
(sucht unter den halbfertigen Kleidern, findet nichts, end- lich, entdeckt er ein größeres Paket mit der Aufschrift einer Tuchfirma und der Bemerkung: Pour Monsieur Müller)
 : S’dhüet mer leid, Herr Müller, ich kann nix finde. Nur do isch e Päckel «pour Monsieur Müller». Villicht, daß do ebbs drinne isch. Ich will doch lüeje 
(öffnet und wickelt ein Stück feines ich warzes Tuch heraus)
; soll des ebbe der Frack sin?

        
",lasch-dr-babbler,117,11,0.11154545454545453,0.09401709401709402
11,comedy,Müller,M,,,,"
          
Müller :

          
(erbost)

          
Ich glaub, Sie welle ütze?! Des isch e Frechheit, e Niederträchtigkeit von Ihrem Meischter, mich so sitze ze lon. Here mit dem Päckel, ich find e andere Schnider. Aber Ihrem Herre soll des gedenke, so schnell nemmt er nieme meh ins Gschirr . . . 
(will eilig fort)
.

        
",lasch-dr-babbler,51,7,0.33696201451340746,0.13725490196078433
