drama_type,speaker,sex,job,social_class,text,numTokens,numLexTokens,avgLexVal,lexRatio
unknown,Fraü RATTEGIFT,F,sweeper,,"Fraü Rattegift.
Eh jo! grad ha-n-i's gnu, dert am Ecke.
",13,2,0.7616388100940158,0.15384615384615385
unknown,Fraü ENTESCHNAWEL,F,sweeper,,"Fraü Enteschnawel.
's isch doch sunderbar, ass me-n-ohne Schnaps nitt
                        wische ka! nitt wohr?
",16,2,0.5677775628539101,0.125
unknown,Fraü DICKSACK,F,sweeper,,"Fraü Dicksack.
Jà, das sin halt veritawlige Magetropfe, ohne die ka
                        me's nitt mache, me hat ohne das scho genüe Mieih, fir
                        dr Bàse z'hewe.
",27,2,0.366458507637094,0.07407407407407407
unknown,Fraü RATTEGIFT,F,sweeper,,"Fraü Rattegift.
Ich, wenn ich nitt glich dr Schnaps nimm am Morge
                        frieih, so ha-n-i 's Herzwasser, do ka-n-i sicher si!
",25,2,0.6937585138986331,0.08
unknown,Fraü ENTESCHNAWEL,F,sweeper,,"Fraü Enteschnawel.
Un ich dr Schlotteri!... 's isch nur noch güet, ass me
                        das hat... denn vom Wi isch gar kei Red meh!
",23,1,0.8496361744517235,0.043478260869565216
unknown,Fraü DICKSACK,F,sweeper,,"Fraü Dicksack.
Jo, ich, wo g'wöhnt gsi bi, alle Tag mi Schäpple z'nàh,
                        ich müess es jetz o fahre lo, er isch efange züe arg
                        thir, ich ka's nimmig prestiere... grad jetz, wo-n-ich
                        alt wird un wo-n-i's am nothwendigste hätt!
",47,3,0.5237210209946305,0.06382978723404255
unknown,Fraü RATTEGIFT,F,sweeper,,"Fraü Rattegift.
Me müess sich halt jetz e wenig mehr uf 's Kaffee lege,
                        züem Glick isch jetz d'Milchhalle do, wo eim d'Milch
                        wohlfeiler git!...
",27,3,0.5973768177292204,0.1111111111111111
unknown,Fraü ENTESCHNAWEL,F,sweeper,,"Fraü Enteschnawel.
Meine-n-Ihr bringe se's züe ebbes... ich find nur, se
                        thien gar vielerlei Wàgele mache?...
",19,2,0.41157464193926513,0.10526315789473684
unknown,PETER,M,sweeper,,"Peter
(kunnt hinte-n-ine mit eme Bàse-n-uf dr Achsle un e
                        Spretzkanne dra hànke)
Zeige-n-ihr Wiwer! me sieht wieder nit as d'Miler geh,
                        awer kei einziger Bàse!
",35,1,0.714,0.02857142857142857
unknown,Fraü DICKSACK,F,sweeper,,"Fraü Dicksack.
Fir was solle mir awer o wische, d'Eigethümer thien jo
                        doch allewil reklamiere, 's will kein dr Dreck vor si
                        Thüre g'wischt ha un do lehn mr ne ringer iwerall
                        liege? eso sin alle z'friede.
",39,4,0.5001188465957729,0.10256410256410256
unknown,group,sex_unknown,job_unknown,social_class_unknown,"Mitnander.

            
",1,1,0.8004800063959762,1.0
unknown,Herr FISSELBOGE,M,musician,,"Herr Fisselboge
(kunnt ine mit siner Gige)
Jà, jà... do ka me geh hirothe!... Küm isch's jetz vier
                        Wuche, ass uns das siesse Band umschlunge hat, mich un
                        's Gretele, ihr ken ne jo 's Gretele?... un scho isch's
                        jetz abnander... nitt 's Gretele, 's Band!.. 's isch uf
                        un dervo!... nitt 's Band, 's Gretele!... 's wird
                        wieder züem Herr Heiterwiss gange si... ich ha ewe jetz
                        kei Geld meh... mr hàn alles dureg'màcht... ich müess
                        jetz wieder geh Lektione gà!...

            
",86,9,0.5956829368418894,0.10465116279069768
unknown,Herr SCHARFMESSER,M,barber,,"Herr Scharfmesser
(kunnt ine)
Sage Se, güeter Frind... ich bi dr Herr Scharfmesser, dr
                        Balwierer... Se kenne mich jo... hàn Se viellicht mi
                        Fraü niene g'sàh?... 's isch eso ne kleine rothe, mit
                        ere Mannerstimm!
",37,6,0.6291856867285031,0.16216216216216217
unknown,Herr FISSELBOGE,M,musician,,"Herr Fisselboge.
Ich ha scho g'nüe z'süeche an minere, Herr
                        Scharfmesser...
",12,3,0.5916993336629854,0.25
unknown,Herr SCHARFMESSER,M,barber,,"Herr Scharfmesser.
Ah! Sie o?...
",5,1,0.578708951845571,0.2
