Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,short_name,numTokens,numLexTokens,avgLexVal,lexRatio
0,comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Chrischtian:

          
Nümmero 44: Marie Gäisele üs. Wisseburri. Nümmero 45: Schosaff Dunkeli üs Colmer. Nümmero 46: Hanriatt Plapsel üs Babe-Bade. Nümmero 47: Rudi Tschöjdi üs Basel. Nümmero 48: Emanüel Ochsekopf üs Strooßburri. Nümmero 49: Xaverie Klappri üs Offedorf.

        
",riff-d-schloofere,37,3,0.0,0.08108108108108109
1,comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Chrischtian :

          
(immer weiter lesend)

          
Nümmero 50: Antoin Imbecile üs Nanzig.
 Nümmero 51: Emilie Kälwele üs Stroßburri. Nümmero 52: Otto Ratzeritzky üs Kattowitz, un Nümmero 53: Kathrin Galleräi üs Schilke. 
(Mariann nimmt am Tische Platz )
      
        
",riff-d-schloofere,38,1,0.0,0.02631578947368421
3,comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Chrischtian:

          
Ja, dies warde sechs wenjer wie gescht.

        
",riff-d-schloofere,8,4,0.11925,0.5
5,comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Chrischtian:

          
(wichtig)

          
Fuffzig mol fünf isch zwäi- hündertunfuffzig.

        
",riff-d-schloofere,11,2,0.0,0.18181818181818182
7,comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Chrischtian:

          
Drejmol fünf isch fuffzehn, Däuwohrel.

        
",riff-d-schloofere,6,1,0.0,0.16666666666666666
9,comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Chrischtian :

          
(wichtig)

          
Zyter daß d'r Schuelmäischter d'nöij Ortographie in ünserer Gemäin inggfüehrt het.

        
",riff-d-schloofere,16,3,0.0,0.1875
10,comedy,s Gassenhansels-Mariann,M,,,,"
          
Mariann:

          
Mit dene däuwe Anderunge allewiel.

        
",riff-d-schloofere,6,1,0.617,0.16666666666666666
11,comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Chrischtian :

          
Also, zwäihündertfuffzig un fuffzehn isch zwäihündertfünfesaachzig.

        
",riff-d-schloofere,7,1,0.0,0.14285714285714285
12,comedy,s Gassenhansels-Mariann,M,,,,"
          
Mariann:

          
(steht auf)

          
Jaaa, jetzt kummt m'r aw'r äu grood ebs ing: inger danne drejefuffzig Patiante sin aw'r doch äu sechs dringer gewahn, wie fer e Sitzung nooch üswarts zwölf Mark oongerachent höön kriejt, statts fünf.

        
",riff-d-schloofere,38,2,0.2775,0.05263157894736842
13,comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Chrischtian:

          
Ah jaso. — Dies warde halt no wied’r e paar Mark meh. Sechs mol siewe.

        
",riff-d-schloofere,16,3,0.159,0.1875
15,comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Chrischtian :

          
Isch zwäijevierzig. Zü dane zwäi- hündertunfünfesachzig Mark, isch : 
(rechnet schriftlich auf einem Blatt Papier)
 
 Zwäihündertunfünfesaachzig un Zwäijevierzig, Strich dringer. — So. — Zwäi un fünf isch siewe — schrieb siewe. — Vier und sechs isch zehn - schrieb Null un bhalt äins. — Zwäi, un äins bhalte, isch drej. — Dies warde also drejhündertunsiewe Mark.

        
",riff-d-schloofere,59,3,0.2293333333333333,0.05084745762711865
16,comedy,s Gassenhansels-Mariann,M,,,,"
          
Mariann:

          
Vun eem Däuej wied'r! — E scheens Stickel Gald! — So an eem Däuej ze v'rdiene! — M'r sott's wajer fascht nit fer möejli halte.

        
",riff-d-schloofere,27,3,0.3101957659760135,0.1111111111111111
17,comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Chrischtian :

          
(lachend)

          
Do sell nocch emol Äiner säueje, ’s gabt noch däuwi Büüre !

        
",riff-d-schloofere,15,2,0.0,0.13333333333333333
