,Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
0,3,comedy,Mey-Katt,F,,,,"
          
Mey-Katt:

          
Ja; loß dich nit v'rwitsche. — Ha- hahahahaha!

        
",1,riff-dr-hasestrickler,10,1,0.1,,,,,,,,,,,
1,4,comedy,Schakob Schlicher,M,,,,"
          
Schakob:

          
Zem Dejhanker noch emol ning, laach doch nit eso stiermaaßi

        
",1,riff-dr-hasestrickler,11,2,0.1818181818181818,,,,,,,,,,,
2,5,comedy,Mey-Katt,F,,,,"
          
Mey-Katt :

          
(spöttisch)

          
Dü hesch e-n Angscht!

        
",1,riff-dr-hasestrickler,8,1,0.125,,,,,,,,,,,
3,6,comedy,Schakob Schlicher,M,,,,"
          
Schakob:

          
War het e-n Angscht?!

        
",2,riff-dr-hasestrickler,5,1,0.2,,,,,,,,,,,
4,8,comedy,Schakob Schlicher,M,,,,"
          
Schakob:

          
Wenn Alles erüskaamt — — — dies gabt m‘r e scheeni Gschieht — — — e häilichee — m‘r kamte uf Anze! — 
(schreit)
 Alli mitnöönd kamte m‘r uf Anze!

        
",2,riff-dr-hasestrickler,33,3,0.0909090909090909,0.0689957977567355,0.3095,0.6466330835636501,0.06370460437730366,0.4651957268032171,0.37677927965487,0.32081733203265306,0.054058032827556404,0.07128210621601253,0.07731877326561792,0.4888924027715878
5,9,comedy,Mey-Katt,F,,,,"
          
Mey-Katt:

          
Zem Dejhanker noch emol, briell doch nit eso stiermaaßi.

        
",3,riff-dr-hasestrickler,10,2,0.2,0.189491595513471,0.3368,0.6708668221005777,0.12740920875460732,0.4890449106158587,0.45103938579912956,0.17521733203265308,0.10811606565511281,0.11968210621601252,0.07731877326561792,0.4015132063017159
6,10,comedy,Schakob Schlicher,M,,,,"
          
Schakob:

          
Aha, war het jetzt Angscht?

        
",3,riff-dr-hasestrickler,6,1,0.1666666666666666,0.1204957977567355,0.3735,0.6876291690179732,0.06370460437730366,0.4508791267732265,0.5280388664101752,0.1042,0.054058032827556404,0.0484,0.029066964418103504,0.3328200173280599
7,11,comedy,Mey-Katt,F,,,,"
          
Mey-Katt:

          
Ich uf kene Fall!

        
",3,riff-dr-hasestrickler,5,2,0.4,0.1204957977567355,0.31729999999999997,0.645651748999124,0.06370460437730366,0.4976766362036207,0.39087927965486996,0.15889999999999999,0.054058032827556404,0.0484,0.029066964418103504,0.40778574084335906
8,12,comedy,Schakob Schlicher,M,,,,"
          
Schakob :

          
(spöttisch)

          
Nee, dü nit, aw‘r din schlaacht Gewisse!

          

        
",4,riff-dr-hasestrickler,11,2,0.1818181818181818,0.1537957977567355,0.21109999999999998,0.5899605025091359,0.12282706788126063,0.5237550710491449,0.3037280515038775,0.15889999999999999,0.11719415861419868,0.0484,0.09132493714589099,0.4438155119862281
9,13,comedy,Mey-Katt,F,,,,"
          
Mey-Katt :

          
(affektiert)

          
„Gewisse“! — Pah, ‘s „selaacht Gewisse!“ — Min Gewisse wurd eso pro- per sin wie Dins! V'rstange, däuwi Gäusch?!

        
",4,riff-dr-hasestrickler,28,3,0.1071428571428571,0.1537957977567355,0.18349999999999997,0.5800206556798176,0.12282706788126063,0.551085976919402,0.3037280515038775,0.054700000000000006,0.11719415861419868,0.0484,0.18677391818336245,0.43443917119274156
10,14,comedy,Schakob Schlicher,M,,,,"
          
Schakob:

          
Maach din däub Mül jetz emol zü — un dert driewe d’Kiehedhüer! Miteß dann d‘r Läum im göönze Hüs erumziche?!

        
",4,riff-dr-hasestrickler,22,2,0.0909090909090909,0.0333,0.15619999999999998,0.4847596722836771,0.05912246350395696,0.5285842014955822,0.22946794535961795,0.1106,0.06313612578664228,0.0172,0.18677391818336245,0.5158367315005269
