Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,short_name,numTokens,numLexTokens,avgLexVal,lexRatio
0,comedy,Marie,F,,,,"
            
Marie.

            
S'isch m'r ganz e Kriz, alle-n-Äujeblick muess d'r Herr Dr. Freundlich kumme-n-üs d'r Stadt, um
            bim Vater um mini Hand anzehalte, in d'r guete Meinung d'r Vater weiss alles.

          
",stoskopf-dr-herr-maire,35,9,0.6285456680653527,0.2571428571428571
1,comedy,Grethl,F,,,,"
            
Grethl.

            
Diss wurd m'r e süfere G'schicht gän...., d'r Vater wie pardü nix vum e Stadtherr wisse will.

          
",stoskopf-dr-herr-maire,18,3,0.6535611513013756,0.16666666666666666
2,comedy,Marie,F,,,,"
            
Marie.

            
Wenn d'r Vater numme nit so böes gelünt wär.....

          
",stoskopf-dr-herr-maire,10,2,0.6187701751801715,0.2
4,comedy,Marie,F,,,,"
            
Marie.

            
Die Malchance! Z'erscht krejt'r sini Rhümatisse, no wurd d'r Adjunt Meischter im
            Gemänerath.....

          
",stoskopf-dr-herr-maire,14,1,0.418,0.07142857142857142
5,comedy,Grethl,F,,,,"
            
Grethl.

            
Jo, un was ne ganz üsser Rand und Band gebrocht hett, diss isch, dass d'r Schulzebür vun Ziwelse
            de Kronen-
            
Ordre IV. Class krejt hett, un er hett ne noch nit 
            
(Man hört hinter der Bühne zankende Stimmen.)

          
",stoskopf-dr-herr-maire,42,4,0.536386428946302,0.09523809523809523
6,comedy,Marie,F,,,,"
            
Marie.

            
Jesses Maria! Grethl hörsch ? S'isch d'r Vater wie wid'r Händel hett mit d'r Fränz! —

          
",stoskopf-dr-herr-maire,17,4,0.5836962886501167,0.23529411764705882
8,comedy,D'r Herr Maire,M,,,,"
            
Maire

            
(zur Türe hinaussprechend.)

            
Ja, un dass 'r 's wisse, ich hab's satt mit-i, satt hawi's mit-i; uff Wihnachte kind ich ejch uff!
            Ich hab mi jetzt schun ball vierzig Johr vun-i kummedeere lon, awer jetzt isch m'r d'r Geduldfade
            verrisse. — Ei mini Rhümatisse! —

          
",stoskopf-dr-herr-maire,50,9,0.556295530788686,0.18
9,comedy,Grethl,F,,,,"
            
Grethl.

            
Ja, was isch denn schun wid'r passeert Vater ?

          
",stoskopf-dr-herr-maire,9,2,0.6153212939954047,0.2222222222222222
10,comedy,D'r Herr Maire,M,,,,"
            
Maire.

            
Was paaseert isch? Was? — Zuem Hüs nüs muess se, s'isch nix meh mit ere anzefange. Sie isch
            allewyl ihr Kopfs! — Ich hab welle han, dass se wie gewöhnli am Massti Suppepastetle macht un
            Marikknöpfle in d'Supp. — Jetzt, was mäne-n-ihr? Nix vun dem het se gemacht! Isch diss äu e-n-Asse
            for e Massti? — E Masstiasse ohne Suppepastetle un Marikknöpfle in d'r Supp, was wäre do unseri
            Visite säuje? Die wäre mäne, sie sin anstatt bim Herr Maire, bie Lumpevolik, bie Korbmacher, bie
            Kesselflicker ingelade! E Massti ohne Suppepastetle un Marikknöpfle, ob diss gepermetteert isch! —
            Ebb diss schun än Mensch erlebt hett.
            

          
",stoskopf-dr-herr-maire,112,5,0.6553459394220118,0.044642857142857144
11,comedy,Marie,F,,,,"
            
Marie.

            
Alle Vater, verzirne-n-ejch nit eso, ihr wisse jo, 's macht ejch nit guet. D'Fränz isch e-n-alti
            wunderlichi Fräuj. Sie isch jetzt schun noht an veerzig Johr im Hüs, do muess m'r e bissel Nochsahns
            han. Kenn Mensch isch perfekt.

          
",stoskopf-dr-herr-maire,45,7,0.6833881886949867,0.15555555555555556
