,Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
0,3,comedy,"Eine alte Frau. ― Leute aus dem Hause, Dienstboten, Polizisten.",B,policeman,government_executive_officials,lower_class,"
        
Alte Frau:

        
Ja, sin’r ejrer Sach) denn au ganz sicher ?

      
",3,stoskopf-e-mordsaffar,11,4,0.3636363636363636,,,,,,,,,,,
1,4,comedy,Schuster,M,,,,"
        
Schuster:

        
Au noch?! Ihr muehn e solide Schlof han oder daub sin wie e Pfohl, wenn er nix g'hört han vun dem Mord un Totschlaa 
(zu den Leuten im Türrahmen)
 Ihr han’s doch alli ghört? —

      
",4,stoskopf-e-mordsaffar,39,2,0.0512820512820512,,,,,,,,,,,
2,5,comedy,Eine alte Frau,F,,,,"
        
Alle :

        
(mit dem Kopfe nickend)

        
Ja, un ob!—

      
",5,stoskopf-e-mordsaffar,11,1,0.0909090909090909,,,,,,,,,,,
3,6,comedy,Katherin,F,,,,"
        
Katherin:

        
Es isch ganz gottsjämmerlich g’sin, diß Gebruels anzehöre ! Die arm Frau hett gejehlt un gekrische, wie er als uf se g’haue hett, daß sich d'Stein hätte-n-erweiche möchte!

      
",6,stoskopf-e-mordsaffar,31,4,0.1290322580645161,,,,,,,,,,,
4,7,comedy,Schuster,M,,,,"
        
Schuster:

        
E jede Streich hawi g’hört, wie ere versetzt hett.

      
",7,stoskopf-e-mordsaffar,10,1,0.1,0.21121769903852194,0.0,0.5250999928958009,0.12690848350030207,0.44578346967542953,0.1795537424930668,0.26985,0.25036230055580055,0.062106471940659005,0.0629,0.4669069839578399
5,8,comedy,"Eine alte Frau. ― Leute aus dem Hause, Dienstboten, Polizisten.",B,policeman,government_executive_officials,lower_class,"
        
Alte Frau:

        
Um well Zitt isch’s g’sin?

      
",8,stoskopf-e-mordsaffar,8,2,0.25,0.21121769903852194,0.0516,0.4966708418601538,0.12690848350030207,0.43403703179151487,0.1795537424930668,0.19264999999999996,0.25036230055580055,0.062106471940659005,0.0586,0.4303524961850691
6,9,comedy,Marie,F,,,,"
        
Marie:

        
S’isch geje de Zwölfe g’sin.

      
",9,stoskopf-e-mordsaffar,7,1,0.1428571428571428,0.11710000000000001,0.0516,0.444450724665583,0.0,0.4372587832828712,0.0876,0.19264999999999996,0.16629999999999998,0.0,0.0586,0.47208274877123413
7,10,comedy,"Eine alte Frau. ― Leute aus dem Hause, Dienstboten, Polizisten.",B,policeman,government_executive_officials,lower_class,"
        
Alte Frau:

        
In d'r Beischterstund ?!

      
",10,stoskopf-e-mordsaffar,5,1,0.2,0.11710000000000001,0.0516,0.3702599581398931,0.0,0.44349148667674854,0.0876,0.047049999999999995,0.16629999999999998,0.0,0.1758,0.4241887439283973
8,11,comedy,Marie,F,,,,"
        
Marie:

        
Ich hab grad getraimt g’hett, daß d’Hüsare vun Stroßburri versetzt worre sin, do krej ich e Mordsschrecke un verwach un hör im Zimmer newe mir — wisse Sie, ich schloof newe d’r Herr- schaft wäje-n-em kleine Kind — un hör, wie g’saat, e Heidespektakel.

      
",11,stoskopf-e-mordsaffar,49,6,0.1224489795918367,0.141,0.06903333333333332,0.3991545563051422,0.006266666666666661,0.4407363366056816,0.13673664456720114,0.03196718938539622,0.18569999999999998,0.0,0.19506666666666664,0.42074034344329936
9,12,comedy,Schuster,M,,,,"
        
Schuster:

        
Grad wie ich, ich hab grad getraimt, ich hab e Los genumme in ere Lotterie, un im Moment, wie ich m’r’s Nummero hab merike welle, wur ich uffgeweckt durich e Läwesdaa iwer mir, wie ganz gottvergesse-n-isch g’sin. Ich rieb m’r d’Aue-n- üs un fall fascht in Ohnmacht, im Bett newe mir steht e großi wiffi G'stalt uffrecht an d'r Wand...

      
",12,stoskopf-e-mordsaffar,66,9,0.1363636363636363,0.08220000000000001,0.11034444444444443,0.41702912487555704,0.006266666666666661,0.5008964986322055,0.061647755678312245,0.05427164443343776,0.05547777777777774,0.0217111111111111,0.24211111111111108,0.4968007298021841
10,13,comedy,"Eine alte Frau. ― Leute aus dem Hause, Dienstboten, Polizisten.",B,policeman,government_executive_officials,lower_class,"
        
Alte Frau:

        
Um’s Gottswille isch’s möjli? — Es isch doch ken G’spenscht g’sin?

      
",13,stoskopf-e-mordsaffar,15,2,0.1333333333333333,0.08220000000000001,0.05874444444444442,0.4569729274944871,0.006266666666666661,0.4907794505120687,0.12196004555799662,0.05427164443343776,0.05547777777777774,0.0217111111111111,0.24211111111111108,0.47404436895104307
11,14,comedy,Schuster,M,,,,"
        
Schuster:

        
Nein, es isch mini Frau g’sin, wie au schun vun dem Läwesdaa uffgeweckt isch g’sin, un wie gelüschtert hett. „Hörsch?“ saat sie zue mir. „Ja Frau,” hawi zue ere g’saat. „Diß isch jo schreckli,” hett sie g’saat, „diß isch jo schreckli” saa ich d’rno.

      
",14,stoskopf-e-mordsaffar,54,5,0.0925925925925925,0.09237432906303629,0.09745465652399032,0.5064699799196746,0.053954163042587565,0.5177119825142421,0.1815611984586127,0.10275164443343773,0.11029785004067397,0.0839925463063467,0.2964311111111111,0.5054108901563411
12,15,comedy,Katherin,F,,,,"
        
Katherin :

        
(welche bestätigend mit dem Kopfe genickt hat)

        
Un no han m’r mitnander gelüschtert. D’Hoor sin uns ze Berry g’stande, wie der sini Frau verschlaaue hett. Bim e jede Streich wie m’r süse han höre, han m’r uns als gebuckt, un glich druff hett m’r als wid’r krische höre. Diß Ding hett e Wyl so furt gedürt, bis’r sie kalt gemacht hett g’hett. Im ganze Zimmer isch’r ’re nochgeloffe, bis’r se verwitscht hett. Sie hett sich natierlich flüchte welle, awer der elend Herr hett allewäj d’Tür zueb’schlosse g’hett —.

      
",15,stoskopf-e-mordsaffar,93,8,0.086021505376344,0.13735309078201455,0.09745465652399032,0.5474371594881611,0.08296839351829614,0.5268146231135559,0.22538379328126842,0.12245164443343774,0.15498291530025338,0.11765953819155095,0.1974061111111111,0.5055695648168739
13,16,comedy,Schuster,M,,,,"
        
Schuster:

        
„Un dü gehsch m’r doch nit durich,” hett’r als g’saat, „miserawls G’schöpf, elends,” un bumms hett'r wid’r eins drufflosg’haue, un die arm Frau hett gekrische, daß’s eim durich Mark un Bein g'fahre-n-isch.

      
",16,stoskopf-e-mordsaffar,40,2,0.05,0.10055309078201455,0.080021323190657,0.5372140038681537,0.11970172685162947,0.5064486837492657,0.2102471487140673,0.09048445504804152,0.1636829153002534,0.11765953819155095,0.17813944444444443,0.5040364168839583
