Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,short_name,numTokens,numLexTokens,avgLexVal,lexRatio
0,comedy,Antoine Ropfer,MALE,,,,"
          
Ropfer:

          
In ere halwe Stund könne-n-’r Ejeri Arzneje hole, Vater
        Chrischtel.

        
",stoskopf-ins-ropfers-apothek,13,1,0.0,0.07692307692307693
1,comedy,D’r Chrischtenatz,MALE,farmer,agriculture,lower_class,"
          
Chrischtenatz:

          
Jo, Herr Ropfer, „merci“ Herr Ropfer. 
(ab)

        
",stoskopf-ins-ropfers-apothek,12,2,0.0,0.16666666666666666
2,comedy,Antoine Ropfer,MALE,,,,"
          
Ropfer

           
(zu Jules):
 
          
Monsieur Jules, mache Sie die zwei Rezepter glich. 
(Schaut auf die Rezepte)
 Es isch e Pulver un e g’kochti.

        
",stoskopf-ins-ropfers-apothek,26,2,0.0,0.07692307692307693
3,comedy,Jules Salber,MALE,,,,"
          
Jules:

          
„Oui, patron“. 
(Nimmt die beiden Rezepte und geht ab nach
        rechts in das Laboratorium.)

        
",stoskopf-ins-ropfers-apothek,19,2,0.0,0.10526315789473684
4,comedy,Jeanne,FEMALE,,,,"
          
Jeanne

           
(hübsches, junges Mädchen):
 
          
Papa, d’Mamme losst fröuje, worum d’r
        Schampetiss denn nit nuffkummt, um d’Köffer erunterzehole ?

        
",stoskopf-ins-ropfers-apothek,22,1,0.4119999999999999,0.045454545454545456
5,comedy,Ammej,FEMALE,,,,"
          
Ammej

           
(Typus einer Waschfrau: stark komisches Aussehen):
 
          
Herr, d’ Madam
        losst fröuje, wo d’r Schampetiss blieht?

        
",stoskopf-ins-ropfers-apothek,18,3,0.0,0.16666666666666666
7,comedy,Emilie,FEMALE,,,,"
          
Madame Ropfer

           
(hastig von links; sie trägt eine Brille und macht einen
        scharfen Eindruck):
 
          
Wo isch denn d’r Schampetiss? Hawich d’r nit schun vor ere Stund g’saat,
        dü sollsch m’r de Schampetiss nuffschicke, wenn die Köffer gepackt sin?!

        
",stoskopf-ins-ropfers-apothek,40,3,0.0,0.075
8,comedy,Antoine Ropfer,MALE,,,,"
          
Ropfer:

          
Numme nit so gejäscht! Do hätte-n-’r jetzt nit ze dritt d’rwäje
        kumme brüche, ’s isch noch alli Zytt, ich hab de Schampetiss numme furtg’schickt, e
        Arznej, wie arig pressiert het, zuem Ochsewirth traue.

        
",stoskopf-ins-ropfers-apothek,37,2,0.0,0.05405405405405406
9,comedy,Emilie,FEMALE,,,,"
          
Madame Ropfer:

          
Ob m’r schun emol so ebbs erlebt hett?! — In ere Stund
        welle m’r uff Bade-Bade verreise, ’s Jeanne un ich, d’Köffer solle-n-an de Isebahn, un m’r
        schickt de „domestique“ furt, Kummissione mache!

        
",stoskopf-ins-ropfers-apothek,40,3,0.18233333333333335,0.075
10,comedy,Antoine Ropfer,MALE,,,,"
          
Ropfer

          
(zu Ammej):
 Ammej! Lauft Sie g’schwind ins Ochsewirths un saat Sie
        im Schampetiss, er soll so schnell ass möjlich heimkumme.

        
",stoskopf-ins-ropfers-apothek,23,2,0.0,0.08695652173913043
