Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,short_name,numTokens,numLexTokens,avgLexVal,lexRatio
0,comedy,Suzanne,F,,,,"
            
Suzanne:

            
Das isch nit schlacht, sing ich do s’schenschta Maialied un mr han doch hit erscht dr 1. Awril. S’isch awer o so a prachtvoll Watterla, do müeß mr jüchzge un singe, eb mr will oder nit; derbi han i alli Ursach luschtig z’si, denn i erwart mini fenf amies zum a Teekranzla. Das git a fideler Mittag. Wu si awer o nur alli stacka 
(sieht auf ihre Uhr)
, es isch jo glich drei un se han mr versproche fir racht friahi z’ku. Wenn nur d’Tante Florentine nit so schlacht glünt war. Das wird noch ebbs absetze. Ja, wenn i mini Frindinna nit schu alli iglada hat vor acht Tag, so war üs dam Teekranzla nit wora. Rißt is net vorgescht Knall un Fall unseri Kecha üs. Das isch d’zweite g’si sitter Neijohr. Hoffentlig git’s bol Ersatz, denn die menus, wu mini chère tante* sitter combiniert het, brrr.

          
",weigel-in-dr-awril-gschickt,158,17,0.1963112154238088,0.10759493670886076
1,comedy,Suzanne,F,,,,"
            
Suzanne:

            
Aha, do kumme se alla mitnander.

          
",weigel-in-dr-awril-gschickt,7,2,0.3165,0.2857142857142857
2,comedy,Mlle Florentine Blind,F,,,,"
            
Freundinnen:

            
(treten ein)

            
Bonjour Suzanne, salut Suzi, bonjour ma chère etc.

          
",weigel-in-dr-awril-gschickt,13,1,0.0,0.07692307692307693
3,comedy,Suzanne,F,,,,"
            
Suzanne:

            
Bonjour Kinder 
(gibt allen die Hand)
, andlig isch nit ewig. Ihr lehn lang uf i warta. 
(Alle setzen sich.)

          
",weigel-in-dr-awril-gschickt,24,6,0.36023807391090834,0.25
4,comedy,Jeanne,F,,,,"
            
Jeanne:

            
Mr han anander rendez-vous gah, fir unser Izug mitnander z’fiera und do hatt’s halt a Will ge- dürt, bis alli présentes g’si sin. S’Juliette isch natier- lig weder s’letschta gsi, wie immer.

          
",weigel-in-dr-awril-gschickt,39,4,0.1035,0.10256410256410256
5,comedy,Irène,F,,,,"
            
Irène:

            
As meint, es isch a Todsind, wenn as uf uns warte müeß, ich bin ganz sicher, as kunt o a mol z’spot fir in dr Himmel.

          
",weigel-in-dr-awril-gschickt,28,7,0.15646710790179405,0.25
6,comedy,Juliette,F,,,,"
            
Juliette:

            
Han nur ke so groß Mül, so g’fahrlig isch’s nit; un iwerhäupt in dr Bibel steht’s jo: die letzten werden die ersten sein. Das isch m i Troscht, hoffentlig geht's mir o so.

          
",weigel-in-dr-awril-gschickt,37,3,0.0,0.08108108108108109
8,comedy,Lucie,F,,,,"
            
Luzie:

            
Ja, ja, ich han’s o gedankt.

          
",weigel-in-dr-awril-gschickt,8,2,0.0,0.25
9,comedy,Suzanne,F,,,,"
            
Suzanne:

            
O jeh, sinn mr nur still, ich han schu ebbes mitg’macht, mr han schu zwe Tag ke Kecha me.

          
",weigel-in-dr-awril-gschickt,20,1,0.0,0.05
10,comedy,Jeanne,F,,,,"
            
Jeanne:

            
Ja, kat denn eira femme de chambre nit üshalfa?

          
",weigel-in-dr-awril-gschickt,10,1,0.0,0.1
11,comedy,Suzanne,F,,,,"
            
Suzanne:

            
Jo die Gans, s’hat jo ke Ahnung vu dr Koch- kunscht, das weiß nit amol, wenn s’Wasser kocht. Deßletscht hat se ebbs gebache, no hat se schint’s em Kochbüech glase: man nimmt drei ganze Eier. Wie mr das Dings welle asse, biß ich uf ebbs herts. Meine n’r hat se die drei Eier mitsamt de Schale in danne Teig ine gedolgt. 
(Lachen.)

          
",weigel-in-dr-awril-gschickt,69,9,0.15888888888888889,0.13043478260869565
13,comedy,Suzanne,F,,,,"
            
Suzanne:

            
Nei, mini chère tante kocht salwer un d’Mam- selle Amélie müeß re halfa. Mich will si nit in dr Kucha ha, si seit ich seig z’schtrutlig,

          
",weigel-in-dr-awril-gschickt,30,2,0.203,0.06666666666666667
14,comedy,Juliette,F,,,,"
            
Juliette:

            
Ja kat dini tante denn koche?

          
",weigel-in-dr-awril-gschickt,7,2,0.0,0.2857142857142857
15,comedy,Suzanne,F,,,,"
            
Suzanne:

            
Un ebb. Si lest alles üs’m Kochbüech. Meine gescht z’Mittag isch re ein passiert. D’Mamselle Amelie hat re schient alles mieße rischta, wie’s im

          
",weigel-in-dr-awril-gschickt,29,3,0.211,0.10344827586206896
16,comedy,Lucie,F,,,,"
            
Lucie:

            
Das isch güet, das g’hert in d’Zittung.

          
",weigel-in-dr-awril-gschickt,9,1,0.0,0.1111111111111111
18,comedy,Marthe,F,,,,"
            
Marthe:

            
Schad aß es nit hit am 1. Awril passiert isch.

          
",weigel-in-dr-awril-gschickt,11,1,0.0,0.09090909090909091
19,comedy,Irène,F,,,,"
            
Irène :

            
(zu Suzanne)

            
Ja han ihr noch ke andre Kecha in Uessicht ?

          
",weigel-in-dr-awril-gschickt,14,2,0.29630795306066193,0.14285714285714285
21,comedy,Lucie,F,,,,"
            
Lucie:

            
Kinder, ihr wisse was hit fir a Tag isch, hit mien mr unbedingt in ebbrem a Streich spiela, denn ohne das gett’s bi uns ke 1. Awril.

          
",weigel-in-dr-awril-gschickt,29,3,0.36433333333333334,0.10344827586206896
22,comedy,Irène,F,,,,"
            
Irène:

            
Awer sicher, ich mach schu mit, dü doch o, Ju- liette ?

          
",weigel-in-dr-awril-gschickt,13,2,0.0,0.15384615384615385
23,comedy,Juliette,F,,,,"
            
Juliette:

            
Salbschtverstandlig, fir so ebbis bin i nie s’letschte.

          
",weigel-in-dr-awril-gschickt,10,1,0.0,0.1
24,comedy,Suzanne,F,,,,"
            
Suzanne:

            
Uf wer han ihr’s abg’sah ?

          
",weigel-in-dr-awril-gschickt,7,1,0.0,0.14285714285714285
26,comedy,Suzanne,F,,,,"
            
Suzanne:

            
Jo, do hat’s ke charme, sich mit dr personi- fizierte Dummheit z’amüsiere.

          
",weigel-in-dr-awril-gschickt,16,2,0.0,0.125
28,comedy,Lucie,F,,,,"
            
Lucie:

            
Nei, nei, das git’s nit, do mach ich nit mit. Ich han namlig a faible fir d’Mamselle Amélie. Se isch immer so lieb, hat a Himmelsgeduld für d’Lüna vu ihrer Patronne, in eim Wort, se isch a Engel. In dr Awril g'schickt 3

          
",weigel-in-dr-awril-gschickt,47,6,0.2618333333333333,0.1276595744680851
29,comedy,Suzanne,F,,,,"
            
Suzanne:

            
Ja, um s’Himmels Wille, wer wan ihr denn in dr Awril schicke, doch ebba nit mini Tanta.

          
",weigel-in-dr-awril-gschickt,19,1,0.0,0.05263157894736842
30,comedy,Lucie,F,,,,"
            
Lucie:

            
Was war jetz do derbi, wenn mr is a so a un- schuldiger Witz data erläuiwa, schada dat’s re nit, im Gegateil, weisch dü bisch grad o nit uf Rosa betta do.

          
",weigel-in-dr-awril-gschickt,35,5,0.0,0.14285714285714285
31,comedy,Suzanne,F,,,,"
            
Suzanne:

            
Sal schu, awer nochhar hat ich jo d’Heil, wenn se das dat erfahre.

          
",weigel-in-dr-awril-gschickt,15,2,0.1955,0.13333333333333333
33,comedy,Irène,F,,,,"
            
Irène:

            
Jo, dü bisch nie en peine an Witz.

          
",weigel-in-dr-awril-gschickt,9,1,0.0,0.1111111111111111
35,comedy,Lucie,F,,,,"
            
Lucie:

            
Ja, so schnall wird nit gschossa. Kumma nur alle mit ins Gartahisla do dernawa, dert halla mr großer Rot.

          
",weigel-in-dr-awril-gschickt,20,5,0.1922,0.25
36,comedy,Juliette,F,,,,"
            
Juliette:

            
Ja, wenn is awer d’Mamselle Florentine schu g’sah hat?

          
",weigel-in-dr-awril-gschickt,11,1,0.0,0.09090909090909091
37,comedy,Irène,F,,,,"
            
Irène:

            
Jo dü, g’sah, sie isch jo so kurzsichtig, nit amol wenn sie noch drei Brilla uf d’Nas setzt, g’seht sie a so wit.

          
",weigel-in-dr-awril-gschickt,25,1,0.0,0.04
38,comedy,Jeanne,F,,,,"
            
Jeanne :

            
(sieht nach links hinter die Coulisse)

            
Un do unta kunt d’Mamselle Amélie, ganz ins Lasa vertieft.

          
",weigel-in-dr-awril-gschickt,20,1,0.0,0.05
40,comedy,Mlle Florentine Blind,F,,,,"
            
Mlle Florentine:

            
Was, niemeds do, as isch mr doch g’si, wie wenn i ebber hat hera reda. 
(Seufzt.)
 S’isch doch trürig, je älter i wird, desto schlachter wird mini

          
",weigel-in-dr-awril-gschickt,32,4,0.12299999999999997,0.125
41,comedy,Mlle Amélie,F,,,,"
            
Mlle Amélie:

            
(tritt ganz ins Lesen vertieft, von links,  hintere Coulisse ein und slösst auf Mlle Florentine)

            
Oh pardon, mademoiselle, veuillez bien excuser.

          
",weigel-in-dr-awril-gschickt,25,1,0.0,0.04
42,comedy,Mlle Florentine Blind,F,,,,"
            
Mlle Florentine:

            
Mais mademoiselle, sie sott mi nit verschreckt ha, gett se doch a ander Mol besser acht. A propos, hat sie vorig grad so lüt g’red un glacht?

          
",weigel-in-dr-awril-gschickt,29,2,0.0,0.06896551724137931
43,comedy,Mlle Amélie,F,,,,"
            
Mlle Amélie:

            
Ich g’lacht un g’red! Awer mademoiselle, was dankt Se denn vu mir, ich kum jo grad dr Wag do unta ufa, 
(zeig nach links)
 un bin a so in a fran- zescher Roman vertieft gsi, daß ich se jo schier um- g’rennt han.

          
",weigel-in-dr-awril-gschickt,49,1,0.0,0.02040816326530612
44,comedy,Mlle Florentine Blind,F,,,,"
            
Mlle Florentine:

            
Schier, meint se nur. — — — Awer hert Se, Sie müeß hit mittag dana junge Dame dr Tee macha. Also nur dr Tee, dr Rascht kunt alles vum patissier. Sie hat awer noch Zitt. Se kat mr noch a wenig G’sellschaft leischta. 
(Beide setzen sich.)
 Das prachtvolle Watter hit, es macht eim weder ganz jung, findet Se nit o mademoiselle?

          
",weigel-in-dr-awril-gschickt,65,8,0.255875,0.12307692307692308
45,comedy,Mlle Amélie,F,,,,"
            
Mlle Amélie:

            
Ich fir mi Teil, ka halt do nit mitreda, mi Alter isch jo grad s’schenschta. Bi Ihra isch das ebbis anderschs, ich ka mr’s labhaft danka...

          
",weigel-in-dr-awril-gschickt,30,7,0.0,0.23333333333333334
