"Unnamed..0","drama_type","speaker","sex","job","job_category","social_class","text","progress","short_name","numTokens","numLexTokens","lexRatio","anger","anticipation","arousal","disgust","dominance","fear","joy","sadness","surprise","trust","valence"
0,"tale","group","sex_unknown","job_unknown","job_category_unknown","social_class_unknown","
            
Lehrer:

            
Guete Daa, Frau Mehlstaub.

          
",0,"bastian-struwelpeter",5,2,0.4,-0.783421455913742,-0.366615020183568,-0.97636407739152,-0.41431474252735,1,-0.95631473473614,1,-0.944973768486026,-1,0.978199270706517,1
1,"tale","Mehlstaub, Müller","M","","","","
            
Müllere

            
Ah, guete Daa, Herr Lehrer. Was verschafft uns die Ehr’, Euch in d'r Mühl ze sehn? Isch Euch ebbe s’Mehl üssgange?

          
",0,"bastian-struwelpeter",23,7,0.304347826086957,-0.783421455913742,-0.366615020183568,-0.97636407739152,-0.41431474252735,1,-0.95631473473614,1,-0.944973768486026,-1,0.978199270706517,1
2,"tale","group","sex_unknown","job_unknown","job_category_unknown","social_class_unknown","
            
Lehrer:

            
Nix Mehl. Ich möcht gern mit-em Maischter redde.

          
",0,"bastian-struwelpeter",9,3,0.333333333333333,-0.783421455913742,-0.366615020183568,-0.97636407739152,-0.41431474252735,1,-0.95631473473614,1,-0.944973768486026,-1,0.978199270706517,1
4,"tale","group","sex_unknown","job_unknown","job_category_unknown","social_class_unknown","
            
Lehrer:

            
Doch. Awer ich möcht d'r Maischter d’rbie han.

          
",0,"bastian-struwelpeter",10,2,0.2,-0.783421455913742,-0.366615020183568,-0.97636407739152,-0.41431474252735,1,-0.95631473473614,1,-0.944973768486026,-1,0.978199270706517,1
5,"tale","Mehlstaub, Müller","M","","","","
            
Müllere:

            
(zum Fenster links)

            
Michel, kumm hurtli eryn, es isch Bsuech do. Kumme Ihr amend wäje unserem Bue?

          
",0,"bastian-struwelpeter",20,3,0.15,-0.783421455913742,-0.366615020183568,-0.97636407739152,-0.41431474252735,1,-0.95631473473614,1,-0.944973768486026,-1,0.978199270706517,1
6,"tale","group","sex_unknown","job_unknown","job_category_unknown","social_class_unknown","
            
Lehrer:

            
Geduld, Frau Mehlstaub, Geduld. Numme d’Ruehj kann’s mache un d’Uewerlajung.

          
",0,"bastian-struwelpeter",14,2,0.142857142857143,-0.783421455913742,-0.366615020183568,-0.97636407739152,-0.41431474252735,1,-0.95631473473614,1,-0.944973768486026,-1,0.978199270706517,1
7,"tale","E Müller","M","","","","
            
Müllere:

            
Mir han e Söüi gemetzt, un do gibt's allerlei gueti Stüeckle. Wotte Ihr nit mithalte, dass Euch d'r Saft am Bart nablauft?

          
",1,"bastian-struwelpeter",24,2,0.0833333333333333,-0.775040710162259,-0.368015614948646,-0.976103804446013,-0.415226379853251,0.946060225005063,-0.947091968795953,0.942625983547628,-0.92116679565927,-0.99178904321415,0.958669705775629,0.963106477681255
8,"tale","group","sex_unknown","job_unknown","job_category_unknown","social_class_unknown","
            
Lehrer:

            
Merci. Ich hab mich hitt schun so verzüernt, dass ich küm e Bisse nuntergebrocht hab.

          
",1,"bastian-struwelpeter",16,3,0.1875,-0.775040710162259,-0.368015614948646,-0.976103804446013,-0.415226379853251,0.946060225005063,-0.947091968795953,0.942625983547628,-0.92116679565927,-0.99178904321415,0.958669705775629,0.963106477681255
9,"tale","E Müller","M","","","","
            
Müllere:

            
Ei, ei, was Er nit saat. Ich hab gemaant, numme d’Ruehj kann’s mache.

          
",1,"bastian-struwelpeter",16,2,0.125,-0.775040710162259,-0.368015614948646,-0.976103804446013,-0.415226379853251,0.946060225005063,-0.947091968795953,0.942625983547628,-0.92116679565927,-0.99178904321415,0.958669705775629,0.963106477681255
10,"tale","group","sex_unknown","job_unknown","job_category_unknown","social_class_unknown","
            
Lehrer:

            
Zell schun — awer —

          
",1,"bastian-struwelpeter",6,1,0.166666666666667,-0.775040710162259,-0.368015614948646,-0.976103804446013,-0.415226379853251,0.946060225005063,-0.947091968795953,0.942625983547628,-0.92116679565927,-0.99178904321415,0.958669705775629,0.963106477681255
