Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,avgLexVal,lexRatio
0,comedy,Jean,M,,,,"
          
Jean :

          
(kummt mit-em Meyer sine gewichste Schueh v. 1. un reicht se zue dr Düer r. nin.)

          
Do Patron sinn d' Schueh! 
          
(geht an de Disch)
 Jetz isch schun nien Ühre un Der steht endli uf — wenn dis dr Diener
          tät mach no wär's e füler Kaib, awer dr Herr — hahaha. Der soll nächt kenni heime g'schleift hann. D'
          Stäj isch-r uf Händ un Fües eruf gegrobelt. Er wurd e schöner Katzejammer hann. Jetzt isch-r widder
          verschläckt un weiss nit wass-r esse un drinke will. Na, do hett-r jo d'Üswahl: Rollmops, Sardinle,
          Häri, Servilasalädel, Schwitzerkäs — Härz was begährsch, Stäcke wo bisch !

        
",0,clemens-a-latzi-visit,110,10,0.22959999999999997,0.09090909090909091
1,comedy,J. Meyer,M,,,,"
          
Meyer :

          
(v.r.)

          
Uutsch — ah min-r Kopf, min-r Kopf! Do hinne brummt's grad as wenn lütter Maikafer drinne rum däte
          surre.

        
",0,clemens-a-latzi-visit,25,2,0.28900000000000003,0.08
2,comedy,Jean,M,,,,"
          
Jean :

          
(f. s.)

          
Hattsch weniger gedrunke 
          
(lütt)
 Guete Morje, Herr Meyer ! — Do sitze se anne un esse se emol e Mumpfel, no wurd's
          ne schun besser wäre.

        
",1,clemens-a-latzi-visit,33,4,0.1405,0.12121212121212122
3,comedy,J. Meyer,M,,,,"
          
Meyer :

          
Was hesch dänn Guet's? 
          
(geht an de Disch)
 Häri — brr — nein — ich kann nix esse. 
          
(setzt sich).
 Schänk mr emol e Glas Soda in, ich hab e Brand. — E Stüeckel Schwitzerkäs
          kennt i glauwi esse ohne Brot. 
          
(drinkt).
 Ah, diss küehlt ! Win kann i kenner schmecke hitt morje.

        
",1,clemens-a-latzi-visit,60,6,0.3333333333333333,0.1
4,comedy,Jean,M,,,,"
          
Jean :

          
Jo, sie wäre genuej gebüerscht hann gescht Nacht. Sie sinn gemutzt gsinn — hahaha, e Nuntebuckel
          !

        
",2,clemens-a-latzi-visit,17,1,0.0,0.058823529411764705
5,comedy,J. Meyer,M,,,,"
          
Meyer :

          
Was haw-i denn alles angschtellt in minere Kischt — hä?

        
",2,clemens-a-latzi-visit,11,1,0.0,0.09090909090909091
6,comedy,Jean,M,,,,"
          
Jean :

          
Ich muess jetz noch lache, wenn i dran dänk, wie se uf Händ un Fües d'Stäj eruf gegrobelt sinn — un
          e Arweit haw-i ghett mit-ne bis Sie im Bett sinn gläje. Sie hann als mit-mr welle danze un no hann se
          im Anglais un de Cilinder uf-em Kopf in's Bett welle leje — Sie hann als gsaat: ""Ich hab kalti Fües""
          !

        
",3,clemens-a-latzi-visit,65,6,0.16758634807919068,0.09230769230769231
7,comedy,J. Meyer,M,,,,"
          
Meyer :

          
Ei, ei — uuh min-r Kopf — was der kaiwe Risling nitt alles anstellt — — puh ich schwitz ganz —
          schenk mr e Soda in! Wenn numme dr Deifel alli Süffereje hole dät...

        
",3,clemens-a-latzi-visit,35,3,0.0,0.08571428571428572
8,comedy,Jean,M,,,,"
          
Jean :

          
Wo Sie nitt d'rbi sinn — gelle Patron !

        
",4,clemens-a-latzi-visit,10,1,0.609,0.1
9,comedy,J. Meyer,M,,,,"
          
Meyer :

          
Verschon mich um's Himmelswille mit dine füle Witz hit. 
          
(drinkt)
 Ah, wie guet — oh, min-r Kopf ! — Brrr ! Ich muess mich vun jetzt ab meh
          zeruckhalte im drinke, ich verdraa's nimi... awer was will i als mache wenn i Gschäfte will mache füer
          d'Assurance. Wenn i emol die Generalagentür in Strossburri hab, un ich hab Üssicht ass-es ball isch, no
          kann ich meh uf-em Büro bliewe.

        
",4,clemens-a-latzi-visit,73,8,0.17475000000000002,0.1095890410958904
10,comedy,Jean,M,,,,"
          
Jean :

          
Derf ich no au mit, Patron, wenn se emol uf Strosburri kumme ?

        
",5,clemens-a-latzi-visit,13,3,0.20299999999999999,0.23076923076923078
11,comedy,J. Meyer,M,,,,"
          
Meyer :

          
Ich well noch sähne. Dü besch e bissel lichtsinni un hesch mr schun e manicher dummer Streich
          angstellt.

        
",5,clemens-a-latzi-visit,19,2,0.0,0.10526315789473684
12,comedy,Jean,M,,,,"
          
Jean :

          
E ""bissel"" lichtsinni isch jo nitt viel un ich versprech ne, nie meh e Dummheit ze mache.

        
",6,clemens-a-latzi-visit,18,3,0.22933333333333328,0.16666666666666666
13,comedy,J. Meyer,M,,,,"
          
Meyer :

          
Na — will de mir diss verspreche duesch, will i dich mitnämme. — Was isch im Briefkäschtel
          gsinn?

        
",6,clemens-a-latzi-visit,19,1,0.6879999999999998,0.05263157894736842
14,comedy,Jean,M,,,,"
          
Jean :

          
D'Zittunge — ah, un e Brief. Der isch schun gescht Owe kumme. 
          
(gibt-ne im Meyer.)

        
",7,clemens-a-latzi-visit,19,2,0.0,0.10526315789473684
15,comedy,J. Meyer,M,,,,"
          
Meyer:

          
Vun Nanci, vun dr General-Direction. 
          
(lest)
 Mir wurd's schwach ! Ich sell sofort uf General-Direction kumme, wäje persönliche
          Besprechunge — wohrschin's isch's wäje dere Stell als Generalagent in Strosburri. Ei, ei un noch emol e
          Ei — mit dem Kopf soll ich uf Nanci — mit dem Katzejammer Isebahn fahre?! Lang mer emol schnell dr
          Fahrplan 
          
in minere Mapp. Wenn mejli grej ich dene Schnellzug, wo geje de zehne abfahrt, no wär ich
          geje de zweje in Nanci.

        
",7,clemens-a-latzi-visit,83,11,0.058272727272727275,0.13253012048192772
16,comedy,Jean,M,,,,"
          
Jean :

          
Voila, Patron, dr Fahrplan. 
          
(gibt ne).

        
",8,clemens-a-latzi-visit,9,1,0.609,0.1111111111111111
17,comedy,J. Meyer,M,,,,"
          
Meyer :

          
(riebt sich d'Aue)

          
Es danzt mer alles vor de Aue — 9,40 fahrt dr Schnellzugg, do kennt's noch lange, dene kennt i
          nämme. Wieviel Ühr isch denn? 
          
(lüejt uf sinere Sackühr.)
 Ja do — die steht — do isch halwer drej — die haw ich vergässe
          ufzezeje.

        
",8,clemens-a-latzi-visit,53,6,0.0,0.11320754716981132
18,comedy,Jean,M,,,,"
          
Jean :

          
(luejt uf sinere Ühr)

          
Es isch jetzt genau noch e Viertel üewer Nien.

        
",9,clemens-a-latzi-visit,16,3,0.20785432976807838,0.1875
19,comedy,J. Meyer,M,,,,"
          
Meyer :

          
Schnell, es langt noch, ich nämm 's Velo. Lang mr miner Frack, dr Panamahuet un dr hell Bardessü im
          Kaschte. 
          
(Jean holt alles un hilft-em anzeje).
 Also, ich kumm sobald wie mejli zeruck, b'stellsch
          min Esse ab im Restaurant, duesch emol all Zimmer grüendlich brobber mache — no hesch Beschäftigung —
          un mach mr kenn Lumpestreich, sunsch raucht's !

        
",9,clemens-a-latzi-visit,62,6,0.12116666666666666,0.0967741935483871
20,comedy,Jean,M,,,,"
          
Jean :

          
Sie brüche kenn Angscht ze hann, Patron — Sie kenne ruehj reise.

        
",10,clemens-a-latzi-visit,13,4,0.15225,0.3076923076923077
21,comedy,J. Meyer,M,,,,"
          
Meyer :

          
Bon — also, adje Jean, un mach wie ich gsaat hab. 
          
(an dr Düer)
 Hesch au's Velo gebutzt gescht?

        
",10,clemens-a-latzi-visit,23,2,0.0,0.08695652173913043
22,comedy,Jean,M,,,,"
          
Jean:

          
Ja, ja, Patron, gebutzt un ganz frischi Luft nin gebummbert.

        
",11,clemens-a-latzi-visit,11,5,0.12179999999999999,0.45454545454545453
23,comedy,J. Meyer,M,,,,"
          
Meyer :

          
No isch guet. 
          
(a. d. M.)

        
",11,clemens-a-latzi-visit,9,1,0.0,0.1111111111111111
24,comedy,Jean,M,,,,"
          
Jean :

          
(luschti)

          
E ganzer Daa ellein. Was kennt mr do alles anstelle? Ah, ich sell jo gründlich brobber mache. 
          
(wischt e Stuehl ab mit-em Schurz)
 A füer was denn dies, es wurd jo doch widder dräcket. 
          
(luejt zuem Fänschter nüss)
 Dort vorne rädelt dr Patron. Dem isch's nitt um 's Velo fahre
          — hahaha — e Gsicht hett-r

        
",12,clemens-a-latzi-visit,65,5,0.22640000000000002,0.07692307692307693
25,comedy,Schakob,M,,,,"
          
Schakob :

          
Aah, do bin i drbie, denn ich hab e Hunger, ass mr 's Wisse in de Aue gixt. 
          
(Gelächter).

        
",12,clemens-a-latzi-visit,22,1,0.0,0.045454545454545456
26,comedy,Jean,M,,,,"
          
Jean :

          
Männel, Männel ! Dich möecht ich emol sähne, wenn dü kenn Hunger hesch.

        
",13,clemens-a-latzi-visit,13,3,0.0,0.23076923076923078
27,comedy,Schakob,M,,,,"
          
Schakob :

          
Ich kann nix drfüer, es isch e Erbstüeck vun mim Vater. Der hett immer g'saat ""Esse un drinke hebt
          dr Lieb an dr Seel zamme"" und ""Wer nicht essen will, soll auch nicht arbeiten"".

        
",13,clemens-a-latzi-visit,35,5,0.2,0.14285714285714285
29,comedy,Schakob,M,,,,"
          
Schakob :

          
In dr Bibel steht geschriewe: ""Der Mensch lebt nicht vom Brote allein — es muss auch Fleisch dabei
          sein"".

        
",14,clemens-a-latzi-visit,20,2,0.0,0.1
30,comedy,Jean,M,,,,"
          
Jean :

          
Do ess emol dene Servilasalad, dü Frässbüch ! 
          
(schenkt Win in)
 Un jetz welle mr emol Gsundheit drinke. Gsundheit! 
          
(stosse an un trinke. Schakob duet g'höerich inschiewe)

        
",15,clemens-a-latzi-visit,31,3,0.0,0.0967741935483871
31,comedy,Victor,M,,,,"
          
Victor:

          
Männel, Männel, isch dies e Dröpfele !

        
",15,clemens-a-latzi-visit,7,2,0.0,0.2857142857142857
32,comedy,Schakob,M,,,,"
          
Schakob :

          
Wenn mr vun dem drinkt, meint mr grad e Engele schlupft eim mit samete Badhöesele de Hals nab.

        
",16,clemens-a-latzi-visit,19,2,0.6015,0.10526315789473684
33,comedy,Jean,M,,,,"
          
Jean :

          
Jetz ess doch Victor, nämm was de Luscht hesch — un dü, bisch schun ferdi mit dim Servilasalad ?
          Bisch jetz satt ?

        
",16,clemens-a-latzi-visit,22,2,0.281,0.09090909090909091
34,comedy,Schakob,M,,,,"
          
Schakob :

          
Ohoo... satt! Jetz bekumm ich erscht Idee!

        
",17,clemens-a-latzi-visit,8,2,0.281,0.25
35,comedy,Jean,M,,,,"
          
Jean :

          
Do ess denne Käs, vun uns zwei will ne doch kenner. 
          
(Alli drej esse — Paus.)

        
",17,clemens-a-latzi-visit,19,2,0.332,0.10526315789473684
