"Unnamed..0","drama_type","speaker","sex","job","job_category","social_class","text","progress","short_name","numTokens","numLexTokens","lexRatio","anger","anticipation","arousal","disgust","dominance","fear","joy","sadness","surprise","trust","valence"
0,"tale","Dr Grossbabbe","MALE",NA,NA,NA,"
          
Grossbabbe:

          

          
(zehlt wenn dr „Kückück“ rueft)
 Äins, zwäi, drey, vier, fünef, sechs! Schun sechs — Jetz
          isch’s ganz finschter drüsse un der käiwe Xaverel isch noch nitt do. Wie der widder erumspangelt, wann
          ne numme dr Hanstrapp verwitsche dät.

        
",0,"clemens-chrischtowe",44,3,0.0681818181818182,-0.510244057832582,0.465481100510351,-0.261565827663736,1,-0.0919297062606993,0.59579064684805,-0.5872289682231,-0.173274401572786,-1,-0.309822264289723,-0.104653194925402
1,"tale","Schorschel","MALE",NA,NA,NA,"
          
Schorschel:

          
Grossbabbe, ich bin glich erin wie’s finschter isch worre. Ich hab Angscht dr Hanstrapp kummt.

        
",1,"clemens-chrischtowe",17,3,0.176470588235294,-0.510244057832582,0.465481100510351,-0.261565827663736,1,-0.0919297062606993,0.59579064684805,-0.5872289682231,-0.173274401572786,-1,-0.309822264289723,-0.104653194925402
4,"tale","Marikel","FEMALE",NA,NA,NA,"
          
Marikel:

          
Dü wäisch ass d’Hütt füer de Grossbabbe isch.

        
",4,"clemens-chrischtowe",10,1,0.1,-0.472735096148798,0.428886184336381,-0.24587682319245,0.969984275921482,-0.0897731486129419,0.577208029834896,-0.570431793924159,-0.180026278817207,-0.950343596692202,-0.292355487821511,-0.105376956664215
5,"tale","Dr Grossbabbe","MALE",NA,NA,NA,"
          
Grossbabbe:

          
Gib’s em numme wann-r se garn hett — Awer der Bohnekaffe schmeckt so guet, diss esch doch kenn
          Ersatz meh, diss schmeckt ganz andersch ass wie der Wiedegrund.

        
",5,"clemens-chrischtowe",30,4,0.133333333333333,-0.472735096148798,0.428886184336381,-0.24587682319245,0.969984275921482,-0.0897731486129419,0.577208029834896,-0.570431793924159,-0.180026278817207,-0.950343596692202,-0.292355487821511,-0.105376956664215
6,"tale","Marikel","FEMALE",NA,NA,NA,"
          
Marikel:

          

          
(fuehrt de Grossbabbe an de Disch)
 Ich hab ne bekumme vun dr Madam Lefèvre, sie hett mr
          äu schöens Wissmahl gann. Ich hab e natt’s Küechel gebache. 
          
(Alli drey drinke Kaffe — s’Marikel schnied Brot)

        
",6,"clemens-chrischtowe",42,6,0.142857142857143,-0.400820511043662,0.358179552111328,-0.215667180825232,0.910923322035848,-0.0858710501821796,0.540816812126561,-0.537914738637998,-0.192965930209529,-0.854376563634071,-0.258207863477949,-0.106423589308104
8,"tale","Marikel","FEMALE",NA,NA,NA,"
          
Marikel:

          
Näin, näin Buwele — der isch fuer morje. Wäisch morje-n-isch Wihnachte un do hett uns d’Mamme als äu
          Kueche gebache.

        
",8,"clemens-chrischtowe",24,4,0.166666666666667,-0.400820511043662,0.358179552111328,-0.215667180825232,0.910923322035848,-0.0858710501821796,0.540816812126561,-0.537914738637998,-0.192965930209529,-0.854376563634071,-0.258207863477949,-0.106423589308104
9,"tale","Schorschel","MALE",NA,NA,NA,"
          
Schorschel:

          
Mäinsch kummt hitt Owe äu s’Chrischtkindel zue uns ? Ich hab alle Nacht gebatt ass-es mir ebs
          Schöens bringe soll.

        
",9,"clemens-chrischtowe",21,1,0.0476190476190476,-0.300453224204876,0.258165116610523,-0.173173796206956,0.824741236277561,-0.0810037902599653,0.488139294651651,-0.491759688436569,-0.211000761132955,-0.718540556586391,-0.208923968831091,-0.107044864260889
10,"tale","Dr Grossbabbe","MALE",NA,NA,NA,"
          
Grossbabbe:

          
Na, wenn dü brav gebatt hesch no bringt’s dir äu ebs Natt’s — Was wottsch am Liebschte vum
          Chrischtkindel ?

        
",10,"clemens-chrischtowe",22,5,0.227272727272727,-0.300453224204876,0.258165116610523,-0.173173796206956,0.824741236277561,-0.0810037902599653,0.488139294651651,-0.491759688436569,-0.211000761132955,-0.718540556586391,-0.208923968831091,-0.107044864260889
11,"tale","Schorschel","MALE",NA,NA,NA,"
          
Schorschel:

          
Am liebschte wott ich, ass d’Mamme widder kumme dätt — un no e Farwelad — un no sott dr Babbe kumme.
          Wann’s numme boll kumme duet — ich hab kenn Angscht vor-em Hanstrapp. 
          
(Mr höert drüsse boldere)
 U — Marikel! 
          
(versteckelt sich hinterem Marikel)

        
",11,"clemens-chrischtowe",51,8,0.156862745098039,-0.179948549617074,0.13565310476793,-0.121510855416232,0.714280558349373,-0.0762412195307157,0.421394480349574,-0.43491270657276,-0.232578930754483,-0.551892755197345,-0.146752594568742,-0.106246505974827
12,"tale","Xaverel","MALE",NA,NA,NA,"
          
Xaverel:

          

          
(höert mr drüsse brüele)
 Kumm numme einer häre wann-r z’Harz hett! 
          
(Kummt erin)
 Denne hawi de Äpfel gedroffe, im Langhalseschüll haw i äini uf d’Nas
          gebämmert un em Stumpevälte haw i e blöj Gückel ghäue, der isch gezäicht uf d’Wihnachte.

        
",12,"clemens-chrischtowe",48,7,0.145833333333333,-0.179948549617074,0.13565310476793,-0.121510855416232,0.714280558349373,-0.0762412195307157,0.421394480349574,-0.43491270657276,-0.232578930754483,-0.551892755197345,-0.146752594568742,-0.106246505974827
