Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,avgLexVal,lexRatio
0,comedy,Herr GULD,M,pensioner,rentiers,,"
          
Herr Guld

          
(kunnt hinte-n-ine hintersi un schint ebbes
                        z'bschaüe duss)
                    

          
Was fir e herrlige G'stalt!... was fir schöne-n-Aüge!
                       
(er salütiert mit dr Hand)
 Oh, wenn ich doch nur noch e
                        wenig jünger war....
                    

        
",0,lustig-dr-hochzitstag,42,5,0.5559614275442715,0.11904761904761904
1,comedy,Herr KALT,M,businessman,service_and_sales,,"
          
Herr Kalt

          
(sitzt am Tisch; er kehrt si um un steht uf. Fir
                        sich)
                    

          
Aha... dr Herr Guld kunnt wieder ku lüege, eb er si Geld
                        no nitt bol bikunnt...
(lüt)
 Herr Guld, ich wünsch Ene
                        ne güeter Morge!
                    

        
",0,lustig-dr-hochzitstag,43,12,0.48112070286350606,0.27906976744186046
2,comedy,Herr GULD,M,pensioner,rentiers,,"
          
Herr Guld

          
(kehrt si um)

          
Ah, Sie sin's, Herr Kalt... was macht d'G'sundheit...
                       
(se gàn sich d'Hand)
 geht's allewil?...
                    

        
",0,lustig-dr-hochzitstag,27,6,0.46825223655139303,0.2222222222222222
3,comedy,Herr KALT,M,businessman,service_and_sales,,"
          
Herr Kalt.

          
D'G'sundheit gieng scho, Herr Guld... awer d'G'schàfte,
                        die wànn nitt recht geh...
                    

        
",1,lustig-dr-hochzitstag,16,5,0.4210828967893412,0.3125
4,comedy,Herr GULD,M,pensioner,rentiers,,"
          
Herr Guld.

          
Bàh... 's himpelt e wenig in dem Moment, 's isch wohr,
                        awer 's wird sich scho wieder mache.
                    

          

        
",1,lustig-dr-hochzitstag,20,2,0.41026168801988083,0.1
5,comedy,Herr KALT,M,businessman,service_and_sales,,"
          
Herr Kalt.

          
Ich mag noch so nogeh un nolüege, 's hilft alles nit
                        meh!
                    

        
",1,lustig-dr-hochzitstag,14,2,0.4304957751196486,0.14285714285714285
6,comedy,Herr GULD,M,pensioner,rentiers,,"
          
Herr Guld

          
(fir sich)

          
Wie schön as se doch g'wachse-n-isch!

        
",2,lustig-dr-hochzitstag,14,3,0.5374985863962448,0.21428571428571427
7,comedy,Herr KALT,M,businessman,service_and_sales,,"
          
Herr Kalt.

          
's macht mr g'wiss Mieih, Herr Guld... awer ich weiss
                        sicher nitt, wenn ass ich Ihne Ihr Geld wieder ka
                        z'ruckgà...
                    

        
",2,lustig-dr-hochzitstag,24,6,0.4526777146494229,0.25
8,comedy,Herr GULD,M,pensioner,rentiers,,"
          
Herr Guld

          
(fir sich)

          
Ich glaüb misegs, se hat mi vorig ag'làchelt im
                        Duregeh!
                    

        
",2,lustig-dr-hochzitstag,16,3,0.49113916988984974,0.1875
9,comedy,Herr KALT,M,businessman,service_and_sales,,"
          
Herr Kalt

          
(mit eme Sifzer)

          
Fünftaüsend Franke!

        
",3,lustig-dr-hochzitstag,9,3,0.41599718341309905,0.3333333333333333
