drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
drama,Marie Engel,F,,,,"
          
Mutter

          
(steht hinter Berthe und kämmt ihr das Haar):

          
Dis weiß d'r lieb Herrgott, was dü mit dine Hoor machsch. Als widder verstruwwelt und verzüst. For
          dich könnt m'r ellein e Coiffeur anstelle, daß de nit alle-gelde-n-erüslüejsch wie e
          Ziginnersmaidel.

        
",0,greber-lucie,44,3,0.0681818181818181,,,,,,,,,,,
drama,Berthe,F,,,,"
          
Berthe :

          
Auah! Auah! De machsch m'r weh, Mamme.

        
",0,greber-lucie,8,2,0.25,,,,,,,,,,,
drama,Marie Engel,F,,,,"
          
Mutter :

          
Halt! e bissele still, daß ich dich strähle kann. Ropfe müeß ich dich halt schun, bisch ganz ellein
          schuld dran. Wo isch din Zopfbendel? Hesch ne 'mol widder verlore?

        
",0,greber-lucie,30,7,0.2333333333333333,,,,,,,,,,,
drama,Marie Engel,F,,,,"
          
Mutter :

          
Gib here! 
          
(Berthe reicht ihr das Band)
 Dü sottsch viel meh uff dich halte. E Maidel, wo in d'
          Doctrine geht, sott sich viel ze güet sin, for uff d'r Gaß erumzespringe, daß m'r nit weiß, in wem's
          g'hört. Es het nit e jeds die Lehr, wo dü hesch. — Wie stehts mit dine-n-Uffgawe, hesch sie schun
          gemacht?

        
",1,greber-lucie,64,8,0.125,,,,,,,,,,,
drama,Berthe,F,,,,"
          
Berthe :

          
Ich hab sie gemacht, awer 's Lucie müeß mich emol de Katechisme üwwerhöre, ob ich ne au güet kann.
          Wurum kummt's denn so lang nit?

        
",1,greber-lucie,27,3,0.1111111111111111,0.11719166666666662,0.09153333333333333,0.434310935913025,0.14744047619047618,0.4887581115382208,0.09839002645906644,0.21869785642171657,0.15401687434365266,0.0,0.17066985837149287,0.5664097960763683
drama,Marie Engel,F,,,,"
          
Mutter :

          
Fröuj's doch selbscht; es saat m'r 's nit, was for Gschäfte 's het.

        
",1,greber-lucie,15,3,0.2,0.1422583333333333,0.0816,0.4688255515306049,0.09950714285714288,0.5255910708825968,0.08619002645906645,0.1614311897550499,0.1147507399790821,0.0,0.20813652503815955,0.5710167341661375
drama,Berthe,F,,,,"
          
Berthe :

          
Denk emol, grad ewwe-n-isch e Herr do gsin, un het noch em gfröujt.

        
",1,greber-lucie,16,2,0.125,0.1028583333333333,0.041,0.441317913337794,0.07850714285714286,0.5672387195037584,0.05059523809523808,0.11863118975504991,0.04702834329910166,0.0,0.19563652503815954,0.5910256153405704
drama,Berthe,F,,,,"
          
Berthe :

          
Uff d'r Gaß.

        
",2,greber-lucie,4,1,0.25,0.06125833333333329,0.041,0.44881680808683394,0.041249999999999995,0.6198265324695176,0.04536666666666665,0.20417404689790705,0.030199999999999998,0.0,0.1763583333333333,0.6516034099388295
drama,Marie Engel,F,,,,"
          
Mutter :

          
E Herr?

        
",2,greber-lucie,3,1,0.3333333333333333,0.05513333333333331,0.0328,0.4433315854206136,0.05639999999999999,0.630991286847664,0.07356666666666666,0.15458112501665972,0.030199999999999998,0.0,0.14373333333333332,0.6402730932556377
drama,Berthe,F,,,,"
          
Berthe :

          
Ja, e schöner großer Herr isch kumme, mit eme schwarze Schnützer un eme goldene pince-nez. Der het
          noch'm Lucie gfröujt. No hawi g'saat: 's isch nit d'heim. No het er gsaat: gell, dü bisch sicherlich 's
          Schweschterle züem. No hawi g'saat: ja. No het er gsaat: dis isch awer schad, ich bin arig pressirt. —
          Un derno isch er widder furt gange.

        
",2,greber-lucie,65,7,0.1076923076923077,0.05730476190476187,0.06674285714285715,0.4671997448279859,0.061771428571428554,0.6020966847662577,0.06015714285714284,0.17250651167336545,0.02742857142857142,0.00514285714285714,0.11200952380952381,0.610882443385235
drama,Marie Engel,F,,,,"
          
Mutter :

          
's isch güet. Ich saa's im, wenn's heime kummt.

        
",3,greber-lucie,12,1,0.0833333333333333,0.024971428571428558,0.03394285714285714,0.45870792213304207,0.061771428571428554,0.6147871374004383,0.06015714285714284,0.30804988672334455,0.02742857142857142,0.00514285714285714,0.07454285714285712,0.6642620689730058
drama,Berthe,F,,,,"
          
Berthe :

          
O jeh, d'r Babbe! Ich glaub, er het schun widder eini.

        
",3,greber-lucie,12,2,0.1666666666666666,0.01737142857142856,0.07681626730224234,0.4505472214070304,0.042971428571428556,0.6343525414792003,0.05695714285714284,0.3554365993457238,0.02742857142857142,0.00514285714285714,0.14697274973857954,0.6978203705063393
drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater

          
(Trinkergesicht; farbiges Hemd, verschlissene Sammthose, Gurt, abgetragener Rock und hohe Mütze;
          angetrunken, rennt an Berthe an) :

          
Mach, daß de m'r üs de Füeß gehsch, Krott, elendi! Sunsch gitts Schmier! Sacré matin noch emol!

        
",3,greber-lucie,36,4,0.1111111111111111,0.06292142857142856,0.09046626730224235,0.43131354560707996,0.07267142857142855,0.5893049565903723,0.10695714285714283,0.24908659934572377,0.07432857142857141,0.012192857142857139,0.1762727497385795,0.6542423117497969
drama,Marie Engel,F,,,,"
          
Mutter :

          
Seij mit dem Kind doch nit so grob. 's het d'r jo nix gemacht.
          
(Zu Berthe.)
 Geh e bissel uff
          
d'Gaß Kind. Din Babbe isch awer au gar ze wüscht mit d'r. 
          
(Berthe rechts ab.)

        
",3,greber-lucie,42,7,0.1666666666666666,0.0682642857142857,0.12035198158795661,0.44852549528941515,0.05358571428571426,0.5664540870827752,0.10241428571428568,0.292658924006403,0.07432857142857141,0.01219285714285714,0.2137870354528652,0.6624669611731541
drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater

          
(ruft der Berthe nach):

          
Brüchsch nit vum m'r furtzelaufe, ich biß dich nit. — — 
          
(Zur Mutter)
 Isch's z'Nachtesse gerischt? — — Ich hab Hunger.

        
",4,greber-lucie,32,3,0.09375,0.08175952380952381,0.1172507882766888,0.4316343774090535,0.048214285714285696,0.5907526703000923,0.08455714285714286,0.22955241233303755,0.0469,0.007050000000000001,0.2829775116433414,0.6601416258517351
drama,Marie Engel,F,,,,"
          
Mutter :

          
's isch ererscht halwer sechs, m'r esse-n-am siewwene, wie sunscht. So lang kannsch warte, un wenn
          de nit warte witt, ze kannsch gehn, wo de here kumme bisch.

        
",4,greber-lucie,31,4,0.1290322580645161,0.08175952380952381,0.2198436326232338,0.4211482296898811,0.048214285714285696,0.554838862617477,0.12210714285714283,0.09400903728305848,0.06955,0.02185,0.3306775116433414,0.592382797521813
drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Es müeß aim währli angscht und bang sin, wenn m'r heime kummt.

        
",4,greber-lucie,13,3,0.2307692307692307,0.08175952380952381,0.21237022246384862,0.44487187282501334,0.048214285714285696,0.5230367619580765,0.16162700510891126,0.04662232466067924,0.06955,0.02185,0.2749142857142856,0.5464934046842475
drama,Marie Engel,F,,,,"
          
Mutter :

          
Ja, ich meins au!

        
",4,greber-lucie,5,1,0.2,0.0362095238095238,0.1987202224638486,0.5039475987373118,0.018514285714285695,0.5243093550333529,0.11162700510891126,0.1891723246606792,0.02265,0.014799999999999999,0.24561428571428565,0.5936679592647609
drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Was gitt's ze-n-esse ?

        
",5,greber-lucie,7,1,0.1428571428571428,0.01566666666666666,0.1688345081781343,0.4739260041357906,0.0,0.5801709346333338,0.08796986225176841,0.14559999999999998,0.02265,0.014799999999999999,0.3253,0.6301961984432098
drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Sunsch nix? Dis Fresse hawi satt!

        
",5,greber-lucie,7,2,0.2857142857142857,0.0,0.13799284434654502,0.4753692983947896,0.0,0.6160187360762506,0.08796986225176841,0.14559999999999998,0.02265,0.014799999999999999,0.35416666666666663,0.6704477761210266
drama,Marie Engel,F,,,,"
          
Mutter :

          
Eh ben, no geh lüeje, wo de-n-ebbs bessers bekummsch. Mir sin d'rmit zefridde.

        
",5,greber-lucie,17,2,0.1176470588235294,0.0,0.15416750167449417,0.5049669514059868,0.0,0.6619341269598011,0.05041986225176841,0.26770682253334244,0.0,0.0,0.4345341683411609,0.7448258133284638
drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Elendi Mungedrysselswirtschaft! Do het m'r 's jo besser im Böuj.

        
",6,greber-lucie,11,3,0.2727272727272727,0.03646666666666666,0.11876750167449415,0.4803338596199732,0.039599999999999975,0.6503007090262465,0.04893333333333333,0.26770682253334244,0.06253333333333332,0.0,0.43506750167449415,0.7310457637140374
drama,Marie Engel,F,,,,"
          
Mutter :

          
Weje dem kannsch mache, daß de widder anne kummsch, wenns d'r derte so güet gfalle het.

        
",6,greber-lucie,17,2,0.1176470588235294,0.03646666666666666,0.11876750167449415,0.4456288495173248,0.039599999999999975,0.6692933406772231,0.08803333333333332,0.18987851005833195,0.10023333333333331,0.0,0.43506750167449415,0.7138327924277149
drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Was saasch?

        
",6,greber-lucie,3,1,0.3333333333333333,0.03646666666666666,0.11876750167449415,0.4456288495173248,0.039599999999999975,0.6692933406772231,0.08803333333333332,0.18987851005833195,0.10023333333333331,0.0,0.4350675016744942,0.7138327924277149
drama,Marie Engel,F,,,,"
          
Mutter :

          
Wenn dü ebbs schaffe dhäddsch , könnt m'r d'r au ebbs Ordentlichs rischte züem z'Nachtesse. Wenn m'r
          awer de ganze Daa in de Bierläde-n-erumkheijt....

        
",6,greber-lucie,27,2,0.074074074074074,0.03646666666666666,0.18206750167449415,0.4489377441471344,0.039599999999999975,0.6419855622932127,0.08803333333333332,0.22927851005833197,0.10023333333333331,0.0,0.32026750167449414,0.7135689167868072
drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Ich schaffe! For denne Hungerslohn, wo m'r kreijt? — — Do kennsch dü mich awer schlecht, wenn de
          meinsch, daß ich dodrum au nurre de kleine Finger rüehr. — — Ja, ja, ich weiß, d'arme Litt sin nur
          Hund, nix andersch sin sie wie Hund — — schaffe solle sie Daa un Nacht, daß d'Riche könne-n-in d'r
          Citadin fahre un sich e dicker Büch pflanze. — Awer 's wurd schun noch andersch kumme, denk dran, m'r
          wäre schun mit denne große Herre dheile, un dis garandier ich dir, daß ich nit d'r letscht bin, wo ebbs
          kreijt.

        
",7,greber-lucie,102,9,0.088235294117647,0.03815555555555554,0.07736666666666667,0.4261066365938485,0.043777777777777735,0.5966079565895681,0.1019222222222222,0.15972724308054512,0.11029999999999998,0.0,0.22104677741982326,0.654249472514764
drama,Marie Engel,F,,,,"
          
Mutter :

          
Dü hesch's jo güet vor.

        
",7,greber-lucie,7,1,0.1428571428571428,0.00168888888888888,0.07736666666666667,0.4542746483156,0.004177777777777754,0.6287276440269423,0.0529888888888889,0.2952706181305242,0.04776666666666666,0.0,0.14604677741982325,0.7224804385343279
drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Es kummt noch eso, es kummt noch eso, dis kann nit so bliewe. Sie solle schun lüeje, die Herre vun
          Owwe. Die Hungerswirtschaft het e-n-End, un bis dert anne isch's nimmi lang. Ich saa d'r's, un gsaat
          isch gsaat, sie düürt nimmi lang. Verstehsch mi?

        
",7,greber-lucie,50,4,0.08,0.00548888888888888,0.07736666666666667,0.44315162954006554,0.013577777777777755,0.6472079077592483,0.06783888888888889,0.2274989306055347,0.05536666666666666,0.0,0.17534677741982327,0.7151568395782815
drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Ja, ich hab erecht. Un dü wursch sehn, ich bhalt erecht. Dis wär noch schöner, wenn ich nit erecht
          hätt.
          
(Er fuchtelt mit der Hand in der Luft herum)
 So kann dis Ding nit furtgehn, die Hack müeß
          emol e Stil han. Die Blütsüger sitze-n-im Uewerfluß . . . . un bi uns isch Armüet Trumpf — — nix hinte,
          nix vorne — — nix isch nix und bliet nix. E Kritze-Batteriedeckel soll drin fahre, wenn dis nit e-n-End
          het!

        
",8,greber-lucie,83,8,0.0963855421686747,0.02521388888888888,0.11700804493226873,0.4786450150192373,0.03877777777777776,0.5967190387870466,0.1018138888888889,0.26451712831972946,0.08489166666666664,0.016799999999999978,0.08744677741982328,0.6662203925037685
drama,Marie Engel,F,,,,"
          
Mutter :

          
Ums Gottswille, brüel nit eso, denk doch e bissel an denne sterweskranke Mann, wo do howe
          leijt....

        
",8,greber-lucie,18,2,0.1111111111111111,0.07671388888888889,0.05370804493226873,0.5060579005000985,0.03877777777777776,0.5910281868597169,0.1018138888888889,0.2689171283197294,0.08489166666666664,0.016799999999999978,0.08744677741982328,0.6253290702599095
drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Sterweskrank ? M'r müen alli emol sterwe. In minere Wohnung derf ich mache was i will. Weje dem hawi
          miner Hüszins bezahlt.

        
",8,greber-lucie,22,2,0.0909090909090909,0.075025,0.03964137826560206,0.4932876106730796,0.0346,0.6378275582145759,0.087925,0.21636157276417384,0.07482499999999999,0.016799999999999978,0.1899,0.6600955529925223
drama,Marie Engel,F,,,,"
          
Mutter :

          
's Lucie, witt saaue. — — Dü hesch üwerhaupt ken Herz! Wer nur e bissel Mitleid mit sim Newesmensch
          het, der bringt dis nit ferti, was dü gescht ferti gebroocht hesch. D'ganz Noochberschaft het sich
          drüwer uffghalte.

        
",8,greber-lucie,39,4,0.1025641025641025,0.075025,0.03964137826560206,0.49021655110693774,0.0346,0.5987694415084003,0.11863913202165619,0.12786819771419475,0.10217499999999999,0.016799999999999978,0.18989999999999999,0.5992965779752064
drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Ich wur doch min anniversaire fiere derfe. Wer will mich dran empeschiere? Fremdi Litt gehn mich nix
          an.

        
",9,greber-lucie,19,1,0.0526315789473684,0.07122500000000001,0.03964137826560206,0.4768799839153444,0.025199999999999993,0.6321750473503828,0.06468913202165619,0.12786819771419475,0.05687499999999999,0.016799999999999978,0.27779999999999994,0.6379313313645247
