Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,avgLexVal,lexRatio
0,comedy,Alois Has,M,,,,"
          
Alois :

          
Myni lieb Carline, dü kannsch d'r gar nitt vor- stelle, wie ich mich uff unseri Hyroot fraij ! Weisch, wemm’r syn Læbdesdaa Jungg’sell isch g’sinn, no brücht m'r numme ze lueje, wieviel Knepf ass eim am Kleid fæhle, fur jügiere ze kenne, was e flyssigi Hüssfrau wært isch!

        
",0,jost-d-satisfaction,49,4,0.5581655857906007,0.08163265306122448
1,comedy,Caroline Dick,F,,,,"
          
Caroline:

          
Warum hesch de denn no nitt schun længscht g’hyroot, liewer Alois ? Alois 
(fur sich)
 : Wyll ich noch Geld habb g’hett ! 
(lütt)
 : Ho, worum ? Wyll ich arich vorsichtig bin g’sinn! E Frau hett m'r ball, awer m'r weiss nie, was fur aani ! Waije dem haw-ich mir au bis jetzt allewyll mit Patentknepf üss d'r Not g’holfe. In dir awer, chère Caroline, haw-ich enfin e Frau g’funde, wo mich glicklich mache kann !

        
",0,jost-d-satisfaction,75,6,0.5876135927863677,0.08
2,comedy,Caroline Dick,F,,,,"
          
Caroline :

          
Dü witt saawe, wo dich vun de Patentknepf erleest!

        
",1,jost-d-satisfaction,10,1,0.2881162314621015,0.1
3,comedy,Alois Has,M,,,,"
          
Alois :

          
Gell, jetzert witt dü mich au noch ütze ! Awer wart numme, wenn mir zwei erscht emool im Kæschtel hænge ! Drej Wuche sinn by de hytti moderne Verkehrsmiddel schnell erum. Ich will d'r no schun zeije, ass ich d’Hosse-n-an habb !

        
",1,jost-d-satisfaction,43,3,0.5194539743508347,0.06976744186046512
5,comedy,Alois Has,M,,,,"
          
Alois :

          
Très bien ! G’sundheit, Liewi ! Uff e gueti Zuekunft im heiliche-n-Ehstand ! 
(Trinkt.)

          

        
",2,jost-d-satisfaction,16,5,0.6501596044999987,0.3125
6,comedy,Caroline Dick,F,,,,"
          
Caroline :

          
Numme nitt so gepressiert, Aloisel ! Zuem Ins-Kæschtel-hænge haw-ich bis jetzt myni Per- mission noch nitt gænn !

        
",3,jost-d-satisfaction,18,1,0.6433193632821606,0.05555555555555555
7,comedy,Alois Has,M,,,,"
          
Alois :

          
Wa-a-as ! Hesch de dir ’s am End widder an- dersch iwerleijt?

        
",3,jost-d-satisfaction,13,1,0.527,0.07692307692307693
8,comedy,Caroline Dick,F,,,,"
          
Caroline :

          
Diss nitt grad !

        
",4,jost-d-satisfaction,4,1,0.6519229691474666,0.25
11,comedy,Alois Has,M,,,,"
          
Alois :

          
Oho ! Ich proteschtier ! Dü krejsch mir ma foi kaan Trepfele Wyn meh ! — Ja, g’fallt d'r denn ebbs nitt an mir? Ich habb doch par exemple kaan Romanbaan !

        
",5,jost-d-satisfaction,29,2,0.30306252046612087,0.06896551724137931
13,comedy,Alois Has,M,,,,"
          
Alois :

          
So wie im-e Roman ! ’s erscht gehn s’e-n- üssenander, unn no « kriegen » s’e sich widder, diss heisst, se kumme widder z’amme! 
(Zeijt mit de Hænd d’Form vun O-Baan.)

        
",6,jost-d-satisfaction,38,1,0.4697888562405837,0.02631578947368421
