drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Jumpfer HERZ,F,,,,"
          
Jumpfer Herz

          
(sitzt bi dr Lampe-n-un strickt)

          
Wie heimelig un güet isch's doch eso allei in sim Stiwle
                        z'Owe, we me si Herr un Meister isch... das heisst, we
                        me ledig isch... do hat me keine Kinder z'wàsche un
                        z'b'sorge un ins Bett z'lege, un brücht o uf kei Mann
                        z'warte un 's Nachtesse in dr Wärme-n-umme z'stelle,
                        bis ass es ihm g'fallt, heime z'ku, wenn er genüe in
                        alle Bierhiser umme g'rutscht isch... isch's ebbe nitt
                        eso?... un do heisst's als noch, ich seig e-n-Original,
                        wil ich nitt hirothe will!... nei, nei... nur das
                        nitt!... ne so isch me riehig un frei, un ka esse und
                        schlofe, we me will... tiens, me klopft a... wer mag
                        jetz das si... entrez!

        
",0,lustig-ne-jumpfre-wo-nitt-hirothe-will,139,17,0.1223021582733813,,,,,,,,,,,
comedy,Herr FIRIG,M,,,,"
          
Herr Firig

          
(kunnt hinte-n-ine un streckt in dr Jumpfer Herz
                        beide Hànd entgege)
                    

          
Jumpfer Herz!... Finele, lieb Finele!... endlig hat Sie
                        sich denn jetz doch entschlosse, mir Ihre Hàndle
                        z'gà... wenn Sie wisse thàt, wie glicklig ass ich bi,
                        siter ass ich weiss, ass Sie mi lieb Wiwele will gà!...

          

        
",1,lustig-ne-jumpfre-wo-nitt-hirothe-will,55,11,0.2,,,,,,,,,,,
comedy,Jumpfer HERZ,F,,,,"
          
Jumpfer Herz.

          
Was isch jetz das?... was kämme Sie fir Dummheite ku
                        schwàtze... hàn Sie eigentlig dr Kopf verlore, Herr
                        Firig?...

        
",2,lustig-ne-jumpfre-wo-nitt-hirothe-will,21,8,0.3809523809523809,,,,,,,,,,,
comedy,Herr FIRIG,M,,,,"
          
Herr Firig.

          
Üs lüter Glick, jà, wil Sie mich jetz endlig will
                        hirothe!... Sie brücht sich jo jetz nimmig
                        z'verstelle... hat Sie denn nitt in Ihrem Oncle
                        g'antwortet uf ein vo sine Briefe, ass Sie mich gern
                        hat un ass Sie kei Andrer thàt choisiere?

        
",3,lustig-ne-jumpfre-wo-nitt-hirothe-will,46,7,0.1521739130434782,,,,,,,,,,,
comedy,Jumpfer HERZ,F,,,,"
          
Jumpfer Herz.

          
Was!... Sie hàn sich an mi Oncle adressiert? Wer hat
                        Ihne erlaübt...

        
",4,lustig-ne-jumpfre-wo-nitt-hirothe-will,14,2,0.1428571428571428,0.1030352853058559,0.13027662038716423,0.46730417097138666,0.030320492742551518,0.5768336226115819,0.03829514896867836,0.24076953838753923,0.00692931782904186,0.02274117647058822,0.1757450065727831,0.6274191879606155
comedy,Herr FIRIG,M,,,,"
          
Herr Firig.

          
O, zürnt Sie mir nitt, Jumpfer Herz... er isch e güeter
                        Frind vo mim Vater, un will er sich an mir interessiert
                        un Ihre-n-einziger Verwandter isch, so ha-n-ich ihn um
                        Roth g'frogt, un do hat er mir das g'schriwe...

        
",5,lustig-ne-jumpfre-wo-nitt-hirothe-will,45,7,0.1555555555555555,0.12357310043190631,0.09564805046404128,0.4707575322947258,0.029986038961038918,0.5904667280516067,0.029370779220779204,0.2204033198705936,0.0,0.020999999999999998,0.1830384287080021,0.6382066940814588
comedy,Jumpfer HERZ,F,,,,"
          
Jumpfer Herz.

          
Mi Oncle weisst nitt, was er schribt!... er hat jetz
                        emol im Kopf, mich z'verhirothe, un das bringt em Nieme
                        meh drüs... awer ich will nitt!... 's isch wohr, ich
                        ha-n-ihm g'schriwe, ass ich Sie lide ka, un ass ich kei
                        Anderer thàt choisiere... wenn ich hirothe wott... awer
                        noch emol, ich hiroth nitt un dermit fertig!

        
",6,lustig-ne-jumpfre-wo-nitt-hirothe-will,62,4,0.064516129032258,0.10911855497736087,0.057284414100404926,0.46851153694512887,0.05781785714285712,0.5728433332144282,0.06740714285714285,0.1985351380524118,0.0422,0.020999999999999998,0.21159890181630137,0.6217901059326396
comedy,Herr FIRIG,M,,,,"
          
Herr Firig.

          
Un worum denn nitt?... O Finele, lieb Finele! mir sin jo
                        mitnander ufg'wachse... Dü kennsch mich jo... ha-n-ich
                        Dich nitt als, wo mr noch in d'Schüel gange sin, iwer
                        's Wasser gràtzelt, ass De keine nasse Fiess g'macht
                        hasch un alle güete Sache mit Dir theilt?... g'wiss, i
                        mach Di glicklig... uf de Hànd 
ill ich Di umme trage
                        un e jeder vo Dine Wünsch soll erfillt werde!...

          

            
G'sang

            
(il Baccio)

            
Längst ha-n-ich, lieb Schàtzle,

            
Scho Di Fràtzle

            
In mim Herz notràit,

            
Wie ne Schimmer;

            
Dü nur bisch mi Freid!

            
Wie wà mir froh

            
Mitnander lewe

            
Un immer do

            
Im Himmel schwewe!

            
Dich, mi lieb Herz,

            
Wil ich nur liewe

            
Un nie kei Schmerz

            
Soll ku 's Glick triewe.

            
Längst ha etc.

          

        
",7,lustig-ne-jumpfre-wo-nitt-hirothe-will,131,26,0.1984732824427481,0.06707350713986773,0.0894456991006639,0.4721671912955026,0.04791065854822492,0.6038152864742866,0.0539597463585868,0.2721805522343609,0.050815677664938975,0.029776923076923055,0.23442187952207805,0.6785760069074144
comedy,Jumpfer HERZ,F,,,,"
          
Jumpfer Herz.

          
Bàh, bàh, bàh!... ich will kei jalouser Mann um mich
                        umme ha, wo mir e jeder Schritt bewacht.

        
",8,lustig-ne-jumpfre-wo-nitt-hirothe-will,20,4,0.2,0.03654423787679256,0.047986285000258984,0.47053023527717164,0.042539229976796364,0.5974194055060066,0.04993117493001538,0.2700123249033746,0.050815677664938975,0.00877692307692306,0.2555311057233486,0.6986520388058065
comedy,Herr FIRIG,M,,,,"
          
Herr Firig.

          
Ich jaloux!... g'wiss nitt, Jumpfer Herz, g'wiss nitt...
                        alle Freiheit soll Sie ha... un derno, Sie ka doch nitt
                        allewil allei do bliwe in dem abg'legene Hüs... wenn
                        jo-n-emol Schelme kàmte, so kännt Ere jo nitt emol
                        nieme z'Hilf ku.

        
",9,lustig-ne-jumpfre-wo-nitt-hirothe-will,45,9,0.2,0.05663312676568144,0.07438628500025898,0.4730214532569555,0.05331700775457412,0.5937073313867918,0.05713117493001536,0.2514753392600919,0.06390438911979582,0.01571025641025638,0.24392827638414688,0.6772122261451056
