drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,avgLexVal,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
drama,Siner Babe,M,,,,"
            
Babe:

            
(sitzt im Rohrstuhl; Hemd, Hose und Frack an, Hals-  tuch; hat eine Decke über sich. Sehr krankhaftes Ausse-  hen, Fährt sich oft mit einem Tuche übers Gesicht, um  den Schweiss zu trocknen. Nach einer Weile)

            
Mame!

          
",0,weber-e-bissel-lieb,41,6,0.0729070972767148,0.1463414634146341,,,,,,,,,,,
drama,Sini Mame,F,,,,"
            
Mame  :

            
(einfach angezogen; Schürze. Bringt das Bett in Ord-  nung)

            
Was denn Babe?

          
",0,weber-e-bissel-lieb,16,3,0.0,0.1875,,,,,,,,,,,
drama,Siner Babe,M,,,,"
            
Babe:

            
Kum, setz dich... e bissel... züe mir.

          
",0,weber-e-bissel-lieb,8,1,0.0,0.125,,,,,,,,,,,
drama,Sini Mame,F,,,,"
            
Mame  :

            
(setzt sich neben Babe)

            
Was soll denn sin?

          
",0,weber-e-bissel-lieb,11,2,0.0,0.1818181818181818,,,,,,,,,,,
drama,Siner Babe,M,,,,"
            
Babe :

            
(langt nach den Händen von Mame)

            
Mame — Made- leine!!

          
",0,weber-e-bissel-lieb,14,3,0.0,0.2142857142857142,0.01458141945534296,0.1353333333333333,0.39506366180803787,0.03383210606784394,0.6425759009958032,0.02488056631551408,0.13733333333333328,0.02679544638333266,0.0,0.5913666666666666,0.7528304347946566
drama,Sini Mame,F,,,,"
            
Mame:

            
Pierre, Pierre, was isch denn?

          
",0,weber-e-bissel-lieb,6,1,0.0,0.1666666666666666,0.0,0.203,0.37525589603640946,0.0,0.6344886819435663,0.0,0.20599999999999996,0.007999999999999981,0.0,0.6528333333333334,0.7927895946557328
drama,Siner Babe,M,,,,"
            
Babe:

            
Gäll, mir zwei... sin doch immer... glücklich g’sin?

          
",1,weber-e-bissel-lieb,9,2,0.0,0.2222222222222222,0.0,0.17593333333333333,0.42176760261510643,0.0,0.6703758970558547,0.0,0.2582333333333333,0.006933333333333321,0.0,0.5781,0.8207703330054897
drama,Sini Mame,F,,,,"
            
Mame:

            
Nadierlich sin mir glücklich g’sin! Wie kummsch düe jetzt awer grad uff diss ze redde? Noch nie hesch düe mich e so ebs g’fröjt.

          
",1,weber-e-bissel-lieb,25,4,0.0,0.16,0.0,0.19623333333333332,0.4485374967748948,0.0,0.6582776296633874,0.0,0.3460333333333333,0.0077333333333333195,0.0,0.52495,0.825139353370874
drama,Siner Babe,M,,,,"
            
Babe:

            
Ich hab dir’s jo immer ang’sähn, dass düe... glücklich bisch, awer... ich hab’s jetzt au vun dir wölle höre.

          
",1,weber-e-bissel-lieb,22,2,0.0,0.0909090909090909,0.0,0.15563333333333335,0.4841778542189042,0.0,0.6816402490440735,0.0,0.38453333333333334,0.0061333333333333205,0.0,0.45465,0.8420353327371121
drama,Sini Mame,F,,,,"
            
Mame:

            
Düe hesch jo hyt ganz sunderbari Gedanke un Wünsch!

          
",1,weber-e-bissel-lieb,10,4,0.0,0.4,0.0,0.15368007450142393,0.5026806453149789,0.01795,0.6715441722654559,0.0,0.3888827933519713,0.04390000000000001,0.04844999999999998,0.3820659916899641,0.8134294701313859
