drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Hans,M,,,,"
          
Hans :

          
Wenn ich numme ellaan uff d'r Welt wär. Ach, jetzt brüehlt d'Kueh aunoch !

        
",0,bastian-dr-hans-im-schnokeloch,15,1,0.0666666666666666,,,,,,,,,,,
comedy,Casper,M,,,,"
          
Casper :

          
Maischter ! 
          
(grüsst und bleibt an der Türe.)

        
",0,bastian-dr-hans-im-schnokeloch,10,1,0.1,,,,,,,,,,,
comedy,Hans,M,,,,"
          
Hans :

          
(kleine Pause)

          
Wass gitt's Casper ? 
          
(Die Kuh brüllt.)

        
",0,bastian-dr-hans-im-schnokeloch,14,2,0.1428571428571428,,,,,,,,,,,
comedy,Casper,M,,,,"
          
Casper:

          
(nach aussen mit dem Daumen über die Schulter deutend)

          
Sie blongt nooch-em Maischter.

        
",0,bastian-dr-hans-im-schnokeloch,16,1,0.0625,,,,,,,,,,,
comedy,Hans,M,,,,"
          
Hans :

          
Ich hab se schun vielmol brüehle höre müehn, un kann's-ere leider nit verbiete.

        
",0,bastian-dr-hans-im-schnokeloch,16,3,0.1875,0.00143712497763586,0.06500982002055553,0.11708205096645515,0.00118614792636388,0.1547196404220273,0.0011071281084673,0.11128075371304313,0.0015928707529379402,0.0,0.06172587590952466,0.15041992136798996
comedy,Casper,M,,,,"
          
Casper:

          
(grüsst und zieht die Schultern hoch)

          
Wind sin's

        
",0,bastian-dr-hans-im-schnokeloch,12,1,0.0833333333333333,0.0038672475158206205,0.06500982002055553,0.08143115211520481,0.00118614792636388,0.1003859680882919,0.00311964275160752,0.06372109586457696,0.0015928707529379402,0.00263892648570704,0.06172587590952466,0.09061369010452808
comedy,Hans,M,,,,"
          
Hans :

          
(wirft die Münzen in den Kasten)

          
Als nyn mit dem Dreck, de langsch nit fir diss, was ich dich will. Bisch biem Hisperle gsin ?

        
",0,bastian-dr-hans-im-schnokeloch,27,2,0.074074074074074,0.00430275334232002,0.03821381625364594,0.05037921754714787,0.0037033292078975004,0.05888380515023448,0.00479093580273478,0.033158394059258384,0.0015928707529379402,0.00263892648570704,0.031163174104206083,0.05352905586269559
comedy,Hans,M,,,,"
          
Hans:

          
(ein Sonnenstrahl blendet durch das geöffnete Fenster rechts)

          
Ach, jetzt schient d'Sunn au noch 
          
(wirft den Geldbeutel in den Kasten und klappt diesen heftig zu, bemerkt Caspar)
 Bisch de
          als noch do ?

        
",0,bastian-dr-hans-im-schnokeloch,38,2,0.0526315789473684,0.00430275334232002,0.02917739041698344,0.04487452533310464,0.0037033292078975004,0.0537932844373904,0.00479093580273478,0.031986182364688566,0.0015928707529379402,0.00506419486731034,0.03350710073955968,0.048018621851469476
comedy,Angenes,F,,,,"
          
Angenes:

          
Bswbswbsw ! 
          
(die Katze lockend)
 Hansel, min süesser, was hesch de denn ? — Bswbswbsw 
          
(geht suchend zur Mitteltüre)
 Minettele ?

        
",1,bastian-dr-hans-im-schnokeloch,23,1,0.0434782608695652,0.00430275334232002,0.007943379240926479,0.01757970618441198,0.0037033292078975004,0.01622753781447876,0.00479093580273478,0.0059490278736910405,0.0015928707529379402,0.00939194728152994,0.0029443989342411,0.014662153300085117
comedy,Angenes,F,,,,"
          
Angenes:

          
Awer Hans, hett mer dich denn nit serviert ? Ei, ei, so isch's mit d'r Dante Lehn, sie denkt au
          gar nit an dich, awer gar nit. Kumm min Hansel, ess, trink, verhungersch jo noch. Dü hesch anfanges e
          Uessehns, dass 
          
de ball nim drynsiehsch, so bleich bisch de 
          
(zieht eine Spitzenarbeit aus der Tasche und häckelt ; setzt sich neben ihn).

        
",1,bastian-dr-hans-im-schnokeloch,64,2,0.03125,0.0028656283646841603,0.01788920745672492,0.02414086219640096,0.00251718128153362,0.02309713090140002,0.0036838076942674798,0.0059490278736910405,0.00270638279396276,0.00939194728152994,0.0023439266353536,0.02221573902372848
comedy,Hans,M,,,,"
          
Hans:

          
In dem Rattenest kreijt mer noch d'Gälsucht. E nejer Hoft muess mer her — awer d'Füchs, d'Füchs
          wölle nit lange.

        
",1,bastian-dr-hans-im-schnokeloch,24,2,0.0833333333333333,0.00043550582649939967,0.0187124329416039,0.02262841031229338,0.00251718128153362,0.02172514467485224,0.00234488194491956,0.006419621710321561,0.0033569921092888,0.006753020795822901,0.0029814244193757397,0.02143912979514146
comedy,Angenes,F,,,,"
          
Angenes:

          
Jo, jo, ess, ich hab nix d'rgeje min Hansel. D'r Babbe Gerôme hawi breweniert, jo.

        
",1,bastian-dr-hans-im-schnokeloch,17,1,0.0588235294117647,0.0,0.0187124329416039,0.0413633192269777,0.0,0.06251309735384214,0.0006735888937923001,0.006419621710321561,0.0033569921092888,0.006753020795822901,0.036787124156874254,0.06561234540187134
comedy,Hans,M,,,,"
          
Hans :

          
Wass, bin ich denn krank ?

        
",1,bastian-dr-hans-im-schnokeloch,6,1,0.1666666666666666,0.0027155512995161797,0.01633104629153004,0.04134207610368964,0.005240356354064181,0.05887607654374706,0.00593257540950494,0.00499614115095158,0.00862160645932806,0.0043277524142196,0.034443197521520655,0.060912437755788265
comedy,Angenes,F,,,,"
          
Angenes:

          
Er kummt doch zue d'r kranke Kueh, no geht's im aim Gschirr. Bswbswbsw !

        
",1,bastian-dr-hans-im-schnokeloch,15,1,0.0666666666666666,0.00501851246746232,0.010769053700677421,0.038476484011400434,0.009684513675547981,0.054584407687259216,0.010392532299509741,0.00047059383663052,0.013086336112755202,0.0,0.034443197521520655,0.056849499191138596
comedy,Hans,M,,,,"
          
Hans :

          
(gegen das Fenster gehend)

          
Könnt jetzt nit d'r Mond schiene, amplatz d'Sunn, die heiss. 
          
(Man hört die Kuh draussen brüllen.)

        
",1,bastian-dr-hans-im-schnokeloch,26,6,0.2307692307692307,0.00800226051826666,0.00181644860420438,0.03458669188732312,0.00972650118950968,0.051182706291712024,0.010392532299509741,0.0012986650633836998,0.01037995331879244,0.00047074533338405995,0.03522450639997186,0.05296782795753002
comedy,Angenes,F,,,,"
          
Angenes :

          
Ze kumm doch, sej lieb.

        
",1,bastian-dr-hans-im-schnokeloch,6,2,0.3333333333333333,0.00800226051826666,0.01651460513787844,0.04454095334921686,0.00972650118950968,0.06313454327973475,0.00971894340571744,0.00829983521515598,0.0097293440034664,0.00047074533338405995,0.03458700861594972,0.067270850266296
comedy,Angenes,F,,,,"
          
Angenes :

          
Horch Hansel, werum bisch de denn eso müderie ? Gell es fehlt d'r ebbs ?

        
",2,bastian-dr-hans-im-schnokeloch,14,2,0.1428571428571428,0.00800226051826666,0.01651460513787844,0.02768804579182304,0.01054537207592964,0.02339842653904734,0.01469651627885564,0.00829983521515598,0.0159151315857522,0.005938223086747641,0.0007813088784512,0.02433168497298776
comedy,Hans,M,,,,"
          
Hans:

          
Mini Ruehj will ich hann 
          
(geht vom Fenster zurück).

        
",2,bastian-dr-hans-im-schnokeloch,12,1,0.0833333333333333,0.005286709218750479,0.01651460513787844,0.02461364629899464,0.00530501572186546,0.02362360507211498,0.009437529763142999,0.00999492188066658,0.010650517235712939,0.005938223086747641,0.0007813088784512,0.026184659657734078
comedy,Angenes,F,,,,"
          
Angenes :

          
Saa mir's, saa's in dim Dantel — dü waisch ich helf d'r. — Ich — ich maan, waisch was ich maan ? Zaj
          sej emol offeherzi. Gell dü hesch Jemes im Sinn ?

        
",2,bastian-dr-hans-im-schnokeloch,35,2,0.0571428571428571,0.0029837480508043395,0.01651460513787844,0.02660289693037528,0.00086085840038166,0.030219792255135342,0.0049775728731382,0.0111739695260725,0.006525311771166479,0.005938223086747641,0.008943137276567339,0.0355677856649914
comedy,Hans,M,,,,"
          
Hans:

          
Dante Angenes, Si waiss, dass mer d'wunderfitzige Wiebslitt Gift und Gall sin.

        
",2,bastian-dr-hans-im-schnokeloch,14,2,0.1428571428571428,0.0019506533859167997,0.01552138201855304,0.02435940156432896,0.00222808662804024,0.027014495390293623,0.006775525765300161,0.01034589829931932,0.00803512290599628,0.00546747775336358,0.00816182839811614,0.03170814706065964
comedy,Angenes,F,,,,"
          
Angenes :

          
Jo denn ! Awer Hansel, ich maan d'Sybille — könnt d'r gfalle.

        
",2,bastian-dr-hans-im-schnokeloch,13,1,0.0769230769230769,0.0019506533859167997,0.0,0.017105345812265742,0.00222808662804024,0.017073464108070042,0.01025574286628576,0.00287413431091652,0.0113907286529824,0.00546747775336358,0.008161828398116142,0.019844195957278057
comedy,Hans,M,,,,"
          
Hans :

          
Dante ! — Noch eso Wort und ich bin im Stand un nemm mer —

        
",2,bastian-dr-hans-im-schnokeloch,15,1,0.0666666666666666,0.0019506533859167997,0.0039474629373436,0.01780918584811596,0.00140921574162028,0.018783353095176824,0.00527816999314756,0.00287413431091652,0.005204941070696601,0.0,0.008161828398116142,0.02065351573449884
comedy,Angenes,F,,,,"
          
Angenes:

          
's Lewe ?

        
",2,bastian-dr-hans-im-schnokeloch,3,1,0.3333333333333333,0.0019506533859167997,0.01920225231137764,0.03830208292270656,0.00140921574162028,0.041232878203690246,0.00527816999314756,0.014835421724283478,0.005204941070696601,0.0,0.024707153098803843,0.04679612693087582
comedy,Angenes,F,,,,"
          
Angenes :

          
Gott sej Dank. Awer Goldhansel, sej doch nit so obsenat, emol — emol muess-es jo doch sin.

        
",2,bastian-dr-hans-im-schnokeloch,18,2,0.1111111111111111,0.0019506533859167997,0.025463476551878295,0.0417332612959239,0.00140921574162028,0.047352463419678144,0.006494192882831559,0.02263684813509688,0.004865416881815921,0.0,0.02452709196595404,0.050252756342678895
comedy,Hans,M,,,,"
          
Hans :

          
Herrgott im Himmel, wenn's numme ken Wiebslitt gäbt un alti Dante.

        
",2,bastian-dr-hans-im-schnokeloch,13,1,0.0769230769230769,0.0,0.025463476551878295,0.041080324411558615,0.0,0.04934307433354556,0.0046962399906696,0.02788100158068928,0.0033556057469861207,0.0,0.028120372034621498,0.055165447177475804
comedy,Angenes,F,,,,"
          
Angenes :

          
Jo denn ! Awer ich maan s'wär besser avec une petite femme, dü wärsch e Mann — e Mann !

        
",2,bastian-dr-hans-im-schnokeloch,20,2,0.1,0.0,0.025463476551878295,0.046628328856728504,0.0,0.059128108847581864,0.001216022889684,0.036939320859587635,0.0,0.0,0.028120372034621498,0.06534210966578555
comedy,Angenes,F,,,,"
          
Angenes:

          
Awer Hans, jetzt hör doch 
          
(erblickt Lehn und sucht lockend nach der Katze)
 Wo nur diss Kätzel steckt ?

        
",3,bastian-dr-hans-im-schnokeloch,21,1,0.0476190476190476,0.0,0.027078006205387316,0.047799602882952055,0.0,0.06030280023731838,0.001216022889684,0.041464868173908695,0.0,0.0043277524142196,0.028120372034621498,0.06702690526559127
comedy,Lehn,F,,,,"
          
Lehn :

          
Was isch denn schun widderum ? 
          
(zu Angenes)
 Bischt widder am bitschle ? Dueh-em-doch e Drüelätschel an, dem Allefanz.
          Was macht d'r Geldkaste do ?

        
",3,bastian-dr-hans-im-schnokeloch,25,1,0.04,0.0,0.011823216831353279,0.03622532305418282,0.0,0.05090901428365968,0.001216022889684,0.02780849409503114,0.0,0.0043277524142196,0.02197676190153092,0.04887661993036396
comedy,Angenes,F,,,,"
          
Angenes :

          
Bswbswbsw ! Ich suech s'Kätzel.

        
",3,bastian-dr-hans-im-schnokeloch,6,1,0.1666666666666666,0.0,0.01291777137942898,0.0339675502802322,0.0,0.04323075832021186,0.0,0.01882802003881182,0.0,0.0043277524142196,0.01399499463626458,0.04305541155406986
comedy,Hans,M,,,,"
          
Hans:

          
Wenn's numme batsche dät, mit Brenkel schütte, schloose.

        
",3,bastian-dr-hans-im-schnokeloch,10,1,0.1,0.0022213550655492196,0.01291777137942898,0.034119823467577956,0.0,0.04070769049896354,0.0,0.013583866593219418,0.0,0.0043277524142196,0.01040171456759712,0.03854239409146705
comedy,Lehn,F,,,,"
          
Lebn:

          
Het mer schun emol eso e Apostel-Merredi ghört ? Mit Brenkel soll's schütte, jetzt wo alles drüss im
          
          
Grüene steht, schloose 
          
(schliesst den Geldkasten in den Schrank).
 — Dätsch dü nüss uff's Feld gehn un lüeje was
          dini Litt schaffe, wär besser als an's Fenter stehn, Plän in d'Luft böüje un Müülaffe faal halte.

        
",3,bastian-dr-hans-im-schnokeloch,60,7,0.1166666666666666,0.00254895817538712,0.013746305234739301,0.03244618768470806,0.00012560638747468,0.038076000866192984,0.0,0.01153273282428484,0.00064255086118668,0.0043277524142196,0.010659711671609801,0.03615202805186206
comedy,Hans,M,,,,"
          
Hans :

          
s'Isch ze heiss drüss, Dante Lehn.

        
",3,bastian-dr-hans-im-schnokeloch,8,1,0.125,0.01317899338915586,0.008184312643886681,0.03639290497200738,0.00012560638747468,0.041101715828455725,0.0,0.00700718550996378,0.00064255086118668,0.0,0.010659711671609801,0.037401171231965735
comedy,Angenes,F,,,,"
          
Angenes :

          
Loss 'ne gehn. Es isch-em nit bsunders. Lüej do s'Esse !

        
",3,bastian-dr-hans-im-schnokeloch,12,1,0.0833333333333333,0.020655613363180482,0.023457103175696,0.036993172258892836,0.007334209252371901,0.03304474946857664,0.01221403799263124,0.00700718550996378,0.012853428778994019,0.007129412982540941,0.0046682054652606,0.03272494726627028
comedy,Hans,M,,,,"
          
Hans:

          
Wenn ich numme e Mahlmühl hätt, wo diss Babbelwasser drüewer könnt laufe, amplatz üewer mich.

        
",3,bastian-dr-hans-im-schnokeloch,16,1,0.0625,0.02095230571333264,0.01610132438711964,0.03332742932679014,0.007334209252371901,0.028616859243095726,0.01221403799263124,0.00775089433434518,0.012853428778994019,0.007129412982540941,0.0046682054652606,0.02735690980615398
comedy,Lehn,F,,,,"
          
Lehn :

          
Im Sommer soll's Grüen schneie un im Winter solle Pflümmebaam Aepfel draaue. Alles isch bie ihm
          s'Gejetheil vum Conträr 
          
(stellt den Korb auf einen Sessel).

        
",4,bastian-dr-hans-im-schnokeloch,30,1,0.0333333333333333,0.018730950647783424,0.016101324387119642,0.0325758391992267,0.007334209252371901,0.02929378657267882,0.01221403799263124,0.0100888300535442,0.012853428778994019,0.007129412982540941,0.0046682054652606,0.02943471503175312
comedy,Angenes,F,,,,"
          
Angenes:

          
So reddsch de allewiel. Dü machsch denne guete Bue noch ganz hinterefüehr.

        
",4,bastian-dr-hans-im-schnokeloch,13,3,0.2307692307692307,0.018403347537945522,0.015272790531809322,0.036143115687333936,0.00720860286489722,0.03391606101819088,0.01221403799263124,0.01229075463289622,0.01221087791780734,0.007129412982540941,0.0087936151914399,0.03602452624333958
comedy,Lehn,F,,,,"
          
Lehn:

          
Un dü machsch 'ne vorderefüehr. Lang mer zelle Korb dort, dass ich die Eier zähl.

        
",4,bastian-dr-hans-im-schnokeloch,16,2,0.125,0.00777331232417678,0.015272790531809322,0.029587328715486683,0.00720860286489722,0.02981167609488748,0.015314805923276279,0.01229075463289622,0.01520586272075446,0.007129412982540941,0.00952384611990118,0.034339443996464276
comedy,Angenes,F,,,,"
          
Angenes :

          
(bringt den Korb)

          
Sej doch staat Lehn. Dü siehsch doch, dass-em ebbs' fehlt. Er isch verderangiert, fadigiert,
          annüyrt.

        
",4,bastian-dr-hans-im-schnokeloch,21,1,0.0476190476190476,0.00029669235015216,2.7755575615628915e-18,0.025904838451924622,0.0,0.027185020944503424,0.01064281589568388,0.01229075463289622,0.013129420103385542,0.01093495550672718,0.00511363775865326,0.03206986449948568
comedy,Angenes,F,,,,"
          
Angenes :

          
Hans, kumm un trink, ess.

        
",4,bastian-dr-hans-im-schnokeloch,6,1,0.1666666666666666,0.0,0.019891656431596884,0.036475191222629544,0.0,0.04023495837934146,0.01064281589568388,0.01154704580851482,0.013129420103385542,0.01093495550672718,0.00511363775865326,0.04564063418463052
comedy,Lehn,F,,,,"
          
Lehn :

          
Am Mondaa hett'r Kopfweh ghett vum Sundaa vun sinere Bardessüplaisir, am Diensdaa hett'r d'r Mondaa 
          
gsuecht, am Mittwuch hett'r e Röüjes g'hett, dass d'r ander Daa Dunnersdaa isch, am
          Dunnersdaa hett'r Hieserplän im Kopf g'hett, am Frudaa isch'r spaziere geritte un do hett-em e Schnok
          ins Au getrette un hitt soll's mit Brenkel eraschütte, was-es kann — im Hans ze lieb.

        
",4,bastian-dr-hans-im-schnokeloch,63,2,0.0317460317460317,0.0008663416624443201,0.025467210234351462,0.040878581429598784,0.0017603746109028599,0.0449536573272218,0.01064281589568388,0.0166808740777186,0.013129420103385542,0.01093495550672718,0.00511363775865326,0.05112386006500874
comedy,Hans,M,,,,"
          
Hans:

          
Ei wass ! Un morje ?

        
",4,bastian-dr-hans-im-schnokeloch,5,1,0.2,0.0008663416624443201,0.031636722524428625,0.03394368062798703,0.0017603746109028599,0.034443275526914556,0.01064281589568388,0.007471763988402801,0.013129420103385542,0.01093495550672718,0.00073023092846128,0.03965082190711726
comedy,Lehn,F,,,,"
          
Lehn:

          
Morje? — Hett'r e Füüs wie siewe Bröüiknecht.

        
",4,bastian-dr-hans-im-schnokeloch,9,1,0.1111111111111111,0.0008663416624443201,0.03780623481450578,0.03479397434074684,0.0017603746109028599,0.03482114091163904,0.007542047965038839,0.007471763988402801,0.01013443530043842,0.01093495550672718,0.0,0.04212792535372624
comedy,Angenes,F,,,,"
          
Angenes :

          
Awer, awer, er wurd uns krank !

        
",5,bastian-dr-hans-im-schnokeloch,7,1,0.1428571428571428,0.0035818929619604997,0.03780623481450578,0.03203197956443048,0.0070007309649670404,0.03222384473397982,0.00525898651571264,0.007471763988402801,0.0052646143500392605,0.0,0.0,0.039228428270504316
comedy,Hans,M,,,,"
          
Hans:

          
Möcht mer do nit grünspunj wäre !? — O, ich armer Kribbel. Könnt ich numme emol e Daa, en anziger
          Daa, ellaan uff d'r Welt sin.

        
",5,bastian-dr-hans-im-schnokeloch,26,2,0.0769230769230769,0.0035818929619604997,0.017914578382908903,0.03944604468627612,0.007000730964967039,0.046814478112730665,0.00525898651571264,0.03125159291263588,0.0077613764459439,0.0,0.0,0.055455088055771
