drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel :

        
(züend mit e’re Velolamp erum)

        
Kumme Sie, Herr Architekt.

      
",0,bastian-s-gaischtert-im-huss,12,2,0.1666666666666666,,,,,,,,,,,
horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Deschto besser. Un? Han Sie min Hüs genau unter- suecht?

      
",2,bastian-s-gaischtert-im-huss,12,3,0.25,,,,,,,,,,,
horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Gewissehaft, ja.

      
",3,bastian-s-gaischtert-im-huss,3,2,0.6666666666666666,,,,,,,,,,,
horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Un ’s Resultat?

      
",4,bastian-s-gaischtert-im-huss,4,1,0.25,,,,,,,,,,,
horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Sin Sie im Keller gsin, uff d'r Büehn?

      
",10,bastian-s-gaischtert-im-huss,9,1,0.1111111111111111,0.00241946799729026,0.02943995017570552,0.08248919017284531,0.00410865174923426,0.10539253613199544,0.00393278156738288,0.05981653246240298,0.0008949487941986,0.0122100136676319,0.01196500759649272,0.11669065115557027
horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Hm! E unheimlichi Gschicht... wo mich e Vermöje koscht... noch meh! Ja, wo mich rüiniert.

      
",12,bastian-s-gaischtert-im-huss,16,4,0.25,0.00403471438442034,0.02169656012600298,0.08450587564623357,0.00319203168384266,0.0972492675506916,0.005766897897080179,0.07161133813584765,0.00508486608918604,0.018868355584076717,0.01408156447724894,0.11204134538670718
horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Guet ze verstehn. Bedenke Sie, e füenfstöckigs Hüss, modern yngericht, mit grossem Garte vorne un hinte, d’rzue noch in e’re freie, herrliche Gejed; e füenfstöckigs Hüss wo ken Mensch meh nynzeije will, wo verruefe isch! Bedenke Sie der Zinsverluscht!

      
",14,bastian-s-gaischtert-im-huss,41,5,0.1219512195121951,0.0032761907112886005,0.02230356406023292,0.1072770117245403,0.00319203168384266,0.1388188953057472,0.00491560514162298,0.11455488099464536,0.00418991729498744,0.02024855643665064,0.015605176440582,0.1631953651330779
horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Rächt han sie.

      
",15,bastian-s-gaischtert-im-huss,4,1,0.25,0.0032761907112886005,0.02230356406023292,0.09267809683742982,0.00319203168384266,0.13315483948975865,0.004915605141622981,0.1034819000157959,0.00418991729498744,0.02024855643665064,0.02077419532672312,0.15226318966331426
horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Ganz abgsehne vun d'r Ambediererei vun de Jour- naliste, wo aane Daa un Nacht üss lütter Wunderfitz ken Ruehj lonn. Gott, was sin schun Artikel üewer des Hüss lanciert worre. Un photographiert! Meh als e Minischter.

      
",16,bastian-s-gaischtert-im-huss,38,7,0.1842105263157894,0.00536804961571948,0.00979917120129224,0.09423779527634543,0.00585291169162404,0.13643257042359622,0.00731491410945802,0.11533662691242008,0.0064630630568892995,0.01055349425933272,0.0224194409165711,0.1582681044550825
horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Ich hab e Idee. Verkaufe Sie diss Hüss.

      
",17,bastian-s-gaischtert-im-huss,9,1,0.1111111111111111,0.00536804961571948,0.00979917120129224,0.1126568108031176,0.00585291169162404,0.18702953648403414,0.00731491410945802,0.1734050007743449,0.0064630630568892995,0.01055349425933272,0.0224194409165711,0.2243813609506561
horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Glich, glich, wenn’s numme Jemes wott. Alli An- nonce han bis dato nix genutzt. Im Gejedail... Stromswies komme Fremdi for diss Hüss ze betrachte. Jede Sunndaa sieht mer hunderti vun Automobil im Städtel. Wisse Sie, M. Meter, wer d' beschte Gschäfte do d’rbie macht?

      
",18,bastian-s-gaischtert-im-huss,48,5,0.1041666666666666,0.0020918589044308807,0.010408946694654562,0.10914431942847558,0.0026608800077813797,0.1993683327398832,0.0023993089678350397,0.1798007937076725,0.00227314576190186,0.0038951523428879,0.023716516022322318,0.2373106418758336
