Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,avgLexVal,lexRatio
1,comedy,Schakob Urbach,M,,,,"
          
Maire :

          
(steht am Schrank, hat ein Schriftstück in der Hand, spricht zu Aloys)

          
Aloys, ihr hann doch d’Ge- mäinderotsharre uf 6 Ühre do häre b’stellt ? — — Es isch jetz schun 20 Minüte üewer sechs un noch nieme losst sich sahn !

        
",0,clemens-dr-amerikaner,45,3,0.0,0.06666666666666667
2,comedy,Aloys,M,,,,"
          
Aloys :

          
Ich hab's alle g’säit!... Awer bi danne häisst’s äu : „Kumm i hitt nit, ze kumm i mor’n“, wie zaller g'säit hett ...

        
",0,clemens-dr-amerikaner,26,3,0.0,0.11538461538461539
3,comedy,Matter,M,,,,"
          
Matter :

          
(kommt eilig zur Türe herein)

          
Noch kener do ? ! Müess dann ich allewill d'r erscht sinn ? ! — Wann i diss gewisst hatt, ze wärt ich nit so geloffe. 
(wischt sich den Schweiss ab.)

        
",0,clemens-dr-amerikaner,37,4,0.15455086469850982,0.10810810810810811
4,comedy,Schakob Urbach,M,,,,"
          
Maire :

          
(ruhig)

          
Guete-n-Owe Matter! Äner muess d'r erscht sinn, d'andere wäre äu glich kumme. — Was gitt’s Neij’s, Matter ?

        
",0,clemens-dr-amerikaner,26,4,0.30910172939701963,0.15384615384615385
5,comedy,Matter,M,,,,"
          
Matter:

          
(bissig)

          
Neij’s?! Ich hab noch genuej am Alte...

        
",1,clemens-dr-amerikaner,12,3,0.21236746274518095,0.25
6,comedy,Schierejerry,M,,,,"
          
Schierejerry :

          
(kommt bedächtig zur Türe herein, hat eine Pfeife im Munde)

          
Guete-n-Owe bienand ! — Do wärde m'r ... Ju, ju — hitt wärmt’s famos.

        
",1,clemens-dr-amerikaner,28,5,0.0,0.17857142857142858
7,comedy,Schakob Urbach,M,,,,"
          
Maire :

          
Ja, es macht warm schun ebbene 14 Däj häre.

        
",1,clemens-dr-amerikaner,10,3,0.0,0.3
8,comedy,Matter,M,,,,"
          
Matter :

          
Numme zü warm ; as isch viel ze drucket drüsse im Fald — d'r Büür derf halt ken Glüeck hann — —

        
",1,clemens-dr-amerikaner,22,4,0.15455086469850982,0.18181818181818182
9,comedy,Aloys,M,,,,"
          
Aloys :

          
Jo, hiele nurre nit eb’r d'’ Schläj hann, wie zaller g'säit hett ! — As isch guet füer d’Rawe diss Watter. Schollesepp und Groshans 
(kommen zusammen herein ; Schollesepp isch schwerhörig. - Groshans spricht schnell und prahlt gern.)

        
",1,clemens-dr-amerikaner,41,7,0.001935308459502848,0.17073170731707318
10,comedy,Schollesepp,M,,,,"
          
Schollesepp :

          
Salü biesamme ! 
(setzt sich an den Tisch an seinen Platz.)

        
",2,clemens-dr-amerikaner,13,1,0.0,0.07692307692307693
11,comedy,Groshans,M,,,,"
          
Groshans :

          
(gibt jedem die Hand)

          
Guete-n-Owe, Herr Maire ! Guete-n-Ovre, Schierejerry ! — Bonjour Mat- ter, wie geht’s allewill ?

        
",2,clemens-dr-amerikaner,25,4,0.0,0.16
12,comedy,Matter,M,,,,"
          
Matter :

          
Poh — wie mr’s triebt !

        
",2,clemens-dr-amerikaner,7,1,0.6182034587940393,0.14285714285714285
13,comedy,Groshans,M,,,,"
          
Groshans :

          
Bisch kurz angebunge hitt. — Wie fahlt’s ?

        
",2,clemens-dr-amerikaner,9,1,0.055657197166069344,0.1111111111111111
15,comedy,Matter,M,,,,"
          
Matter :

          
Ich kann zuem Bett ra, mit well'm Fuess ass ich will, ze gitt’s dich nix an, verstange !? — Un ich mäin, mir kennte anfange, Herr Maire, uf d’andere brüche m'r nit ze warte, e Nuntebuckel noch-emol ! Un ich möecht gar wisse, wäje was ass m'r z'samme müen kumme ?

        
",3,clemens-dr-amerikaner,53,6,0.10303390979900655,0.11320754716981132
16,comedy,Schakob Urbach,M,,,,"
          
Maire :

          
Jo — warte m'r nimm länger, fange m'r an. D’r Sohler kummt noch, dar isch allewill d'r letscht, dann von sim Hüs do hare sin zwäij Wurtshieser un do kann’r nit d’ran verbie. 
(Gelächter.)

        
",3,clemens-dr-amerikaner,38,5,0.0012625162475063377,0.13157894736842105
18,comedy,Schierejerry,M,,,,"
          
Schierejerry :

          
Ju, ju, ar meint ar kummt in d’Höll, wann’r am e Wurtshüs verbie geht.

        
",3,clemens-dr-amerikaner,16,3,0.004984834541764466,0.1875
19,comedy,Sohler,M,,,,"
          
Sohler:

          
 
(kommt gemütlich zur Türe herein.)
 

        
",3,clemens-dr-amerikaner,8,1,0.0,0.125
21,comedy,Sohler,M,,,,"
          
Sohler :

          
(spricht Strassburger Dialekt)

          
Salü bien, de Herrschafte ! Oho, sinn’r schun alli do ?

        
",4,clemens-dr-amerikaner,15,1,0.008618354893306354,0.06666666666666667
