drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Madame FRISCH,F,,,,"
          
Madame Frisch

          
(kunnt ine mit ere Postkarte)

          
So!... jetz schribt mir grad mi Oncle do vo Colmer, ass
                        er uf hie kunnt un bi mir will ku z'Nacht esse... grad
                        jetz, hit, wo-n-ich Gäst ha... ich mächt ewe hit z'Owe
                        mi Züekünftiger, dr Herr Ledig, in dr G'sellschaft
                        vorstelle un ha's ig'richtet g'ha, ass mr grad zwölf
                        gsi wàre am Tisch... kunnt awer mi Oncle, so si mr
                        drizehne... me meint grad, er macht's express!... un
                        züedem isch's e-n-Original, mi Oncle... er hat allewil
                        ganz andere-n-Idee as andre Lit... wenn ich en ig'lade
                        hätt, so wàr er sicher nitt ku... was isch jetz
                        z'mache?... ich ka doch Nieme furtschicke un will's o
                        in Nieme sage, sunscht thàte se mich üslache... un
                        drizehne will ich durchüs nitt, ass mr sin... unter
                        keine Umstànde, 's mag geh wie's will, derf das meh
                        g'schàh... ich thàt eher dr erste beste Bettler derzüe
                        riefe!... 's isch mr nur emol vorku un gli druf isch mi
                        Mann selig g'storwe... ich will nitt, ass es mir noch
                        emol eso geht, wenn ich derno küm wieder g'hirothe
                        bi!...
                    

          

            
G'sang

            
Drizehne-n-isch e-n-Unglickszahl,

            
Wo mir brocht hat mi grösste Qual,

            
Drum mach ich mir halt drüs e G'setz,

            
Fir sie als z'vermeide jetz.

            

            
Ich will halt doch nitt riskiere,

            
Jetz wieder gli mi Mann z'verliere,

            
Denn fir einer wieder z'ha,

            
Ha-n-ich nitt iwel Mieih scho g'ha.

          

          
Ich sieh nit anders as ich müess im Herr Ledig
                            Hàndel süeche, fir ass er blàit un nitt bim Esse
                            blibt... nochher versöhne mir uns wieder
                            mitnander... ich stell ne halt derno ne-n-andermol
                            vor... ich will das Ding scho arrangiere, er isch e
                            wenig e Hitzkopf, awer sunscht e ganz güeter
                            Mensch, wo um's ummelüege wieder alles vergesse
                            hat... doch still, do kunnt er glaüb grad!
                        

        
",0,lustig-d-tante-domino,321,44,0.1370716510903426,,,,,,,,,,,
comedy,Herr LEDIG,M,,,,"
          
Herr Ledig

          
(kunnt hinte-ine)

          
Eh, güete-n-Owe, Madame Frisch!... ich frog nitt no
                        Ihrer G'sundheit... Sie kännt doch sicher kei besserer
                        Name ha!...
(er lüegt ummenander)
 ich bi glaüb dr
                        Erste....
                    

        
",1,lustig-d-tante-domino,36,8,0.2222222222222222,,,,,,,,,,,
comedy,Madame FRISCH,F,,,,"
          
Madame Frisch.

          
Sie hätte ne sotte si, vo rechtswege... awer lüege
                        Se-n-emol in dr Garte...
                    

        
",2,lustig-d-tante-domino,17,2,0.1176470588235294,,,,,,,,,,,
comedy,Herr LEDIG,M,,,,"
          
Herr Ledig

          
(geht an's Fenster)

          
Tiens,'s sin scho andere Gast do... verzeiht Se mr,
                        Madame Frisch... ich ha halt noch G'schàfte g'ha...
                    

        
",3,lustig-d-tante-domino,26,4,0.1538461538461538,,,,,,,,,,,
comedy,Madame FRISCH,F,,,,"
          
Madame Frisch

          
(trotzig)

          
Ich mein doch, ass we me-n-ebber gern hat un uf em Punkt
                        isch z'hirothe, ass die Person vor de G'schàfte geht!
                    

          

          

            
G'sang

            
Kunnt me z'spot

            
Als vor dr Hiroth scho,

            
Wie wird's denn geh' als do,

            
Wenn's umme-n-isch derno!

            
Ich find doch, ass d'Hiroth

            
Vor allem z'àmme geht

            
Un ass ka si kei Red

            
Vo ebbes anders meh jetz do!

          

        
",4,lustig-d-tante-domino,75,10,0.1333333333333333,0.05087240033099598,0.015569911851919142,0.6018732856717559,0.12537440896074098,0.6808272933343155,0.04407459400936864,0.02883276822625694,0.00233411350951922,0.0028859891878575397,0.15467567405523525,0.6855957484635093
comedy,Madame FRISCH,F,,,,"
            

              
Kunnt me z'spot etc...

            

          
",5,lustig-d-tante-domino,5,1,0.2,0.044222680224900376,0.025823214243556235,0.568027629869531,0.1271023646313075,0.6326031050823071,0.02608263365289582,0.022852819295227162,0.01327933235298682,0.00862289676829568,0.14239576566696957,0.6345228036039203
comedy,Herr LEDIG,M,,,,"
            
Herr Ledig.

            

              
D'Hiroth wird do

              
Mich finde scho,

              
Ich will nitt uf mich warte lo;

              
Ich kumm nitt z'spot,

              
Denn wenn's losgeht,

              
Ka si kei Red

              
Vo ebbes anders meh jetz do!

            

          
",6,lustig-d-tante-domino,35,8,0.2285714285714285,0.04708047943635012,0.0281456397754269,0.5101220568058472,0.1188686804508663,0.5641860442739753,0.029620062403338622,0.0216716205519103,0.01997438085857066,0.013771112204467782,0.113748521084581,0.562401465022223
comedy,Herr LEDIG,M,,,,"
          
Herr Ledig.

          
Ich bi awer o ungeduldig gsi un ha mi dummelt... un
                        derno, 's isch jo no nitt spot
(er lüegt uf d'Ühre)
 's
                        isch jo erscht...
                    

        
",7,lustig-d-tante-domino,31,5,0.1612903225806451,0.05029724880563811,0.03359279676433994,0.3412457777823027,0.0967810051783767,0.40523317386886715,0.04277428754797004,0.038176646584667115,0.022364660682108278,0.014966025746061502,0.050757214345378235,0.39327100361776235
comedy,Madame FRISCH,F,,,,"
          
Madame Frisch

          
(kalt)

          
So isch's halt allewil mit dàne Mànner... d'G'schàfte,
                        die gehn allewil vor... wenn Sie denn eso dra halte an
                        Ihre G'schàfte, worum sin Sie nitt gli dra bliwe!...
                    

        
",8,lustig-d-tante-domino,35,7,0.2,0.04081975284769536,0.03359279676433994,0.26384677720136346,0.06780543455869872,0.3029802749143344,0.02807910948804842,0.038176646584667115,0.022899472031425058,0.014966025746061502,0.055598937002751446,0.296744758828816
comedy,Herr LEDIG,M,,,,"
          
Herr Ledig

          
(fir sich)

          
Ah so!... tiens, tiens!...
(lüt)
 wenn Se meint, ass ich
                        hätt sotte dra bliwe, so ka-n-ich allewil noch geh...
                        's isch noch alle Zit... Adie Madame Frisch!
(er geht
                        hinte-n-üse)
.
                    

        
",9,lustig-d-tante-domino,44,8,0.1818181818181818,0.06460902496305845,0.0349654141477012,0.3218827270389131,0.07716946940844743,0.36753241473225373,0.05952462425247944,0.026820667303229816,0.0221399108407705,0.0123176966857345,0.06852469149713245,0.354248145668935
comedy,Madame FRISCH,F,,,,"
          
Madame Frisch

          
(allei)

          
Dà güete Herr Ledig!... ich mächt grad grine!... ich
                        ha's schier nitt iwer's Herz brocht... awer 's isch 
 jo
                        fir si Wohl... ich wott nitt, ass ihm e-n-Unglick thàt
                        widerfahre... bàh... mit eme Wort vo mir kunnt er
                        wieder z'ruck morn... ich kenn en... doch, jetz hör i
                        glaüb mi Oncle...
(se lost)
 richtig... 's isch ne!
                    

        
",10,lustig-d-tante-domino,69,16,0.2318840579710145,0.06948655013431199,0.02379854804677154,0.3668662973859185,0.0798937212094589,0.4272598183846963,0.0795758037333632,0.03177741196369062,0.0129472071530217,0.009780483490087841,0.08401661631084598,0.416898175192134
comedy,Herr FLINK,M,,,,"
          
Herr Flink

          
(kunnt hinte-n-ine mit em Herr Krach)

          
Aha!... do isch se jo, mi liewe Nièce, Nundebuckel noch
                        emol!
(se schmutze enander)
 wie geht's denn allewil?...
                       
(er geht e paar Schritt hintersi z'ruck un b'schaüt se)

                        noch allewil jung un frisch!... à propos
(er zeigt uf
                        dr Herr Krach)
 ich stell Dir dr Herr Krach vor, mi
                        züekünftiger Associé, wo mit Din're Erlaübniss mit uns
                        z'Nacht esse wird...
(se verneige sich beide)
.
                    

        
",11,lustig-d-tante-domino,87,16,0.1839080459770115,0.12000251887600426,0.01503808558555724,0.45503057983510475,0.08622756003066302,0.5199643353430168,0.14425441740929026,0.028108587957159935,0.0564773633020188,0.006795634538272361,0.09185651348439186,0.47489959373664703
comedy,Herr KRACH,M,,,,"
          
Herr Krach.

          
Was uf jedefall e grosse-n-Ehr wird si fir mich...

        
",12,lustig-d-tante-domino,13,5,0.3846153846153846,0.20799372013228545,0.01043099467497928,0.5522534796643782,0.0844351897182724,0.6007790894173367,0.24909009426368806,0.02917945606365082,0.10766063511003417,0.00656057711909076,0.09254359148127958,0.513591159525588
comedy,Madame FRISCH,F,,,,"
          
Madame Frisch

          
(fir sich)

          
Oh sapristi!... jetz si mr scho wieder drizehne!... ich
                        'will gli dr Herr Ledig wieder lo z'ruckriefe, ass mr
                        vierzehne sin.
(lüt)
 's wird mir g'wiss Freid mache,
                        die Herre z'bediene... doch müess ich se jetz e wenig
                        allei lo, fir geh mine Ordre üsz'theile... nàmme Se ne
                        wenig Platz, ich bi im Aügesblick wieder do
(se geht
                        hinte-n-üse)
.
                    

        
",13,lustig-d-tante-domino,73,12,0.1643835616438356,0.23917412536406685,0.019104755022101662,0.5724842743732319,0.08810224677537018,0.6168599304374172,0.29454537484771615,0.03098181250541222,0.11600796980315761,0.010609530681141418,0.0741139027571523,0.5193451618698812
comedy,Herr FLINK,M,,,,"
          
Herr Flink

          
(züem Herr Krach)

          
Was isch... wie g'fallt se ne?... nitt wohr, ich ha se
                        nitt z'viel g'riehmt?... das git e pràchtige Fraü fir
                        Sie!... Nundebuckel noch emol!
                    

        
",14,lustig-d-tante-domino,32,5,0.15625,0.31410508357482264,0.014559268346508381,0.6233866890337996,0.10038196083415722,0.6758497747082949,0.3914933684228822,0.032436666351405755,0.16901314939006654,0.010609530681141418,0.04768168328955277,0.5329523754131265
comedy,Herr KRACH,M,,,,"
          
Herr Krach.

          
Ich find se, ganz güet... awer sin Se sicher, ass sie
                        mich grad will?... was isch das fir e Herr, wo mir
                        atroffe hàn vorig, un wo grad vo do ku isch?
                    

        
",15,lustig-d-tante-domino,34,11,0.3235294117647059,0.34613416702810557,0.016274045224132262,0.6534381938143434,0.1041736529102297,0.7140382608174802,0.4310379546545572,0.033755692588383776,0.19060606833810584,0.0071721761688194,0.04024337515596506,0.5513831593036778
comedy,Herr FLINK,M,,,,"
          
Herr Flink.

          
Hàn Se-n-ebbe scho Angst, 's isch e Rival?... lehn Se
                        mich nur mache... do isch se jetz wieder!
                    

        
",16,lustig-d-tante-domino,22,2,0.0909090909090909,0.3029012428270268,0.019592799809119422,0.6193293969232696,0.12358359537570096,0.7057760696487567,0.3901049652449561,0.02710887532444146,0.1403808636835249,0.005008809684462779,0.03014801516427821,0.5685917541233809
comedy,Madame FRISCH,F,,,,"
          
Madame Frisch

          
(fir sich)

          
Ich ha-n-em d'Magd nog'schickt... er ka no nitt wit
                        si...
(lüt züem Oncle)
 jetz, Oncle, känne mr e wenig
                        schwàtze mitnander... was isch, was hat Dich eso
                        unerwarteterwis in mi Hüs g'fiehrt... ich bi's ewe nitt
                        g'wöhnt... wie vielmol ha-n-ich Dich scho ig'lade un
                        nie hasch welle ku...
                    

        
",17,lustig-d-tante-domino,62,7,0.1129032258064516,0.23389084222055212,0.02712068277528008,0.5832069973851264,0.11881933826978922,0.6642186716195922,0.3004715004721571,0.01553763457712742,0.08680731205197188,0.004048953562050659,0.05449883886180863,0.5705582719291495
