drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Georges Frosch,M,,,,"
            
GEORGES

            
(noch hinter d'r Scène, lütt):

            
Ze bass doch uff, Michel ! Dü verdrucksch mir jo de Büch !

          
",0,jost-so-e-liederlicher-frack,19,2,0.1052631578947368,,,,,,,,,,,
comedy,Michel,M,,,,"
            
MICHEL

            
(au noch hinter d'r Scène):

            
Ei, 's isch au so arich eng do hinne !

            
(Iwerdem kumme beidi vun hinte eryn ; sie draawe mitnand e grosser Kuffer [odder e grossi,
            g'stricheni Kischt mit-e-me Deckel unn zwei Handhewer an de Sytte], wo gross genue isch, ass sich e
            Mann drinne versteckle kann. Unte hett'r kenn Bodde meh.)

          
",0,jost-so-e-liederlicher-frack,62,6,0.0967741935483871,,,,,,,,,,,
comedy,Georges Frosch,M,,,,"
            
GEORGES

            
(stellt mit'm Michel de Kuffer an d' Wand rächts vor e beliewig's Meewelstick) :

            
Enfin, hätte mir'ne so wytt! Ich schwitz wajer wie e Daadieb, wo in're Arweit züegückt !

          
",1,jost-so-e-liederlicher-frack,33,2,0.0606060606060606,,,,,,,,,,,
comedy,Michel,M,,,,"
            
MICHEL :

            
Diss soll mir kein unb'holfes Stickel Meewel sinn ! Diss isch jo d'r reinscht Sarich ! Was witt de
            denn mit anfange, Schorsch ?

          
",1,jost-so-e-liederlicher-frack,22,1,0.0454545454545454,,,,,,,,,,,
comedy,Georges Frosch,M,,,,"
            
GEORGES :

            
Ei, liewer Brueder, dü weisch doch, ass ich demnächscht e paar Wuche in d' Vakanze will. Wyll awer
            e nejer Kuffer hyttzedaas e Hüffe Geld koscht, ze loss ich mir einfach in denne alt Kaschte, wo
            schunscht noch ganz guet isch, e neje Bodde nynmache, wyll d'r alt füddi isch. D'r Schrynner losst'ne
            hytt noch abhole.

          
",2,jost-so-e-liederlicher-frack,57,8,0.1403508771929824,0.00201374264748714,0.005561642476310439,0.09301868942912687,0.00254678996022158,0.12421005665513465,0.0031922897328456796,0.06441505469041339,0.0022534273381510602,0.00215224314391224,0.03242194550374118,0.13161729411988968
comedy,Michel,M,,,,"
            
MICHEL :

            
Do hesch de rächt, Brueder, als spare ! Awer was isch, hesch de schun mit unsrem Neveu geredd
            ?

          
",2,jost-so-e-liederlicher-frack,18,3,0.1666666666666666,0.00201374264748714,0.005561642476310439,0.03029832642469002,0.00254678996022158,0.040275417537207724,0.0031922897328456796,0.01505545867522208,0.0022534273381510602,0.00215224314391224,0.0239133115026436,0.04898980114597194
comedy,Georges Frosch,M,,,,"
            
GEORGES :

            
Nein, Michel, ich habb hytt noch gar kein Zytt g'hett, fur mit'm Robert e'n ernscht's Wertel ze
            redde !

          
",3,jost-so-e-liederlicher-frack,21,1,0.0476190476190476,0.00723051470796518,0.0022385819553509398,0.030810726828518903,0.00199781081133796,0.04075557881462002,0.00588727871135542,0.01383396842632888,0.00808590242842566,0.00084463713916866,0.02340743688436096,0.04831752834114702
comedy,Michel,M,,,,"
            
MICHEL :

            
's muess awer partout sinn, Schorsch. Als syne Unkel isch diss au dyni Sach... ich habb myn Deil
            gemacht. Ich habb myne Frynd Burjer extra dohere b'stellt, 
            
fur'ne mit dir unn mit'm Robert bekannt ze mache. By dere Affär will'r no nadierlich au
            wisse, wie d' g'schäftliche Conditione fur e Hyroot zwische'm Robert unn synere Dochter sinn.

          
",3,jost-so-e-liederlicher-frack,60,4,0.0666666666666666,0.00700311838184584,0.0022385819553509398,0.04283666618238966,0.00052908468767144,0.05667275916398863,0.00588727871135542,0.026211167372044458,0.00808590242842566,0.00084463713916866,0.032782630431162044,0.07405031858554692
comedy,Georges Frosch,M,,,,"
            
GEORGES :

            
Hm, hm! E kaiwe Affär diss! Ich habb jo im Robert schun so drumrum gebabbelt unn Andyttunge
            gemacht ; er schynt awer gar kein Interesse fur so e Verbindung zu hann.

          
",4,jost-so-e-liederlicher-frack,31,2,0.064516129032258,0.00700311838184584,0.0022385819553509398,0.04584096693273454,0.00052908468767144,0.0643509416916048,0.00588727871135542,0.0223917545943478,0.00808590242842566,0.00084463713916866,0.04632192672929366,0.08208299972372195
comedy,Michel,M,,,,"
            
MICHEL :

            
Er muess einfach! Diss isch schun allein e'n Ehresach fur unseri Firma, ass s'e sich am e scheene
            Daa mit d'r Firma Burjer z'sammeschliesse dhuet !

          
",4,jost-so-e-liederlicher-frack,28,5,0.1785714285714285,0.00656331256108216,0.0038986889043263395,0.04228798429665518,0.00029686465431844,0.05927623765845931,0.005173730273640221,0.017391160160168416,0.00777839292957524,0.0,0.04335729984462922,0.07449547675695037
