Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,avgLexVal,lexRatio
2,tale,Barthelmé Scheid,M,,,,"
            
M. Scheid:

            
Die Speckritter, Revolutzer, Patriote, Sans- culotte un Jakobiner, wie se alli heisse, müen doch a mol mied wäre vun dem unuffherliche Gemetzel. Villicht dämmert in dennä doch noch e biss'l vun de alt Wihnachtsherrlichkeit.

          
",1,weber-wihnachtsstimme,37,4,0.0,0.10810810810810811
3,tale,Mathis,M,,,,"
            
Mathis :

            
(noch am Fenster)

            
Wahrhaftig, wenn se nit däne Morje noch ä armi, rechtschaffeni Frau, wo nur e bess’l ewer de schlechte Zitte geklagt het, do d’Stross nab züe d'r Guillotine g’schleppt hätte als Feindin vun der Republique, mer könnt fascht sage: Es isch hitt ken Révolution.

          
",1,weber-wihnachtsstimme,50,7,0.0017068559091227835,0.14
4,tale,Barthelmé Scheid,M,,,,"
            
M. Scheid:

            
Wieviel Ühre isch’s?

          
",2,weber-wihnachtsstimme,6,1,0.0,0.16666666666666666
5,tale,Mathis,M,,,,"
            
Mathis:

            
Es müess glich 3e schlawe!

          
",2,weber-wihnachtsstimme,6,1,0.0,0.16666666666666666
6,tale,Barthelmé Scheid,M,,,,"
            
M. Scheid:

            
Schun? Es wird mer immer ängstliger züe Müet! Sag! Siehsch nit ä strammer Zemmermanns- bursch met Richtscheid un Säj d’Stross nabwandere? So lang isch’r noch nie üssgebliwe, miner Florence.

          
",3,weber-wihnachtsstimme,33,3,0.006459686387777779,0.09090909090909091
7,tale,Mathis,M,,,,"
            
Mathis :

            
(schaut hinaus)

            
Nai! 
(zurück vom Fenster)
 Oh, Monsieur, berühige n’eich. D’Müeter Gottes isch mit'm. Em Herr Abbé bassiert nix.

          
",3,weber-wihnachtsstimme,27,3,0.031719294328440145,0.1111111111111111
8,tale,Barthelmé Scheid,M,,,,"
            
M. Scheid:

            
Un doch! Ich kann die Angscht nit nider- drucke. Jung, wie är isch, ganz voller Ifer für sine heilig Berüef, wie er in so schwerer Zitt üssiewe müess? Ich hab Angscht, er dät mol ä Unvorsichtig- keit begehn un wurd no vun däne wietige, gottlose Speckritter entdeckt.

          
",4,weber-wihnachtsstimme,51,13,0.009795746237895895,0.2549019607843137
9,tale,Mathis,M,,,,"
            
Mathis:

            
Schun meh ass einmol isch er in de greschte Gfahr gewänn; awer wie durch ä Wunder isch’r immer wider sine Verfolger entgange.

          
",4,weber-wihnachtsstimme,23,4,0.007096126276839786,0.17391304347826086
10,tale,Barthelmé Scheid,M,,,,"
            
M. Scheid:

            
Awer hit het er ä ganz g’fährlige Versähgang ze mache g'het. Er isch züem totkranke Dominika- nerjerry drüsse uff der Dominikanerferme gerüefe worre. Der wohnt bim rote Hannes, bim wietigschte Jakobiner üss der ganze Umgejet. Wann där me- rike dät, dass in sim Hüss ä Prieschter hit Nacht im ä arme Kranke der letschte Troscht reicht? — Oh, mini Angscht isch hit nur züe berechtigt. — Du lie- wer Gott, b’schitz ne! — Loss mer mine Sohn, mine Stolz, mine einzigschte Troscht in däne schwere Zitte.

          
",5,weber-wihnachtsstimme,91,19,0.03638866872015919,0.2087912087912088
11,tale,Mathis,M,,,,"
            
Mathis:

            
Herr Scheid! — Awer ihr hän doch zwei Söhn! — Ja, wenn doch noch der ander do wär!

          
",5,weber-wihnachtsstimme,19,2,0.06380376628181773,0.10526315789473684
13,tale,Mathis,M,,,,"
            
Mathis:

            
Ejer Aeltschter, der Barthelmé!! M. Scheid 
(zuckt zusammen — hebt abwehrend die beiden Hände)
: De Barthelmé? — Sprich m'r nit vun’m, vun dem abg’fallene Sohn, vun dem Revolutzer! — Nai!—

          
",6,weber-wihnachtsstimme,35,1,0.037386232722300995,0.02857142857142857
14,tale,Mathis,M,,,,"
            
Mathis:

            
Eiri Befirchtunge, Herr Scheid, sin numme Ah- nunge. Wer weiss, was er nit alles für Güets schafft jetzt dort in Paris, im Sinn von de güete, alte Zitte.

          
",7,weber-wihnachtsstimme,30,4,0.013038089845546896,0.13333333333333333
15,tale,Barthelmé Scheid,M,,,,"
            
M. Scheid :

            
(wegwerfend)

            
Er mit sinere wive Natur?! 
(entrüstet)
 Näi! Höchschstens isch er im Bund mit däne Vernunftsapostel un mit dene liedrige Göttine vun der raison.

          
",7,weber-wihnachtsstimme,30,3,0.0083010196502025,0.1
16,tale,Mathis,M,,,,"
            
Mathis:

            
Awer sicher, un är isch jo mit soviel Begeisch- terung furt, fürs Kaufmannsfach ze stüdiere. Sicher isch 'r jetzt in so-r-ä g’heime Verwaltung tätig, wu widder Ordnung schaffe will.

          
",8,weber-wihnachtsstimme,31,2,0.026642994408963193,0.06451612903225806
17,tale,Barthelmé Scheid,M,,,,"
            
M. Scheid:

            
Näi! — Er isch ken Mann für heimlich Getües. Oeffentli isch er tätig, im Dienscht vum Umsturz un vun der Revolution.

          
",8,weber-wihnachtsstimme,23,4,0.009071948978926997,0.17391304347826086
18,tale,Mathis,M,,,,"
            
Mathis :

            
(bekümmert für sich)

            
Könnt ich numme einmol däne güete alte Herre tröschte?!

          
",9,weber-wihnachtsstimme,15,4,0.013038089845546896,0.26666666666666666
19,tale,Barthelmé Scheid,M,,,,"
            
M. Scheid:

            
Züe ditli hab i’s geläse zwische de Zile vun sim letschte Brief. Mit Begeischterung het’r g’schrie- we vun däne grosse Vorgäng in Paris im Jüli 89; dass er in’s Palais rojal geht, in däne „Firhärd vum Patriotismus‘; wie er in de erschte Reihe mitge- kämpft het bi der Erstirmung der Bastille. —

          
",9,weber-wihnachtsstimme,59,4,0.024059977301147784,0.06779661016949153
20,tale,Mathis,M,,,,"
            
Mathis:

            
Der Brief stammt awer üss de erschte Tag vun de Revolution, üss däne hetzige Jülitäi 89. Es isch jo wohr, er het ä wiver Charakter! Ganz natirli isch’s also, wenn er sich domols vun dem Gebriehls: liberté, fraternité, égalité het verfiehre lon, un het mitgekämpft. Ganz gewiss hets nit lang gedürt, bis er hell g’sähn het, wo eijentli der ganz Umsturz nüssgewellt het, un sicher: so firig, wie er mitge- kämpft het, so begeischtert kämpft er jetzt dergege.

          
",10,weber-wihnachtsstimme,81,13,0.025829769424112897,0.16049382716049382
21,tale,Barthelmé Scheid,M,,,,"
            
M. Scheid:

            
Oh, e Revolutzer, wu Blüet g’schmeckt het, kanns nimm lon! — Warum schribt er nemmeh ziter sälmols?

          
",10,weber-wihnachtsstimme,19,2,0.0,0.10526315789473684
23,tale,Barthelmé Scheid,M,,,,"
            
M. Scheid :

            
(erhebt sich aufgeregt)

            
Es druckt mer fascht s’Herz ab! — Ä Scheid — de einzigscht, wie däne alte — unbefleckte — Name Scheid in d’Zükunft ver- pflanze soll? — Ä Patriot! Ä Revolutzer ? — Ä Jako- biner? — 
(aufgeregt)
 Mini Nachkumme wäre also Gottesschänder? — Mörder? — Reiwer? — Flüech!

          
",11,weber-wihnachtsstimme,60,7,0.006847155175218078,0.11666666666666667
24,tale,Florence Scheid,M,,,,"
            
Florence :

            
(hatte schon länger zugehört)

            
Halt!! — Vatter!

          
",12,weber-wihnachtsstimme,10,3,0.0,0.3
