drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Suzanne,F,,,,"
            
Suzanne:

            
Das isch nit schlacht, sing ich do s’schenschta Maialied un mr han doch hit erscht dr 1. Awril. S’isch awer o so a prachtvoll Watterla, do müeß mr jüchzge un singe, eb mr will oder nit; derbi han i alli Ursach luschtig z’si, denn i erwart mini fenf amies zum a Teekranzla. Das git a fideler Mittag. Wu si awer o nur alli stacka 
(sieht auf ihre Uhr)
, es isch jo glich drei un se han mr versproche fir racht friahi z’ku. Wenn nur d’Tante Florentine nit so schlacht glünt war. Das wird noch ebbs absetze. Ja, wenn i mini Frindinna nit schu alli iglada hat vor acht Tag, so war üs dam Teekranzla nit wora. Rißt is net vorgescht Knall un Fall unseri Kecha üs. Das isch d’zweite g’si sitter Neijohr. Hoffentlig git’s bol Ersatz, denn die menus, wu mini chère tante* sitter combiniert het, brrr.

          
",0,weigel-in-dr-awril-gschickt,158,17,0.1075949367088607,,,,,,,,,,,
comedy,Suzanne,F,,,,"
            
Suzanne:

            
Aha, do kumme se alla mitnander.

          
",1,weigel-in-dr-awril-gschickt,7,2,0.2857142857142857,,,,,,,,,,,
comedy,Mlle Florentine Blind,F,,,,"
            
Freundinnen:

            
(treten ein)

            
Bonjour Suzanne, salut Suzi, bonjour ma chère etc.

          
",2,weigel-in-dr-awril-gschickt,13,1,0.0769230769230769,,,,,,,,,,,
comedy,Suzanne,F,,,,"
            
Suzanne:

            
Bonjour Kinder 
(gibt allen die Hand)
, andlig isch nit ewig. Ihr lehn lang uf i warta. 
(Alle setzen sich.)

          
",3,weigel-in-dr-awril-gschickt,24,6,0.25,,,,,,,,,,,
comedy,Jeanne,F,,,,"
            
Jeanne:

            
Mr han anander rendez-vous gah, fir unser Izug mitnander z’fiera und do hatt’s halt a Will ge- dürt, bis alli présentes g’si sin. S’Juliette isch natier- lig weder s’letschta gsi, wie immer.

          
",4,weigel-in-dr-awril-gschickt,39,4,0.1025641025641025,0.0354346718210225,0.018839490348685078,0.07479954067479144,0.00276200894192634,0.06817441809814966,0.03004141088996266,0.020782359792604323,0.0019570701347150195,0.00300593015283738,0.009538640183153878,0.06796530600446145
comedy,Irène,F,,,,"
            
Irène:

            
As meint, es isch a Todsind, wenn as uf uns warte müeß, ich bin ganz sicher, as kunt o a mol z’spot fir in dr Himmel.

          
",5,weigel-in-dr-awril-gschickt,28,7,0.25,0.040286732355477896,0.01593074953920994,0.07718594465259022,0.00291165255009404,0.07432699817460639,0.03689862526065372,0.0193388507221928,0.0022052873012796794,0.00197553119419882,0.00917410354750842,0.07171767330687631
comedy,Juliette,F,,,,"
            
Juliette:

            
Han nur ke so groß Mül, so g’fahrlig isch’s nit; un iwerhäupt in dr Bibel steht’s jo: die letzten werden die ersten sein. Das isch m i Troscht, hoffentlig geht's mir o so.

          
",6,weigel-in-dr-awril-gschickt,37,3,0.081081081081081,0.040286732355477896,0.0114753769466519,0.07419698580444835,0.00291165255009404,0.07081695265150081,0.03689862526065372,0.01701815514346488,0.00220528730127968,0.00284971067846454,0.01248295982013202,0.07018984840191803
comedy,Lucie,F,,,,"
            
Luzie:

            
Ja, ja, ich han’s o gedankt.

          
",8,weigel-in-dr-awril-gschickt,8,2,0.25,0.03583387425123202,0.0114753769466519,0.16579535957378702,0.00291165255009404,0.13377386119956025,0.03689862526065372,0.12756214564107576,0.00220528730127968,0.00284971067846454,0.01248295982013202,0.17904912178956175
comedy,Suzanne,F,,,,"
            
Suzanne:

            
O jeh, sinn mr nur still, ich han schu ebbes mitg’macht, mr han schu zwe Tag ke Kecha me.

          
",9,weigel-in-dr-awril-gschickt,20,1,0.05,0.03583387425123202,0.00345608227463374,0.1569286314985342,0.00247435166574132,0.12435855389066322,0.03486652513752312,0.12421201772061445,0.0004688668416099197,0.0012554041793330201,0.00849323098350738,0.1687405452995569
comedy,Jeanne,F,,,,"
            
Jeanne:

            
Ja, kat denn eira femme de chambre nit üshalfa?

          
",10,weigel-in-dr-awril-gschickt,10,1,0.1,0.01205476791427044,0.00128357148116944,0.22192325048280725,0.00035158352553142,0.16341116941681016,0.012767757798308002,0.23359566042886143,0.0004688668416099197,0.0012554041793330201,0.00592210124770232,0.25708808448019504
comedy,Suzanne,F,,,,"
            
Suzanne:

            
Jo die Gans, s’hat jo ke Ahnung vu dr Koch- kunscht, das weiß nit amol, wenn s’Wasser kocht. Deßletscht hat se ebbs gebache, no hat se schint’s em Kochbüech glase: man nimmt drei ganze Eier. Wie mr das Dings welle asse, biß ich uf ebbs herts. Meine n’r hat se die drei Eier mitsamt de Schale in danne Teig ine gedolgt. 
(Lachen.)

          
",11,weigel-in-dr-awril-gschickt,69,9,0.1304347826086956,0.00074402839085352,0.00149370999597982,0.20529619722249076,0.00044133154860257997,0.14835431262677018,0.0013195016785583827,0.22947660004162965,0.00039019647420663966,0.00116567478725142,0.0048017479515383,0.24363885444547093
comedy,Suzanne,F,,,,"
            
Suzanne:

            
Nei, mini chère tante kocht salwer un d’Mam- selle Amélie müeß re halfa. Mich will si nit in dr Kucha ha, si seit ich seig z’schtrutlig,

          
",13,weigel-in-dr-awril-gschickt,30,2,0.0666666666666666,0.00074402839085352,0.0035045007654459803,0.21457732670960095,0.00044133154860257997,0.16164668357674014,0.0013195016785583827,0.23151710693084157,0.00046943946019543963,0.0002914953029857,0.01956197548844706,0.2596961808395212
comedy,Juliette,F,,,,"
            
Juliette:

            
Ja kat dini tante denn koche?

          
",14,weigel-in-dr-awril-gschickt,7,2,0.2857142857142857,0.00074402839085352,0.0035045007654459803,0.16810498758607287,0.00197659366686988,0.1297340407336134,0.0013195016785583827,0.17624511168203613,0.00046943946019543963,0.0002914953029857,0.01956197548844706,0.20542305180692083
comedy,Suzanne,F,,,,"
            
Suzanne:

            
Un ebb. Si lest alles üs’m Kochbüech. Meine gescht z’Mittag isch re ein passiert. D’Mamselle Amelie hat re schient alles mieße rischta, wie’s im

          
",15,weigel-in-dr-awril-gschickt,29,3,0.1034482758620689,0.00074402839085352,0.008706687361550499,0.1738163235957384,0.00197659366686988,0.13499669569898126,0.0024349610357251427,0.1716510400118088,0.00046943946019543963,0.0002914953029857,0.02311438274143584,0.20898743168390604
comedy,Lucie,F,,,,"
            
Lucie:

            
Das isch güet, das g’hert in d’Zittung.

          
",16,weigel-in-dr-awril-gschickt,9,1,0.1111111111111111,0.00074402839085352,0.008706687361550499,0.10674152382038349,0.00197659366686988,0.10972625025977947,0.0024349610357251427,0.10216883509058605,0.00046943946019543963,0.0002914953029857,0.02311438274143584,0.1493168190746599
comedy,Marthe,F,,,,"
            
Marthe:

            
Schad aß es nit hit am 1. Awril passiert isch.

          
",18,weigel-in-dr-awril-gschickt,11,1,0.0909090909090909,0.0,0.00721297736557068,0.10784607860693526,0.0015352621182673,0.10542252717771439,0.0011154593571667628,0.09837428771440553,0.00547886647585496,0.0,0.021621491062521137,0.14229875911951284
comedy,Irène,F,,,,"
            
Irène :

            
(zu Suzanne)

            
Ja han ihr noch ke andre Kecha in Uessicht ?

          
",19,weigel-in-dr-awril-gschickt,14,2,0.1428571428571428,0.0,0.0088549099651361,0.14706624416550854,0.0015352621182673002,0.1253483651890515,0.0011154593571667628,0.151605776073999,0.00539962348986616,0.0,0.003552407252988777,0.17943583474836797
comedy,Lucie,F,,,,"
            
Lucie:

            
Kinder, ihr wisse was hit fir a Tag isch, hit mien mr unbedingt in ebbrem a Streich spiela, denn ohne das gett’s bi uns ke 1. Awril.

          
",21,weigel-in-dr-awril-gschickt,29,3,0.1034482758620689,0.02714265676475026,0.01690308508810834,0.13856287288053484,0.0,0.12299405353460205,0.030580482476120264,0.10185937592480962,0.00539962348986616,0.00152326700507598,0.003552407252988777,0.15451047914714355
comedy,Irène,F,,,,"
            
Irène:

            
Awer sicher, ich mach schu mit, dü doch o, Ju- liette ?

          
",22,weigel-in-dr-awril-gschickt,13,2,0.1538461538461538,0.02714265676475026,0.01170089849200382,0.13659170431330311,0.0,0.12164239976568596,0.029465023118953503,0.10858669413841546,0.00539962348986616,0.00152326700507598,0.005250499755062738,0.1544975901460515
comedy,Juliette,F,,,,"
            
Juliette:

            
Salbschtverstandlig, fir so ebbis bin i nie s’letschte.

          
",23,weigel-in-dr-awril-gschickt,10,1,0.1,0.10857062705900108,0.01170089849200382,0.20934326400378717,0.0,0.15806893839828828,0.11786009247581401,0.06752490856202734,0.00539962348986616,0.00152326700507598,0.005250499755062738,0.1642443887955197
comedy,Suzanne,F,,,,"
            
Suzanne:

            
Uf wer han ihr’s abg’sah ?

          
",24,weigel-in-dr-awril-gschickt,7,1,0.1428571428571428,0.10857062705900108,0.01170089849200382,0.22210851093979503,0.0,0.18434858816024985,0.11786009247581401,0.09224804635455212,0.0,0.00152326700507598,0.005250499755062738,0.1950409267150236
comedy,Suzanne,F,,,,"
            
Suzanne:

            
Jo, do hat’s ke charme, sich mit dr personi- fizierte Dummheit z’amüsiere.

          
",26,weigel-in-dr-awril-gschickt,16,2,0.125,0.10999837748386118,0.00804817512297224,0.17512635822206862,0.0,0.150861614656916,0.11786009247581401,0.04005760362708979,0.0,0.00152326700507598,0.005250499755062738,0.13905529029881677
