drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Charlot,M,,,,"
          
Charlot:

          
(kommt durch die Mitte und singt)

          
""Maiatzel, Dräckspatzel, drej Elle Güggück, es kumme drej Wiewer un esse Sürkrüt."" — 
          
(spricht)
 Drej Maiatzle haw i gedüscht für e Stüeckel Bäredräck — Was kennt m'r mit dene
          jetz anstelle? 
          
(schaut sich in der Stube um)
 Lüej do steht jo dr Meischtere ihri Schnupftüwaksbüchs!
          Wartich setz-ere Maiatzle drin — 
          
(lacht)
 Höhöhöhö! Wurd die e Schrecke bekumme wenn se e Bries nämmt. Awer sie hett's
          verdient — diss isch derfüer, will se dene Middaa am Esse so wüescht geje mich isch gsinn — die
          Madülle, die alt Kratzbüerscht, die Linsespaltere. Dene Middaa hett's min Leibgericht gänn, Dampfnüdle
          — hmm — diss müess mr ganz langsam saue — Dampfnüdle! Jetzt müess i schlucke ich hab ganz Wasser im
          Müll — un wie ich s' vierzeht Dampfnüdel lange will, ze macht se ""Kurzschluss"" un nimmt d'Platt ewäck
          un wie ich hab gsaat: ""Ich hab noch Hunger"" — no hett se de Deppiklopfer gelangt un hett gsaat: ""Do
          isch noch Hewwelandiffi un Stocksalad"" un dr Meischter hett dezü gelacht, der Knüppelüj, der hett jo
          nix ze saue, denn in dem Hüss hett d'Meischtere d'Hose an. Awer ich hab dr Meischtere ewichi Rache
          gschwore. ""Ich, dr Charlot,der König des Kino!"" 
          
(setzt die Maikäfer in die Schnupftabaksbüchse)
 So, diss isch füer Dampfnüdle, Madame
          Knüppe! Jetzt haw i noch einer — diss isch e Köenigin. 
          
(singt)
""Maikäfer, fliej, dr Vater isch im Kriej, d'Mueter isch im Pummerland,
          s'Pummerland isch abgebrannt, Maikäfer fliej!"" 
          
(markiert als wenn der Maikäfer fliegt, geht ihm nach, als wollte er ihn
          fangen.)
 Öhöhöhöö ! Jetzt fliejt er mr furt — Aah, dü setsch dich dort nuff uff de Däller —
          meinsch dert verwitsch ich dich nitt dü Drächspatzel — wart ich nämm d'Leiter vum Elektricien, no griej
          ich dich. 
          
(stellt die Doppelleiter vor die Mitteltür, so dass man, 
          
unten durch gehen kann).
 So jetzt wurr ich dich glich hann. 
          
(geht die Leiter hinauf und will den Maikäfer fangen, überdem kommt der Meister herein, durch d.
          M., der Porzellanteller fällt Knüppe auf den Cylinder.)

        
",0,clemens-charlot,364,28,0.0769230769230769,,,,,,,,,,,
comedy,Knüppe,M,,,,"
          
Knüppe:

          
Diss isch e Zeiche vun Owe 
          
(lüejt)
 Naan es isch e Däller — ja, wie kummt der här? Do steht e Leiter un uff dere
          Leiter steht Einer. 
          
(geht hinauf — Charlot geht hinunter)
 Ich hab doch Einer uff dr Leiter gsähne, isch denn
          der Elektrisch noch nit ferti? 
          
(geht herunter, Charlot hinauf)
 Ja, jetz isch-r widder drowe. Bisch dü e Mensch oder e
          Geischt? Redd oder ich schiess! 
          
(zielt mit dem Schirm).

        
",1,clemens-charlot,82,11,0.1341463414634146,,,,,,,,,,,
comedy,Charlot,M,,,,"
          
Charlot:

          
Meischter nit schiesse — ich bin's, dr Charlot!

        
",1,clemens-charlot,10,1,0.1,,,,,,,,,,,
comedy,Knüppe,M,,,,"
          
Knüppe:

          
Dü bisch's — jaa, was machsch denn dü do howe? Worum kummt der Däller uff mine Cylinder?

        
",2,clemens-charlot,19,3,0.1578947368421052,,,,,,,,,,,
comedy,Charlot,M,,,,"
          
Charlot:

          
Meischter, ich bin nitt Schuld, do dr Maiatzel, er hett sich do uf de Däller gsetzt, awer er frisst
          se wenn ich ne verwitscht, mit eim Streich schlaa ich ne hin.

        
",2,clemens-charlot,32,4,0.125,0.0108391492689205,0.0038832527708826,0.05729876064062942,0.00056435610780174,0.06596221484283575,0.01270509633088138,0.0376745081627026,0.0015926233345876998,0.00216397553702646,0.01358806140811652,0.06680935294670924
comedy,Knüppe,M,,,,"
          
Knüppe:

          
(holt den Knieriemen)

          
Witt dü do rab kumme, awer uf dr Gschtell!

        
",3,clemens-charlot,15,2,0.1333333333333333,0.00953789220030742,0.01403367111133432,0.06004681811118928,0.0,0.06977079962113739,0.010589534352317359,0.03833857643543018,0.0013237318432275,0.0007714971557048,0.00899116291555584,0.07132308805794452
comedy,Charlot,M,,,,"
          
Charlot:

          
Meischter ich kumm, laje numme de Rieme ewäck, ich wär doch kumme — Meischter ich berej's vom Grunde
          meines Herzens. 
          
(kummt ängstlich herunter).

        
",3,clemens-charlot,27,5,0.1851851851851851,0.007476471926047319,0.0256003694458585,0.05135248646089506,0.0,0.05431753148550916,0.00908231884993612,0.024106602667240816,0.001932002246914,0.0,0.0024389038974438814,0.05530026894437211
comedy,Knüppe,M,,,,"
          
Knüppe:

          
Dü müesch emol ghöeri abgschmiert sinn, denn dü wursch alle Daa liederlicher — Aaah, dü fangsch
          Maikäfer, allwill ich mit dr Licht geh, statt ass de Schueh ferti machsch. Do kumm häre! 
          
(Knüppe stellt sich breitspurig hin)
 Do de Kopf zwische d'Fües! 
          
(Charlot kommt auf Händen und Füssen laufend, steckt den Kopf Knüppe zwischen die Beine — Knüppe
          versohlt ihm das Hinterteil mit dem Riemen.)

        
",4,clemens-charlot,71,5,0.0704225352112676,0.005421350662952939,0.02838465471769434,0.05199910996568445,0.0,0.05759912041878283,0.00643164757133152,0.024106602667240816,0.002990987721496,0.0,0.006275629302607261,0.062879917800345
comedy,Charlot,M,,,,"
          
Charlot:

          
(schreit)

          
Uuaah — Meischter, nitt so schnell — langsam — Uutsch! 
          
(witscht dem Meister durch die Beine, reibt sich das Hinterteil)
""Charlot- der König des
          Kino"" — Mensch, Maier!

        
",4,clemens-charlot,35,2,0.0571428571428571,0.005421350662952939,0.03130084857807326,0.04399213839771328,0.0,0.04756316361817527,0.00643164757133152,0.01134253259204498,0.002990987721496,0.0019370385249218001,0.007653758565601821,0.048847075894569346
comedy,Knüppe,M,,,,"
          
Knüppe:

          
Mach die Leiter ewäck — der Elektrisch hätt se schun hole kenne, er isch jo ferti mit sinere Arweit
          — un rüm die Schärwe zamme un no an d'Arweit, sunscht rauchts noch emol in dr Fächtschuel.

        
",5,clemens-charlot,38,6,0.1578947368421052,0.0051579299421319995,0.03130084857807326,0.04872388591053852,0.0011956850314526,0.053150622504378665,0.0079327087722066,0.0105359172341735,0.0016672558782685003,0.0033514499770473,0.010908113534866162,0.05441933058147563
comedy,Charlot,M,,,,"
          
Charlot:

          
Naan, naan Meischter, es brücht nimmi ze rauche. 
          
(stellt die Leiter weg, holt in der Küche, r. Tür, Schaufel und Handbesen, fegt die Scherben
          zusammen, alles mit komischen Gesten).

        
",5,clemens-charlot,32,5,0.15625,0.00712644210000284,0.01726717746673894,0.04592163058451494,0.0011956850314526,0.048455189715057,0.01245422472778454,0.00749855314929368,0.0020833536619478403,0.00581469527749278,0.01782904295918584,0.04810610598481495
