drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Cécile,FEMALE,,,,"
          
Cécile

          
(häßliche Person, ungefähr 40 Jahre alt; dabei beschäftigt, die Möbel abzuwischen ; sie spricht
          durch die Nase):

          
Gottlob, jetz bin i ferdi. Stuwwe-n-un Better mache, uff de Merk gehn, koche, wäsche-n-un beijle, so
          geht ’s jetz schun ball e Johrer fuffzeh daadäjli in einere Lier furt, ohne changement un distraction .
          . . . ’s isch schier züem verzwazzle! 
          
(Sie gähnt)
 Un ich hab die Nacht so e schöner Traum ghett ; ich hab getraimt, ich dhädd
          mich widder hirote . . . . un sogar mit eme Wittmann ohne Kinder . . . . nein! wär dis e Glück! . . . .
          hinnicht isch Vollmond gsin; was m’r in so ere Nacht traimt, soll in Erfüllung gehn, saat m’r. 
          
(Man hört Lärm in der Stube rechts.)
 Do drinne gehts schun widder los . . . . züe
          merkwürdig, züe merkwürdig! — — Was d’r Herr Stieffatre nur het? Jetz düürts schun ball zwei Woche, un
          ’s wurd nit andersch. — — Was wurd er jetz widder mache? Ich will doch emol lüeje. 
          
(Sie eilt an die Thüre rechts und sieht durchs Schlüsselloch ; es klopft an der Mittelthür; sie
          hört es nicht.)
 Als noch ’s nämlich. — — Do drinne siehts wärli güet üs! Alles z’undersch
          z’öwersch. M’r derf nit erin, ’r will nit gstört sin, saat ’r, het ’r gsaat. 
          
(Es klopft wiederum, sie hört es wieder nicht.)
 Jesses nein! jetz fangt er widder an ze
          babble — — ’s isch züem lache — — züe fürios! züe fürios ! 
          
(Ein Kommissionär durch die Mittelthür.)
 Nurre Geduld! Ich komm noch d’rhinter, so wohr
          ich Cécile heiß, un Geduld iwwerwind au de-n-Eierküeche.

        
",0,greber-sainte-cecile,272,24,0.088235294117647,,,,,,,,,,,
comedy,Cécile,FEMALE,,,,"
          
Cécile:

          
Um Gottswille — — bin i jetz verschrocke — —

        
",0,greber-sainte-cecile,11,1,0.0909090909090909,,,,,,,,,,,
comedy,É Kommissionär,MALE,deliverer/helper,service_and_sales,lower_class,"
          
Kommissionär:

          
Wohnt do d’r Herr Anatole Stieffatre?

        
",0,greber-sainte-cecile,7,1,0.1428571428571428,,,,,,,,,,,
comedy,Cécile,FEMALE,,,,"
          
Cécile:

          
Ganz erecht. Sie wölle züem? Do drinnen-isch ’r.

        
",1,greber-sainte-cecile,9,1,0.1111111111111111,,,,,,,,,,,
comedy,É Kommissionär,MALE,deliverer/helper,service_and_sales,lower_class,"
          
Kommissionär:

          
Het d’r Herr Stieffatre d’ Sache gerüscht, wo ich abhole soll? 
          
(zieht einen Zettel heraus)
.

        
",1,greber-sainte-cecile,18,2,0.1111111111111111,0.01159898696003154,0.0065489745188943,0.08455314239931541,0.023545936833335158,0.12313138564923368,0.01852904623702366,0.02930280365042186,0.0038750384251708806,0.0034792464753318,0.0086168911641381,0.12534537813691002
comedy,Cécile,FEMALE,,,,"
          
Cécile:

          
Do uff ’m Canapée leijt alles. — — Jetz saaue Sie mir doch emol, was dis beditte soll, daß er dis
          Dings verlehnt. ’s isch doch züe merkwürdig.

        
",1,greber-sainte-cecile,29,2,0.0689655172413793,0.01079652379286186,0.00541168019262682,0.1035781710834632,0.022722611126998797,0.15487291461450897,0.01809974828108204,0.05860046060337006,0.00243284370921004,0.0027639693192789802,0.00520514234181732,0.15956687640176437
comedy,É Kommissionär,MALE,deliverer/helper,service_and_sales,lower_class,"
          
Kommissionär:

          
(liest ab und nimmt die Stücke auf den Arm)

          
E paar Hosse — güet, e Schilet — do isch’s, e Rock — do hammer ne, e Schibüs — do leijt ’r, un e
          Bombardon — do steht ’r. Helfe Sie m’r e bissel. — So, merci.

        
",1,greber-sainte-cecile,50,3,0.06,0.008330207145080159,0.0036937711849867405,0.11232551480251922,0.02060630188519836,0.1688894626425469,0.01545472641389874,0.07066106761628226,0.00072776319017156,0.0,0.0063850349953867,0.1787190195350644
comedy,Cécile,FEMALE,,,,"
          
Cécile:

          
Ja awer wurum dis alles?

        
",2,greber-sainte-cecile,6,1,0.1666666666666666,0.00277673571502672,0.0036937711849867405,0.14550396277311287,0.0068687672950661196,0.16616936856556153,0.0051515754712995795,0.14232691855119012,0.00072776319017156,0.0,0.0063850349953867,0.20848949790006638
comedy,É Kommissionär,MALE,deliverer/helper,service_and_sales,lower_class,"
          
Kommissionär:

          
(ausweichend)

          
. . . . ’s isch wäje’re Kindtaif, for e güete Frind.

        
",2,greber-sainte-cecile,12,2,0.1666666666666666,0.00277673571502672,0.0036937711849867405,0.1280035860819264,0.0068687672950661196,0.13848453223915053,0.0051515754712995795,0.1258245788767855,0.00072776319017156,0.0,0.00929924531208154,0.17553628843255806
comedy,É Kommissionär,MALE,deliverer/helper,service_and_sales,lower_class,"
          
Kommissionär:

          
Wurum nit? ’s wurd nit ’s erscht Mol sin, daß uff ere Kindtaif ebbs gebloose wurd.

        
",2,greber-sainte-cecile,17,1,0.0588235294117647,0.0,0.00119827843110716,0.169889578958987,0.0,0.2005608724628381,0.0,0.1995156687560819,0.00072776319017156,0.0,0.00550712087600084,0.24680880822302056
comedy,Cécile,FEMALE,,,,"
          
Cécile

          
(scharf):

          
Bardon, m’sieur, ich bin Wittfrau.

        
",3,greber-sainte-cecile,9,2,0.2222222222222222,0.0,0.0,0.14320817470229288,0.0,0.15734757504655042,0.0,0.1626701238164337,0.00448752241058158,0.00134018107133856,0.00550712087600084,0.1995287080309549
comedy,É Kommissionär,MALE,deliverer/helper,service_and_sales,lower_class,"
          
Kommissionär:

          
Macht nix, madame, ich bin Wittmann.

        
",3,greber-sainte-cecile,7,3,0.4285714285714285,0.00027967315071884,0.0,0.1436239763373389,0.00204161400024754,0.15559279046131125,0.0,0.1497503451120937,0.01118218201421806,0.00134018107133856,0.00971687222142974,0.19130278640614878
comedy,Cécile,FEMALE,,,,"
          
Cécile:

          
(entzückt)

          
E Wittmann? — Ohne Kinder?

        
",4,greber-sainte-cecile,9,2,0.2222222222222222,0.00027967315071884,0.007509156503017959,0.09420388502848985,0.00204161400024754,0.1234133732117687,0.0,0.08510570887179043,0.02231581620493012,0.00134018107133856,0.00971687222142974,0.13396215999201772
comedy,É Kommissionär,MALE,deliverer/helper,service_and_sales,lower_class,"
          
Kommissionär:

          
Ohne Kinder. — Ich müeß jetz gehn.

        
",4,greber-sainte-cecile,8,1,0.125,0.00027967315071884,0.022527469509053898,0.10269144560802121,0.00204161400024754,0.1271981319133026,0.0,0.09475473396311021,0.02231581620493012,0.00134018107133856,0.0068026619047349,0.14763382194171737
comedy,Cécile,FEMALE,,,,"
          
Cécile:

          
Ze bliewe Sie doch noch e bissel. — — Möchte Sie sich nit noch emol hirote?

        
",4,greber-sainte-cecile,17,1,0.0588235294117647,0.00027967315071884,0.0326976178004719,0.05385395221223932,0.00204161400024754,0.050324613048552,0.0,0.029974821892747038,0.02231581620493012,0.00134018107133856,0.0175997339986035,0.0647777436589003
comedy,É Kommissionär,MALE,deliverer/helper,service_and_sales,lower_class,"
          
Kommissionär:

          
Merci bien, hab grad genüe vum erschte Mol.

        
",4,greber-sainte-cecile,9,1,0.1111111111111111,0.00027967315071884,0.0326976178004719,0.059574709060898054,0.00204161400024754,0.06383630720438922,0.0,0.029974821892747038,0.0185560569845201,0.0,0.0317941908111418,0.08003463796120268
comedy,É Kommissionär,MALE,deliverer/helper,service_and_sales,lower_class,"
          
Kommissionär:

          
Sie wüßte ’s nit? — — Awer ich. Adieu madame.

        
",5,greber-sainte-cecile,11,2,0.1818181818181818,0.00041950972607825995,0.0326976178004719,0.05474132373339735,0.00306242100037132,0.05888958576704791,0.0,0.029974821892747038,0.011928580770217101,0.0,0.02980190709877098,0.07750843235514902
comedy,Cécile,FEMALE,,,,"
          
Cécile:

          
Am liebschte hätt ich e Wittmann ohne Kinder.

        
",5,greber-sainte-cecile,9,3,0.3333333333333333,0.00041950972607825995,0.03078369174068684,0.0508466529735225,0.00306242100037132,0.05600078966822412,0.0,0.028172507695723437,0.00821736937331308,0.0,0.03041766037537664,0.07353484806813443
comedy,É Kommissionär,MALE,deliverer/helper,service_and_sales,lower_class,"
          
Kommissionär:

          
Eh ben, güet, ze will i sehn, daß ich einer find. 
          
(Für sich):
 E warmi Person! 
          
(Ab.)

        
",5,greber-sainte-cecile,22,5,0.2272727272727272,0.0006605027457998999,0.01970151441441064,0.04734128819158734,0.0033027761410356,0.058275735403665686,0.00026122666177138003,0.024739132074403702,0.00821736937331308,0.0,0.03289749732588984,0.06660010648831237
comedy,Cécile,FEMALE,,,,"
          
Cécile:

          
E züe nedder Mensch! Nurre schad, daß ’r mich nit versteht. M’r dhädde nit üwel züenand passe. Er
          het Nümmero siwwezeh ghet, dis will i m’r merke.

        
",6,greber-sainte-cecile,28,2,0.0714285714285714,0.0024898510045879797,0.009531366122992643,0.03998275605016064,0.0034605364495916197,0.04885010370585543,0.00026122666177138003,0.01698262546000824,0.0110434308603741,0.0,0.0243829148026192,0.05527227023859556
comedy,Sophie,FEMALE,,,,"
          
Sophie:

          
(würdige, starke Matrone von ungefähr 45 Jahren)

          
Cécile, hesch de schun bi’s Meyer’s de neije, Butzlumpe kauft?

        
",6,greber-sainte-cecile,22,4,0.1818181818181818,0.0024898510045879797,0.009531366122992643,0.0335976566371116,0.00407059104895922,0.03649631669601163,0.00071132792106088,0.01698262546000824,0.0110434308603741,0.0,0.013127323596295575,0.04144503224996794
comedy,Cécile,FEMALE,,,,"
          
Cécile:

          
Ja, madame.

        
",6,greber-sainte-cecile,3,2,0.6666666666666666,0.0024898510045879797,0.009531366122992643,0.06414647896736689,0.00407059104895922,0.05711598480173959,0.00071132792106088,0.052815550927462186,0.01024848428086906,0.0,0.013127323596295575,0.07713319241375546
comedy,Sophie,FEMALE,,,,"
          
Sophie:

          
Denne Midda wurd d’ Stubb vun mim Mann uffgewäsche; ’s isch höchschti Zitt.

        
",6,greber-sainte-cecile,14,2,0.1428571428571428,0.0024898510045879797,0.007950195297575863,0.06882956856996546,0.00407059104895922,0.070266365310617,0.00071132792106088,0.05912570479300524,0.00282606148706102,0.0,0.012511570319689918,0.08863447067552331
comedy,Cécile,FEMALE,,,,"
          
Cécile:

          
Do wurd’s awer noch hewwe, Madam. Er loßt Nieme-n-in sini Stubb. Er will nit gstört sin, saat ’r,
          het ’r gsaat.

        
",7,greber-sainte-cecile,25,3,0.12,0.0071051759648307,0.004014059617816123,0.07662230261320331,0.0059309553457879,0.07338401112869479,0.0004501012592895001,0.04851665102511578,0.006912419442344039,0.0,0.019821754044015177,0.08720811147168457
comedy,Sophie,FEMALE,,,,"
          
Sophie:

          
Isch dis nit e Kurweh mit dem Mann! Was macht ’r wirklich?

        
",7,greber-sainte-cecile,13,2,0.1538461538461538,0.00527582770604262,0.004014059617816123,0.09044321669787966,0.00577319503723188,0.09555232599812935,0.0004501012592895001,0.05889103419370206,0.00408635795528302,0.0,0.022932879138155497,0.10871928419821472
comedy,Sophie,FEMALE,,,,"
          
Sophie:

          
’s wurd m’r ball unheimlich, wenn dis so fort geht.

        
",7,greber-sainte-cecile,11,1,0.0909090909090909,0.00527582770604262,0.004014059617816123,0.09002795357806208,0.00516314043786428,0.09428895503083717,0.0014348578947332,0.05889103419370206,0.00408635795528302,0.00302182084943892,0.019994013531940816,0.10766032026581943
comedy,Cécile,FEMALE,,,,"
          
Cécile:

          
Er het ganz ’s équilibre verlore, d’r Schinder kummt nit drüs.

        
",8,greber-sainte-cecile,12,3,0.25,0.00731545957179314,0.004014059617816123,0.06289046294475363,0.00368669271144934,0.07814810178178465,0.0024741302557856,0.0300233567170128,0.00500547593617564,0.00302182084943892,0.015183635339576734,0.07795818030859054
comedy,Sophie,FEMALE,,,,"
          
Sophie:

          
Daß er awer au gar nit saat, was er het!

        
",8,greber-sainte-cecile,11,1,0.0909090909090909,0.00731545957179314,2.7755575615628915e-18,0.06895980459556009,0.00368669271144934,0.08280302193467752,0.0024741302557856,0.018494302353888742,0.00500547593617564,0.00302182084943892,0.034654416727138954,0.07846303742585634
comedy,Cécile,FEMALE,,,,"
          
Cécile:

          
Irid ebbs, was m’r nit wisse derfe, dis isch emol sicher.

        
",8,greber-sainte-cecile,12,1,0.0833333333333333,0.0024591415918287798,2.7755575615628915e-18,0.05306264757803836,0.00158597327395638,0.0698862953796631,0.0024741302557856,0.020648975884106042,0.00091911798089262,0.00302182084943892,0.028295534944020956,0.0676976598369945
