drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
drama,Siner Babe,M,,,,"
            
Babe:

            
(sitzt im Rohrstuhl; Hemd, Hose und Frack an, Hals-  tuch; hat eine Decke über sich. Sehr krankhaftes Ausse-  hen, Fährt sich oft mit einem Tuche übers Gesicht, um  den Schweiss zu trocknen. Nach einer Weile)

            
Mame!

          
",0,weber-e-bissel-lieb,41,6,0.1463414634146341,,,,,,,,,,,
drama,Sini Mame,F,,,,"
            
Mame  :

            
(einfach angezogen; Schürze. Bringt das Bett in Ord-  nung)

            
Was denn Babe?

          
",0,weber-e-bissel-lieb,16,3,0.1875,,,,,,,,,,,
drama,Siner Babe,M,,,,"
            
Babe:

            
Kum, setz dich... e bissel... züe mir.

          
",0,weber-e-bissel-lieb,8,1,0.125,,,,,,,,,,,
drama,Sini Mame,F,,,,"
            
Mame  :

            
(setzt sich neben Babe)

            
Was soll denn sin?

          
",0,weber-e-bissel-lieb,11,2,0.1818181818181818,,,,,,,,,,,
drama,Siner Babe,M,,,,"
            
Babe :

            
(langt nach den Händen von Mame)

            
Mame — Made- leine!!

          
",0,weber-e-bissel-lieb,14,3,0.2142857142857142,0.00038163742173048,0.40959871307427365,0.8321158180811986,0.00203403285555856,1.423572006551969,0.00065119553064964,0.4156518960261102,0.0167035460434411,0.0,1.3850928141869612,1.7339804610946783
drama,Sini Mame,F,,,,"
            
Mame:

            
Pierre, Pierre, was isch denn?

          
",0,weber-e-bissel-lieb,6,1,0.1666666666666666,0.0,0.6143980696114106,1.0021992952041405,0.0,1.6490644083080142,0.0,0.6234778440391653,0.024212731807346184,0.0,1.6907510431037474,2.081074960245669
drama,Siner Babe,M,,,,"
            
Babe:

            
Gäll, mir zwei... sin doch immer... glücklich g’sin?

          
",1,weber-e-bissel-lieb,9,2,0.2222222222222222,0.0,0.5324783269965558,0.9632298783561671,0.0,1.6065860722564949,0.0,0.5536221957706473,0.0209843675663667,0.0,1.5961544595746857,1.9955367572690257
drama,Sini Mame,F,,,,"
            
Mame:

            
Nadierlich sin mir glücklich g’sin! Wie kummsch düe jetzt awer grad uff diss ze redde? Noch nie hesch düe mich e so ebs g’fröjt.

          
",1,weber-e-bissel-lieb,25,4,0.16,0.0,0.5939181339576969,0.8585267459784172,0.0,1.3516285856327506,0.0,0.6313078222223225,0.02340564074710132,0.0,1.4156782252767581,1.755209093162716
drama,Siner Babe,M,,,,"
            
Babe:

            
Ich hab dir’s jo immer ang’sähn, dass düe... glücklich bisch, awer... ich hab’s jetzt au vun dir wölle höre.

          
",1,weber-e-bissel-lieb,22,2,0.0909090909090909,0.0,0.4710385200354148,0.7490330594758232,0.0,1.1918190511419073,0.0,0.5198869843511937,0.01856309438563208,0.0,1.2029088445197034,1.5232030786373627
drama,Sini Mame,F,,,,"
            
Mame:

            
Düe hesch jo hyt ganz sunderbari Gedanke un Wünsch!

          
",1,weber-e-bissel-lieb,10,4,0.4,0.0,0.36899775658781897,0.5906003849615471,0.00034099616081764,0.9320557909530246,0.0,0.4186856578044512,0.015040581820805882,0.00076911270111484,0.9295755400978797,1.1930149930619736
drama,Siner Babe,M,,,,"
            
Babe:

            
Schun e paar Dääj... hab ich üwer unser Läwe noch- simeliert... un au an diss gedänkt... was noch kumme kann.

          
",1,weber-e-bissel-lieb,22,3,0.1363636363636363,0.0,0.13574182524445338,0.4168396954206055,0.00034099616081764,0.7174839368361232,0.0,0.1717364509133788,0.0053554890978674,0.00076911270111484,0.6033029769518474,0.8379173674433613
drama,Sini Mame,F,,,,"
            
Mame:

            
Diss sollsch düe gar nit, denn es isch nit güet für dich.

          
",1,weber-e-bissel-lieb,13,2,0.1538461538461538,0.0,0.2586214391667355,0.44488348177841247,0.00034099616081764,0.7088316955747194,0.0,0.29516979706294727,0.010198035459336641,0.00076911270111484,0.6716108270744495,0.8916472216514301
drama,Siner Babe,M,,,,"
            
Babe:

            
Un doch... un doch!

          
",2,weber-e-bissel-lieb,5,1,0.2,0.0,0.19718163220559445,0.5495866141561626,0.00034099616081764,0.9637891821984634,0.0,0.2174841706112721,0.00777676227860202,0.00076911270111484,0.8520870613723769,1.1319748857577399
drama,Sini Mame,F,,,,"
            
Mame:

            
Was denn?

          
",2,weber-e-bissel-lieb,3,1,0.3333333333333333,0.0,0.44294086005015865,0.6909655727555997,0.00034099616081764,1.1163014472855322,0.0,0.45360057729023406,0.0174618550015405,0.00076911270111484,1.133164292252034,1.4191402970173594
drama,Siner Babe,M,,,,"
            
Babe:

            
Mame, Mame... Madleine! Wer weiss... wie lang ich noch do bin!

          
",2,weber-e-bissel-lieb,12,4,0.3333333333333333,0.0,0.5040217521903272,0.7958062723885151,0.0,1.290865040002152,0.00228317641287406,0.5132367142343655,0.02157547097899412,0.0,1.3114975479824302,1.6368443892662885
drama,Sini Mame,F,,,,"
            
Mame :

            
(will das Weinen unterdrücken)

            
Red... nit... devun, Pierre!

          
",2,weber-e-bissel-lieb,11,3,0.2727272727272727,0.00060019769333772,0.5734381983039832,0.8093088839730399,0.00072188602290088,1.275591482254251,0.00292786415554456,0.5939251627149937,0.027354128745479562,0.0,1.3540776034523891,1.6610905601862764
drama,Siner Babe,M,,,,"
            
Babe:

            
Werum denn nit? Mame 
(steht auf und geht gegen das Bett)
.

          
",2,weber-e-bissel-lieb,14,3,0.2142857142857142,0.00228284376289716,0.5324783269965558,0.823433990369798,0.00072188602290088,1.3292839147018511,0.00292786415554456,0.5403474648339432,0.025739946624989803,0.0,1.3794621636230062,1.694527970064113
drama,Siner Babe,M,,,,"
            
Babe :

            
(streckt die Hände nach ihr)

            
Madleine!!! Mame 
(geht zu Babe, küsst ihn und macht sich wieder am Bett zu schaffen)
. Babe 
(schaut Mame lächelnd zu, ist dann wieder nachdenk- lich, Wischt sich den Schweiss ab)
. Mame 
(öffnet das Fenster, wischt sich dabei Tränen ab)
.

          
",2,weber-e-bissel-lieb,54,10,0.1851851851851851,0.00228284376289716,0.6062060953499252,0.7735938488954737,0.00165651739883876,1.1838975664905218,0.00292786415554456,0.6158013167189089,0.028845119908972077,0.0,1.3062149443505517,1.5759610251988085
