drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
tale,Minischter Güggumseck,MALE,,,,"
            
Güggumseck:

            
Aha, d’r Tisch isch gedeckt, d’r Kinj wurd ball kumme. Jaja, d’r Kinj het nur Fraid am Esse. O
            Misär. 
            
(Geht bis zue de Staffle, kehrt um.)
 Hab ’s ganz Land durchgereist, un viel erlebt.
            Prinze solle hitt kumme, wo — ah, do isch jo schun aaner 
            
(betracht ’ne)
. Dich sott ich kenne. Dü bisch schun emol im Schloss gsin, un hesch um
            d’Hand vun d’r Prinzess Yoyote ang’halte.

          
",0,bastian-hofnarr-heidideldum,92,6,0.0652173913043478,,,,,,,,,,,
tale,Minischter Güggumseck,MALE,,,,"
            
Güggumseck:

            
Dü schiensch vergesse ze han, dass d’Prinzess nix vum Hirote wisse will, am wenigschte vun dir, ja
            vun dir.

          
",0,bastian-hofnarr-heidideldum,26,3,0.1153846153846153,,,,,,,,,,,
tale,Minischter Güggumseck,MALE,,,,"
            
Güggumseck:

            
Haha, dummer Prinz, die füehrt alli an d’r Nas erum. 
            
(Drähjt sich erum):
 Düürsch mich. Awer Geduld hesch, meh wie zeh Essel.

          
",0,bastian-hofnarr-heidideldum,33,1,0.0303030303030303,,,,,,,,,,,
tale,Prinz Aristide vun Sabatine (Hofnarr Heidideldum),MALE,,,,"
            
Aristide:

            
Mini Lieb zue d’r Prinzess isch stäriker als Himmel un Erd draaue könne.

          
",0,bastian-hofnarr-heidideldum,16,3,0.1875,,,,,,,,,,,
tale,Minischter Güggumseck,MALE,,,,"
            
Güggumseck:

            
Ich will dir verrote, dass aaner vun de richschte Maharadscha üss Indie sich präsentiere wurd, ja
            sogar e Kinj.

          
",0,bastian-hofnarr-heidideldum,24,2,0.0833333333333333,0.07038768664007122,0.2363017107587913,0.7313927961074287,0.05,0.7075875498459718,0.06152413896784006,0.7102497872658555,0.03533333333333332,0.02136666666666666,0.21408213607590892,0.8948537209977709
tale,Minischter Güggumseck,MALE,,,,"
            
Güggumseck:

            
Ja, d’r Kinj Niesatt üss-em Schlaraffeland. 
            
(Drähjt sich erum.)

          
",1,bastian-hofnarr-heidideldum,16,1,0.0625,0.07038768664007122,0.1266687942811807,0.8605835135342197,0.05,0.7300772067946711,0.06152413896784006,0.9444993979674731,0.03533333333333332,0.0,0.19324880274257558,1.016785476271413
tale,Prinz Aristide vun Sabatine (Hofnarr Heidideldum),MALE,,,,"
            
Aristide:

            
(wurd hitzig)

            
Ich wurr sie alli üssteche, ich wurr sie mit mim Däje, ha! min Bluet kocht.

          
",1,bastian-hofnarr-heidideldum,25,2,0.08,0.24986857366124077,0.08449080478018234,1.0194020572795046,0.23110172353007813,0.8015738499322097,0.2378779096020724,0.8823191702817276,0.19534119296369018,0.0,0.1484708132415772,0.9502695495463162
tale,Minischter Güggumseck,MALE,,,,"
            
Güggumseck:

            
Halt, Prinz, nit so wief. Loss dir saaue, dass d’Prinzess noch mit de Bubbe spielt, e üssgelosses
            Ding isch, kurzum e Spielkatz.

          
",1,bastian-hofnarr-heidideldum,32,2,0.0625,0.4224620865966367,0.2246822440062794,1.131900070333764,0.36176072312088176,0.9047585999241174,0.3499925595989353,0.7791191702817276,0.30742683611752064,0.06544204641437132,0.18895283623289685,1.0269820401964673
tale,Prinz Aristide vun Sabatine (Hofnarr Heidideldum),MALE,,,,"
            
Aristide:

            
Minischter Güggumseck, dü reddsch nit schön. Awer ich will ihr Herz gewinne, un wenn’s min Läwe
            koschte dät.

          
",1,bastian-hofnarr-heidideldum,25,4,0.16,0.4224620865966367,0.37643997947020147,1.2220206300301595,0.36176072312088176,0.9669189671269287,0.3499925595989353,0.8014315942511882,0.30856565973917816,0.08821851884752178,0.27427141071321276,1.0605001492950399
tale,Minischter Güggumseck,MALE,,,,"
            
Güggumseck:

            
Haha, dummer Prinz, geh in din Land zeruck, tröscht dich mit e’re andere Prinzess!

          
",1,bastian-hofnarr-heidideldum,20,3,0.15,0.3520743999565655,0.37643997947020147,1.095056196008002,0.31176072312088177,0.9066010159051245,0.30620175396442856,0.7119241872976535,0.30856565973917816,0.08821851884752178,0.3232047440465461,0.9873047607165735
