drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel :

        
(züend mit e’re Velolamp erum)

        
Kumme Sie, Herr Architekt.

      
",0,bastian-s-gaischtert-im-huss,15,2,0.1333333333333333,,,,,,,,,,,
horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Deschto besser. Un? Han Sie min Hüs genau unter- suecht?

      
",2,bastian-s-gaischtert-im-huss,16,3,0.1875,,,,,,,,,,,
horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Gewissehaft, ja.

      
",3,bastian-s-gaischtert-im-huss,6,2,0.3333333333333333,,,,,,,,,,,
horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Un ’s Resultat?

      
",4,bastian-s-gaischtert-im-huss,6,1,0.1666666666666666,,,,,,,,,,,
horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Sin Sie im Keller gsin, uff d'r Büehn?

      
",10,bastian-s-gaischtert-im-huss,12,1,0.0833333333333333,0.0411139462322163,0.3399627004211352,1.286024791522024,0.0558573055919737,1.4388182661734832,0.06269297919398026,0.6526411892827698,0.02186666666666666,0.09135482129946955,0.5303555977265095,1.6295485486373429
horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Hm! E unheimlichi Gschicht... wo mich e Vermöje koscht... noch meh! Ja, wo mich rüiniert.

      
",12,bastian-s-gaischtert-im-huss,23,4,0.1739130434782608,0.04578333333333332,0.16971029694073023,1.3095440262934883,0.02655,1.305549989811441,0.0591,0.8999558107967118,0.05671666666666666,0.1432147151329006,0.5495055977265094,1.5840272301366642
horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Guet ze verstehn. Bedenke Sie, e füenfstöckigs Hüss, modern yngericht, mit grossem Garte vorne un hinte, d’rzue noch in e’re freie, herrliche Gejed; e füenfstöckigs Hüss wo ken Mensch meh nynzeije will, wo verruefe isch! Bedenke Sie der Zinsverluscht!

      
",14,bastian-s-gaischtert-im-huss,52,5,0.0961538461538461,0.027249999999999996,0.1654169636073969,1.3782031361999179,0.02655,1.4014337316332477,0.0383,1.0195744310200265,0.03485,0.14893471513290063,0.5520147317728938,1.7100440245439827
horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Rächt han sie.

      
",15,bastian-s-gaischtert-im-huss,6,1,0.1666666666666666,0.027249999999999996,0.1654169636073969,0.6811205071080295,0.02655,0.8104296658156143,0.0383,0.6520665750705901,0.03484999999999999,0.14893471513290063,0.22103,0.9739794387939101
horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Ganz abgsehne vun d'r Ambediererei vun de Jour- naliste, wo aane Daa un Nacht üss lütter Wunderfitz ken Ruehj lonn. Gott, was sin schun Artikel üewer des Hüss lanciert worre. Un photographiert! Meh als e Minischter.

      
",16,bastian-s-gaischtert-im-huss,45,7,0.1555555555555555,0.04966002913772494,0.11237138706467129,0.7392862509050062,0.07093935093809789,0.8750447929609948,0.06982037606706074,0.7263457477339672,0.06151100677074417,0.08774612331163771,0.26250995281687983,1.0580859953594548
horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Ich hab e Idee. Verkaufe Sie diss Hüss.

      
",17,bastian-s-gaischtert-im-huss,12,1,0.0833333333333333,0.04966002913772494,0.11237138706467129,0.7063158614112757,0.07093935093809789,0.854389626111535,0.06982037606706074,0.7287457477339673,0.06151100677074417,0.08774612331163771,0.26250995281687983,1.0493157146832237
horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Glich, glich, wenn’s numme Jemes wott. Alli An- nonce han bis dato nix genutzt. Im Gejedail... Stromswies komme Fremdi for diss Hüss ze betrachte. Jede Sunndaa sieht mer hunderti vun Automobil im Städtel. Wisse Sie, M. Meter, wer d' beschte Gschäfte do d’rbie macht?

      
",18,bastian-s-gaischtert-im-huss,59,5,0.0847457627118644,0.02241002913772494,0.1245713870646713,0.5300355737512877,0.044389350938097885,0.8050524266866217,0.03152037606706074,0.5037911262200253,0.026661006770744178,0.03588622947820666,0.3118341953158561,0.90570887061783
horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Die Herre Wirt, d' Hôtelier, d' Beck, d'r Metzjer, d'r Patissier. So ebbs zuesehn ze müehn, diss geht aam an d' Niere.

      
",20,bastian-s-gaischtert-im-huss,31,2,0.064516129032258,0.08781002913772493,0.1033313870646713,0.4927563836842876,0.12258935093809789,0.7319111344923261,0.10652037606706073,0.31043917266337717,0.026661006770744178,0.015566229478206661,0.2677541953158561,0.7715531700320709
horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Kann mer’s denke. 
(Kleini Paus.)

      
",21,bastian-s-gaischtert-im-huss,12,2,0.1666666666666666,0.08781002913772493,0.1033313870646713,0.6434584908767558,0.12258935093809789,0.8324353086950381,0.10652037606706073,0.3699750079143606,0.026661006770744178,0.2464676400596384,0.10995419531585611,0.8452290422742419
horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
E Fröij, M. Meter. Han Sie selwer schun emol denne Spektakel in dem Hüss zueg’hoert?

      
",22,bastian-s-gaischtert-im-huss,20,2,0.1,0.11389999999999997,0.045,0.5708806093098582,0.0782,0.742482489258574,0.075,0.3151958352509835,0.0,0.2309014105814317,0.06847424249897631,0.7356039296296817
horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Han Sie schwachi Nerve?

      
",24,bastian-s-gaischtert-im-huss,7,2,0.2857142857142857,0.2061726656863747,0.045,0.6164894745099885,0.16737945058138354,0.6841087051930754,0.11771899896835443,0.20339583525098348,0.04726360314566356,0.2309014105814317,0.06847424249897631,0.6452159227417031
horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Nit dass ich wuesst. Unseraaner muess jo uff de höchschte Gerüschter erumgaise.

      
",25,bastian-s-gaischtert-im-huss,16,1,0.0625,0.2061726656863747,0.0,0.5998497995917651,0.16737945058138354,0.6609883876012692,0.11771899896835443,0.2904358352509835,0.04726360314566356,0.2309014105814317,0.0,0.6423226002541449
horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Guet. Mache Sie mir denne Gfalle un gehn Sie jetzt mit mir vun aam Stock zuem andere.

		

      
",26,bastian-s-gaischtert-im-huss,21,3,0.1428571428571428,0.15743933235304136,0.0,0.72462097283672,0.08917945058138352,0.7989702777517618,0.13069351706818705,0.4528976090043721,0.11801090064857123,0.2309014105814317,0.0,0.8496117418547723
horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Ihne ze gfalle, gewiss, un um Ihne ze zaje, dass ich Nerve hab.

      
",27,bastian-s-gaischtert-im-huss,19,2,0.1052631578947368,0.20943933235304138,0.0,0.6858322922670481,0.12277945058138354,0.6900902803604099,0.24075529421793593,0.3277617737533887,0.2241318469029327,0.0,0.0,0.7529461503915859
horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Es isch jetzerte juste dreiviertel uff Zwölf.

      
",28,bastian-s-gaischtert-im-huss,10,1,0.1,0.1609393323530414,0.0,0.6944474958155029,0.12277945058138354,0.7155143361907339,0.24075529421793593,0.38126177375338866,0.2241318469029327,0.0,0.0,0.7827589517466281
horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Werum han Sie denn e Velolamp, un ken Revolver?

      
",29,bastian-s-gaischtert-im-huss,13,1,0.0769230769230769,0.5972729619452433,0.0,1.3215858558214684,0.033600000000000005,1.3490511096990008,0.8126097042931864,0.38126177375338866,0.5911565686036278,0.0,0.0,0.9165387294216403
