drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,"Jumpfer WACHTLE
                    ",F,,,,"
          
Jumpfer Wachtle

          
(kunnt ine rechts)

          
Das isch jetz emol e Wunder, ass dr Herr Lerch no nitt
                        do isch ku si Visite mache... ich erwart ne sicher
                        hit... mir singe-n-als ewe mitnander... er singt
                        pràchtig, dr Herr Lerch, un accompagniert is noch
                        derzüe uf em Klavier... d'Müsik un 's G'sang geht mr
                        ewe vor allem, b'sunders, wenn's recht sentimental
                        züegeht... drum süech ich so viel as möglig
                        Bekanntschaft z'mache mit Müsikante... Ich ha derno
                        noch dr Herr Büechfink, wo kunnt... awer am e-n-andere
                        Tag!... dà singt nitt so güet, awer er spielt besser
                        Klavier... ich ha se beide gern... als Müsikante... nur
                        isch 's fatale dervo, ass se mr beide dr Hof mache...
                        ich ka se doch nitt beide hirothe... un nimm ich einer,
                        so blibt dr andere furt, das isch klar!... se sin
                        jaloux iwernander as wie Tiger... ich weiss do kei
                        Üsweg... ich süech se halt so lang as möglig
                        üsez'schifle... wenn ich als hör, ass se wànn Ernst
                        mache, so sag ich als gli «Herr Lerch, oder Herr
                        Büechfink, d'Singstund isch fertig» un mach mich
                        dervo... ich nenn ewe das mi Singstund... doch, do
                        kunnt jetz dr Herr Lerch...
(me klopft a)
 entrez!...
                    

          

        
",0,lustig-dr-astronom,249,25,0.1004016064257028,,,,,,,,,,,
comedy,"Herr LERCH
                    ",M,,,,"
          
Herr Lerch

          
(kunnt hinte-n-ine)

          
Jumpfer Wachtle, ich wünsch Ere ne güeter Morge... ich
                        bin e wenig spot hit... ich ha noch miesse mi böser
                        Finger verbinde...
                    

        
",1,lustig-dr-astronom,34,8,0.2352941176470588,,,,,,,,,,,
comedy,"Jumpfer WACHTLE
                    ",F,,,,"
          
Jumpfer Wachtle.

          
Siter wenn hàn Sie ne böser Finger?

        
",2,lustig-dr-astronom,11,2,0.1818181818181818,,,,,,,,,,,
comedy,"Herr LERCH
                    ",M,,,,"
          
Herr Lerch.

          
Scho drei Tàg... 's isch glaüb dr Umlaüf... un grad noch
                        am Zeigfinger an dr rechte Hand...
                    

        
",3,lustig-dr-astronom,23,4,0.1739130434782608,,,,,,,,,,,
comedy,"Jumpfer WACHTLE
                    ",F,,,,"
          
Jumpfer Wachtle.

          
Se känne-n-is awer doch e wenig accompagniere?...

        
",4,lustig-dr-astronom,14,1,0.0714285714285714,0.1879189515847854,0.09057467278237333,0.5487246643603534,0.19868634822561676,0.6071284324481035,0.17879204366583454,0.08903885682412502,0.1710035064144675,0.02140188606737762,0.3055273039449881,0.6011396685759447
comedy,"Herr LERCH
                    ",M,,,,"
          
Herr Lerch.

          
Was denkt Se... Se sieht jo, ass ich ne verbunde ha...
                        ich wott schön Dings mache!
                    

        
",5,lustig-dr-astronom,23,3,0.1304347826086956,0.1858963481283608,0.15098562781084013,0.6023440430581685,0.20259632914919803,0.6782349754380812,0.17853052935852048,0.1729226204956048,0.16871970561110333,0.04303898393271764,0.41609507083057,0.6906896121898003
comedy,"Jumpfer WACHTLE
                    ",F,,,,"
          
Jumpfer Wachtle.

          
Un ich ha mich eso g'freit fir Müsik z'mache!... unsre
                        schöne Romance do, wo mr hätte känne singe!
                    

        
",6,lustig-dr-astronom,26,5,0.1923076923076923,0.18705791718822334,0.1341756555389054,0.6211634155065188,0.15823192307862988,0.6878918770447118,0.1918963889692779,0.22147741828108342,0.11814822219256294,0.03656398393271766,0.41802207498558797,0.7254255256268947
comedy,"Herr LERCH
                    ",M,,,,"
          
Herr Lerch.

          
Ich ka jo doch singe, wenn ich scho dr Finger verbunde
                        ha... mir singe-n-ohne Klavier!
                    

        
",7,lustig-dr-astronom,23,4,0.1739130434782608,0.060498167108550216,0.1341756555389054,0.5493951306408308,0.041742987963572994,0.6741187237549904,0.08411306163568766,0.28057741828108346,0.002468199196635862,0.03656398393271766,0.40042207498558796,0.7793368179869086
comedy,"Jumpfer WACHTLE
                    ",F,,,,"
          
Jumpfer Wachtle.

          
Das geht nitt, Herr Lerch!... 's hat jo kei Art
                        eso!...
                    

        
",8,lustig-dr-astronom,19,2,0.1052631578947368,0.06556061458498354,0.11273895045921281,0.5649249962151475,0.05426588435264492,0.6737800044464223,0.0880552339274916,0.25688406196989383,0.002468199196635862,0.03656398393271766,0.36922274769206964,0.7837960597103812
comedy,"Herr LERCH
                    ",M,,,,"
          
Herr Lerch.

          
Thàt Sie-n-emol prawiere z'accompagniere... 's isch
                        jo-n-eso licht, das Lied...
                    

        
",9,lustig-dr-astronom,21,2,0.0952380952380952,0.07568550953785018,0.11273895045921281,0.5658230184242058,0.07931167713078875,0.7033812213047342,0.10683957851109946,0.25688406196989383,0.002468199196635862,0.03656398393271766,0.33872274769206967,0.8063150833951742
comedy,"Jumpfer WACHTLE
                    ",F,,,,"
          
Jumpfer Wachtle.

          
Derno ka-n-ich nitt güet singe... ich müess gar
                        ufpasse... ne so ha-n-ich kei G'nuss dervo...
                    

        
",10,lustig-dr-astronom,25,3,0.12,0.06893557956927242,0.0222,0.5213211746912733,0.06261448194535954,0.628638554812292,0.09431668212202757,0.21867024135937135,0.0010000000000000022,0.0072,0.2327266666666666,0.7371769163577069
comedy,"Herr LERCH
                    ",M,,,,"
          
Herr Lerch.

          
Was dr Kückück's hört me nur o fir e Làrme do nàwes in
                        dr Wand d'ganze Zit?
                    

        
",11,lustig-dr-astronom,23,4,0.1739130434782608,0.0849038625924822,0.0258,0.5614670344293885,0.07513737833443143,0.7215042400092108,0.11554780957958348,0.20451712229767222,2.2204460492503132e-17,0.0,0.18896666666666664,0.8154280968915355
comedy,"Jumpfer WACHTLE
                    ",F,,,,"
          
Jumpfer Wachtle.

          
's isch dr Kàmifeger, wo 's Kàmi üsrackelt... mien Sie
                        jetz grad e böser Finger ha... me meint grad, Sie
                        mache's express...
                    

        
",12,lustig-dr-astronom,31,4,0.1290322580645161,0.1456525138941021,0.0258,0.5803556506569244,0.12712039769742392,0.728975008469803,0.16474338710047665,0.14541712229767226,0.05784001149796356,0.0,0.2389666666666667,0.7832375793176201
comedy,"Herr LERCH
                    ",M,,,,"
          
Herr Lerch.

          
Awer Jumpfer Wachtle!... wie ka Sie nur eso ebbes
                        sage... ich, wo dur's Fir gieng, fir Ihre ne Freid
                        z'mache... wenn ich nur ebbes wisse thàt, wo-n-is kännt
                        accompagniere...
                    

        
",13,lustig-dr-astronom,44,5,0.1136363636363636,0.22565687950432478,0.0258,0.6613687393453958,0.11209292203053763,0.759285377871695,0.24691715694996086,0.17868024514462993,0.05784001149796356,0.0,0.20848666666666665,0.7994131251832941
comedy,"Jumpfer WACHTLE
                    ",F,,,,"
          
Jumpfer Wachtle

          
(fir z'foppe)

          
Dr Kàmifeger viellicht im Kàmi dert....

        
",14,lustig-dr-astronom,14,3,0.2142857142857142,0.28823755486330116,0.0258,0.723500717492729,0.0870471292523938,0.762623785344174,0.30705918013803285,0.17868024514462993,0.05784001149796356,0.029666666666666657,0.17125333333333334,0.7811783082360549
comedy,"Herr LERCH
                    ",M,,,,"
          
Herr Lerch.

          
Tiens... ne Idee!... grad gestert hat me mir verzählt,
                        ass e Kàmifeger hie seig, wo Klavier spiele ka... wer
                        weisst... 's isch viellicht grad dà...
                    

        
",15,lustig-dr-astronom,36,6,0.1666666666666666,0.3051713094346185,0.044799999999999986,0.7187626794146271,0.0953957268451084,0.7582925774987258,0.32944288071115435,0.09409912012797024,0.07638839401791506,0.05803333333333331,0.17592,0.7449909039578219
comedy,"Jumpfer WACHTLE
                    ",F,,,,"
          
Jumpfer Wachtle.

          
Hà hà hà... ne Kàmifeger am Klavier!

        
",16,lustig-dr-astronom,12,1,0.0833333333333333,0.2455796842243029,0.018999999999999982,0.617756551534434,0.08287283045603651,0.6267273080076586,0.26085593259059053,0.033263122846957684,0.07638839401791506,0.05803333333333331,0.27752,0.6372948813976811
comedy,"Herr LERCH
                    ",M,,,,"
          
Herr Lerch.

          
Sie lacht!... ich, versicher Se, me hat mr g'sàit, dà
                        Mann seig als schint's frieiher in dr Höche gsi un seig
                        derno uf eimol awe ku...
                    

        
",17,lustig-dr-astronom,36,6,0.1666666666666666,0.18314355043053854,0.04009999999999998,0.5929809726045354,0.02671551229668672,0.6184598915340204,0.20852963097242944,0.09109645618029101,0.01854838251995152,0.05803333333333331,0.21805683279640156,0.6627680767162282
comedy,"Jumpfer WACHTLE
                    ",F,,,,"
          
Jumpfer Wachtle.

          
Ich zwifel nitt dra... alle Kàmifeger, wo in dr Höche
                        gsi sin, kämme-n-als wieder awe...
                    

          

        
",18,lustig-dr-astronom,24,1,0.0416666666666666,0.09301428986744924,0.04009999999999998,0.4956873756987371,0.016697195185429205,0.5509947546907006,0.10757151653933732,0.05783333333333333,0.01854838251995152,0.05803333333333331,0.29933683279640155,0.6309857016147521
comedy,"Herr LERCH
                    ",M,,,,"
          
Herr Lerch.

          
Sie versteht mich nitt... ich mein, vor ebb er Kàmifeger
                        gsi isch... ich will en emol froge...
(er macht
                        d'Thüre-n-uf hinte un rieft üse)
 He Kàmifeger!
                    

        
",19,lustig-dr-astronom,39,4,0.1025641025641025,0.02537116703203952,0.04009999999999998,0.5017531415390707,0.0292200915745011,0.6418460488610945,0.03803732105946136,0.08518333333333332,0.01854838251995152,0.02836666666666666,0.37874579215157633,0.6930621075236039
comedy,"Herr LERCH
                    ",M,,,,"
          
Herr Lerch.

          
Kännte-n-Ihr uns viellicht e wenig accompagniere?..

        
",21,lustig-dr-astronom,13,2,0.1538461538461538,0.018562307413588837,0.0211,0.49250227288918397,0.04591728675993032,0.6526680057040682,0.034437965069947715,0.08518333333333332,2.2204460492503132e-17,0.0445,0.340212458818243,0.7034302683559127
comedy,"Jumpfer WACHTLE
                    ",F,,,,"
          
Jumpfer Wachtle.

          
Do hà mr's!...

        
",23,lustig-dr-astronom,9,1,0.1111111111111111,0.018562307413588837,0.0211,0.49250227288918397,0.04591728675993032,0.6526680057040684,0.034437965069947715,0.08518333333333332,2.2204460492503132e-17,0.0445,0.340212458818243,0.7034302683559127
comedy,"Herr LERCH
                    ",M,,,,"
          
Herr Lerch.

          
E nei... ich mein, eb Ihr viellicht känne ne wenig
                        Klavier spiele?
                    

        
",24,lustig-dr-astronom,18,4,0.2222222222222222,0.020249789905733277,0.028499999999999998,0.4878917769608364,0.05009158555628762,0.6451091400961066,0.037568689167215695,0.027350000000000003,2.2204460492503132e-17,0.08705,0.3528256260218414,0.6902332110904472
comedy,Herr BÜECHFINK,M,,,,"
          
Kàmifeger.

          
E wenig, jo... ich bi awer nitt stark!

        
",25,lustig-dr-astronom,13,1,0.0769230769230769,0.020249789905733277,0.028499999999999998,0.5520841268188594,0.05009158555628762,0.7100381726434319,0.037568689167215695,0.027350000000000003,2.2204460492503132e-17,0.08705,0.3700256260218414,0.685704083460081
comedy,"Herr LERCH
                    ",M,,,,"
          
Herr Lerch.

          
Güet, so kämme nur awe... 's gitt nitt difficil's
                        z'spiele...
(züer Jumpfer Wachtle)
 was ha-n-i g'sàit...
                    

        
",26,lustig-dr-astronom,29,4,0.1379310344827586,0.020249789905733277,0.056999999999999995,0.5124634890576202,0.05009158555628762,0.6181985687123956,0.037568689167215695,0.033885843762494774,2.2204460492503132e-17,0.10735000000000001,0.28215,0.6404421313231203
comedy,"Jumpfer WACHTLE
                    ",F,,,,"
          
Jumpfer Wachtle.

          
Das isch awer jetz ganz merkwürdig!
(Dr Kàmifeger kunnt
                        hinte-n-ine, er hat dr Hüet iwer d'Aüge un e schwarz
                        Tüech iwer Mül un Nase bunde)
.
                    

        
",27,lustig-dr-astronom,36,4,0.1111111111111111,0.010124894952866639,0.056999999999999995,0.547717793458194,0.0250457927781438,0.6506742248209344,0.042984344583607836,0.07854516678127256,0.018750000000000024,0.08234594811987252,0.30755,0.736080961373315
comedy,"Herr LERCH
                    ",M,,,,"
          
Herr Lerch.

          
Do setze-n-i ans Klavier... mr wann emol lüege was Ihr
                        känne
(dr Kàmifeger verneigt si, legt dr Bese-n-ufs
                        Klavier, sitzt dra un fangt a z'spiele)
.
                    

          

        
",28,lustig-dr-astronom,39,2,0.0512820512820512,0.020249789905733277,0.11399999999999999,0.5950569866419934,0.05009158555628762,0.6929201498268883,0.061768689167215694,0.07854516678127256,0.018750000000000024,0.12294594811987251,0.20595,0.7548047744707034
