Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,avgLexVal,lexRatio
0,comedy,Wenker,M,taverner/innkeeper,service_and_sales,lower_middle_class,"
            
Wenker:

            
Alleh hopp, Mäide, nur tapfer abgewasche un süfer gemacht! Hit hammer Patronsdöö, hit wurd's Hahnel löüfe! Un wenn de serwiersch, glich 's Gald ghäische! Uff de Knewwel kreijt kener nix, un wenns d'r Herr Burjermäischter salwer wär!

          
",0,greber-s-teschtament,49,7,0.6995143595911253,0.14285714285714285
1,comedy,Katarina Wenker,F,taverner/innkeeper,service_and_sales,lower_middle_class,"
            
Kathrin:

            
Geh doch! Mit dinere Grobhäit wursch dü dir noch alli clients vertriewe.

          
",0,greber-s-teschtament,16,1,0.4500240871268493,0.0625
2,comedy,Wenker,M,taverner/innkeeper,service_and_sales,lower_middle_class,"
            
Wenker:

            
Kathrin, wie steht do iwer d'r Dhür: Die Rose riecht, der Dorn der sticht, Wer gleich bezahlt, vergißt es nicht. Dis isch e gueter Spruch, grad for de Wirt gemacht. Und nooch dem Spruch wurd gezapft.

          
",0,greber-s-teschtament,47,3,0.9641925331739704,0.06382978723404255
3,comedy,Katarina Wenker,F,taverner/innkeeper,service_and_sales,lower_middle_class,"
            
Kathrin:

            
D'r Wirt müeß sich awer nooch de Gäscht richte, nit d' Gäscht nooch 'm Wirt.

          
",0,greber-s-teschtament,19,1,0.68997573049056,0.05263157894736842
6,comedy,Wenker,M,taverner/innkeeper,service_and_sales,lower_middle_class,"
            
Wenker:

            
Awer wanneh, wanneh! Isch dis e-n-Art, mit so viel Gald bim Wirt ze hanke? Dis be- wiest, daß d'r Mann ken Ordnung het. Wirtsschulde — Süffschulde! Ich hab's jetz satt mit dem iwerzwerche Kamerad.

          
",0,greber-s-teschtament,48,6,0.8778968931456204,0.125
7,comedy,Katarina Wenker,F,taverner/innkeeper,service_and_sales,lower_middle_class,"
            
Kathrin:

            
Seij nur stille weje denne paar Märkle. Ich bin guet d'rfor.

          
",0,greber-s-teschtament,16,2,0.5266071669450223,0.125
8,comedy,Wenker,M,taverner/innkeeper,service_and_sales,lower_middle_class,"
            
Wenker:

            
Na ja... dis wäiß ich schun lang, daß dü als noch e faible hesch for denne-n-alte Sünder. Es gedankt d'r schints nimm, daß 'r dich schun emol het ab- flattere losse.

          
",0,greber-s-teschtament,41,5,0.5253367202459103,0.12195121951219512
9,comedy,Katarina Wenker,F,taverner/innkeeper,service_and_sales,lower_middle_class,"
            
Kathrin:

            
Pardon, dis isch nit wohr, dis müß ich besser wisse.

          
",1,greber-s-teschtament,15,1,0.7469588919461928,0.06666666666666667
10,comedy,Wenker,M,taverner/innkeeper,service_and_sales,lower_middle_class,"
            
Wenker:

            
Dü sollsch Racht han... 
(für sich)
 Nix verruckters als e-n-alti Jumpfer.

          
",1,greber-s-teschtament,19,2,1.0043508541567685,0.10526315789473684
11,comedy,Naz,M,,,,"
            
Naz:

            
Naz und Jockel 
(durch die Mitteltür)
 Buschur bisamme! Joel: Zwäi Shöpple, wenns beliebt. Wenker: Grad im Moment.

          
",1,greber-s-teschtament,27,4,1.0412607632034536,0.14814814814814814
12,comedy,Naz,M,,,,"
            
Naz:

            
(setzt sich mit Jockel an einen Tisch)
. Dis isch emol sicher. ....' s isch e wunderlicher, apartiger Mann gewann ... allewyl for sich un het nooch d'r Welt nix gfröujt.

          
",1,greber-s-teschtament,39,4,0.9183616995169752,0.10256410256410256
13,comedy,Jockel,M,farmer,agriculture,lower_class,"
            
Jockel:

            
Ellän isch 'r gsasse in sim Hisel, niemes isch bi'm gewann als sini alt Hüserhaltere, un noch e paar Katze un Hund.

          
",1,greber-s-teschtament,28,1,0.5892372345478826,0.03571428571428571
14,comedy,Naz,M,,,,"
            
Naz:

            
Im Winter isch 'r als nit üs d'r Stubb nüs. Nur, wenn's Frühjohr kumme-n-isch, ze het m'r ne im Garte gsahn mit Hack un mit Schüfel. Der het noch gschafft wie e-n-Alter.

          
",1,greber-s-teschtament,44,2,0.7888153389734326,0.045454545454545456
15,comedy,Jockel,M,farmer,agriculture,lower_class,"
            
Jockel:

            
Na... er ich öö alt gewann. Wenn äner emol siwezig uff 'm Buckel het, kann 'r nimm sööüje, er isch vun d'r jeunesse dorée.

          
",1,greber-s-teschtament,31,2,1.1361455760443164,0.06451612903225806
16,comedy,Wenker,M,taverner/innkeeper,service_and_sales,lower_middle_class,"
            
Wenker :

            
(bringt das Bier)

            
Galle, ihr redde vum alte Mathis 
(bleibt stehen)
.

          
",1,greber-s-teschtament,19,1,0.4692885579016284,0.05263157894736842
17,comedy,Jockel,M,farmer,agriculture,lower_class,"
            
Jockel:

            
Ganz eracht . . . un die Änfachhäit, wie 'r gelabt het. Ünseräns gitt's jo öö nit großartig, awer e Glasel Win will m'r doch sahn biem z'Middöasse, un der het nix as Wasser getrunke.

          
",1,greber-s-teschtament,44,2,0.834293182689188,0.045454545454545456
18,comedy,Wenker,M,taverner/innkeeper,service_and_sales,lower_middle_class,"
            
Wenker:

            
Vum viellichte Wassertrinke bekummt m'r Lies in de Büch.

          
",2,greber-s-teschtament,12,1,0.3824074327530027,0.08333333333333333
