drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Alois Has,M,rentier,rentiers,upper_class,"
          
Alois :

          
Myni lieb Carline, dü kannsch d'r gar nitt vor- stelle, wie ich mich uff unseri Hyroot fraij ! Weisch, wemm’r syn Læbdesdaa Jungg’sell isch g’sinn, no brücht m'r numme ze lueje, wieviel Knepf ass eim am Kleid fæhle, fur jügiere ze kenne, was e flyssigi Hüssfrau wært isch!

        
",0,jost-d-satisfaction,59,4,0.0677966101694915,,,,,,,,,,,
comedy,Caroline Dick,F,,,,"
          
Caroline:

          
Warum hesch de denn no nitt schun længscht g’hyroot, liewer Alois ? Alois 
(fur sich)
 : Wyll ich noch Geld habb g’hett ! 
(lütt)
 : Ho, worum ? Wyll ich arich vorsichtig bin g’sinn! E Frau hett m'r ball, awer m'r weiss nie, was fur aani ! Waije dem haw-ich mir au bis jetzt allewyll mit Patentknepf üss d'r Not g’holfe. In dir awer, chère Caroline, haw-ich enfin e Frau g’funde, wo mich glicklich mache kann !

        
",0,jost-d-satisfaction,92,6,0.0652173913043478,,,,,,,,,,,
comedy,Caroline Dick,F,,,,"
          
Caroline :

          
Dü witt saawe, wo dich vun de Patentknepf erleest!

        
",1,jost-d-satisfaction,13,1,0.0769230769230769,,,,,,,,,,,
comedy,Alois Has,M,rentier,rentiers,upper_class,"
          
Alois :

          
Gell, jetzert witt dü mich au noch ütze ! Awer wart numme, wenn mir zwei erscht emool im Kæschtel hænge ! Drej Wuche sinn by de hytti moderne Verkehrsmiddel schnell erum. Ich will d'r no schun zeije, ass ich d’Hosse-n-an habb !

        
",1,jost-d-satisfaction,51,3,0.0588235294117647,,,,,,,,,,,
comedy,Alois Has,M,rentier,rentiers,upper_class,"
          
Alois :

          
Très bien ! G’sundheit, Liewi ! Uff e gueti Zuekunft im heiliche-n-Ehstand ! 
(Trinkt.)

          

        
",2,jost-d-satisfaction,22,5,0.2272727272727272,0.02892202271404438,0.2691677397202735,1.03348835958104,0.03140709596369718,0.9211132039629005,0.06306700741271487,0.3625338915364305,0.9000967495231207,0.05347179747939118,0.32053092750390333,0.9403136737524559
comedy,Caroline Dick,F,,,,"
          
Caroline :

          
Numme nitt so gepressiert, Aloisel ! Zuem Ins-Kæschtel-hænge haw-ich bis jetzt myni Per- mission noch nitt gænn !

        
",3,jost-d-satisfaction,22,1,0.0454545454545454,0.02892202271404438,0.2923100584673036,0.9606647406109545,0.03140709596369718,0.855615016295243,0.06306700741271487,0.21121353845677898,0.8811467495231206,0.05347179747939118,0.3864733254082574,0.8161546039919244
comedy,Alois Has,M,rentier,rentiers,upper_class,"
          
Alois :

          
Wa-a-as ! Hesch de dir ’s am End widder an- dersch iwerleijt?

        
",3,jost-d-satisfaction,16,1,0.0625,0.0,0.2478398105529931,1.0620683725512,0.0,1.1313952619298469,0.009399999999999981,0.15679653481126637,0.831551032327922,0.05347179747939118,0.7775524391718812,1.1812992527397312
comedy,Caroline Dick,F,,,,"
          
Caroline :

          
Diss nitt grad !

        
",4,jost-d-satisfaction,6,1,0.1666666666666666,0.0,0.2478398105529931,0.8440470505886107,0.0,1.2921495850128129,0.009399999999999981,0.15679653481126637,0.0,0.05347179747939118,1.1584808022695305,1.4571452224119479
comedy,Alois Has,M,rentier,rentiers,upper_class,"
          
Alois :

          
Oho ! Ich proteschtier ! Dü krejsch mir ma foi kaan Trepfele Wyn meh ! — Ja, g’fallt d'r denn ebbs nitt an mir? Ich habb doch par exemple kaan Romanbaan !

        
",5,jost-d-satisfaction,36,2,0.0555555555555555,0.0,0.12311809087181273,0.8480092084812224,0.0,1.2237383010329501,0.0,0.27158562758176075,0.0896,0.01233846414605786,1.0065989873102896,1.4222517008633926
comedy,Alois Has,M,rentier,rentiers,upper_class,"
          
Alois :

          
So wie im-e Roman ! ’s erscht gehn s’e-n- üssenander, unn no « kriegen » s’e sich widder, diss heisst, se kumme widder z’amme! 
(Zeijt mit de Hænd d’Form vun O-Baan.)

        
",6,jost-d-satisfaction,45,1,0.0222222222222222,0.0,0.30941798888063016,0.8823531927398868,0.0,1.2195925828832364,0.0,0.11478909277049439,0.0896,0.0,0.9556755877078122,1.3879339881489676
comedy,Alois Has,M,rentier,rentiers,upper_class,"
          
Alois :

          
Ja, was denn no ? reg : Hm, ich weiss nitt, wie ich mich üssdrucke soll !

        
",7,jost-d-satisfaction,22,1,0.0454545454545454,0.0,0.22661798888063017,1.0084045925155103,0.0,1.2290934793714412,0.0,0.34436727831148317,0.0896,0.0,0.8576831898034583,1.5125369643849085
comedy,Caroline Dick,F,,,,"
          
Caroline:

          
Alois, heer jetzt enfin mit denne Schnæcke- dænz uff! Mir welle jetzt emool e’'n-ernscht’s Wertel mitnand redde! Ich bin næmlich vun jehere-n-e bissel arich romantisch veranlaat g’sinn! Weisch, wo ich als Maidel noch in d’hee- cher Deechterschuele bin gange ...

        
",8,jost-d-satisfaction,54,4,0.074074074074074,0.04925,0.26823666576347516,0.936893418556334,0.03085,1.0042344734888875,0.02443459263983688,0.47816876965408994,0.1248,0.0,0.4225470399804944,1.2227570167329398
comedy,Alois Has,M,rentier,rentiers,upper_class,"
          
Alois :

          
Calmier dich, Carline ! Ich habb jo numme gemaant, ass dü als klaans Düddele so hoch hesch miehn nuffkrawle !

          

        
",10,jost-d-satisfaction,24,1,0.0416666666666666,0.15865,0.26823666576347516,0.7974822714057586,0.03085,0.7001923977429401,0.11503459263983687,0.47816876965408994,0.1248,0.11879999999999999,0.04161867688284498,0.8641911818932606
