Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,avgLexVal,lexRatio
0,comedy,Suzanne,F,,,,"
            
Suzanne:

            
Das isch nit schlacht, sing ich do s’schenschta Maialied un mr han doch hit erscht dr 1. Awril. S’isch awer o so a prachtvoll Watterla, do müeß mr jüchzge un singe, eb mr will oder nit; derbi han i alli Ursach luschtig z’si, denn i erwart mini fenf amies zum a Teekranzla. Das git a fideler Mittag. Wu si awer o nur alli stacka 
(sieht auf ihre Uhr)
, es isch jo glich drei un se han mr versproche fir racht friahi z’ku. Wenn nur d’Tante Florentine nit so schlacht glünt war. Das wird noch ebbs absetze. Ja, wenn i mini Frindinna nit schu alli iglada hat vor acht Tag, so war üs dam Teekranzla nit wora. Rißt is net vorgescht Knall un Fall unseri Kecha üs. Das isch d’zweite g’si sitter Neijohr. Hoffentlig git’s bol Ersatz, denn die menus, wu mini chère tante* sitter combiniert het, brrr.

          
",0,weigel-in-dr-awril-gschickt,180,17,0.5651436854001834,0.09444444444444444
1,comedy,Suzanne,F,,,,"
            
Suzanne:

            
Aha, do kumme se alla mitnander.

          
",1,weigel-in-dr-awril-gschickt,10,2,0.5345780022641755,0.2
2,comedy,Mlle Florentine Blind,F,rentier,rentiers,upper_middle_class,"
            
Freundinnen:

            
(treten ein)

            
Bonjour Suzanne, salut Suzi, bonjour ma chère etc.

          
",2,weigel-in-dr-awril-gschickt,16,1,0.327,0.0625
3,comedy,Suzanne,F,,,,"
            
Suzanne:

            
Bonjour Kinder 
(gibt allen die Hand)
, andlig isch nit ewig. Ihr lehn lang uf i warta. 
(Alle setzen sich.)

          
",3,weigel-in-dr-awril-gschickt,29,6,1.4483995485802212,0.20689655172413793
4,comedy,Jeanne,F,,,,"
            
Jeanne:

            
Mr han anander rendez-vous gah, fir unser Izug mitnander z’fiera und do hatt’s halt a Will ge- dürt, bis alli présentes g’si sin. S’Juliette isch natier- lig weder s’letschta gsi, wie immer.

          
",4,weigel-in-dr-awril-gschickt,45,4,0.46379495490398287,0.08888888888888889
5,comedy,Irène,F,,,,"
            
Irène:

            
As meint, es isch a Todsind, wenn as uf uns warte müeß, ich bin ganz sicher, as kunt o a mol z’spot fir in dr Himmel.

          
",5,weigel-in-dr-awril-gschickt,34,7,1.17377974577409,0.20588235294117646
6,comedy,Juliette,F,,,,"
            
Juliette:

            
Han nur ke so groß Mül, so g’fahrlig isch’s nit; un iwerhäupt in dr Bibel steht’s jo: die letzten werden die ersten sein. Das isch m i Troscht, hoffentlig geht's mir o so.

          
",6,weigel-in-dr-awril-gschickt,44,3,0.8474063237753932,0.06818181818181818
8,comedy,Lucie,F,,,,"
            
Luzie:

            
Ja, ja, ich han’s o gedankt.

          
",8,weigel-in-dr-awril-gschickt,12,2,2.1259504816665986,0.16666666666666666
9,comedy,Suzanne,F,,,,"
            
Suzanne:

            
O jeh, sinn mr nur still, ich han schu ebbes mitg’macht, mr han schu zwe Tag ke Kecha me.

          
",9,weigel-in-dr-awril-gschickt,25,1,0.5843859837527715,0.04
10,comedy,Jeanne,F,,,,"
            
Jeanne:

            
Ja, kat denn eira femme de chambre nit üshalfa?

          
",10,weigel-in-dr-awril-gschickt,13,1,0.3380089763504987,0.07692307692307693
