word,valence,arousal,dominance,anger,disgust,fear,joy,sadness,surprise,trust,anticipation
uffgänn,0.122852010880336,0.4165360284562635,0.1956640133911828,0.438,0.0,0.5658360912274333,0.0,0.6982243398012652,0.523,0.281,0.0
aufgab,0.122852010880336,0.4165360284562635,0.1956640133911828,0.438,0.0,0.5658360912274333,0.0,0.6982243398012652,0.523,0.281,0.0
Aufgabe,0.122852010880336,0.4165360284562635,0.1956640133911828,0.438,0.0,0.5658360912274333,0.0,0.6982243398012652,0.523,0.281,0.0
uffgann,0.122852010880336,0.4165360284562635,0.1956640133911828,0.438,0.0,0.5658360912274333,0.0,0.6982243398012652,0.523,0.281,0.0
ufgänn,0.122852010880336,0.4165360284562635,0.1956640133911828,0.438,0.0,0.5658360912274333,0.0,0.6982243398012652,0.523,0.281,0.0
Schnitze,0.3491951003481737,0.4232794853487245,0.3326866771483562,0.0,0.6958808911753332,0.328,0.0,0.0,0.0,0.0,0.0
Schnitzer,0.3491951003481737,0.4232794853487245,0.3326866771483562,0.0,0.6958808911753332,0.328,0.0,0.0,0.0,0.0,0.0
schnitze,0.3491951003481737,0.4232794853487245,0.3326866771483562,0.0,0.6958808911753332,0.328,0.0,0.0,0.0,0.0,0.0
Schnöitzer,0.3491951003481737,0.4232794853487245,0.3326866771483562,0.0,0.6958808911753332,0.328,0.0,0.0,0.0,0.0,0.0
Schnitz,0.3491951003481737,0.4232794853487245,0.3326866771483562,0.0,0.6958808911753332,0.328,0.0,0.0,0.0,0.0,0.0
drackig,0.2031187882181007,0.5030918295337916,0.2854500557425193,0.0,0.6888764405187213,0.328,0.0,0.0,0.0,0.0,0.0
dräckig,0.2031187882181007,0.5030918295337916,0.2854500557425193,0.0,0.6888764405187213,0.328,0.0,0.0,0.0,0.0,0.0
Dreck,0.2031224196019373,0.5030899649161708,0.285451297088684,0.0,0.6888764699331492,0.328,0.0,0.0,0.0,0.0,0.0
Drack,0.2031224196019373,0.5030899649161708,0.285451297088684,0.0,0.6888764699331492,0.328,0.0,0.0,0.0,0.0,0.0
