drama_type,speaker,sex,job,social_class,text,numTokens,numLexTokens,avgLexVal,lexRatio
comedy,Frau Dorothee (Dorthee),F,,,"Fr. Dorthee
Was dummelst di denn nit ? Hest ess jo lang triwliert
De Babbe-n-un mich au, bis mer ess resselviert
Hyt nohmedaa mit ych uf Schilke nus ze laufe,
Daß mer fürr morje früej die Millrumsküechle kaufe.
Ze mach denn emol furt, du großi Hopfestang!
",47,4,0.1465,0.0851063829787234
comedy,Hr. Starkhans,M,shipbuilder,upper_class,"Hr. Starkhans
Loß mier myn Lissel gehn. ’S wurd aim jo Angst e Bang
Wemmerr dich alewyl heert balje-n-un haßliere.
De dewwerst glych so wüest; es duet ’s nit mellediere
Diß Gschelts un diß Gelärms! ’S isch wohr …
",40,2,0.3945,0.05
comedy,Frau Dorothee (Dorthee),F,,,"Fr. Dorthee
Was geht ’s dich an,
ich bin syn Mueder, ich! I waiß was i vermaan.
Zeiht merr die Maidle nit, duet merr si nit kristiere,
Ze wisse si sich nie ier Lewesdaa ze rüere,
Do were Schlabbe drus, Schlofkabbe, fuli Bamble.
Zue myner Mueder Zyt henn mier müen anderst stramble!
Poz dausig un ken End …
",57,4,0.3515,0.07017543859649122
comedy,Lieschen (Lissel),F,,,"Lissel
I bin schunn lang gerüst
Myn liewi Mamme! ’S isch halt nur, i saa ’s …
",16,4,0.3339168169879226,0.25
comedy,Hr. Starkhans,M,shipbuilder,upper_class,"Hr. Starkhans
Es wischt
Sich wayer d’Aue-n-aa. Was hesch de denn ze gryne
Myn liebs Kanästjele? Loß dyni Gukkle schyne
Recht hell un frisch wie d’ Sunn, wisch dyni Bäkkle-n-aa,
De waisch wohl, Hexebubb, daß i di liewer haa
Aß alles uf der Welt, bisch mer an ’s Herz gewachse
Wie Ebbheu an e Muur. I wett ’s gitt in ganz Sachse
Ken Maidel so wie du, so wyß, so nettlecht gschift.
Was pfubfst de denn? Was isch ’s wo di so stark angryfft?
",89,12,0.23836203754581076,0.1348314606741573
comedy,Lieschen (Lissel),F,,,"Lissel
I kan ’s jez nigglich, myn liewer Babbe, saaue,
Verdrießli bin i halt, von aaße niddergschlaaue.
Drum blybt’ i liewer dhaim, wenn ’s imm isch ainerlay.
Un Sie, wurr Si nit bees, myn Mamme; n-ali zway
Do newes gehn jo mit, ’s Suffeyel un syn Mueder,
Un wenn Si will, ze bhalt I myne klaine Brueder,
un gib recht uf ne-n-acht.
",65,11,0.40757586690030734,0.16923076923076924
comedy,Frau Dorothee (Dorthee),F,,,"Fr. Dorthee
Was diß for Ynfäll sinn!
Kuum het sich ’s recht druf gfrait, het ’s schunn e-n-andre Sinn.
Ze mach denn wie de witt … Kumm Babbe!
",29,3,0.38799999999999996,0.10344827586206896
comedy,Hr. Starkhans,M,shipbuilder,upper_class,"Hr. Starkhans
Wart e bissel!
I will e Schmizzel z’erst von unserm Munggedrissel.
Kumm Lissel, gimmer ain’s. Hyt bin i gerasiert. 
Sie küßt ihn.
So … mach au daß es kracht ! Gelt! Hesch de Bart nit gspüert? 
Gehn ab.
",40,3,0.34064582023751583,0.075
comedy,Lieschen (Lissel),F,,,"Lissel
allein
Je zisch mer ’s widder lycht, es hät mer ’s Herz aagstose
Wenn i mit ’nus hät müen; er het sich druf verlose
Daß er glych nooch der Kirch recht mit mer babble kan.
Herr Jeh! Herr Jeh! Was isch diß for e scheener Mann!
Was isch er groß un stark, was het er rodi Bakke
Un e staatsmäßji Nas, merr meecht ne fast dran pakke.
Was diß for Aue sinn, un wie er stattli geht!
’S isch Schad, daß merr ne nit in alem recht versteht.
’S isch e narrechdi Sproch diß Hochdytsch; do haißt Steyer
E Stier, e Thar e Door, Babbier diß isch Papeyer,
E Schmuz haißt dert e Kuß, zuem Unroth saat mer Schmauz,
Hiz saat merr nit, nain, Heiz, der Staat zell isch der Pauz,
For Lieb saat merr Lyweh, e Schnuer isch e Bindfade,
Un d’ Sohnsfrau haißt e Schnurr, e Schoppe-n-isch e Lade,
Fürr Hosse saat merr Bux, e Bugett for e Struß,
E-n-Imm diß isch e Biehn, der Schinder kommt nit drus.
Jez wurrum henn si mi nit gschikt in ’s Ditschland niwwer,
Uf Mannem oder Spyr; dert wärd i gsin vil liewer
Aß in Sangdiedel do, dem klaine welsche Nest,
Wo merr Johr us, Johr yn sich mit Grumbeere mest,
Ze kinnt i doch jez au mit dytsche Herre redde.
I will mer awwer schunn recht Müej genn …
",233,25,0.25914534894980057,0.1072961373390558
comedy,Christinchen (Christinel),F,,,"Christinel
eintretend
I will wedde
Daß er di angfüert het. I haa recht ufgebaßt
Un haa-ne-erst nit gsehn. Ze mach di halt druf gfaßt.
Die Mannslyt sinn eso, si redde nix als Laoue,
Der Best isch donnix nuz, der Deichert maan ne traoue.
Schwei still, was heer i drus!
",49,4,0.1445,0.08163265306122448
comedy,Lieschen (Lissel),F,,,"Lissel
Herr Jeses wenn er ’s wär!
",7,2,0.0,0.2857142857142857
comedy,Lieschen (Lissel),F,,,"Lissel
Jez wurd mer ’s Herz schunn schwer
For ludder Angst un Freud.
",13,4,0.0,0.3076923076923077
comedy,Reinhold,M,medical_doctor,upper_class,"Reinhold
Ihr unterhän’ger Diener.
Sind die Jungfrau’n wohl auf? 
Man ist bei so viel Glück, sein selbst sich kaum bewußt,
der Liebe Seligkeit erfüllt mir ganz die Brust.
",28,7,0.17523959751400559,0.25
comedy,Christinchen (Christinel),F,,,"Christinel
Ach Herr Jeh!
",4,1,0.0,0.25
