drama_type,speaker,sex,job,social_class,text,numTokens,numLexTokens,avgLexVal,lexRatio
comedy,Steinle,M,rentier,upper_class,"Steinle :
(sitzt im Fauteuil und liest in einem grossen dicken Buche)
Die Gesundheit ist des Menschen höchstes und teuerstes Gut. 
          
",22,2,0.0,0.09090909090909091
comedy,Daniel,M,domestic_worker,lower_class,"Daniel:
I-ich hab grad d' Müsfall g'stellt, no haw-ich mr noch d'r Finger verquetscht.
",14,1,0.0,0.07142857142857142
comedy,Steinle,M,rentier,upper_class,"Steinle :
's wurd nit g'fährli sinn — gehn un mache-n-uff. 
          
",12,2,0.0,0.16666666666666666
comedy,Anselm,M,,,"Anselm :
(von rechts kommend)
Buschur. Herr Steinle, ich will fröje, ob ich Eich ebs mit soll bringe üs d'r Stadt, ich fahr doch
          grad nin mit-em Tram, e Kommission mache.
",32,4,0.0,0.125
comedy,Steinle,M,rentier,upper_class,"Steinle:
Doch, Anselm, diss isch grad recht, ass-r fröje... Ihr kennte m'r üs d'r Drogerie von dem Gift
          ""Ratten- und Mäusetod"" mitbringe. Ich hab in letschter Zitt so schrecklich viel Mies in mim Hüss, bis
          in d' Stubb kumme se m'r sogar ; es isch vun nix andersch als vun d'r Mälzerei do newe-n-uns.
",56,7,0.11121684856292073,0.125
comedy,Steinle,M,rentier,upper_class,"Steinle :
(gibt ihm Geld)
Ebä, do Anselm, bringe mir e Päckel mit für e Franke, will Ihr doch grad in d' Stadt fahre,
          gelle!... Un wie isch's mit-em Eise do hinte am Hals, isch-r noch nit zitti ?
",40,3,0.0,0.075
comedy,Anselm,M,,,"Anselm :
Ich glaub, ass-r jetz doch uffgeht... es wär au ball Zitt, es isch jetzt schun in d'r vierte Wuch,
          dass ich ne hab.
",24,2,0.0,0.08333333333333333
comedy,Steinle,M,rentier,upper_class,"Steinle :
Nurre nit verzwifelt, Anselm, ich bring-ne schun uf, numme d' Bäbb vun Hanfsoot un Söjbohnemehl so
          heiss ufgelajt, wie Ihr's verlide kenne ; — uf muss-r un wenn alles hin geht.
",32,5,0.1353494291814635,0.15625
comedy,Anselm,M,,,"Anselm :
(kratzt sich hinter dem Ohr)
Jo, jo — — wenn ich awer emol zuem Dokter dätt gehn...
",20,1,0.0,0.05
comedy,Steinle,M,rentier,upper_class,"Steinle :
(böse werdend)
Seje mr still, kenn Wort vom Dokter ; den der geht anne un schnied Ejch glich e Stück üss-em Hals un
          verderbt Ejch's Blüet mit Salwe. — — Do, noch dem Buech tu ich Ejch küriere, diss isch meh wert wie
          zehn Dokter !... Ah, un was ich noch fröje will, hann-r die Nacht guet kenne schlofe uf dene Tee, wo
          ich Ejch gänn hab ?
",69,12,0.029333333333333333,0.17391304347826086
comedy,Anselm,M,,,"Anselm :
Nit vum Beschte, ich hab mich d' ganz Nacht vun einere Sitt uf d' ander gewälzt.
",17,2,0.0,0.11764705882352941
comedy,Anselm,M,,,"Anselm :
Exelänt isch'r, Herr Steinle ; wisse-nr, ich versteh ebs vum Schnaps, miner Babbe isch früehjer
          Fuhrmann g'sinn in-ere Schnapsbrennerej ..... ja, un ich will mich uf d' Hinterfüess mache, alle, merci
          au ...
",31,5,0.0,0.16129032258064516
comedy,Steinle,M,rentier,upper_class,"Steinle :
Nit d'rwärt, Anselm, un vergesse mr diss Gift nit !
",11,2,0.0,0.18181818181818182
comedy,Anselm,M,,,"Anselm :
Aba — — ich denk dran, adje, Herr Steinle !
",10,2,0.0,0.2
comedy,Steinle,M,rentier,upper_class,"Steinle :
Adje, Anselm ! 
          
",3,1,0.0,0.3333333333333333
comedy,Steinle,M,rentier,upper_class,"Steinle :
No wurd doch die Plöj mit dene Mies ufhöere... Wieviel Ühr isch denn au ? 
          
",15,3,0.0,0.2
comedy,Steinle,M,rentier,upper_class,"Steinle :
Do kumme here un griffe emol, ob ich wieder kalti Füess hab, ich hab wieder Rumatisse.
",17,4,0.0,0.23529411764705882
comedy,Daniel,M,domestic_worker,lower_class,"Daniel:
(zieht Steinle die Pantoffeln aus und befühlt die Füsse)
D'r links isch warm, un d'r rechts - ho - ho - ho, der isch kalt wie-n-e Iszapfe am Neujohr !
",34,3,0.0,0.08823529411764706
comedy,Steinle,M,rentier,upper_class,"Steinle :
Ze hole glich e warme Socke — zeje m'r d'r linkse Pantoffel wieder an, d'r links Füess isch jo
          warm.
",21,3,0.0,0.14285714285714285
comedy,Daniel,M,domestic_worker,lower_class,"Daniel:
(zieht Steinle den Pantoffel an, zieht zu fest, rutscht aus und fällt hin)
Ho - ho - hoi, do lejt-r !
",23,2,0.2695,0.08695652173913043
comedy,Steinle,M,rentier,upper_class,"Steinle :
(wütend)
Ze stehn au wieder uf un mache, dass der Socke glich kummt.
",16,2,0.0,0.125
comedy,Steinle,M,rentier,upper_class,"Steinle :
Der Mensch wurd alle Daa dauwer, ich glaub, der grejt als d'r Gänsdirmel. 
          
",14,1,0.0,0.07142857142857142
