drama_type,speaker,sex,job,social_class,text,numTokens,numLexTokens,avgLexVal,lexRatio
unknown,Oscar,MALE,merchant,lower_middle_class,"OSCAR:
Nur noch en Auesblick, Mamme. D’r letscht « Reim » zue mimm Gedicht kummt m’r nit in. 
          
",18,2,0.0,0.1111111111111111
unknown,Oscar,MALE,merchant,lower_middle_class,"OSCAR:
Ei hehr isch doch hoch, erhawe, majestätisch. Kennsch denn dü dies Wort nit?
",14,4,0.4075904308941726,0.2857142857142857
unknown,Oscar,MALE,merchant,lower_middle_class,"OSCAR
(entsetzt):
Lina, nee awer Mamme, ich red doch vun d’r Luna, dies isch jo d’r Mond. 
          
",19,2,0.4025,0.10526315789473684
unknown,Madame Schweberle,FEMALE,,,"Mme SCHWEBERLE:
Dies haw ich jetzt wieder nit gewisst, dass de Mond e su heisst. Awer Lina, oder Luna, dies isch
          g'hüpst wie g’sprunge; ich find, Oscar, es wär besser dü dätsch e mol e Gedicht üwer d’ Suzanne
          mache.
",40,2,0.0,0.05
unknown,Oscar,MALE,merchant,lower_middle_class,"OSCAR:
Uewer d’ Suzanne? Do käm ich schoen an; dies dät mich nit üwel üsslache; ebs unpoetischeres als d’
          Suzanne git’s üewerhaupt in d’r ganze Welt nit.
",28,2,0.0,0.07142857142857142
unknown,Madame Schweberle,FEMALE,,,"Mme SCHWEBERLE:
D’ Suzanne isch e verständigs Maidel, un grad will’s ken so hochi Gedanke im Kopf het wie dü, täts
          am allerbeschte zue d’r passe. Lüej, Oscar, bim Suzanne
          
",31,3,0.19799999999999998,0.0967741935483871
unknown,Oscar,MALE,merchant,lower_middle_class,"OSCAR:
Mamme, hör uf oder ich lauf furt. Red m’r denn in de Lieb vum Vermöje, un wenn m’r eini lieb het,
          denkt m’r denn dran, ob se ’n e G’schäftsfrau isch, ob se ’n ebs vun d’r Hüshaltung versteht?
",40,5,0.0954,0.125
unknown,Madame Schweberle,FEMALE,,,"Mme SCHWEBERLE:
Verifer dich net, Oscar. Dass m’r in d’r Poesie an e so ebs nit denkt, dis weiss ich wohl, do tuets
          e jedi Zigienere, wenn se nur schoeni Aue het. Awer im wirikliche Läwe un wenn sich ’s um ’s Hieroote
          handelt, do muess m’r doch zuem allererschte an dies denke. Un weisch, mit’m Suzanne kännsch de grad e
          so furtläwe wie dü’s gewohnt bisch. Owets, nooch’m Nachtesse kännsch dinni Gedichtle mache, kännsch wie
          jetz e jeds Johr hie in dies Hotel kumme un e paar Wuche ganz in dinre Poesie läwe, — d’ Suzanne tät
          d’r gewiss ken Stein in de Weij leije.
",109,10,0.0219,0.09174311926605505
unknown,Oscar,MALE,merchant,lower_middle_class,"OSCAR:
Ihr verstehn mich alli mitenander nit. Was ich suech, isch e G’fährtin, e Seel, wie mit mir ringt,
          liedt un strebt, e Herz wie sich sehnt, wie suecht, un au besoin, still mit mim Herze verbluete
          kann.
",38,6,0.0,0.15789473684210525
unknown,Madame Schweberle,FEMALE,,,"Mme SCHWEBERLE:
Geh, Oscar, red kenn so schrecklichi Sache; m’r kreijt jo e Heideangscht.
",14,1,0.7785179399404452,0.07142857142857142
unknown,Oscar,MALE,merchant,lower_middle_class,"OSCAR:
Ja, Mamme, e Poet isch allewiel trürig; « Poesie ist tiefes Schmerzen ». 
          
",14,5,0.0,0.35714285714285715
unknown,Schakob,MALE,waiter,lower_class,"SCHAKOB:
Ei, Ihr were warte kenne 
          
",6,1,0.148,0.16666666666666666
unknown,Madame Schweberle,FEMALE,,,"Mme SCHWEBERLE:
Dass dü awer jetzt grad dis trürig Talent müesch han. Hättsch doch liewer ebs vun Müsik verstande un
          wärsch Compositeur wore, do wärsch doch luschtig gebliewe d’rbie.
",30,6,0.06920793761163894,0.2
unknown,Madame Lewermann,FEMALE,,,"Mme LEWERMANN
(gähnt):
M’r kann doch nit de ganze Daa schloofe, Am niene gehn m’r jo schun in ’s Bett, am aachte schtehn
          m’r uff, do haw ich noch em Esse gar kenn Schloof meh.
",37,2,0.0,0.05405405405405406
unknown,Madame Schweberle,FEMALE,,,"Mme SCHWEBERLE:
Sie ambetiere sich e bissel, nit wohr? Awer dies Läwe schlaat ne guet an. Sie wäre alle Daa jünger;
          erscht gescht bin ich g’fröjt wore wie alt as Sie sin, un wie ich g’sait hab vierzi, do…
",39,5,0.0328,0.1282051282051282
unknown,Madame Lewermann,FEMALE,,,"Mme LEWERMANN:
Achtedrissig. Bscht! Sie brüche uewerhaupt dies nit e so lütt ze sawe ich glaub, Ihr Sohn isch do
          drüsse.
",21,2,0.0,0.09523809523809523
unknown,Madame Schweberle,FEMALE,,,"Mme SCHWEBERLE:
D’r Oscar hört nix, der macht e Gedicht, er het’s grad mit em Mond ze tuen. Un was ich hab saawe
          welle, — ja richtig — die Person wie mich g’fröjt het, die het g’sait, ihr Lebdaa hätt se nit gedenkt,
          dass Sie schun vierzi sin, sie het Sie for d’ ältscht Schweschter vun Ihrer Nièce g'halte.
",60,5,0.0,0.08333333333333333
unknown,Madame Lewermann,FEMALE,,,"Mme LEWERMANN
(g’schmeichelt):
Och, was meine Sie, Mme Schweberle. In de Läde wor ich als noch Mademoiselle tituliert, un ererscht
          d’ vorig Wuch het mer minni Stundefrau verzählt, d’r Herr Summer, d’r Locataire vum erschte Stock, het
          se g’fröjt, was dies fer e jungi Mamsell isch, wie im troisième loschiert?
",52,5,0.0328,0.09615384615384616
unknown,Madame Lewermann,FEMALE,,,"Mme LEWERMANN:
Meine Sie?
",4,1,0.0,0.25
unknown,Madame Schweberle,FEMALE,,,"Mme SCHWEBERLE:
Ei natierlich, er word doch Sie nit meine, wenn er vun ere junge Mamsell red. Sie sin jo noch guet
          konserviert, un vun wittem halt m’r Sie au noch fuer jung, awer bilde Sie sich jo nit in, dass Sie
          met’m Suzanne konkuriere kenne, do wärte Se’n uf’m Holzweij.
",53,6,0.05466666666666667,0.11320754716981132
unknown,Madame Lewermann,FEMALE,,,"Mme LEWERMANN:
Han Sie nuer kenn Angscht, Mme Schweberle, ich brüch m’r e so ebs net inzebilde; es git Männer
          genue, denne e Frau von minne Johre, vun minnere G’schtalt vun mim 
          
",32,3,0.0,0.09375
unknown,Madame Lewermann,FEMALE,,,"Mme LEWERMANN:
Welle Sie mich am End beleidige?
",8,1,0.0,0.125
unknown,Madame Schweberle,FEMALE,,,"Mme SCHWEBERLE:
Ne, ne, Mme Lewermann, ich wott numme nit, dass Sie sich lächerlich mache.
",15,1,0.0,0.06666666666666667
unknown,Madame Schweberle,FEMALE,,,"Mme SCHWEBERLE:
Was krische denn er e so?
",8,1,0.6436796754081701,0.125
unknown,Madame Schweberle,FEMALE,,,"Mme SCHWEBERLE:
Ah min Sohn, er esch jetz grad nit do, was welle’n Ihr denn mit’m?
",17,1,0.0,0.058823529411764705
unknown,Madame Schweberle,FEMALE,,,"Mme SCHWEBERLE:
Was han mer grad geredt?
",7,1,0.0,0.14285714285714285
unknown,Madame Schweberle,FEMALE,,,"Mme SCHWEBERLE:
Ich mein vum Suzanne.
",6,1,0.0,0.16666666666666666
unknown,Madame Lewermann,FEMALE,,,"Mme LEWERMANN:
Ja un vum Oscar.
",6,1,0.0,0.16666666666666666
unknown,Madame Schweberle,FEMALE,,,"Mme SCHWEBERLE:
Es isch doch au Ihr Wunsch, dass die zwei e Paar wäre?
",14,1,0.3909999999999999,0.07142857142857142
unknown,Madame Lewermann,FEMALE,,,"Mme LEWERMANN:
Gewiss, ich tät’s jo so gere sehn wie Sie. Awer ich muess Ihne doch saawe, d’ Suzanne het noch e
          prétendant, d’r Herr Brey; Sie kenne ne jo.
",31,3,0.0,0.0967741935483871
unknown,Madame Lewermann,FEMALE,,,"Mme LEWERMANN:
D’ Suzanne findt den Oscar halt zue uewerschwänglich.
",10,1,0.0,0.1
unknown,Madame Schweberle,FEMALE,,,"Mme SCHWEBERLE:
Un er, d’r Oscar, findt d’ Suzanne ze nuechtere. Könnte Sen’m denn nit e Wink genn, dass es e bissel
          poetischer soll sin mit em?
",28,1,0.0,0.03571428571428571
unknown,Madame Lewermann,FEMALE,,,"Mme LEWERMANN:
Saawe Sie doch liewer em Oscar, er soll e bissel prosaischer sin.
",14,1,0.0,0.07142857142857142
unknown,Madame Schweberle,FEMALE,,,"Mme SCHWEBERLE:
D’r Oscar losst sich vun mer gar nix saawe; awer wisse Sie was? Sie könnte emol mit em rede, ich hab
          schun oft bemerikt, Sie han e grosser Influss uf ’ne. Sie könnte e bissel am stupfe, dass er sich
          ehnder decidiert.
",44,2,0.242,0.045454545454545456
unknown,Madame Lewermann,FEMALE,,,"Mme LEWERMANN:
Diss will ich gern tuen, awer ob ich ebs üssricht?
",12,1,0.219,0.08333333333333333
unknown,Madame Schweberle,FEMALE,,,"Mme SCHWEBERLE:
Seie Sie stille, do kummt er grad. Sie kenne glich mit’m rede, Ich geh einschtwiele nuf in mini
          Stub. Au revoir, Madame, un gueti Verrichtung.
",28,4,0.0,0.14285714285714285
unknown,Madame Lewermann,FEMALE,,,"Mme LEWERMANN:
Na, Monsieur Oscar, han Sie Ihr Gedicht fertig?
",10,1,0.0,0.1
unknown,Oscar,MALE,merchant,lower_middle_class,"OSCAR:
Nee, ich wor noch ganz e Narr druewer; ich find als noch nix wie zue « hehr » passt.
",20,4,0.0,0.2
unknown,Oscar,MALE,merchant,lower_middle_class,"OSCAR:
MEER? Meer? Ja wahrhaftig, ich glaub dies geht. 
          
",9,3,0.0,0.3333333333333333
unknown,Madame Lewermann,FEMALE,,,"Mme LEWERMANN:
O wie schön.
",5,1,0.18,0.2
unknown,Oscar,MALE,merchant,lower_middle_class,"OSCAR:
Un Sie han m’r wieder d’rzue verholfe, Madame Lewermann, Sie ellein verstehn min poetisch Empfinde. 
          
",17,3,0.17700000000000002,0.17647058823529413
unknown,Oscar,MALE,merchant,lower_middle_class,"OSCAR:
Ach, Mme Lewermann, wenn ich’s numme wär, awer ich bin noch witt vom Apollon weg. Wenn Sie wisste,
          wie sehr ich mich nooch’m e reinere, schönere Läwe sehn, wo ich ganz in Poesie getaucht, nuer seelischi
          Rejunge empfinde könnt.
",42,8,0.17975000000000002,0.19047619047619047
unknown,Madame Lewermann,FEMALE,,,"Mme LEWERMANN:
Ach, dies kann ich Ihne noochfühle, Herr Oscar, m’r het oft dies irdisch Lewe e so satt, m’r wott
          sich emporschwinge in höheri Regione...
",26,3,0.0,0.11538461538461539
unknown,Oscar,MALE,merchant,lower_middle_class,"OSCAR
(geht nehder zue ihre):
Wenn ich doch denne Schwan finde könnt, Mme Lewermann.
",16,2,0.0,0.125
unknown,Madame Lewermann,FEMALE,,,"Mme LEWERMANN
(ganz nod bie em):
Oder ich denne Adler, Herr Oscar.
",14,2,0.0,0.14285714285714285
unknown,Oscar,MALE,merchant,lower_middle_class,"OSCAR:
Wie däte m’r do neji Fluejel wachse?
",8,1,0.0,0.125
unknown,Madame Lewermann,FEMALE,,,"Mme LEWERMANN:
Wie dät min Herz sich begeischtere.
",8,1,0.0,0.125
unknown,Schakob,MALE,waiter,lower_class,"SCHAKOB
(der immer nehder kumme ’n isch, dicht vor alle zwei):
Herr! 
          
",14,3,0.0,0.21428571428571427
unknown,Oscar,MALE,merchant,lower_middle_class,"OSCAR
(wuetig):
Was bruehlsch denn dü e so?
",10,1,0.0,0.1
unknown,Oscar,MALE,merchant,lower_middle_class,"OSCAR:
Was isch denn los?
",5,1,0.477,0.2
unknown,Oscar,MALE,merchant,lower_middle_class,"OSCAR:
Dies isch alles? Scheer dich zuem Kückück mit dinne dumme Fröje. Ich hab g’saijt, schwarze Kaffee
          will ich, verstande.
",20,3,0.0,0.15
unknown,Schakob,MALE,waiter,lower_class,"SCHAKOB:
Ja, Herr. Awer, awer 
          
",5,2,0.0,0.4
unknown,Oscar,MALE,merchant,lower_middle_class,"OSCAR:
Dauwer Simpel, eine so ze derangiere. 
          
",7,1,0.0,0.14285714285714285
unknown,Oscar,MALE,merchant,lower_middle_class,"OSCAR:
Nee, ich bin ganz verwirrt, ich kumm nimmi drüss.
",10,3,0.23966666666666667,0.3
unknown,Madame Lewermann,FEMALE,,,"Mme LEWERMANN:
Ich glaub, m’r hen grad vum Suzanne geredt.
",10,2,0.0,0.2
unknown,Madame Lewermann,FEMALE,,,"Mme LEWERMANN:
M’r hann g’sait, dass es e netti, artligi, g’sundi Mamsell isch, wie in alle Stuecke zue Ihne passe
          tät.
",21,3,0.0,0.14285714285714285
unknown,Oscar,MALE,merchant,lower_middle_class,"OSCAR:
Ja, zell isch wohr, wenn’s numme e bissel meh geischtige Schwung hät, wenn ’s nit e so 
          
",19,4,0.0,0.21052631578947367
unknown,Madame Lewermann,FEMALE,,,"Mme LEWERMANN:
Ja, d’ Suzanne steht ze fescht uf’m Bode; sinner Geischt kann nit in d’ Höh flieje; es esch wie e
          Hüehnel, wie nit höcher kummt als sinner Hüehnerkorb.
",31,5,0.11879999999999999,0.16129032258064516
unknown,Oscar,MALE,merchant,lower_middle_class,"OSCAR:
Wie oft haw ich’s schun flieje lehre welle, awer es will nit. Ihm isch wohl drunte in sim
          Hüehnerhoft.
",21,2,0.1095,0.09523809523809523
unknown,Madame Lewermann,FEMALE,,,"Mme LEWERMANN:
Ja, es git Litt, die gackere liewer als dass sie singe.
",13,3,0.0,0.23076923076923078
unknown,Suzanne,FEMALE,,lower_middle_class,"SUZANNE
(läbhaft un nadierlich, kummt vom Freie erin; d’ Händ voll Blüeme):
Tante, luej emol die schöne Blueme, wie ich g’funde hab.
",24,6,0.03,0.25
unknown,Suzanne,FEMALE,,lower_middle_class,"SUZANNE:
Nee, um ’s Hüss erum, im Feld, hinte im Garte, uewerall wachse se, ganzi Hiffe haw’ ich
          abgerupft.
",19,3,0.0,0.15789473684210525
unknown,Madame Lewermann,FEMALE,,,"Mme LEWERMANN:
Wart, ich hol e paar Wase, noo rangiere m’r se nin 
          
",13,2,0.074,0.15384615384615385
unknown,Oscar,MALE,merchant,lower_middle_class,"OSCAR:
Wenn Sie numme wisste, was Sie for e nettes Bild abgenn, mit alle denne Blueme, Mamsell Suzanne. Sie
          sehn üss, wie e Waldfee.
",24,2,0.0,0.08333333333333333
unknown,Suzanne,FEMALE,,lower_middle_class,"SUZANNE:
Jetz drechsle Sie schun wieder Komplimente, helfe Sie m’r liewer die Blueme arrangiere. 
          
",14,3,0.0,0.21428571428571427
unknown,Oscar,MALE,merchant,lower_middle_class,"OSCAR:
Es freit mich, Mamsell Suzanne, dass Sie wenigschtens for d’ Schönheit vun de Blueme empfänglich
          sin.
",17,3,0.16933333333333334,0.17647058823529413
unknown,Suzanne,FEMALE,,lower_middle_class,"SUZANNE:
Ich hab d’ Blueme allewiel gern g'het.
",8,3,0.073,0.375
