drama_type,speaker,sex,job,social_class,text,numTokens,numLexTokens,avgLexVal,lexRatio
comedy,Colette,F,lady’s_maid,lower_class,"Colette:
Was beliebt, — ah Sapristi, d'r Alphonsel isch's ! Wart Knedes, ich will dr d'Lytt so verschrecke
            !
",19,3,0.5474297999986025,0.15789473684210525
comedy,Colette,F,lady’s_maid,lower_class,"Colette :
Dü kleiner Saperlot ! — Hesch de schun widder eins?
",10,1,0.2659607168945159,0.1
comedy,Alphonsel,M,,,"Alphonsel:
Ja, do isch's.
",5,1,0.4381250409322417,0.2
comedy,Alphonsel,M,,,"Alphonsel:
Ich, ich kenn' ne guet.
",6,1,0.6809413474879623,0.16666666666666666
comedy,Colette,F,lady’s_maid,lower_class,"Colette:
So — dü kennsch ne guet?
",7,1,0.6809413474879623,0.14285714285714285
comedy,Alphonsel,M,,,"Alphonsel:
Heijo, bring ich nit allewyl sinni Briefle do here? — un d'rno hawi ne schun oft uff d'r Rennbahn
            fahre sehn.
",23,3,0.585868937298132,0.13043478260869565
comedy,Colette,F,lady’s_maid,lower_class,"Colette:
Jo, dü hesch erecht, hein, der kann's ? E épatanter Typ. De Kilometer macht 'r in ere Minüt un 53
            3/4 Sekunde, départ lancé.
",25,1,0.930841865831902,0.04
comedy,Alphonsel,M,,,"Alphonsel:
Ja, ich weiß, diß letscht hett 'r sogar emol e Weltrecord um e Viertelsekund verbessert. Isch's
            nit so, Mamsell Colette ?
",22,1,0.4381250409322417,0.045454545454545456
comedy,Colette,F,lady’s_maid,lower_class,"Colette:
Doch, dü kleiner Hosselottl. Fahrsch dü au schun Velo, daß de dich so interessirsch?
",15,1,0.2659607168945159,0.06666666666666667
comedy,Alphonsel,M,,,"Alphonsel:
A noch, wisse Sie, ich helf als im Herr Blotzmeier driwwe d'Velo uffbumbe un schmiere, un do lehnt
            'r m'r als eine vun sinne alte Kärich. Sie sotte emol sehn, wie ich schun loszeij.
",36,5,0.5237563080607807,0.1388888888888889
comedy,Colette,F,lady’s_maid,lower_class,"Colette:
Ha ha ha, do wursch dü halt au am e schöne Daa e Champion oder e Recordman genn. Was witt denn
            wäre ?
",23,4,0.6326435596691369,0.17391304347826086
comedy,Alphonsel,M,,,"Alphonsel:
Sie hann's grad geroothe, — Rennfahrer wurr i, sunsch nix.
",12,2,0.6610354624783877,0.16666666666666666
comedy,Colette,F,lady’s_maid,lower_class,"Colette:
Voyons, was schriebt m'r min Shatz? 
            
",7,1,0.842,0.14285714285714285
comedy,Colette,F,lady’s_maid,lower_class,"Colette:
Ja, do isch gueter Roth dier. I mueß jo mit d'r Madam furt uff Allerheilige. Herrschaft, diß isch
            m'r jezt e Stoß! Saa-m, es geht nit, un daß i mit d'r Madam furt mueß. Mit dere dumme Partie uff
            Allerheilige !
",41,8,0.5873538168467591,0.1951219512195122
