drama_type,speaker,sex,job,social_class,text,numTokens,numLexTokens,avgLexVal,lexRatio
comedy,Marie,F,,,"Marie.
S'isch m'r ganz e Kriz, alle-n-Äujeblick muess d'r Herr Dr. Freundlich kumme-n-üs d'r Stadt, um
            bim Vater um mini Hand anzehalte, in d'r guete Meinung d'r Vater weiss alles.
",35,9,0.3907127140968426,0.2571428571428571
comedy,Grethl,F,,,"Grethl.
Diss wurd m'r e süfere G'schicht gän...., d'r Vater wie pardü nix vum e Stadtherr wisse will.
",18,3,0.35682521714545046,0.16666666666666666
comedy,Marie,F,,,"Marie.
Wenn d'r Vater numme nit so böes gelünt wär.....
",10,2,0.5103152248953655,0.2
comedy,Marie,F,,,"Marie.
Die Malchance! Z'erscht krejt'r sini Rhümatisse, no wurd d'r Adjunt Meischter im
            Gemänerath.....
",14,1,0.472,0.07142857142857142
comedy,Grethl,F,,,"Grethl.
Jo, un was ne ganz üsser Rand und Band gebrocht hett, diss isch, dass d'r Schulzebür vun Ziwelse
            de Kronen-
            
",22,3,0.39617347904522476,0.13636363636363635
comedy,Marie,F,,,"Marie.
Jesses Maria! Grethl hörsch ? S'isch d'r Vater wie wid'r Händel hett mit d'r Fränz! —
",17,4,0.47631677642114234,0.23529411764705882
comedy,D'r Herr Maire,M,mayor,upper_middle_class,"Maire
(zur Türe hinaussprechend.)
Ja, un dass 'r 's wisse, ich hab's satt mit-i, satt hawi's mit-i; uff Wihnachte kind ich ejch uff!
            Ich hab mi jetzt schun ball vierzig Johr vun-i kummedeere lon, awer jetzt isch m'r d'r Geduldfade
            verrisse. — Ei mini Rhümatisse! —
",50,9,0.5300578962880059,0.18
comedy,Grethl,F,,,"Grethl.
Ja, was isch denn schun wid'r passeert Vater ?
",9,2,0.49229876038729903,0.2222222222222222
comedy,D'r Herr Maire,M,mayor,upper_middle_class,"Maire.
Was paaseert isch? Was? — Zuem Hüs nüs muess se, s'isch nix meh mit ere anzefange. Sie isch
            allewyl ihr Kopfs! — Ich hab welle han, dass se wie gewöhnli am Massti Suppepastetle macht un
            Marikknöpfle in d'Supp. — Jetzt, was mäne-n-ihr? Nix vun dem het se gemacht! Isch diss äu e-n-Asse
            for e Massti? — E Masstiasse ohne Suppepastetle un Marikknöpfle in d'r Supp, was wäre do unseri
            Visite säuje? Die wäre mäne, sie sin anstatt bim Herr Maire, bie Lumpevolik, bie Korbmacher, bie
            Kesselflicker ingelade! E Massti ohne Suppepastetle un Marikknöpfle, ob diss gepermetteert isch! —
            Ebb diss schun än Mensch erlebt hett.
            
",112,5,0.4261339843200817,0.044642857142857144
comedy,Marie,F,,,"Marie.
Alle Vater, verzirne-n-ejch nit eso, ihr wisse jo, 's macht ejch nit guet. D'Fränz isch e-n-alti
            wunderlichi Fräuj. Sie isch jetzt schun noht an veerzig Johr im Hüs, do muess m'r e bissel Nochsahns
            han. Kenn Mensch isch perfekt.
",45,7,0.47044958224079625,0.15555555555555556
comedy,D'r Herr Maire,M,mayor,upper_middle_class,"Maire.
Alti Fräuj hin od'r here. — Wenn diss alles wär mit de Pastetle und Marikknöpfle, wott i nit emol
            nix säuje, sie hett awer äu numme 20 Kuejellupfe gebache anstatt veerzig, un numme än Pfund
            Brotwurscht iwwer gemacht uff d'Person.
",42,4,0.4135231151332223,0.09523809523809523
comedy,Marie,F,,,"Marie.
Diss wurd doch reiche än Pfund uff d'Person !
",10,2,0.389,0.2
comedy,D'r Herr Maire,M,mayor,upper_middle_class,"Maire.
Natierli for so e Siedebibb'l, wie in d'r Pension isch gewahn wie dü, un wie d'fin Mamsell speele
            will, ze kann's reiche, awer for ünsereins reichts nit. Und do d'rmit baschta ! — D'Fränz muess zuem
            Hüs nüs, sie hett m'r de ganze Masti verdorwe !
            
",49,6,0.478336127044331,0.12244897959183673
comedy,Grethl,F,,,"Grethl.
Wenn ihr se nit iwwer ihri Mänung fröuje täte.....
",10,2,0.33705402955091357,0.2
comedy,D'r Herr Maire,M,mayor,upper_middle_class,"Maire
(nachspottend).
Fröüje täte?! — Fröüje täte!! — Än for allemol ich will nemmi kummedeert sin. Bin ich d'r Herr
            Maire od'r isch sie d'r Herr Maire ? — Ich habs satt, sie muess zuem Hüs nüs !
",38,6,0.3929438370819894,0.15789473684210525
comedy,D'r Herr Maire,M,mayor,upper_middle_class,"Maire.
Jetzt wurd's m'r nit besser. Wenn m'r nit emol vun sine ejene King meh recht bekummt. Statt mir
            recht ze gän, ze gän se d'r Fränz recht! Wenn's e so furt geht, ze gän 'r am End vum Leed noch im
            Adjund recht, wenn 'r mir e Stecke in's Rad steckt, un gäbte im Gouverlement recht, wenn d'r Adjund
            e-n-Ordre bekämt anstatt ich. — Fahnebibbl nochemol! S'isch Zytt, dass de hieroth'sch un zuem Hüs nüs
            kummsch, Grethl, denn apparti dü muesch m'r allewyl s'Mül anhenke.
",93,13,0.3816300421952444,0.13978494623655913
comedy,Marie,F,,,"Marie
(für sich).
Grosser Gott, kenn Chance, s'isch widd'r d'r Moment nit for ze säuje, dass e Herr üs d'r Stadt
            kumme sell for mich.
",28,4,0.49183884883062656,0.14285714285714285
comedy,Grethl,F,,,"Grethl.
Wenn ich 'm g'fäll ?! — Z'erscht muess 'r awer äu mir g'fälle, Vater, dass 'r 's wisse !
",18,1,0.3443872702128585,0.05555555555555555
comedy,D'r Herr Maire,M,mayor,upper_middle_class,"Maire.
Was, dir muess 'r äu noch g'fälle ?! — Schunsch nix, s'wurd als besser! Ah er muess dir g'fälle ?
            Was diss for Idee sin uff änmol! — So het m'r jo noch gar nix erlebt !
",36,1,0.441,0.027777777777777776
comedy,Grethl,F,,,"Grethl.
Allewäj, z'erscht muess i ne doch sahn ? M'r kann doch nit mir nix dir nix säuje, dass m'r e
            Mensche hieroth, wie m'r von Hütt un Hoor nit kennt, un wie m'r noch nie g'sahn hett !
",37,1,0.3883591483470008,0.02702702702702703
