shortName,drama_type,polarity,valence,arousal,dominance,anger,disgust,fear,joy,sadness,surprise,trust,anticipation
am-letzte-maskebal,comedy,-3,1.0879020897624163,0.6823520612611517,0.8453908791809245,0.009024918902797427,0.005090051497583249,0.011364382118231814,0.279404549725853,0.009885991376835176,0.0832367580099846,0.36593583810267977,0.2360575102660349
arnold-der-pfingstmontag,comedy,-52,12.696339228000614,10.38925980724404,12.584359167881875,0.09714778292398035,0.07739529772303945,0.11928182563762209,0.20216772557256774,0.09514340221682643,0.03083225044633653,0.26268273337063175,0.11534898210899558
babette-mach-s-fenster-zue,comedy,-18,3.8772548646186418,3.163932394540639,3.946099593959625,0.10812293958622363,0.140323581869829,0.15800261483061195,0.10095808615965558,0.04172972598360633,0.08223477914811725,0.12326455772323333,0.24536371469872298
bastian-dr-hans-im-schnokeloch,comedy,-158,8.986215466972254,7.784794586967651,8.55702959125151,0.08223528886947033,0.07752334702211827,0.09535394228509003,0.20254601185075705,0.07680452471798584,0.0597081415095139,0.20320532183999068,0.202623421905074
bastian-dr-maischter-hett-gewunne,comedy,-18,8.539966984960982,6.6510482900839145,8.657839472559463,0.1107835335205943,0.10447527422540565,0.11032234858694602,0.17039320227324034,0.05234448078627449,0.0556798900842022,0.2746574266284071,0.12134384389493001
bastian-e-sportschochzitt,comedy,-9,12.396960845890247,8.663860596699594,11.066017335840554,0.033325392464444166,0.030222666945534417,0.03975129781639585,0.44228412925117633,0.03681600318596174,0.050995593383025624,0.22090807458261771,0.14569684237084413
bastian-hofnarr-heidideldum,tale,-102,10.593497000914219,8.9615374645805,10.265767980671782,0.084861871022076,0.0977913914521402,0.09815513323917517,0.24564202461768433,0.0824362269517489,0.058783279098173644,0.19465419926590474,0.1376758743530971
bastian-s-gaischtert-im-huss,horreur,-10,8.88135375066713,6.976176848843765,8.57185463611495,0.06409345585919612,0.02089534946002111,0.09261654941565506,0.3363814140352307,0.03741800549009496,0.04082262428485364,0.29711592242028795,0.11065667903466045
bastian-struwelpeter,tale,-65,8.658332123771308,7.548215449215604,8.606237685546917,0.10318478569517948,0.07389248687198977,0.10106774792753852,0.2504474020307187,0.0792743149064525,0.04953267482943653,0.21222154365632753,0.1303790440823571
bi-de-wilde,comedy,-13,5.50785879252302,5.652606295492669,5.907737818612127,0.11244042388260213,0.1130794406687736,0.23153394773694458,0.0884226762576639,0.1843728687741473,0.058086310363131596,0.05482357371003534,0.1572407586067017
